序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/04,松山,2.9,0.57,431.36,35.6,45,24,26.87,4.61,22.26,1.92,21.92,73.64
2,臺北市,2014/04,古亭,2.6,0.6,-,31.7,53,22,27.46,5.47,21.99,2.21,22.37,76.49
3,臺北市,2014/04,中山,2.9,0.75,-,31.0,68,24,37.7,9.11,28.59,1.92,22.98,73.86
4,臺北市,2014/04,大同,3.8,1.38,-,-,65,20,67.39,30.83,36.56,-,-,-
5,臺北市,2014/04,萬華,3.1,0.65,-,32.9,46,26,32.18,5.47,26.71,2.16,22.63,73.6
6,臺北市,2014/04,陽明,1.8,0.26,403.28,54.4,20,16,4.44,1.19,3.24,-,16.62,94.59
7,臺北市,2014/04,士林,2.6,0.46,-,42.6,43,23,18.65,2.83,15.82,2.02,22.61,72.48
8,新北市,2014/04,板橋,4.6,0.64,-,34.8,55,28,28.53,4.68,23.85,2.06,22.79,75.38
9,新北市,2014/04,三重,4.0,1.58,-,-,69,28,100.99,57.6,43.39,-,22.85,72.72
10,新北市,2014/04,菜寮,3.3,0.59,-,36.3,47,28,24.74,3.69,21.05,2.12,22.47,71.9
11,新北市,2014/04,永和,2.6,0.94,-,32.4,43,25,37.67,12.85,24.82,1.87,23.09,77.02
12,新北市,2014/04,新莊,4.2,0.63,-,36.1,48,28,26.56,4.32,22.23,2.85,22.35,73.99
13,新北市,2014/04,新店,2.4,0.5,-,37.0,43,24,20.17,3.19,16.98,1.8,23.51,73.12
14,新北市,2014/04,淡水,2.4,0.39,-,41.0,44,25,13.34,1.76,11.58,-,-,-
15,新北市,2014/04,汐止,3.7,0.47,-,31.3,43,27,26.33,5.81,20.52,1.59,21.92,81.4
16,新北市,2014/04,土城,3.7,0.58,-,37.3,54,29,25.33,4.6,20.73,1.46,22.38,73.38
17,新北市,2014/04,林口,3.6,0.39,-,42.9,50,29,16.88,2.02,14.85,2.03,21.18,79.62
18,新北市,2014/04,萬里,2.5,0.3,-,48.5,52,21,8.55,1.73,6.81,3.24,20.85,81.41
19,臺中市,2014/04,西屯,3.5,0.41,-,36.9,64,35,19.23,2.17,17.06,2.38,24.11,72.72
20,臺中市,2014/04,忠明,3.6,0.53,-,36.1,62,34,23.41,2.89,20.51,1.63,24.37,67.65
21,臺中市,2014/04,豐原,3.3,0.45,-,38.0,57,31,15.54,2.08,13.45,1.9,23.14,71.63
22,臺中市,2014/04,沙鹿,3.4,0.39,-,41.5,64,37,17.06,1.56,15.49,3.1,23.35,74.82
23,臺中市,2014/04,大里,3.9,0.57,435.85,33.1,71,32,23.89,2.81,21.08,1.64,24.89,67.02
24,臺南市,2014/04,新營,3.8,0.44,-,38.7,90,37,14.93,1.98,12.94,2.05,24.47,76.0
25,臺南市,2014/04,善化,4.4,0.39,438.31,38.4,77,36,15.61,1.36,14.24,2.49,23.76,76.6
26,臺南市,2014/04,安南,4.6,0.43,-,40.6,84,36,16.56,2.69,13.87,2.25,25.02,74.01
27,高雄市,2014/04,左營,4.6,0.48,-,44.6,80,36,18.11,2.35,15.76,1.95,25.56,70.88
28,高雄市,2014/04,楠梓,4.4,0.48,-,39.8,87,34,20.41,3.05,17.36,1.98,25.65,74.03
29,高雄市,2014/04,前金,4.8,0.5,-,46.2,75,36,17.59,2.28,15.3,2.15,25.78,71.36
30,高雄市,2014/04,前鎮,8.0,0.53,-,38.9,70,37,26.46,4.18,22.28,1.57,25.67,74.86
31,高雄市,2014/04,復興,6.7,0.72,-,37.2,68,34,28.27,4.38,23.89,0.89,26.14,70.3
32,高雄市,2014/04,小港,8.7,0.49,-,37.2,82,31,27.98,4.52,23.46,2.01,26.31,69.64
33,高雄市,2014/04,鳳山,6.1,0.64,-,34.2,87,36,24.42,2.7,21.73,1.71,26.29,68.23
34,高雄市,2014/04,林園,5.3,0.38,-,47.4,39,31,14.15,1.66,12.49,2.39,25.28,72.28
35,高雄市,2014/04,大寮,5.6,0.44,-,39.7,63,31,18.11,2.44,15.67,1.69,25.74,72.41
36,高雄市,2014/04,仁武,5.7,0.48,-,37.1,86,38,25.1,3.89,21.21,1.85,25.48,73.4
37,高雄市,2014/04,橋頭,4.4,0.48,-,37.3,71,35,17.93,2.87,15.06,2.43,25.5,74.2
38,高雄市,2014/04,美濃,2.7,0.4,-,37.4,61,26,11.02,1.61,9.4,1.29,25.96,70.68
39,基隆市,2014/04,基隆,2.3,0.42,-,41.3,33,22,14.64,2.26,12.38,1.26,21.97,82.48
40,新竹市,2014/04,新竹,3.4,0.48,-,39.0,50,25,19.93,2.2,17.73,1.95,22.44,76.57
41,嘉義市,2014/04,嘉義,4.2,0.52,-,35.3,76,41,17.79,2.22,15.57,2.06,24.52,73.42
42,宜蘭縣,2014/04,宜蘭,1.8,0.39,422.9,39.6,44,20,9.36,1.26,8.09,1.43,22.35,75.77
43,宜蘭縣,2014/04,冬山,2.4,0.37,-,32.6,40,21,16.18,3.99,12.2,1.55,21.89,85.1
44,桃園市,2014/04,桃園,6.0,0.55,-,37.9,52,29,23.08,2.82,20.26,1.69,22.04,76.32
45,桃園市,2014/04,中壢,4.9,1.08,-,27.6,72,27,48.36,17.62,30.74,1.3,21.81,74.22
46,桃園市,2014/04,大園,4.9,0.37,-,42.0,54,24,21.02,2.96,18.05,3.78,21.21,79.64
47,桃園市,2014/04,龍潭,3.1,0.49,-,39.0,65,28,20.05,2.75,17.3,2.39,21.33,79.14
48,桃園市,2014/04,平鎮,4.6,0.47,-,39.2,64,31,21.73,2.14,19.59,2.32,21.98,78.39
49,桃園市,2014/04,觀音,5.5,0.34,-,45.4,59,25,13.47,1.14,12.32,4.66,22.02,76.92
50,新竹縣,2014/04,竹東,2.1,0.4,-,37.1,52,28,15.4,2.49,12.9,1.6,22.42,78.56
51,新竹縣,2014/04,湖口,3.8,0.37,-,43.2,44,32,15.58,2.05,13.52,3.18,22.65,74.07
52,苗栗縣,2014/04,苗栗,3.1,0.46,-,34.6,52,29,19.18,2.25,16.91,2.06,22.97,76.03
53,苗栗縣,2014/04,頭份,3.5,0.43,-,38.3,55,34,19.95,2.3,17.65,2.13,22.59,75.29
54,苗栗縣,2014/04,三義,2.3,0.35,-,40.6,56,33,12.14,1.57,10.57,2.72,21.44,79.31
55,彰化縣,2014/04,彰化,4.6,0.51,-,35.9,63,36,19.54,1.88,17.65,1.84,23.61,70.92
56,彰化縣,2014/04,線西,4.7,0.4,-,42.2,58,31,15.48,1.64,13.83,3.31,22.76,79.98
57,彰化縣,2014/04,二林,4.5,0.38,-,42.2,70,33,13.48,1.4,12.07,2.53,22.92,77.84
58,南投縣,2014/04,南投,3.2,0.56,-,32.5,76,46,21.15,2.48,18.66,1.49,24.39,72.98
59,南投縣,2014/04,埔里,2.1,0.46,-,36.8,57,43,13.57,1.29,12.27,1.63,23.35,72.8
60,南投縣,2014/04,竹山,3.1,0.41,-,37.3,79,42,16.91,1.62,15.29,1.43,22.93,74.98
61,雲林縣,2014/04,斗六,4.3,0.47,-,36.9,74,43,17.26,2.1,15.15,1.71,23.75,72.84
62,雲林縣,2014/04,崙背,3.7,0.4,-,37.3,65,39,13.0,1.33,11.66,2.48,23.56,79.25
63,雲林縣,2014/04,麥寮,3.2,0.35,-,46.3,73,39,11.9,2.16,9.74,3.0,24.1,81.56
64,嘉義縣,2014/04,朴子,3.7,0.43,-,41.6,86,43,12.78,1.52,11.25,2.03,24.41,74.72
65,嘉義縣,2014/04,新港,3.4,0.42,-,39.7,80,35,13.28,1.81,11.47,2.16,23.9,78.41
66,屏東縣,2014/04,屏東,3.9,0.51,-,42.9,69,35,15.63,1.52,14.1,1.68,26.12,69.33
67,屏東縣,2014/04,潮州,3.0,0.35,-,41.8,67,30,10.48,1.22,9.24,1.71,25.25,71.91
68,屏東縣,2014/04,恆春,1.4,0.18,407.48,50.4,33,12,2.4,1.09,1.29,5.63,24.68,67.53
69,臺東縣,2014/04,關山,1.1,-,-,32.2,26,11,5.36,1.12,4.24,1.41,21.65,84.48
70,花蓮縣,2014/04,花蓮,1.5,0.47,-,32.5,34,14,13.75,1.9,11.85,2.18,23.01,82.1
71,澎湖縣,2014/04,馬公,1.7,0.29,-,54.3,42,21,4.84,0.99,3.85,3.61,23.36,73.4
72,金門縣,2014/04,金門,5.9,0.42,-,43.9,75,40,14.19,1.62,12.56,2.61,20.46,71.7
73,連江縣,2014/04,馬祖,2.9,0.34,-,52.1,49,26,9.09,1.69,7.39,3.06,17.18,83.08
,,,,,,,,,,,,,,,
