序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1999/10,松山,4.0,0.79,15.8,45.0,-,43,15.86,27.45,-,-,-,25.43,-,-,-
2,臺北市,1999/10,古亭,2.9,0.77,20.2,36.0,19,38,14.19,24.14,2.25,0.24,2.01,25.62,-,-,-
3,臺北市,1999/10,中山,3.9,0.82,17.4,41.0,-,42,13.28,28.25,2.5,0.29,2.21,25.67,-,-,-
4,臺北市,1999/10,大同,7.4,3.57,-,-,-,165,121.85,42.91,4.05,1.82,2.24,26.45,-,-,-
5,臺北市,1999/10,萬華,3.5,0.89,22.9,37.0,-,33,6.73,26.39,-,-,-,25.38,-,-,-
6,臺北市,1999/10,陽明,1.2,0.17,39.1,14.0,-,3,0.26,2.28,-,-,-,18.91,-,-,-
7,臺北市,1999/10,士林,-,0.5,25.0,30.0,-,26,16.96,9.18,-,-,-,25.58,-,-,-
8,新北市,1999/10,板橋,4.5,0.82,18.8,41.0,-,38,11.63,26.53,2.52,0.4,2.12,25.85,-,-,-
9,新北市,1999/10,三重,3.9,1.95,-,62.0,17,103,63.33,40.04,-,-,-,25.78,-,-,-
10,新北市,1999/10,菜寮,3.1,0.36,19.5,52.0,-,31,8.33,22.36,-,-,-,25.31,-,-,-
11,新北市,1999/10,永和,4.1,1.11,-,41.0,-,46,21.24,24.58,2.54,0.45,2.09,24.85,-,-,-
12,新北市,1999/10,新莊,4.4,0.74,26.2,38.0,-,31,7.14,23.82,-,-,-,25.21,-,-,-
13,新北市,1999/10,新店,1.3,0.45,23.4,27.0,-,17,2.82,14.25,-,-,-,25.26,-,-,-
14,新北市,1999/10,淡水,1.6,0.47,30.0,35.0,-,-,-,-,-,-,-,25.14,-,-,-
15,新北市,1999/10,汐止,4.8,0.74,17.4,43.0,-,40,14.34,25.74,-,-,-,24.26,-,-,-
16,新北市,1999/10,土城,2.9,0.64,24.9,36.0,-,26,5.54,20.82,-,-,-,25.51,-,-,-
17,新北市,1999/10,林口,4.5,0.49,22.8,27.0,-,-,-,-,-,-,-,23.33,-,-,-
18,新北市,1999/10,萬里,0.9,0.2,36.5,43.0,-,6,1.21,5.25,2.04,0.03,2.01,24.39,-,-,-
19,臺中市,1999/10,西屯,3.2,0.68,25.2,79.0,-,34,10.6,23.18,2.66,0.35,2.32,26.17,-,-,-
20,臺中市,1999/10,忠明,4.0,0.97,22.3,74.0,32,41,11.55,29.82,-,-,-,26.37,-,-,-
21,臺中市,1999/10,豐原,4.0,0.78,27.9,69.0,-,31,6.21,25.01,-,-,-,24.98,-,-,-
22,臺中市,1999/10,沙鹿,5.0,0.57,23.2,60.0,-,32,7.09,24.42,-,-,-,26.21,-,-,-
23,臺中市,1999/10,大里,3.8,0.86,21.2,72.0,-,37,8.4,28.87,-,-,-,25.2,-,-,-
24,臺南市,1999/10,新營,4.7,0.54,32.1,59.0,-,26,4.62,21.31,2.55,0.17,2.38,26.22,-,-,-
