序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/11,松山,2.3,0.74,411.53,24.1,49,-,39.9,11.44,28.45,-,-,-,20.19,-,-,-
2,臺北市,2002/11,古亭,2.1,0.84,-,24.0,42,25,40.37,13.79,26.58,3.513,0.45,3.06,20.6,-,-,-
3,臺北市,2002/11,中山,2.8,0.77,-,22.5,58,-,47.56,14.44,33.16,3.535,0.33,3.21,21.48,-,-,-
4,臺北市,2002/11,大同,5.7,3.14,-,-,75,-,149.27,101.26,48.01,4.749,1.88,2.87,21.76,-,-,-
5,臺北市,2002/11,萬華,2.3,0.88,-,26.1,49,-,31.17,5.52,25.65,-,-,-,20.54,-,-,-
6,臺北市,2002/11,陽明,1.6,0.26,402.36,50.4,23,-,3.13,0.18,2.95,-,-,-,14.51,-,-,-
7,臺北市,2002/11,士林,1.9,0.64,-,32.3,42,-,32.35,7.06,25.29,-,-,-,20.13,-,-,-
8,新北市,2002/11,板橋,4.0,0.9,-,26.4,49,-,38.71,12.43,26.28,3.249,0.45,2.8,-,-,-,-
9,新北市,2002/11,三重,4.7,-,-,-,58,-,153.27,105.03,48.24,3.292,1.02,2.28,-,-,-,-
10,新北市,2002/11,菜寮,3.6,0.87,-,24.0,57,-,40.77,11.58,29.37,-,-,-,21.31,-,-,-
11,新北市,2002/11,永和,2.6,1.23,-,16.6,54,-,50.82,21.6,29.22,2.728,0.59,2.14,-,-,-,-
12,新北市,2002/11,新莊,3.5,0.78,-,29.1,55,-,35.27,7.47,27.8,2.6,0.51,2.09,20.39,-,-,-
13,新北市,2002/11,新店,0.8,0.53,-,26.3,38,-,19.95,2.72,17.24,-,-,-,20.77,-,-,-
14,新北市,2002/11,淡水,1.5,0.54,-,38.2,35,-,17.26,3.01,14.24,-,-,-,20.4,-,-,-
15,新北市,2002/11,汐止,2.8,0.55,-,31.5,48,-,28.83,8.34,20.49,-,-,-,20.15,-,-,-
16,新北市,2002/11,土城,2.9,0.83,-,25.9,39,-,33.61,9.13,24.48,-,-,-,21.68,-,-,-
17,新北市,2002/11,林口,2.7,0.52,-,37.3,48,-,21.2,3.2,18.0,-,-,-,19.14,-,-,-
18,新北市,2002/11,萬里,1.6,0.28,-,39.5,50,-,6.54,0.9,5.65,-,-,-,20.52,-,-,-
19,臺中市,2002/11,西屯,3.0,0.7,-,31.1,80,-,36.39,14.51,21.88,3.493,0.39,3.1,21.23,-,-,-
20,臺中市,2002/11,忠明,2.3,0.92,-,31.1,95,50,38.93,11.77,27.05,-,-,-,21.42,-,-,-
21,臺中市,2002/11,豐原,3.6,0.93,-,26.9,63,-,36.1,6.93,29.16,-,-,-,20.37,-,-,-
22,臺中市,2002/11,沙鹿,4.9,0.68,-,23.6,62,-,28.0,4.08,23.93,-,-,-,20.42,-,-,-
23,臺中市,2002/11,大里,3.3,1.02,361.42,24.6,71,-,44.42,11.37,33.05,-,-,-,21.54,-,-,-
24,臺南市,2002/11,新營,4.5,0.62,-,29.5,96,-,32.15,6.5,25.65,-,-,-,22.09,-,-,-
25,臺南市,2002/11,善化,4.5,0.56,-,32.8,85,-,26.74,3.59,23.19,-,-,-,22.3,-,-,-
26,臺南市,2002/11,安南,5.4,-,-,32.9,84,-,32.11,6.09,26.06,-,-,-,22.54,-,-,-
27,臺南市,2002/11,臺南,5.4,0.84,-,37.1,93,-,30.28,4.13,26.15,-,-,-,22.87,-,-,-
28,高雄市,2002/11,左營,7.2,0.84,-,36.5,96,-,37.3,6.48,30.82,2.438,0.39,2.04,23.45,-,-,-
29,高雄市,2002/11,楠梓,4.7,0.69,-,29.7,88,-,38.97,15.22,23.79,2.455,0.16,2.29,23.24,-,-,-
30,高雄市,2002/11,前金,8.1,0.9,-,37.4,96,-,37.96,4.95,33.01,-,-,-,23.47,-,-,-
31,高雄市,2002/11,前鎮,10.8,-,-,-,106,-,51.7,12.36,39.35,2.532,0.46,2.07,23.97,-,-,-
32,高雄市,2002/11,復興,11.0,1.41,-,-,117,-,62.39,18.32,44.07,3.497,1.16,2.33,24.66,-,-,-
33,高雄市,2002/11,小港,15.8,0.96,-,29.2,105,-,59.71,16.78,42.93,2.902,0.55,2.35,24.0,-,-,-
34,高雄市,2002/11,鳳山,18.2,0.84,-,35.4,108,48,52.0,20.88,31.13,-,-,-,24.54,-,-,-
35,高雄市,2002/11,林園,19.8,0.79,-,37.1,116,80,37.72,8.09,29.65,2.892,0.9,1.99,24.26,-,-,-
36,高雄市,2002/11,大寮,11.9,0.87,-,32.0,102,-,34.05,4.76,29.29,2.806,0.51,2.29,23.03,-,-,-
37,高雄市,2002/11,仁武,15.9,0.69,-,29.7,110,-,47.28,13.17,34.1,2.594,0.37,2.22,23.27,-,-,-
38,高雄市,2002/11,橋頭,5.4,0.95,-,28.4,55,-,33.97,6.51,27.46,2.343,0.21,2.13,23.39,-,-,-
39,高雄市,2002/11,美濃,2.2,0.58,-,50.0,90,-,17.66,1.2,16.45,-,-,-,23.12,-,-,-
40,基隆市,2002/11,基隆,5.4,0.6,-,34.0,46,-,23.68,4.84,18.85,-,-,-,20.63,-,-,-
41,新竹市,2002/11,新竹,4.5,0.68,-,26.7,54,-,30.8,7.11,23.7,3.002,0.16,2.85,20.05,-,-,-
42,嘉義市,2002/11,嘉義,5.3,0.78,-,28.7,101,-,37.16,5.86,31.3,2.685,0.34,2.34,21.92,-,-,-
43,宜蘭縣,2002/11,宜蘭,1.0,0.53,352.13,32.1,43,-,16.63,1.96,14.67,-,-,-,19.91,-,-,-
44,宜蘭縣,2002/11,冬山,1.4,0.42,-,22.0,53,-,20.31,5.32,14.98,2.639,0.26,2.38,20.47,-,-,-
45,桃園市,2002/11,桃園,5.9,0.74,-,26.9,-,-,33.27,6.23,27.03,2.791,0.28,2.51,19.52,-,-,-
46,桃園市,2002/11,中壢,5.5,1.21,-,-,67,-,54.47,20.43,34.05,2.629,0.54,2.09,20.12,-,-,-
47,桃園市,2002/11,大園,3.6,0.49,-,33.1,57,-,22.76,5.66,16.94,-,-,-,20.54,-,-,-
48,桃園市,2002/11,龍潭,2.5,0.55,-,29.3,47,-,26.31,4.77,21.54,-,-,-,19.13,-,-,-
49,桃園市,2002/11,平鎮,5.0,0.73,-,27.5,68,-,30.97,6.59,24.38,2.493,0.38,2.11,20.39,-,-,-
50,桃園市,2002/11,觀音,6.5,0.42,-,33.7,54,-,21.85,3.35,18.5,2.461,0.29,2.17,20.17,-,-,-
51,新竹縣,2002/11,竹東,1.9,0.39,-,31.6,52,-,20.7,2.69,18.02,-,-,-,19.82,-,-,-
52,新竹縣,2002/11,湖口,3.0,0.48,-,27.5,64,-,24.97,6.02,18.95,-,-,-,20.29,-,-,-
53,苗栗縣,2002/11,苗栗,3.7,0.65,-,31.7,55,-,31.38,7.06,24.32,-,-,-,18.55,-,-,-
54,苗栗縣,2002/11,頭份,4.0,-,-,-,54,-,25.28,5.42,19.87,2.622,0.09,2.53,20.12,-,-,-
55,苗栗縣,2002/11,三義,1.9,0.41,-,34.8,33,-,21.57,2.62,18.95,2.018,0.2,1.81,17.63,-,-,-
56,彰化縣,2002/11,彰化,5.1,0.89,-,24.8,83,-,41.97,10.17,31.83,2.58,0.53,2.05,21.61,-,-,-
57,彰化縣,2002/11,線西,4.6,-,-,-,93,-,28.12,5.0,23.12,2.438,0.24,2.2,20.88,-,-,-
58,彰化縣,2002/11,二林,9.5,0.46,-,31.5,93,-,20.25,3.6,17.4,-,-,-,20.36,-,-,-
59,南投縣,2002/11,南投,2.3,0.77,-,25.7,79,-,36.51,7.49,29.01,3.128,0.59,2.54,21.88,-,-,-
60,南投縣,2002/11,埔里,2.1,0.77,-,23.0,81,-,19.56,2.46,17.38,2.915,0.22,2.7,21.98,-,-,-
61,南投縣,2002/11,竹山,2.7,0.71,-,25.8,86,-,32.66,5.01,27.65,-,-,-,21.5,-,-,-
62,雲林縣,2002/11,斗六,4.1,0.69,-,27.5,110,-,29.57,4.87,24.7,-,-,-,21.07,-,-,-
63,雲林縣,2002/11,崙背,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,雲林縣,2002/11,臺西,3.8,0.43,-,36.7,83,-,28.63,10.93,18.25,-,-,-,21.58,-,-,-
65,嘉義縣,2002/11,朴子,3.4,0.46,-,35.9,78,-,22.05,3.46,18.73,-,-,-,21.85,-,-,-
66,嘉義縣,2002/11,新港,3.4,0.42,-,29.8,73,-,25.56,4.76,20.8,-,-,-,20.77,-,-,-
67,屏東縣,2002/11,屏東,2.3,0.75,-,40.3,102,-,-,-,-,2.451,0.21,2.24,23.84,-,-,-
68,屏東縣,2002/11,潮州,3.0,0.59,-,39.0,111,-,22.82,2.21,20.61,-,-,-,22.95,-,-,-
69,屏東縣,2002/11,恆春,0.2,0.27,345.47,37.5,24,-,0.91,0.01,0.9,-,-,-,23.84,-,-,-
70,臺東縣,2002/11,臺東,0.4,0.48,-,31.2,35,-,10.25,1.66,8.58,-,-,-,22.47,-,-,-
71,花蓮縣,2002/11,花蓮,0.9,0.61,-,22.8,33,-,19.26,4.09,15.18,2.467,0.22,2.25,22.38,-,-,-
72,金門縣,2002/11,金門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,連江縣,2002/11,馬祖,1.9,0.31,-,52.1,37,-,3.66,0.48,3.19,-,-,-,17.35,-,-,-
,,,,,,,,,,,,,,,,,,,
