序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2001/05,松山,4.3,0.87,23.0,41.0,-,41,11.97,28.76,-,-,-,25.11,-,-,-
2,臺北市,2001/05,古亭,3.5,0.92,24.3,41.0,26,40,12.39,27.95,2.23,0.33,1.9,26.31,-,-,-
3,臺北市,2001/05,中山,4.1,1.0,23.3,51.0,-,44,13.18,31.28,2.88,0.49,2.38,25.61,-,-,-
4,臺北市,2001/05,大同,10.2,3.0,-,69.0,-,140,90.34,50.13,3.86,1.49,2.37,26.21,-,-,-
5,臺北市,2001/05,萬華,3.2,1.01,27.0,46.0,-,38,8.66,29.36,-,-,-,25.95,-,-,-
6,臺北市,2001/05,陽明,1.3,0.32,45.0,18.0,-,4,0.16,3.58,-,-,-,20.75,-,-,-
7,臺北市,2001/05,士林,2.4,0.8,29.2,37.0,-,24,5.97,17.99,-,-,-,25.15,-,-,-
8,新北市,2001/05,板橋,5.5,0.8,24.1,47.0,-,39,10.12,28.72,2.58,0.44,2.15,25.87,-,-,-
9,新北市,2001/05,三重,5.2,2.58,-,65.0,40,131,86.54,44.69,3.01,0.86,2.15,25.9,-,-,-
10,新北市,2001/05,菜寮,4.4,0.97,23.6,54.0,-,40,11.42,29.01,-,-,-,25.51,-,-,-
11,新北市,2001/05,永和,6.1,1.64,21.1,59.0,-,53,25.18,28.11,2.83,0.61,2.22,25.84,-,-,-
12,新北市,2001/05,新莊,5.4,0.81,31.7,52.0,-,37,10.63,26.19,2.4,0.49,1.91,25.56,-,-,-
13,新北市,2001/05,新店,1.8,0.66,28.6,39.0,-,21,3.13,17.81,-,-,-,25.66,-,-,-
14,新北市,2001/05,淡水,2.5,0.77,25.7,44.0,-,23,4.6,18.58,-,-,-,25.23,-,-,-
15,新北市,2001/05,汐止,4.2,0.85,18.1,49.0,-,47,16.82,30.47,-,-,-,24.4,-,-,-
16,新北市,2001/05,土城,3.9,0.84,25.2,40.0,-,36,9.86,25.8,-,-,-,25.32,-,-,-
17,新北市,2001/05,林口,3.6,0.5,32.3,41.0,-,24,3.76,20.12,-,-,-,23.46,-,-,-
18,新北市,2001/05,萬里,1.2,0.41,40.3,37.0,-,9,1.41,7.7,2.37,0.07,2.3,23.76,-,-,-
19,臺中市,2001/05,西屯,2.6,0.67,21.6,-,-,28,7.18,20.38,2.36,0.25,2.1,25.86,-,-,-
20,臺中市,2001/05,忠明,3.1,0.92,28.3,60.0,41,36,7.72,28.5,-,-,-,26.29,-,-,-
21,臺中市,2001/05,豐原,2.9,0.81,25.6,51.0,-,27,4.22,23.11,-,-,-,25.5,-,-,-
22,臺中市,2001/05,沙鹿,4.2,0.62,21.2,44.0,-,21,2.92,17.68,-,-,-,26.53,-,-,-
23,臺中市,2001/05,大里,2.8,0.86,28.2,59.0,-,29,5.16,23.83,-,-,-,27.1,-,-,-
24,臺南市,2001/05,新營,3.2,0.51,27.5,44.0,-,18,2.83,15.08,2.49,0.16,2.33,27.34,-,-,-
25,臺南市,2001/05,善化,3.8,0.42,32.1,41.0,-,15,2.52,12.07,-,-,-,26.27,-,-,-
26,臺南市,2001/05,安南,6.1,0.58,30.0,51.0,-,19,3.03,16.27,-,-,-,26.86,-,-,-
27,臺南市,2001/05,臺南,3.6,0.64,32.5,63.0,-,18,2.02,15.99,2.28,0.15,2.13,27.0,-,-,-
