序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
52,新竹縣,2015/12,湖口,3.3,0.36,-,33.7,40,18,13.79,2.94,10.86,-,-,-,4.76,4.55,18.47,-,-,76.18,-
53,苗栗縣,2015/12,苗栗,3.8,0.49,-,23.2,51,24,21.59,4.73,16.86,-,-,-,2.63,1.89,18.47,-,-,77.31,-
54,苗栗縣,2015/12,頭份,2.9,0.44,-,26.4,50,22,20.22,3.88,16.34,2.02,0.117,1.903,2.58,2.0,18.82,-,-,76.26,-
55,苗栗縣,2015/12,三義,2.1,0.35,-,29.2,39,17,13.02,2.23,10.78,-,-,-,3.96,3.55,16.37,0.84,4.02,82.63,6.76
56,彰化縣,2015/12,彰化,3.5,0.57,-,21.9,48,23,23.12,4.68,18.44,2.065,0.202,1.863,2.66,1.34,18.88,-,-,73.75,-
57,彰化縣,2015/12,線西,4.7,0.44,-,27.7,55,28,19.75,3.31,16.44,2.017,0.115,1.903,4.76,4.03,19.28,-,-,78.56,-
58,彰化縣,2015/12,二林,4.4,0.41,-,28.2,54,31,15.93,2.37,13.55,-,-,-,3.8,2.67,20.38,-,-,76.58,-
59,南投縣,2015/12,南投,3.2,0.64,-,19.8,68,33,27.92,6.74,21.18,2.086,0.235,1.85,1.47,0.86,19.94,2.0,5.63,74.23,26.39
60,南投縣,2015/12,埔里,1.9,0.54,-,23.2,45,29,18.76,3.12,15.64,-,-,-,1.32,0.92,19.48,-,-,66.38,-
61,南投縣,2015/12,竹山,3.5,0.52,-,22.3,67,43,22.03,3.46,18.57,-,-,-,1.42,0.97,19.42,-,-,75.56,-
62,雲林縣,2015/12,斗六,3.7,0.51,-,21.6,66,33,25.67,4.71,20.95,-,-,-,1.86,1.0,20.02,-,-,75.07,-
63,雲林縣,2015/12,崙背,3.7,0.43,-,23.3,65,33,17.14,2.64,14.49,-,-,-,3.46,2.49,20.25,1.76,6.67,76.06,29.07
64,雲林縣,2015/12,麥寮,3.5,0.38,-,31.8,86,27,14.36,2.46,11.9,2.023,0.087,1.935,4.48,1.77,20.75,-,-,82.99,-
65,雲林縣,2015/12,臺西,3.8,0.35,-,35.4,56,26,12.31,1.77,10.52,1.992,0.065,1.927,6.89,6.35,19.24,-,-,80.12,-
66,嘉義縣,2015/12,朴子,3.7,0.4,-,28.2,78,30,16.35,2.52,13.83,-,-,-,2.51,1.09,21.33,-,-,76.99,-
67,嘉義縣,2015/12,新港,3.2,0.45,-,27.2,72,29,17.08,3.06,14.02,-,-,-,2.83,1.08,19.24,-,-,77.19,-
68,屏東縣,2015/12,屏東,3.0,0.6,-,30.8,77,38,20.58,2.3,18.28,2.239,0.18,2.058,1.38,0.92,22.23,-,-,70.57,-
69,屏東縣,2015/12,潮州,3.0,0.51,-,33.0,80,43,16.77,1.78,14.99,-,-,-,1.29,0.88,21.56,-,-,77.19,-
70,屏東縣,2015/12,恆春,1.2,0.2,410.1,43.7,27,9,4.1,1.77,2.33,-,-,-,8.2,7.83,23.13,1.38,5.45,77.63,46.4
71,臺東縣,2015/12,臺東,1.4,0.36,-,29.3,21,9,7.84,2.03,5.8,-,-,-,2.12,1.25,21.76,1.17,4.75,71.46,15.23
72,臺東縣,2015/12,關山,1.3,-,-,25.0,22,9,6.59,1.75,4.84,-,-,-,1.72,1.12,19.94,-,-,76.99,-
73,花蓮縣,2015/12,花蓮,2.3,0.39,-,26.3,27,14,12.36,2.43,9.94,-,-,-,2.51,2.18,21.07,2.07,4.98,75.36,86.45
74,澎湖縣,2015/12,馬公,1.6,0.31,-,40.8,38,23,4.97,1.11,3.86,-,-,-,5.73,3.68,20.0,2.45,5.18,76.81,234.39
75,金門縣,2015/12,金門,4.8,0.43,-,31.0,64,29,15.05,2.56,12.49,-,-,-,2.99,2.35,17.17,2.79,4.02,70.3,22.75
76,連江縣,2015/12,馬祖,3.0,0.38,-,35.7,43,28,8.37,1.55,6.82,-,-,-,4.38,3.62,14.62,1.32,4.52,79.15,48.76
,,,,,,,,,,,,,,,,,,,,,,
