序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2001/08,松山,3.9,0.72,-,18.8,36,-,32.87,11.93,20.94,-,-,-,30.03,-,-,-
2,臺北市,2001/08,古亭,2.7,0.73,-,20.5,35,18,33.64,12.89,20.75,2.106,0.29,1.82,31.23,-,-,-
3,臺北市,2001/08,中山,3.7,0.79,-,19.0,46,-,34.94,13.38,21.56,2.486,0.32,2.17,29.85,-,-,-
4,臺北市,2001/08,大同,8.0,2.57,-,-,57,-,116.46,80.68,35.77,3.607,1.24,2.37,31.12,-,-,-
5,臺北市,2001/08,萬華,3.1,0.73,-,22.3,38,-,30.61,7.06,23.55,-,-,-,31.28,-,-,-
6,臺北市,2001/08,陽明,2.7,0.25,23.82,32.2,18,-,5.64,0.49,5.15,-,-,-,23.52,-,-,-
7,臺北市,2001/08,士林,3.1,0.6,28.15,21.3,34,-,23.61,5.61,17.99,-,-,-,29.08,-,-,-
8,新北市,2001/08,板橋,5.7,0.72,-,23.6,41,-,33.58,10.18,23.4,-,-,-,30.64,-,-,-
9,新北市,2001/08,三重,7.0,-,-,-,54,32,-,-,-,3.02,0.75,2.27,31.02,-,-,-
10,新北市,2001/08,菜寮,4.3,0.79,-,19.4,43,-,35.67,11.6,24.07,-,-,-,30.25,-,-,-
11,新北市,2001/08,永和,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,新北市,2001/08,新莊,7.0,0.72,-,25.8,48,-,30.29,9.09,21.2,2.427,0.44,1.98,30.04,-,-,-
13,新北市,2001/08,新店,2.1,0.47,-,25.1,36,-,13.76,2.22,11.59,-,-,-,30.23,-,-,-
14,新北市,2001/08,淡水,3.2,0.61,6.82,21.2,36,-,21.37,4.75,16.62,-,-,-,30.47,-,-,-
15,新北市,2001/08,汐止,4.4,0.62,-,16.4,51,-,33.74,12.96,20.77,-,-,-,29.54,-,-,-
16,新北市,2001/08,土城,4.4,0.67,-,22.8,41,-,32.87,11.96,21.0,-,-,-,29.97,-,-,-
17,新北市,2001/08,林口,5.5,0.48,-,25.2,50,-,24.61,6.64,17.97,-,-,-,28.16,-,-,-
18,新北市,2001/08,萬里,1.6,0.37,-,23.9,30,-,10.13,2.12,8.01,2.207,0.06,2.15,28.21,-,-,-
19,臺中市,2001/08,西屯,0.8,0.5,-,19.9,56,-,26.24,8.26,17.98,2.367,0.2,2.17,28.67,-,-,-
20,臺中市,2001/08,忠明,1.9,0.83,-,21.6,48,22,31.23,7.31,23.92,-,-,-,28.99,-,-,-
21,臺中市,2001/08,豐原,3.3,-,-,29.8,50,-,23.66,3.24,20.43,-,-,-,27.92,-,-,-
22,臺中市,2001/08,沙鹿,3.5,0.49,-,17.8,55,-,20.21,5.04,15.22,-,-,-,29.85,-,-,-
23,臺中市,2001/08,大里,2.7,0.65,-,27.2,43,-,21.74,2.9,18.84,-,-,-,30.05,-,-,-
24,臺南市,2001/08,新營,1.8,0.41,-,26.4,28,-,12.35,2.1,10.28,-,-,-,28.32,-,-,-
25,臺南市,2001/08,善化,3.7,0.34,-,32.5,26,-,9.29,1.31,7.99,-,-,-,28.05,-,-,-
26,臺南市,2001/08,安南,5.5,0.49,-,26.0,40,-,17.29,3.09,14.2,-,-,-,29.02,-,-,-
27,臺南市,2001/08,臺南,3.5,0.58,-,28.5,39,-,16.87,1.97,14.91,2.206,0.12,2.08,28.73,-,-,-
28,高雄市,2001/08,左營,6.2,0.87,-,28.4,41,-,24.9,6.77,18.14,2.352,0.31,2.04,29.65,-,-,-
29,高雄市,2001/08,楠梓,5.0,0.41,-,23.2,37,-,27.45,6.39,21.06,2.367,0.26,2.11,28.96,-,-,-
30,高雄市,2001/08,前金,6.9,0.68,-,26.7,35,-,24.12,5.8,18.33,-,-,-,29.63,-,-,-
31,高雄市,2001/08,前鎮,10.1,-,-,-,47,-,28.61,8.35,20.26,2.162,0.32,1.84,29.54,-,-,-
32,高雄市,2001/08,復興,8.2,1.0,-,-,51,-,35.45,11.56,23.88,2.565,0.45,2.11,29.31,-,-,-
33,高雄市,2001/08,小港,10.8,0.73,-,22.3,44,-,31.22,9.17,22.04,2.272,0.27,2.01,29.03,-,-,-
34,高雄市,2001/08,鳳山,6.4,1.18,-,30.8,43,-,20.42,5.47,14.96,-,-,-,28.22,-,-,-
35,高雄市,2001/08,林園,3.3,0.41,-,29.3,47,32,9.88,1.14,8.73,2.218,0.23,1.99,28.94,-,-,-
36,高雄市,2001/08,大寮,10.2,0.55,-,22.2,46,-,16.96,2.14,14.84,2.408,0.18,2.22,28.27,-,-,-
37,高雄市,2001/08,仁武,4.4,0.51,-,26.0,41,-,22.4,5.26,17.14,3.133,0.33,2.8,29.07,-,-,-
38,高雄市,2001/08,橋頭,3.5,0.72,-,24.2,31,-,16.9,3.73,13.17,2.28,0.1,2.18,28.63,-,-,-
39,高雄市,2001/08,美濃,0.3,0.44,-,29.6,38,-,8.04,1.01,7.03,-,-,-,27.67,-,-,-
40,基隆市,2001/08,基隆,4.1,0.55,-,19.8,36,-,21.45,5.85,15.6,2.384,0.13,2.25,29.59,-,-,-
41,新竹市,2001/08,新竹,3.6,0.57,-,19.7,42,-,25.2,7.46,17.74,2.367,0.17,2.2,30.62,-,-,-
42,嘉義市,2001/08,嘉義,1.7,0.65,-,23.4,59,-,20.45,3.89,16.57,2.118,0.25,1.86,29.27,-,-,-
43,宜蘭縣,2001/08,宜蘭,1.3,0.37,-,19.2,28,-,10.47,1.92,8.54,-,-,-,29.06,-,-,-
44,宜蘭縣,2001/08,冬山,2.3,0.45,-,9.1,28,-,16.09,6.1,9.99,2.157,0.12,2.04,28.96,-,-,-
45,桃園市,2001/08,桃園,10.6,0.63,-,22.7,42,-,29.14,7.95,21.18,2.238,0.26,1.98,29.74,-,-,-
46,桃園市,2001/08,中壢,5.0,1.28,-,-,47,-,59.4,28.38,31.02,3.241,1.2,2.04,29.55,-,-,-
47,桃園市,2001/08,大園,4.1,0.41,-,20.0,-,-,20.9,7.03,13.88,-,-,-,29.85,-,-,-
48,桃園市,2001/08,龍潭,2.9,0.42,-,30.3,45,-,23.0,4.96,18.04,-,-,-,28.67,-,-,-
49,桃園市,2001/08,平鎮,4.2,0.6,-,22.1,45,-,27.79,7.33,20.47,2.111,0.2,1.91,29.4,-,-,-
50,桃園市,2001/08,觀音,5.3,0.31,-,22.4,33,-,17.79,5.79,12.0,2.56,0.2,2.36,29.11,-,-,-
51,新竹縣,2001/08,竹東,2.1,0.45,-,25.8,36,-,15.87,2.61,13.29,-,-,-,29.21,-,-,-
52,新竹縣,2001/08,湖口,2.5,0.46,-,20.0,43,-,20.71,6.96,13.75,-,-,-,29.71,-,-,-
53,苗栗縣,2001/08,苗栗,2.6,0.47,-,19.5,30,-,23.63,7.73,15.9,-,-,-,29.17,-,-,-
54,苗栗縣,2001/08,頭份,4.6,-,-,-,59,-,22.31,7.11,15.18,2.162,0.1,2.06,30.06,-,-,-
55,苗栗縣,2001/08,三義,1.2,0.36,-,27.1,32,-,15.46,3.71,11.74,2.176,0.09,2.09,26.45,-,-,-
56,彰化縣,2001/08,彰化,5.1,0.59,-,21.8,47,-,24.42,5.64,18.77,2.557,0.3,2.26,29.99,-,-,-
57,彰化縣,2001/08,線西,1.8,-,-,-,41,-,17.17,3.86,13.3,2.156,0.12,2.03,29.24,-,-,-
58,彰化縣,2001/08,二林,1.1,0.31,-,20.9,54,-,12.43,2.33,10.1,-,-,-,29.29,-,-,-
59,南投縣,2001/08,南投,0.8,0.51,-,29.9,41,-,18.1,2.66,15.46,2.222,0.11,2.11,28.39,-,-,-
60,南投縣,2001/08,埔里,1.3,0.69,-,32.3,61,-,11.24,1.48,9.17,2.19,0.13,2.06,26.56,-,-,-
61,南投縣,2001/08,竹山,-,0.39,-,27.2,46,-,11.87,0.96,10.91,-,-,-,27.52,-,-,-
62,雲林縣,2001/08,斗六,3.2,0.31,-,28.1,41,-,15.9,2.3,13.6,-,-,-,28.32,-,-,-
63,雲林縣,2001/08,崙背,1.0,0.33,-,23.1,46,-,13.43,2.04,11.39,2.274,0.14,2.13,29.47,-,-,-
64,雲林縣,2001/08,臺西,1.8,0.36,-,21.9,49,-,10.66,1.67,8.99,-,-,-,29.19,-,-,-
65,嘉義縣,2001/08,朴子,1.4,0.35,-,25.3,42,-,13.07,1.92,11.18,-,-,-,29.27,-,-,-
66,嘉義縣,2001/08,新港,1.8,0.39,-,27.5,37,-,16.7,3.96,12.74,-,-,-,28.76,-,-,-
67,屏東縣,2001/08,屏東,3.0,0.6,-,28.4,40,-,18.11,2.31,15.79,2.217,0.19,2.03,28.17,-,-,-
68,屏東縣,2001/08,潮州,1.5,0.37,-,26.6,49,-,10.36,0.91,9.46,-,-,-,28.43,-,-,-
69,屏東縣,2001/08,恆春,0.1,0.19,-,17.1,21,-,0.75,0.04,0.7,-,-,-,28.69,-,-,-
70,臺東縣,2001/08,臺東,0.2,0.45,-,16.4,30,-,8.87,2.83,6.04,2.062,0.05,2.01,29.43,-,-,-
71,花蓮縣,2001/08,花蓮,0.4,0.49,-,13.0,21,-,13.03,5.12,7.91,2.077,0.15,1.93,30.54,-,-,-
72,連江縣,2001/08,馬祖,0.6,0.35,-,39.6,30,-,4.26,0.99,3.29,-,-,-,26.77,-,-,-
,,,,,,,,,,,,,,,,,,,
