序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/07,松山,3.8,0.79,16.5,39.0,-,38,15.65,22.16,-,-,-,29.69,-,-,-
2,臺北市,2000/07,古亭,2.7,0.78,17.1,34.0,21,35,15.15,20.06,2.15,0.29,1.85,30.28,-,-,-
3,臺北市,2000/07,中山,3.0,0.9,15.4,40.0,-,40,16.95,23.48,2.62,0.36,2.26,30.06,-,-,-
4,臺北市,2000/07,大同,7.3,2.88,-,50.0,-,129,94.68,34.27,3.63,1.35,2.28,30.75,-,-,-
5,臺北市,2000/07,萬華,3.2,0.74,21.7,29.0,-,26,6.81,19.23,-,-,-,29.65,-,-,-
6,臺北市,2000/07,陽明,1.7,0.25,35.0,15.0,-,5,0.35,4.59,-,-,-,22.88,-,-,-
7,臺北市,2000/07,士林,3.3,0.6,20.1,29.0,-,24,6.94,17.01,-,-,-,29.67,-,-,-
8,新北市,2000/07,板橋,5.8,0.71,18.6,41.0,-,34,12.15,21.41,2.44,0.36,2.08,30.1,-,-,-
9,新北市,2000/07,三重,5.3,2.3,-,68.0,18,104,76.71,27.11,-,-,-,30.4,-,-,-
10,新北市,2000/07,菜寮,3.8,0.9,16.1,54.0,-,41,16.69,24.78,-,-,-,29.45,-,-,-
11,新北市,2000/07,永和,4.0,1.43,-,45.0,-,52,27.03,25.26,2.59,0.6,1.99,29.75,-,-,-
12,新北市,2000/07,新莊,7.9,0.63,26.0,39.0,-,29,9.41,19.3,2.31,0.42,1.89,29.05,-,-,-
13,新北市,2000/07,新店,1.7,0.44,20.5,30.0,-,16,3.42,12.76,-,-,-,29.92,-,-,-
14,新北市,2000/07,淡水,1.8,0.57,20.7,38.0,-,21,5.93,15.21,-,-,-,29.59,-,-,-
15,新北市,2000/07,汐止,4.0,0.63,17.2,37.0,-,33,13.78,19.26,-,-,-,29.14,-,-,-
16,新北市,2000/07,土城,4.0,0.61,18.8,38.0,-,27,9.53,17.46,-,-,-,29.33,-,-,-
17,新北市,2000/07,林口,4.4,0.39,20.4,33.0,-,22,6.45,15.81,-,-,-,27.55,-,-,-
18,新北市,2000/07,萬里,2.0,0.3,25.6,24.0,-,9,1.84,7.49,2.03,0.04,1.99,28.51,-,-,-
19,臺中市,2000/07,西屯,1.6,0.52,20.5,60.0,-,29,10.9,18.05,2.25,0.12,2.13,27.08,-,-,-
20,臺中市,2000/07,忠明,2.8,0.82,20.5,53.0,35,34,7.32,26.31,-,-,-,29.79,-,-,-
21,臺中市,2000/07,豐原,7.8,0.61,24.0,48.0,-,21,3.08,17.96,-,-,-,28.06,-,-,-
22,臺中市,2000/07,沙鹿,4.7,0.34,19.4,34.0,-,18,3.09,14.54,-,-,-,29.36,-,-,-
23,臺中市,2000/07,大里,2.6,0.62,20.9,43.0,-,22,3.56,18.35,-,-,-,28.01,-,-,-
24,臺南市,2000/07,新營,2.6,0.44,24.2,28.0,-,13,1.94,11.4,2.3,0.1,2.2,28.73,-,-,-
25,臺南市,2000/07,善化,-,0.32,28.5,35.0,-,11,1.2,9.94,-,-,-,28.12,-,-,-
26,臺南市,2000/07,安南,6.3,0.51,26.9,48.0,-,18,4.1,14.16,-,-,-,28.13,-,-,-
27,臺南市,2000/07,臺南,3.8,0.65,20.5,-,-,20,5.62,14.45,2.25,0.23,2.02,28.42,-,-,-
28,高雄市,2000/07,左營,5.5,0.78,24.4,42.0,-,26,9.08,16.82,2.22,0.28,1.94,28.13,-,-,-
29,高雄市,2000/07,楠梓,2.7,0.45,20.6,54.0,-,24,7.37,16.13,2.25,0.23,2.02,28.0,-,-,-
30,高雄市,2000/07,前金,6.2,0.78,29.7,42.0,-,27,9.21,17.7,-,-,-,28.98,-,-,-
31,高雄市,2000/07,前鎮,10.2,-,-,53.0,-,32,11.09,21.01,2.2,0.49,1.71,27.66,-,-,-
32,高雄市,2000/07,復興,6.4,1.04,-,52.0,-,36,13.77,22.16,2.47,0.57,1.89,28.11,-,-,-
33,高雄市,2000/07,小港,14.0,0.84,17.7,59.0,-,33,12.8,20.05,2.18,0.26,1.92,28.65,-,-,-
34,高雄市,2000/07,鳳山,6.1,0.82,21.3,48.0,31,23,5.6,17.14,-,-,-,28.45,-,-,-
35,高雄市,2000/07,林園,3.6,0.4,25.4,44.0,38,9,1.31,7.96,2.0,0.15,1.84,28.23,-,-,-
36,高雄市,2000/07,大寮,5.3,0.61,20.9,54.0,-,14,1.82,11.79,2.24,0.14,2.1,27.79,-,-,-
37,高雄市,2000/07,仁武,5.2,0.47,25.5,43.0,-,24,7.39,16.47,2.43,0.17,2.26,28.34,-,-,-
38,高雄市,2000/07,橋頭,5.6,0.41,19.5,40.0,-,20,4.67,15.38,2.25,0.11,2.16,27.92,-,-,-
39,高雄市,2000/07,美濃,0.5,0.37,23.0,37.0,-,8,0.95,6.77,-,-,-,27.4,-,-,-
40,基隆市,2000/07,基隆,4.2,0.57,20.6,-,-,23,7.57,15.57,2.2,0.15,2.05,29.32,-,-,-
41,新竹市,2000/07,新竹,3.1,0.55,22.4,29.0,-,22,7.01,15.01,2.3,0.19,2.11,30.15,-,-,-
42,嘉義市,2000/07,嘉義,2.5,0.67,20.9,49.0,-,17,2.93,14.37,2.09,0.18,1.91,27.51,-,-,-
43,宜蘭縣,2000/07,宜蘭,1.1,0.4,17.3,30.0,-,12,3.14,8.97,-,-,-,28.27,-,-,-
44,宜蘭縣,2000/07,冬山,3.6,0.58,12.9,35.0,-,21,8.4,12.15,2.11,0.13,1.98,29.83,-,-,-
45,桃園市,2000/07,桃園,7.2,0.58,19.5,39.0,-,26,7.72,18.35,2.56,0.35,2.22,29.06,-,-,-
46,桃園市,2000/07,中壢,5.2,1.25,-,31.0,-,48,24.61,23.66,2.69,0.74,1.94,28.72,-,-,-
47,桃園市,2000/07,大園,4.1,0.41,20.4,42.0,-,20,7.49,12.43,-,-,-,29.32,-,-,-
48,桃園市,2000/07,龍潭,2.6,0.43,26.2,38.0,-,20,4.7,14.93,-,-,-,27.86,-,-,-
49,桃園市,2000/07,平鎮,4.7,0.53,20.8,32.0,-,27,6.98,19.7,2.3,0.19,2.11,29.89,-,-,-
50,桃園市,2000/07,觀音,5.4,0.34,21.7,35.0,-,16,5.26,11.15,2.33,0.17,2.16,28.69,-,-,-
51,新竹縣,2000/07,竹東,1.7,0.45,24.3,35.0,-,14,2.52,11.41,-,-,-,28.83,-,-,-
52,新竹縣,2000/07,湖口,3.6,0.45,22.5,43.0,-,18,5.16,13.14,-,-,-,29.03,-,-,-
53,苗栗縣,2000/07,苗栗,2.2,0.46,19.5,32.0,-,19,4.85,14.62,-,-,-,28.72,-,-,-
54,苗栗縣,2000/07,頭份,7.7,-,-,-,-,23,8.09,15.33,2.27,0.15,2.11,29.75,-,-,-
55,苗栗縣,2000/07,三義,1.9,0.41,23.2,35.0,-,13,2.57,10.2,-,-,-,25.88,-,-,-
56,彰化縣,2000/07,彰化,3.8,0.61,20.3,37.0,-,27,8.31,19.15,2.25,0.19,2.06,29.2,-,-,-
57,彰化縣,2000/07,線西,2.0,-,-,33.0,-,15,3.03,11.72,2.13,0.08,2.05,29.38,-,-,-
58,彰化縣,2000/07,二林,0.9,0.34,20.3,50.0,-,12,1.75,9.98,-,-,-,29.32,-,-,-
59,南投縣,2000/07,南投,1.0,0.49,24.1,50.0,-,18,3.68,14.5,1.87,0.08,1.79,28.37,-,-,-
60,南投縣,2000/07,竹山,4.2,0.42,19.1,48.0,-,13,1.87,11.44,-,-,-,27.83,-,-,-
61,雲林縣,2000/07,斗六,3.3,0.55,23.1,44.0,-,15,3.02,12.31,-,-,-,28.23,-,-,-
