序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2016/09,松山,2.4,0.39,416.74,23.4,28,12,20.62,6.1,14.51,1.901,0.128,1.773,2,1.47,27.7,-,-,76.67,-
2,臺北市,2016/09,古亭,2.1,0.41,-,23.6,27,13,20.17,5.34,14.83,1.974,0.118,1.856,2.32,2,27.76,-,-,76.36,-
3,臺北市,2016/09,中山,2.8,0.53,-,20.6,28,13,27.99,8.64,19.35,2.019,0.142,1.877,2.29,1.75,28.46,-,-,78.91,-
4,臺北市,2016/09,大同,3.5,1.25,-,-,43,14,61.07,36.15,24.92,2.399,0.391,2.008,-,-,-,-,-,-,-
5,臺北市,2016/09,萬華,2.6,0.46,-,19.8,28,14,24.43,5.94,18.5,-,-,-,2.18,1.82,28.88,-,-,76.22,-
6,臺北市,2016/09,陽明,1.6,0.14,405.86,34,13,9,2.77,0.79,1.9,-,-,-,-,-,21.39,4.37,4.68,92.87,39.66
7,臺北市,2016/09,士林,2.7,0.31,-,27.5,28,14,14.59,3.31,11.28,-,-,-,2.55,2.2,28.02,-,-,75.7,-
8,新北市,2016/09,板橋,3.3,0.49,-,21.1,33,13,22.79,5.67,17.12,2.09,0.214,1.876,2.2,1.75,28.35,3.41,5.19,74.65,32.98
9,新北市,2016/09,三重,3.1,1.32,-,-,44,15,80.3,50.9,29.4,2.457,0.434,2.024,-,-,28.72,-,-,71.15,-
10,新北市,2016/09,菜寮,2.9,0.47,-,24,30,14,20.39,4.83,15.56,-,-,-,2.77,2.33,28.79,-,-,74.68,-
11,新北市,2016/09,永和,2.1,0.68,-,22.6,26,12,25.92,10.35,15.57,2.122,0.224,1.898,2.16,1.91,28.15,-,-,74.65,-
12,新北市,2016/09,新莊,3.2,0.45,-,25.4,27,13,19.89,4.82,15.07,-,-,-,3.13,2.78,28.36,-,-,69.37,-
13,新北市,2016/09,新店,2,0.34,-,26.5,27,14,14.27,3.4,10.86,-,-,-,2.26,1.79,27.62,-,-,73.74,-
14,新北市,2016/09,淡水,2.2,0.29,-,22.9,34,16,11.84,2.79,9.05,-,-,-,-,-,-,-,-,-,-
15,新北市,2016/09,汐止,2.8,0.35,-,20.5,22,12,18.05,5.05,12.99,-,-,-,1.99,1.57,27.7,-,-,80.07,-
16,新北市,2016/09,土城,2.5,0.4,-,24.3,28,12,18.14,4.61,13.53,2.052,0.169,1.883,1.61,0.8,27.92,-,-,77.35,-
17,新北市,2016/09,林口,2.5,0.27,-,27.9,37,19,15.47,3.75,11.73,-,-,-,3.06,2.68,26.21,-,-,81.85,-
18,新北市,2016/09,萬里,2.5,0.17,-,33.6,39,11,5.96,1.66,4.29,-,-,-,3.24,2.79,26.99,4.15,4.88,79.26,117.41
19,臺中市,2016/09,西屯,2.2,0.29,-,26.7,35,16,16.64,3.89,12.75,1.882,0.164,1.718,2.78,1.74,28.63,2.22,5.53,75,10.76
20,臺中市,2016/09,忠明,2,0.38,-,26.4,27,15,19.08,4.62,14.46,1.94,0.148,1.792,2,1.28,28.78,-,-,74.14,-
21,臺中市,2016/09,豐原,2.4,0.33,-,29.5,24,15,9.61,2.01,7.58,1.803,0.102,1.702,2.24,1.69,26.91,-,-,75.56,-
22,臺中市,2016/09,沙鹿,2.5,0.28,-,26.4,39,17,14.72,2.48,12.24,-,-,-,3.66,2.15,28.32,-,-,78.32,-
23,臺中市,2016/09,大里,2.2,0.41,423.32,25.6,35,16,16.85,3.79,13.06,1.909,0.173,1.736,1.89,1.25,29.01,-,-,73.37,-
24,臺南市,2016/09,新營,2.5,0.27,-,29.7,39,16,10.19,1.78,8.42,1.971,0.066,1.905,2.16,1.37,27.78,6.98,5.4,78.42,21.2
25,臺南市,2016/09,善化,2.8,0.23,412.83,31.3,33,17,8.59,1.33,7.26,-,-,-,3.44,2.97,27.5,-,-,81.37,-
26,臺南市,2016/09,安南,2.8,0.3,-,29.6,40,17,12.68,2.62,10.06,1.911,0.179,1.732,3.18,2.69,28.27,-,-,79.35,-
27,臺南市,2016/09,臺南,2.8,0.32,-,32.7,34,19,12.21,1.94,10.27,1.97,0.16,1.81,2.45,1.86,27.64,-,-,76.17,-
28,高雄市,2016/09,左營,3.7,0.38,-,33,42,20,15.83,2.67,13.15,2.036,0.127,1.909,2.21,1.7,28.32,-,-,78.93,-
29,高雄市,2016/09,楠梓,3.3,0.34,-,32.8,48,17,18.06,3.7,14.36,1.951,0.144,1.807,1.82,1.37,28.45,-,-,77.16,-
30,高雄市,2016/09,前金,4.3,0.37,-,33.4,41,19,16.32,3.02,13.29,2.008,0.14,1.868,2.4,1.82,28.55,-,-,78.5,-
31,高雄市,2016/09,前鎮,4.8,0.4,-,28,39,16,19.62,3.94,15.68,2.042,0.136,1.906,1.85,1.34,28.31,-,-,78.2,-
32,高雄市,2016/09,復興,5.2,0.51,-,28.8,33,16,21.48,4.56,16.92,2.116,0.198,1.918,1.32,1.02,29.11,-,-,79.54,-
33,高雄市,2016/09,小港,7.9,0.4,-,26.1,42,16,22.65,5.42,17.23,2.056,0.174,1.882,2.12,1.68,28.49,6.99,4.88,82.07,56.05
34,高雄市,2016/09,鳳山,3.7,0.47,-,30.1,44,16,16.81,2.83,13.98,2.095,0.182,1.913,1.65,1.25,28.74,-,-,79.04,-
35,高雄市,2016/09,林園,3,0.21,-,33.9,29,18,9.02,1.84,7.19,2.038,0.048,1.993,2.48,2.15,28.01,-,-,82.3,-
36,高雄市,2016/09,大寮,4.3,0.3,-,31.9,40,16,13.41,2.34,11.06,2.224,0.163,2.061,1.69,1.42,27.97,-,-,82.49,-
37,高雄市,2016/09,仁武,4,0.34,-,32.1,48,19,15.43,2.7,12.73,2.008,0.123,1.885,2.31,1.97,28.3,-,-,78.87,-
38,高雄市,2016/09,橋頭,2.8,0.31,-,32.1,40,14,12.92,2.4,10.52,-,-,-,2.49,2.03,28.59,5.1,5.74,76.05,34.8
39,高雄市,2016/09,美濃,1.3,0.24,-,33.6,29,13,5.34,1.56,3.77,-,-,-,1.39,1.09,27.59,-,-,79.03,-
40,基隆市,2016/09,基隆,2.3,0.24,-,27.7,23,11,10.29,2.51,7.78,1.979,0.083,1.896,1.96,1.53,27.31,-,-,85.18,-
41,新竹市,2016/09,新竹,1.9,0.34,-,25.7,31,10,15.14,2.72,12.41,1.957,0.119,1.838,2.39,1.87,28.05,-,-,71.69,-
42,嘉義市,2016/09,嘉義,2.9,0.34,-,28.2,41,17,11.93,2.65,9.28,1.91,0.117,1.793,2.08,1.45,27.66,-,-,77.4,-
43,宜蘭縣,2016/09,宜蘭,2.3,0.24,417.11,26.3,32,9,6.22,1.36,4.84,-,-,-,1.65,1.15,27.6,-,-,84.64,-
44,宜蘭縣,2016/09,冬山,2.3,0.23,-,24.3,27,7,10.28,3.33,6.94,-,-,-,1.81,1.43,27.14,5.08,4.84,81.55,37.55
45,桃園市,2016/09,桃園,5,0.41,-,24.7,31,14,17.67,3.41,14.25,2.021,0.151,1.869,1.75,1.33,27.9,-,-,76.19,-
46,桃園市,2016/09,中壢,3.4,1,-,18.2,43,15,43.32,20.41,22.91,2.271,0.358,1.913,1.41,0.61,27.69,-,-,77.05,-
47,桃園市,2016/09,大園,3.5,0.23,-,25.5,36,15,17.01,3.87,13.14,-,-,-,4.31,3.81,28.19,-,-,77.58,-
48,桃園市,2016/09,龍潭,2.1,0.33,-,26.1,36,15,13.82,3.22,10.61,-,-,-,2.7,2.41,26.4,-,-,75.3,-
49,桃園市,2016/09,平鎮,2.6,0.34,-,26,34,11,16.74,3.13,13.61,-,-,-,2.84,2.38,27.7,-,-,78.51,-
50,桃園市,2016/09,觀音,3.9,0.22,-,27.3,40,17,13.46,2.19,11.24,-,-,-,3.54,3.12,27.81,2.69,4.93,80.59,31.02
51,新竹縣,2016/09,竹東,1.7,0.25,-,23.6,28,17,8.88,2,6.86,-,-,-,2.09,1.56,27.41,-,-,80.88,-
52,新竹縣,2016/09,湖口,3,0.25,-,28.8,31,14,12.04,2.47,9.58,-,-,-,3.68,3.42,28.63,-,-,79.04,-
53,苗栗縣,2016/09,苗栗,2.2,0.31,-,24,38,11,14.31,3.02,11.28,-,-,-,2.43,1.67,27.74,-,-,76.9,-
54,苗栗縣,2016/09,頭份,2.1,0.27,-,27.3,31,12,12.52,2.36,10.15,1.804,0.085,1.719,2.49,1.89,28.51,-,-,77.49,-
55,苗栗縣,2016/09,三義,1.8,0.21,-,29.1,28,7,7.89,1.57,6.31,-,-,-,3.32,2.68,25.99,5.13,4.97,76.44,10.09
56,彰化縣,2016/09,彰化,2.8,0.36,-,25.2,36,17,13.78,2.57,11.23,1.929,0.152,1.777,2.39,1.39,28.48,-,-,74.21,-
57,彰化縣,2016/09,線西,3.9,0.28,-,27.6,40,18,12.77,2.61,10.14,2.013,0.075,1.941,3.07,2.44,27.84,-,-,81.41,-
58,彰化縣,2016/09,二林,3.5,0.25,-,26.4,34,11,11.31,2.21,9.1,-,-,-,2.79,2.06,28.05,-,-,79.13,-
