序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2003/08,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,2003/08,古亭,1.8,0.71,-,20.6,31,-,30.15,10.72,19.44,2.932,0.65,2.28,30.63,-,-,-
3,臺北市,2003/08,中山,3.2,0.8,-,15.0,39,-,40.26,13.96,26.3,2.579,0.5,2.08,30.64,-,-,-
4,臺北市,2003/08,大同,4.1,1.07,-,-,61,-,70.92,39.22,31.69,2.889,0.62,2.27,30.95,-,-,-
5,臺北市,2003/08,萬華,2.2,0.8,-,20.9,35,-,30.31,11.29,19.02,-,-,-,30.24,-,-,-
6,臺北市,2003/08,陽明,1.3,0.24,373.91,30.5,14,-,-,0.97,-,-,-,-,25.81,-,-,-
7,臺北市,2003/08,士林,1.8,0.56,-,19.7,30,-,24.1,8.95,15.15,-,-,-,29.32,-,-,-
8,新北市,2003/08,板橋,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,新北市,2003/08,三重,5.7,2.13,-,-,-,-,114.94,81.95,32.99,3.327,1.29,2.04,32.07,-,-,-
10,新北市,2003/08,菜寮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,新北市,2003/08,永和,4.3,1.35,-,16.7,-,-,46.43,22.94,23.49,2.791,0.67,2.13,30.59,-,-,-
12,新北市,2003/08,新莊,6.0,0.66,-,20.0,42,-,27.53,8.63,18.93,2.74,0.71,2.03,30.04,-,-,-
13,新北市,2003/08,新店,1.2,0.42,-,20.3,30,-,14.01,2.32,11.71,-,-,-,30.34,-,-,-
14,新北市,2003/08,淡水,2.2,0.59,-,19.9,29,-,23.7,8.38,15.57,-,-,-,30.03,-,-,-
15,新北市,2003/08,汐止,2.9,0.48,-,18.7,31,-,-,-,-,-,-,-,30.93,-,-,-
16,新北市,2003/08,土城,3.3,0.66,-,16.3,31,-,31.96,12.57,19.39,-,-,-,29.97,-,-,-
17,新北市,2003/08,林口,3.5,0.44,-,21.1,32,-,30.23,12.96,16.12,-,-,-,28.96,-,-,-
18,新北市,2003/08,萬里,1.6,0.41,-,27.6,18,-,10.41,2.08,8.33,2.389,0.22,2.17,29.29,-,-,-
19,臺中市,2003/08,西屯,2.1,0.52,-,23.0,40,-,27.19,13.36,13.83,2.327,0.33,2.0,29.3,-,-,-
20,臺中市,2003/08,忠明,2.4,0.71,-,25.5,39,22,25.44,4.82,20.62,-,-,-,28.32,-,-,-
21,臺中市,2003/08,豐原,2.5,0.71,-,24.8,-,-,20.14,2.54,17.61,-,-,-,28.59,-,-,-
22,臺中市,2003/08,沙鹿,3.4,0.45,-,20.9,28,-,17.13,3.41,13.72,-,-,-,29.5,-,-,-
23,臺中市,2003/08,大里,0.7,0.66,380.29,20.8,49,-,16.62,2.62,14.0,-,-,-,29.38,-,-,-
24,臺南市,2003/08,新營,1.6,0.4,-,20.2,21,-,14.44,4.01,10.44,2.135,0.29,1.85,28.84,-,-,-
25,臺南市,2003/08,善化,2.4,0.34,-,22.1,23,-,11.87,2.77,9.16,-,-,-,28.61,-,-,-
26,臺南市,2003/08,安南,2.2,0.43,-,19.8,37,-,16.21,3.81,12.4,-,-,-,28.97,-,-,-
27,臺南市,2003/08,臺南,2.4,0.56,-,24.2,31,-,13.48,1.86,11.62,2.582,0.32,2.26,28.16,-,-,-
28,高雄市,2003/08,左營,4.6,0.62,-,21.0,30,-,22.68,6.93,15.75,2.246,0.18,2.07,29.55,-,-,-
29,高雄市,2003/08,楠梓,4.2,0.47,-,15.3,-,-,22.91,7.01,15.87,2.218,0.32,1.9,29.13,-,-,-
30,高雄市,2003/08,前金,5.1,0.64,-,20.8,48,-,18.9,5.05,13.85,-,-,-,29.19,-,-,-
31,高雄市,2003/08,前鎮,8.0,-,-,-,46,-,31.45,11.59,19.86,2.128,0.33,1.8,27.52,-,-,-
32,高雄市,2003/08,復興,8.3,0.87,-,-,41,-,29.34,9.52,19.85,3.28,0.3,2.98,29.88,-,-,-
33,高雄市,2003/08,小港,8.4,0.6,-,15.3,41,-,27.5,8.89,18.57,2.586,0.26,2.32,28.87,-,-,-
34,高雄市,2003/08,鳳山,6.1,0.65,-,22.2,30,22,22.97,9.15,13.82,-,-,-,30.19,-,-,-
35,高雄市,2003/08,林園,2.4,0.39,-,23.0,48,19,9.4,2.06,7.34,2.393,0.19,2.2,28.81,-,-,-
36,高雄市,2003/08,大寮,3.5,0.41,-,27.5,34,-,14.63,2.67,12.07,-,-,-,29.26,-,-,-
37,高雄市,2003/08,仁武,4.6,0.46,-,14.8,32,-,-,-,-,2.507,0.29,2.22,29.1,-,-,-
38,高雄市,2003/08,橋頭,3.6,0.33,-,14.8,22,-,19.02,5.77,13.26,2.077,0.14,1.94,29.1,-,-,-
39,高雄市,2003/08,美濃,0.6,0.36,-,32.1,29,-,7.02,0.94,6.09,-,-,-,28.87,-,-,-
40,基隆市,2003/08,基隆,2.4,0.6,-,22.1,27,-,20.12,5.61,14.51,2.481,0.36,2.12,29.77,-,-,-
41,新竹市,2003/08,新竹,2.8,0.47,-,20.4,25,-,15.87,3.88,11.98,-,-,-,30.29,-,-,-
42,嘉義市,2003/08,嘉義,1.0,0.49,-,22.8,36,-,12.02,1.55,10.48,2.549,0.25,2.29,29.06,-,-,-
43,宜蘭縣,2003/08,宜蘭,0.5,0.43,376.36,21.1,26,-,10.16,2.18,7.99,-,-,-,27.03,-,-,-
44,宜蘭縣,2003/08,冬山,2.3,0.46,-,13.2,35,-,15.88,5.89,9.98,2.372,0.31,2.06,29.55,-,-,-
45,桃園市,2003/08,桃園,7.6,0.57,-,17.6,39,-,28.49,8.59,19.89,2.647,0.5,2.15,29.73,-,-,-
46,桃園市,2003/08,中壢,4.8,1.34,-,-,40,-,50.71,25.05,24.34,2.536,0.66,1.88,29.67,-,-,-
47,桃園市,2003/08,大園,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,桃園市,2003/08,龍潭,1.6,0.49,-,27.8,41,-,19.5,4.35,15.16,-,-,-,28.67,-,-,-
49,桃園市,2003/08,平鎮,3.4,0.54,-,18.4,36,-,21.57,5.32,16.22,2.239,0.2,2.03,30.13,-,-,-
50,桃園市,2003/08,觀音,1.9,0.34,-,21.3,25,-,14.89,3.53,11.43,2.412,0.09,2.32,-,-,-,-
51,新竹縣,2003/08,竹東,1.1,0.41,-,23.2,33,-,12.3,2.31,10.05,-,-,-,30.53,-,-,-
52,新竹縣,2003/08,湖口,3.2,0.45,-,25.3,-,-,17.71,4.96,12.69,-,-,-,29.44,-,-,-
53,苗栗縣,2003/08,苗栗,2.2,0.42,-,26.7,35,-,16.17,2.96,13.21,-,-,-,30.05,-,-,-
54,苗栗縣,2003/08,頭份,5.6,-,-,-,39,-,19.07,5.99,13.11,2.574,0.29,2.29,29.61,-,-,-
55,苗栗縣,2003/08,三義,0.7,0.27,-,26.1,25,-,13.76,2.35,11.41,2.32,0.23,2.09,26.29,-,-,-
56,彰化縣,2003/08,彰化,3.0,0.55,-,24.4,41,-,18.48,3.73,14.74,2.798,0.32,2.48,29.85,-,-,-
57,彰化縣,2003/08,線西,1.8,-,-,-,32,-,14.02,3.06,10.96,2.966,0.33,2.64,29.26,-,-,-
58,彰化縣,2003/08,二林,2.4,0.27,-,22.0,35,-,11.11,2.67,8.62,-,-,-,29.15,-,-,-
59,南投縣,2003/08,南投,1.3,0.47,-,23.8,28,-,16.03,2.8,13.23,2.35,0.26,2.09,28.83,-,-,-
60,南投縣,2003/08,埔里,2.4,0.51,-,28.6,40,-,6.94,1.18,5.76,2.215,0.18,2.04,26.9,-,-,-
61,南投縣,2003/08,竹山,0.8,0.42,-,20.7,32,-,9.85,1.38,8.47,-,-,-,27.73,-,-,-
62,雲林縣,2003/08,斗六,1.9,0.49,-,21.0,34,-,14.06,2.66,11.38,-,-,-,29.03,-,-,-
63,雲林縣,2003/08,崙背,0.7,0.3,-,24.2,29,-,11.23,2.46,8.79,2.555,0.36,2.2,29.05,-,-,-
64,雲林縣,2003/08,臺西,1.9,0.26,-,23.2,29,-,9.39,2.4,6.99,-,-,-,28.65,-,-,-
65,嘉義縣,2003/08,朴子,1.6,0.34,-,23.1,36,-,12.69,2.66,10.04,-,-,-,29.4,-,-,-
66,嘉義縣,2003/08,新港,1.5,0.44,-,20.3,50,-,13.86,3.21,10.76,-,-,-,29.29,-,-,-
67,屏東縣,2003/08,屏東,1.3,0.58,-,18.9,32,-,16.77,2.97,13.77,-,-,-,28.58,-,-,-
68,屏東縣,2003/08,潮州,0.7,0.36,-,16.3,37,-,9.92,-,8.87,-,-,-,27.64,-,-,-
69,屏東縣,2003/08,恆春,0.2,0.16,369.16,17.8,23,-,0.93,0.04,0.88,-,-,-,25.2,-,-,-
70,臺東縣,2003/08,臺東,0.3,0.43,-,16.7,24,-,15.32,8.38,6.94,2.63,0.16,2.47,27.61,-,-,-
71,花蓮縣,2003/08,花蓮,0.4,0.45,-,11.3,21,-,12.2,4.57,7.63,2.341,0.31,2.04,30.23,-,-,-
72,金門縣,2003/08,金門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,連江縣,2003/08,馬祖,0.9,0.23,-,31.8,30,-,4.67,1.39,3.3,-,-,-,27.81,-,-,-
,,,,,,,,,,,,,,,,,,,
