序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1998/03,松山,5.2,1.14,17.4,51.0,-,59,23.52,35.32,-,-,-,18.57,-,-
2,臺北市,1998/03,古亭,4.8,1.23,17.6,55.0,45,64,26.78,36.61,2.7,0.59,2.11,18.75,-,-
3,臺北市,1998/03,中山,5.5,1.35,16.6,58.0,-,69,28.48,40.08,2.92,0.51,2.41,19.19,-,-
4,臺北市,1998/03,大同,8.5,3.5,-,-,-,188,138.22,49.41,4.26,1.65,2.59,19.61,-,-
5,臺北市,1998/03,萬華,4.9,1.24,18.6,62.0,-,50,15.97,34.32,-,-,-,18.34,-,-
6,臺北市,1998/03,陽明,1.3,0.29,47.9,19.0,-,3,0.27,3.12,-,-,-,14.54,-,-
7,臺北市,1998/03,士林,3.0,0.96,17.1,54.0,-,42,14.72,27.45,-,-,-,18.9,-,-
8,新北市,1998/03,板橋,9.1,1.39,19.1,74.0,-,64,23.8,39.92,3.25,1.03,2.22,19.41,-,-
9,新北市,1998/03,三重,10.2,2.64,-,79.0,63,158,109.67,48.44,-,-,-,18.87,-,-
10,新北市,1998/03,菜寮,6.4,1.44,19.3,69.0,-,62,24.61,37.35,-,-,-,19.23,-,-
11,新北市,1998/03,永和,7.3,2.04,-,88.0,-,110,66.82,42.8,3.31,1.03,2.28,21.88,-,-
12,新北市,1998/03,新莊,7.9,1.09,24.2,61.0,-,55,18.7,35.33,2.95,0.62,2.35,18.92,-,-
13,新北市,1998/03,新店,3.5,0.95,25.5,49.0,-,41,10.86,30.45,-,-,-,18.83,-,-
14,新北市,1998/03,淡水,2.7,0.92,28.4,54.0,-,29,7.65,21.55,-,-,-,17.96,-,-
15,新北市,1998/03,汐止,7.1,1.02,13.0,56.0,-,63,25.81,37.1,-,-,-,18.04,-,-
16,新北市,1998/03,土城,6.8,1.12,20.5,62.0,-,57,24.22,32.56,-,-,-,19.14,-,-
17,新北市,1998/03,林口,3.1,0.63,27.6,33.0,-,28,5.95,22.33,-,-,-,16.34,-,-
18,新北市,1998/03,萬里,1.2,0.35,42.2,37.0,-,9,1.14,7.42,2.31,0.09,2.22,17.52,-,-
19,臺中市,1998/03,西屯,4.3,0.8,14.9,70.0,-,42,13.04,28.92,2.5,0.4,2.1,20.73,-,-
20,臺中市,1998/03,忠明,4.2,1.12,15.8,95.0,45,59,21.81,37.18,-,-,-,20.61,-,-
21,臺中市,1998/03,豐原,4.6,0.96,18.0,76.0,-,45,13.94,31.18,-,-,-,19.45,-,-
22,臺中市,1998/03,沙鹿,5.7,0.72,22.3,76.0,-,35,8.59,26.54,-,-,-,19.62,-,-
23,臺中市,1998/03,大里,4.6,1.14,19.1,95.0,-,55,21.26,34.15,-,-,-,21.64,-,-
24,臺南市,1998/03,新營,6.0,0.66,32.7,76.0,-,35,9.43,25.6,2.94,0.26,2.67,21.54,-,-
25,臺南市,1998/03,善化,5.8,0.61,24.4,93.0,-,26,4.6,21.2,-,-,-,21.23,-,-
26,臺南市,1998/03,安南,7.5,0.7,30.7,81.0,-,32,6.2,26.27,-,-,-,21.38,-,-
27,臺南市,1998/03,臺南,7.7,1.05,21.6,103.0,-,41,11.21,30.18,2.76,0.47,2.29,21.28,-,-
28,高雄市,1998/03,左營,9.4,0.94,27.5,100.0,-,51,13.62,37.02,2.92,0.42,2.48,22.49,-,-
29,高雄市,1998/03,楠梓,5.9,0.67,23.3,83.0,-,45,12.12,32.93,2.72,0.34,2.38,22.64,-,-
30,高雄市,1998/03,前金,12.7,1.04,23.3,101.0,-,48,13.65,34.58,-,-,-,23.14,-,-
