序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/09,松山,3.8,0.85,22.7,48.0,-,41,13.48,27.69,-,-,-,27.11,-,-,-
2,臺北市,2000/09,古亭,3.2,0.8,25.8,41.0,-,39,13.02,25.82,2.36,0.36,2.0,27.96,-,-,-
3,臺北市,2000/09,中山,4.2,0.86,23.6,51.0,-,40,11.99,28.5,2.5,0.32,2.18,27.37,-,-,-
4,臺北市,2000/09,大同,8.7,3.01,-,58.0,-,144,98.59,44.98,3.61,1.4,2.21,28.02,-,-,-
5,臺北市,2000/09,萬華,3.3,0.83,30.0,40.0,-,27,5.05,21.83,-,-,-,27.69,-,-,-
6,臺北市,2000/09,陽明,1.6,0.29,53.1,19.0,-,5,0.38,4.18,-,-,-,21.51,-,-,-
7,臺北市,2000/09,士林,3.2,0.62,30.7,35.0,-,21,4.38,17.0,-,-,-,27.19,-,-,-
8,新北市,2000/09,板橋,5.5,0.82,26.1,47.0,-,35,8.78,26.39,2.62,0.41,2.21,27.49,-,-,-
9,新北市,2000/09,三重,6.0,2.59,-,70.0,26,137,94.71,42.73,3.27,1.01,2.25,27.75,-,-,-
10,新北市,2000/09,菜寮,4.9,0.81,25.3,48.0,-,36,9.69,26.11,-,-,-,27.58,-,-,-
11,新北市,2000/09,永和,4.5,1.47,20.7,60.0,-,61,30.09,31.4,2.86,0.6,2.26,27.45,-,-,-
12,新北市,2000/09,新莊,7.0,0.68,35.2,50.0,-,30,7.13,23.43,2.25,0.38,1.87,27.65,-,-,-
13,新北市,2000/09,新店,2.2,0.49,30.8,35.0,-,17,2.56,14.46,-,-,-,27.44,-,-,-
14,新北市,2000/09,淡水,2.5,0.64,33.1,46.0,-,20,3.78,16.09,-,-,-,27.03,-,-,-
15,新北市,2000/09,汐止,3.3,0.69,21.6,45.0,-,38,12.15,25.86,-,-,-,26.25,-,-,-
16,新北市,2000/09,土城,3.9,0.75,27.6,44.0,-,32,9.23,23.2,-,-,-,26.95,-,-,-
17,新北市,2000/09,林口,4.4,0.43,34.4,41.0,-,21,3.57,17.66,-,-,-,25.09,-,-,-
18,新北市,2000/09,萬里,1.7,0.28,39.2,39.0,-,8,1.22,6.8,1.94,-,1.91,26.14,-,-,-
19,臺中市,2000/09,西屯,1.7,0.61,22.2,74.0,-,29,5.91,22.61,2.7,0.26,2.44,25.86,-,-,-
20,臺中市,2000/09,忠明,3.8,0.89,32.7,70.0,52,41,6.54,34.78,-,-,-,28.03,-,-,-
21,臺中市,2000/09,豐原,3.8,0.73,35.5,64.0,-,26,2.75,23.16,-,-,-,26.64,-,-,-
22,臺中市,2000/09,沙鹿,6.1,0.56,26.2,53.0,-,26,4.16,21.52,-,-,-,27.58,-,-,-
23,臺中市,2000/09,大里,-,0.68,32.2,-,-,27,3.05,23.88,-,-,-,26.55,-,-,-
24,臺南市,2000/09,新營,3.3,0.5,38.1,45.0,-,16,1.62,14.85,2.41,0.17,2.24,28.0,-,-,-
25,臺南市,2000/09,善化,4.2,0.43,40.4,45.0,-,14,1.66,12.7,-,-,-,27.61,-,-,-
26,臺南市,2000/09,安南,5.1,0.52,40.2,62.0,-,17,2.5,14.45,-,-,-,28.01,-,-,-
27,臺南市,2000/09,臺南,5.1,0.73,37.0,61.0,-,23,5.53,17.5,2.29,0.24,2.04,28.12,-,-,-
28,高雄市,2000/09,左營,0.3,0.76,42.3,56.0,-,18,3.74,14.58,2.23,0.24,1.99,27.79,-,-,-
29,高雄市,2000/09,楠梓,4.0,0.5,35.1,65.0,-,24,5.46,18.53,2.56,0.22,2.34,27.68,-,-,-
30,高雄市,2000/09,前金,5.4,0.67,40.2,54.0,-,20,3.31,16.93,-,-,-,28.15,-,-,-
31,高雄市,2000/09,前鎮,8.2,-,-,59.0,-,26,4.04,21.72,2.08,0.23,1.84,27.61,-,-,-
32,高雄市,2000/09,復興,7.8,1.0,-,73.0,-,39,8.52,30.8,2.45,0.47,1.98,28.0,-,-,-
33,高雄市,2000/09,小港,9.6,0.73,35.4,73.0,-,31,6.57,24.13,2.23,0.25,1.98,27.9,-,-,-
34,高雄市,2000/09,鳳山,5.6,0.95,29.7,69.0,34,23,4.99,18.36,-,-,-,28.17,-,-,-
35,高雄市,2000/09,林園,6.9,0.52,37.0,59.0,35,14,1.78,11.75,2.26,0.23,2.03,27.81,-,-,-
36,高雄市,2000/09,大寮,7.9,0.73,36.1,71.0,-,18,1.49,16.13,2.48,0.18,2.3,27.52,-,-,-
37,高雄市,2000/09,仁武,8.8,0.53,39.3,72.0,-,27,4.68,22.1,2.57,0.22,2.35,28.05,-,-,-
38,高雄市,2000/09,橋頭,6.0,0.46,35.1,50.0,-,22,4.46,17.88,2.24,0.09,2.15,27.8,-,-,-
39,高雄市,2000/09,美濃,1.2,0.39,38.1,54.0,-,9,0.55,8.59,-,-,-,27.26,-,-,-
40,基隆市,2000/09,基隆,5.7,0.61,28.5,47.0,-,26,6.56,19.88,2.31,0.19,2.12,26.64,-,-,-
