序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
51,新竹縣,2017/06,竹東,1.3,0.23,-,18.9,26,16,9.8,2.6,7.21,-,-,-,1.88,1.51,27.76,-,-,81.05,-
52,新竹縣,2017/06,湖口,2.7,0.2,-,22.2,23,14,12.23,3.18,9.05,-,-,-,3.67,3.46,27.8,-,-,82.45,-
53,苗栗縣,2017/06,苗栗,2.2,0.24,-,21.1,29,9,10.07,2.13,7.94,-,-,-,2.66,2.3,28.32,-,-,77,-
54,苗栗縣,2017/06,頭份,2.6,0.21,-,22.1,25,12,12.08,2.6,9.48,1.932,0.081,1.852,2.85,2.47,28.71,-,-,79.7,-
55,苗栗縣,2017/06,三義,2.3,0.15,-,24.2,19,9,7.12,1.36,5.75,-,-,-,3.41,3.17,26.26,5.07,5.26,80.91,9.73
56,彰化縣,2017/06,彰化,2.9,0.22,-,19.6,29,13,8.94,1.61,7.34,1.885,0.134,1.751,2.08,1.73,28.97,-,-,76.6,-
57,彰化縣,2017/06,線西,2,0.19,-,20.5,30,14,8.71,1.86,6.84,2.053,0.144,1.91,3.06,2.85,28.54,-,-,83.48,-
58,彰化縣,2017/06,二林,2.7,0.12,-,18.7,31,10,7.62,1.71,5.9,-,-,-,2.6,2.39,28.89,-,-,81.78,-
59,南投縣,2017/06,南投,1.8,0.25,-,18.1,28,8,10.31,2.36,7.95,1.787,0.069,1.717,1.89,1.57,27.57,5.74,5.81,75.54,16.75
60,南投縣,2017/06,埔里,1.8,0.23,-,19.7,20,11,8.94,1.95,6.99,-,-,-,1.45,1.05,25.92,-,-,78.08,-
61,南投縣,2017/06,竹山,1.8,0.18,-,20,25,12,7.55,1.6,5.95,-,-,-,1.61,1.09,27.19,-,-,82.46,-
62,雲林縣,2017/06,斗六,2.2,0.23,-,21.2,28,11,10.21,1.98,8.22,-,-,-,1.68,1.36,30,-,-,76.63,-
63,雲林縣,2017/06,崙背,2,0.14,-,20.3,31,12,7.36,1.53,5.83,-,-,-,2.84,2.62,28.8,7.28,5.47,86.63,21.04
64,雲林縣,2017/06,麥寮,2.1,0.17,-,19.1,35,15,8.57,2.54,6.03,2.018,0.068,1.95,2.87,2.65,29.14,-,-,83.5,-
65,雲林縣,2017/06,臺西,2.2,0.1,-,20.3,25,14,6.62,1.74,4.89,-,-,-,3.49,3.35,29.17,-,-,79.97,-
66,嘉義縣,2017/06,朴子,2.3,0.2,-,20.2,37,10,9.13,2.51,6.62,-,-,-,2.33,2.13,29.67,-,-,81.04,-
67,嘉義縣,2017/06,新港,1.9,0.19,-,18.4,33,11,9.09,2.66,6.43,-,-,-,2.39,2.11,29.46,-,-,74.42,-
