序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1994/09,松山,7.7,1.08,17.0,57.0,47,17,29.9,-,-,-,26.25,-,-
2,臺北市,1994/09,古亭,5.6,1.33,16.9,50.0,55,22,32.21,2.45,0.38,2.17,25.81,-,-
3,臺北市,1994/09,中山,8.2,1.4,16.3,56.0,60,24,34.85,2.61,0.4,2.21,26.43,-,-
4,臺北市,1994/09,大同,13.5,4.81,-,102.0,208,155,54.84,4.84,2.33,2.51,27.14,-,-
5,臺北市,1994/09,萬華,7.2,1.16,20.0,49.0,35,9,26.49,-,-,-,26.23,-,-
6,臺北市,1994/09,陽明,3.7,0.27,44.9,19.0,3,0,3.16,-,-,-,19.81,-,-
7,臺北市,1994/09,士林,5.1,0.91,22.7,42.0,34,10,22.05,-,-,-,26.15,-,-
8,新北市,1994/09,板橋,13.0,1.2,17.8,65.0,43,12,29.69,3.07,0.68,2.41,27.39,-,-
9,新北市,1994/09,菜寮,8.6,1.28,17.5,63.0,46,16,29.56,-,-,-,26.61,-,-
10,新北市,1994/09,新莊,10.8,0.96,18.9,63.0,38,12,25.9,3.08,0.73,2.42,25.81,-,-
11,新北市,1994/09,新店,4.5,0.7,23.6,41.0,24,4,18.86,-,-,-,25.87,-,-
12,新北市,1994/09,淡水,4.3,0.79,26.8,49.0,21,5,16.14,-,-,-,26.2,-,-
13,新北市,1994/09,汐止,7.5,0.76,14.2,50.0,51,23,27.73,-,-,-,25.1,-,-
14,新北市,1994/09,土城,7.4,0.76,23.3,56.0,31,8,22.84,-,-,-,26.33,-,-
15,新北市,1994/09,林口,6.0,0.69,30.5,50.0,-,-,-,-,-,-,24.05,-,-
16,新北市,1994/09,萬里,1.8,0.33,40.3,51.0,-,-,-,1.8,0.09,1.72,24.65,-,-
17,臺中市,1994/09,西屯,5.6,0.63,30.1,49.0,-,-,-,2.63,0.25,2.38,26.14,-,-
18,臺中市,1994/09,忠明,6.9,1.09,25.2,87.0,45,8,37.0,-,-,-,26.5,-,-
19,臺中市,1994/09,豐原,8.9,0.87,30.2,66.0,33,4,29.57,-,-,-,25.53,-,-
20,臺中市,1994/09,沙鹿,9.6,0.82,24.6,60.0,23,5,17.99,-,-,-,26.36,-,-
21,臺中市,1994/09,大里,8.5,0.7,25.5,74.0,34,4,29.89,-,-,-,26.99,-,-
22,臺南市,1994/09,新營,5.7,0.61,30.4,68.0,21,3,18.09,-,-,-,26.43,-,-
23,臺南市,1994/09,善化,6.1,0.49,38.1,64.0,16,2,14.26,-,-,-,26.66,-,-
24,臺南市,1994/09,安南,7.1,0.68,30.5,82.0,26,6,19.55,-,-,-,27.23,-,-
25,臺南市,1994/09,臺南,9.7,0.9,26.7,103.0,29,5,23.21,2.57,0.41,2.15,27.67,-,-
26,高雄市,1994/09,左營,10.9,0.85,36.4,70.0,30,6,22.91,2.59,0.28,2.31,29.01,-,-
27,高雄市,1994/09,楠梓,9.0,0.65,26.2,80.0,33,8,24.58,-,-,-,28.99,-,-
28,高雄市,1994/09,前金,11.4,0.9,30.2,66.0,30,4,25.4,-,-,-,27.85,-,-
29,高雄市,1994/09,前鎮,14.7,-,-,76.0,34,7,26.26,-,-,-,27.76,-,-
30,高雄市,1994/09,小港,16.5,0.95,27.8,78.0,35,8,27.04,1.8,0.36,1.44,28.6,-,-
31,高雄市,1994/09,鳳山,15.4,0.95,30.4,77.0,33,5,28.31,-,-,-,27.38,-,-
32,高雄市,1994/09,林園,5.4,0.5,30.7,71.0,-,-,-,2.1,0.16,1.94,27.7,-,-
33,高雄市,1994/09,大寮,9.8,0.6,26.4,110.0,20,1,17.99,-,-,-,29.9,-,-
34,高雄市,1994/09,仁武,12.8,0.71,24.5,83.0,31,7,23.71,-,-,-,29.41,-,-
35,高雄市,1994/09,橋頭,5.9,0.64,27.6,81.0,25,5,20.11,2.06,0.14,1.91,27.68,-,-
36,高雄市,1994/09,美濃,3.2,0.55,35.0,68.0,13,1,11.88,-,-,-,26.66,-,-
37,基隆市,1994/09,基隆,9.0,0.88,24.0,52.0,31,8,22.79,2.55,0.35,2.21,25.55,-,-
38,新竹市,1994/09,新竹,8.0,0.71,25.1,50.0,26,5,21.27,2.88,0.3,2.58,26.38,-,-
39,嘉義市,1994/09,嘉義,7.0,0.97,27.5,59.0,36,6,29.81,3.31,1.18,2.27,26.82,-,-
40,宜蘭縣,1994/09,宜蘭,3.6,0.63,26.7,36.0,16,2,12.22,-,-,-,25.39,-,-
41,宜蘭縣,1994/09,冬山,-,-,-,-,-,-,-,-,-,-,-,-,-
