序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/02,松山,3.0,1.03,14.5,43.0,52,20,32.26,-,-,-,16.0,-,-
2,臺北市,1997/02,古亭,3.3,1.15,17.1,52.0,58,26,31.62,2.54,0.39,2.15,16.08,-,-
3,臺北市,1997/02,中山,4.5,1.27,14.6,45.0,63,25,37.59,2.85,0.47,2.38,16.2,-,-
4,臺北市,1997/02,大同,12.6,3.64,-,56.0,181,132,48.32,4.23,1.8,2.44,16.51,-,-
5,臺北市,1997/02,萬華,3.6,1.07,17.9,47.0,44,13,31.39,-,-,-,16.11,-,-
6,臺北市,1997/02,陽明,0.5,0.22,31.6,16.0,2,0,1.73,-,-,-,10.03,-,-
7,臺北市,1997/02,士林,2.2,0.7,20.1,41.0,32,9,22.68,-,-,-,16.17,-,-
8,新北市,1997/02,板橋,5.5,1.01,16.1,59.0,49,16,33.57,2.1,0.44,1.66,16.52,-,-
9,新北市,1997/02,三重,5.9,2.63,-,89.0,134,91,42.36,-,-,-,16.58,-,-
10,新北市,1997/02,菜寮,4.6,1.23,14.1,67.0,52,19,33.02,-,-,-,16.2,-,-
11,新北市,1997/02,永和,5.2,2.04,-,57.0,96,64,32.09,3.3,0.78,2.52,17.66,-,-
12,新北市,1997/02,新莊,5.1,0.82,22.7,-,41,14,27.15,2.79,0.54,2.25,16.05,-,-
13,新北市,1997/02,新店,1.9,0.63,28.0,33.0,24,4,19.57,-,-,-,16.08,-,-
14,新北市,1997/02,淡水,2.0,0.57,25.7,41.0,18,4,14.02,-,-,-,15.55,-,-
15,新北市,1997/02,汐止,3.1,0.86,18.1,54.0,53,21,31.75,-,-,-,15.32,-,-
16,新北市,1997/02,土城,3.8,0.78,20.7,45.0,36,11,25.55,-,-,-,16.09,-,-
17,新北市,1997/02,林口,3.4,0.51,31.7,38.0,27,6,20.7,-,-,-,13.85,-,-
