序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1998/04,松山,6.0,1.25,19.7,66.0,-,63,26.3,36.9,-,-,-,23.95,-,-
2,臺北市,1998/04,古亭,4.6,1.28,18.8,-,47,64,26.96,37.51,2.73,0.59,2.14,24.15,-,-
3,臺北市,1998/04,中山,7.2,1.48,16.9,70.0,-,71,27.76,43.06,2.95,0.59,2.36,24.67,-,-
4,臺北市,1998/04,大同,10.3,3.72,-,-,-,-,-,-,4.51,1.79,2.72,25.23,-,-
5,臺北市,1998/04,萬華,5.4,1.22,22.2,76.0,-,48,12.96,35.86,-,-,-,23.71,-,-
6,臺北市,1998/04,陽明,2.4,0.27,47.2,32.0,-,6,0.37,5.42,-,-,-,19.25,-,-
7,臺北市,1998/04,士林,4.3,1.03,18.3,68.0,-,43,13.46,29.64,-,-,-,24.22,-,-
8,新北市,1998/04,板橋,11.6,1.3,22.0,91.0,-,62,21.91,40.42,3.42,1.32,2.14,24.85,-,-
9,新北市,1998/04,三重,10.5,2.75,-,100.0,71,154,102.01,51.02,-,-,-,24.45,-,-
10,新北市,1998/04,菜寮,7.3,1.53,19.8,84.0,-,61,22.58,38.56,-,-,-,24.55,-,-
11,新北市,1998/04,永和,-,1.99,-,88.0,-,88,48.4,40.07,3.31,1.03,2.42,27.07,-,-
12,新北市,1998/04,新莊,13.1,1.28,27.0,82.0,-,54,19.52,34.77,3.11,0.68,2.43,24.44,-,-
13,新北市,1998/04,新店,3.1,0.79,31.4,59.0,-,30,5.04,25.01,-,-,-,24.24,-,-
14,新北市,1998/04,淡水,4.2,1.06,28.2,82.0,-,38,10.96,27.43,-,-,-,23.92,-,-
15,新北市,1998/04,汐止,7.7,1.05,16.0,78.0,-,62,25.12,36.4,-,-,-,23.39,-,-
16,新北市,1998/04,土城,7.2,1.07,22.8,72.0,-,62,25.93,36.22,-,-,-,24.44,-,-
17,新北市,1998/04,林口,7.5,0.79,25.7,53.0,-,37,10.11,27.09,-,-,-,22.26,-,-
18,新北市,1998/04,萬里,2.3,0.34,40.7,43.0,-,12,1.98,10.51,2.23,0.14,2.08,22.82,-,-
19,臺中市,1998/04,西屯,4.7,0.76,13.1,65.0,-,37,12.04,24.56,2.37,0.34,2.03,25.24,-,-
20,臺中市,1998/04,忠明,3.1,1.09,18.5,77.0,40,47,13.56,33.27,-,-,-,25.94,-,-
21,臺中市,1998/04,豐原,4.6,0.82,22.5,67.0,-,33,6.47,26.66,-,-,-,24.37,-,-
22,臺中市,1998/04,沙鹿,3.3,0.68,23.8,69.0,-,27,5.37,21.78,-,-,-,24.9,-,-
