序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/12,松山,2.8,0.85,419.9,20.4,47,-,45.87,14.08,31.66,-,-,-,18.27,-,-,-
2,臺北市,2002/12,古亭,2.1,0.91,-,20.3,41,23,44.13,16.58,27.56,2.958,0.75,2.21,19.11,-,-,-
3,臺北市,2002/12,中山,2.8,0.92,-,16.3,54,-,54.63,19.38,35.24,2.7,0.51,2.19,19.26,-,-,-
4,臺北市,2002/12,大同,12.1,3.14,-,-,83,-,160.03,113.57,46.39,3.925,1.72,2.2,19.68,-,-,-
5,臺北市,2002/12,萬華,3.0,1.03,-,18.7,38,-,-,-,-,-,-,-,18.62,-,-,-
6,臺北市,2002/12,陽明,1.3,0.27,406.44,43.9,17,-,3.18,0.15,3.03,-,-,-,13.05,-,-,-
7,臺北市,2002/12,士林,1.7,0.74,-,24.9,37,-,37.97,10.46,27.3,-,-,-,18.3,-,-,-
8,新北市,2002/12,板橋,5.2,1.04,-,21.1,51,-,37.95,10.95,27.0,3.099,0.66,2.44,19.64,-,-,-
9,新北市,2002/12,三重,11.3,-,-,-,68,54,157.05,110.96,37.48,3.418,0.96,2.46,20.24,-,-,-
10,新北市,2002/12,菜寮,4.4,0.95,-,18.0,63,-,46.19,15.2,30.55,-,-,-,19.47,-,-,-
11,新北市,2002/12,永和,3.7,1.44,-,17.4,52,-,59.47,27.43,32.03,3.037,0.7,2.34,19.15,-,-,-
12,新北市,2002/12,新莊,4.0,0.89,-,23.2,49,-,41.92,12.24,29.68,2.643,0.6,2.04,18.49,-,-,-
13,新北市,2002/12,新店,1.2,0.58,-,21.8,35,-,24.09,4.07,20.03,-,-,-,18.92,-,-,-
14,新北市,2002/12,淡水,1.7,0.69,-,28.3,37,-,23.2,5.62,17.58,-,-,-,18.16,-,-,-
15,新北市,2002/12,汐止,3.2,0.66,-,23.8,46,-,35.09,11.97,23.12,-,-,-,18.18,-,-,-
16,新北市,2002/12,土城,3.7,0.83,-,19.6,39,-,39.47,13.72,25.75,-,-,-,19.83,-,-,-
17,新北市,2002/12,林口,2.7,0.58,-,30.4,45,-,24.39,4.47,20.29,-,-,-,17.07,-,-,-
18,新北市,2002/12,萬里,1.3,0.26,-,34.9,44,-,8.29,1.48,6.83,2.861,0.24,2.62,18.26,-,-,-
19,臺中市,2002/12,西屯,3.4,0.85,-,23.7,81,-,42.82,20.14,22.68,2.785,0.47,2.31,19.05,-,-,-
20,臺中市,2002/12,忠明,3.3,1.05,-,23.3,70,39,44.01,16.34,27.68,-,-,-,18.94,-,-,-
21,臺中市,2002/12,豐原,2.9,0.93,-,19.6,49,-,37.99,8.82,29.17,-,-,-,18.02,-,-,-
22,臺中市,2002/12,沙鹿,4.2,0.67,-,15.6,44,-,29.53,6.28,23.25,-,-,-,17.52,-,-,-
23,臺中市,2002/12,大里,2.9,1.07,375.25,17.0,63,-,47.35,14.18,33.17,-,-,-,19.42,-,-,-
24,臺南市,2002/12,新營,3.6,0.67,-,20.5,78,-,33.56,7.4,26.16,2.915,0.43,2.49,19.67,-,-,-
25,臺南市,2002/12,善化,3.6,0.57,-,24.5,69,-,27.63,4.98,22.76,-,-,-,19.82,-,-,-
26,臺南市,2002/12,安南,4.5,0.51,-,24.3,74,-,32.86,7.39,25.47,-,-,-,20.91,-,-,-
27,臺南市,2002/12,臺南,4.6,0.88,-,27.0,85,-,33.03,6.33,26.75,2.736,0.56,2.18,20.19,-,-,-
28,高雄市,2002/12,左營,6.2,0.9,-,26.2,86,-,41.49,9.79,31.7,2.536,0.46,2.08,20.71,-,-,-
29,高雄市,2002/12,楠梓,3.4,0.69,-,26.8,80,-,39.37,10.59,28.78,2.637,0.3,2.34,20.75,-,-,-
30,高雄市,2002/12,前金,7.9,0.96,-,29.0,86,-,42.48,9.07,33.41,-,-,-,20.98,-,-,-
31,高雄市,2002/12,前鎮,10.9,-,-,-,90,-,59.46,20.31,39.15,2.877,0.62,2.26,21.3,-,-,-
32,高雄市,2002/12,復興,11.6,1.51,-,-,107,-,72.12,28.81,43.31,2.932,0.85,2.08,22.76,-,-,-
