序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/06,松山,4.4,0.49,430.99,26.0,36,25,4.98,20.35,2.05,0.198,1.856,28.97,70.97
2,臺北市,2013/06,古亭,3.4,0.55,-,24.5,43,26,6.77,19.65,1.98,0.189,1.793,29.04,76.21
3,臺北市,2013/06,中山,4.4,0.73,-,19.4,51,37,11.49,25.02,2.15,0.265,1.886,29.92,70.29
4,臺北市,2013/06,大同,5.2,1.71,-,-,50,67,36.13,30.44,2.59,0.559,2.026,-,-
5,臺北市,2013/06,萬華,4.5,0.6,-,21.7,38,30,7.02,23.36,-,-,-,29.77,70.98
6,臺北市,2013/06,陽明,2.2,0.17,408.7,35.1,18,6,1.26,4.65,-,-,-,23.04,91.34
7,臺北市,2013/06,士林,3.7,0.41,-,27.9,41,20,3.61,16.29,-,-,-,29.44,75.67
8,新北市,2013/06,板橋,5.3,0.58,-,25.7,38,27,5.97,20.78,2.16,0.27,1.885,29.83,68.81
9,新北市,2013/06,三重,5.0,1.64,-,-,61,105,67.24,37.39,2.66,0.658,1.998,29.41,68.96
10,新北市,2013/06,菜寮,5.0,0.56,-,26.1,39,25,4.91,20.36,-,-,-,29.48,69.32
11,新北市,2013/06,永和,3.5,0.94,-,22.1,35,34,12.82,21.53,2.26,0.34,1.918,29.73,76.26
12,新北市,2013/06,新莊,6.6,0.53,-,26.6,40,26,5.04,20.51,-,-,-,29.27,71.83
13,新北市,2013/06,新店,2.9,0.4,-,31.7,35,16,3.58,11.94,-,-,-,28.57,72.48
14,新北市,2013/06,淡水,3.1,0.33,-,23.7,34,15,3.08,11.93,-,-,-,-,-
15,新北市,2013/06,汐止,5.2,0.41,-,23.7,38,25,6.97,17.7,-,-,-,28.92,77.72
16,新北市,2013/06,土城,3.8,0.51,-,27.4,39,25,6.99,18.23,2.14,0.248,1.887,29.52,73.79
17,新北市,2013/06,林口,4.4,0.34,-,24.8,35,20,3.67,16.35,-,-,-,27.73,77.52
18,新北市,2013/06,萬里,2.9,0.24,-,33.9,34,9,2.05,7.24,-,-,-,27.22,78.42
19,臺中市,2013/06,西屯,2.8,0.32,-,22.9,47,18,3.94,14.17,1.92,0.197,1.718,29.25,73.74
20,臺中市,2013/06,忠明,2.9,0.4,-,25.4,36,19,3.86,14.81,1.89,0.143,1.751,29.97,69.18
21,臺中市,2013/06,豐原,5.3,0.4,-,26.5,51,12,2.8,9.12,1.95,0.103,1.846,27.69,72.85
22,臺中市,2013/06,沙鹿,3.6,0.31,-,22.9,39,15,2.78,12.71,-,-,-,28.96,76.22
23,臺中市,2013/06,大里,2.7,0.39,416.8,25.1,46,16,3.11,13.27,1.92,0.188,1.733,29.73,69.49
24,臺南市,2013/06,新營,2.5,0.29,-,23.6,56,11,2.02,9.24,2.01,0.083,1.928,29.23,76.62
25,臺南市,2013/06,善化,3.3,0.22,424.59,23.1,41,10,1.92,8.52,-,-,-,28.36,77.45
26,臺南市,2013/06,安南,3.2,0.29,-,24.7,55,14,2.98,11.15,2.01,0.178,1.83,29.84,72.87
27,臺南市,2013/06,臺南,3.4,0.35,-,25.7,47,12,1.96,10.52,1.9,0.165,1.734,29.63,76.95
28,高雄市,2013/06,左營,4.5,0.37,-,25.0,51,17,4.92,12.35,2.0,0.163,1.837,29.79,75.33
29,高雄市,2013/06,楠梓,4.3,0.33,-,23.4,47,17,4.3,12.71,1.9,0.149,1.746,29.72,74.93
30,高雄市,2013/06,前金,4.8,0.38,-,23.7,45,15,3.16,11.41,1.96,0.15,1.808,29.93,73.41
31,高雄市,2013/06,前鎮,6.2,0.32,-,21.6,38,18,3.49,14.48,2.02,0.194,1.829,29.69,71.75
32,高雄市,2013/06,復興,5.7,0.52,-,19.7,39,20,4.71,15.67,2.14,0.236,1.906,29.74,73.66
33,高雄市,2013/06,小港,8.1,0.34,-,21.6,45,18,5.04,13.21,1.97,0.174,1.792,30.49,72.71
34,高雄市,2013/06,鳳山,3.6,0.47,-,22.5,50,16,2.76,13.63,2.15,0.23,1.92,30.81,69.44
35,高雄市,2013/06,林園,2.9,0.17,-,25.9,25,7,1.38,5.52,1.92,0.041,1.877,28.57,73.54
36,高雄市,2013/06,大寮,3.3,0.27,-,21.5,38,13,2.64,10.82,2.0,0.14,1.862,29.57,73.81
37,高雄市,2013/06,仁武,4.8,0.3,-,22.7,50,17,3.47,13.07,2.03,0.144,1.884,29.46,75.66
38,高雄市,2013/06,橋頭,3.4,0.29,-,23.9,39,13,3.16,10.29,-,-,-,29.66,76.46
39,高雄市,2013/06,美濃,1.3,0.21,-,24.1,31,6,1.54,4.78,-,-,-,29.32,73.86
40,基隆市,2013/06,基隆,3.0,0.36,-,28.6,26,15,3.29,12.19,1.96,0.12,1.842,28.69,80.34
41,新竹市,2013/06,新竹,2.6,0.38,-,23.7,34,17,3.35,13.16,1.96,0.147,1.814,29.12,73.71
42,嘉義市,2013/06,嘉義,2.7,0.31,-,24.8,46,10,1.69,8.62,1.83,0.093,1.74,29.56,71.54
43,宜蘭縣,2013/06,宜蘭,3.1,0.27,417.69,27.9,34,8,1.76,5.79,-,-,-,29.32,80.38
44,宜蘭縣,2013/06,冬山,2.5,0.29,-,24.1,30,13,4.07,9.11,-,-,-,28.0,83.35
45,桃園市,2013/06,桃園,7.7,0.49,-,25.6,41,23,4.1,19.0,2.14,0.222,1.913,29.3,74.82
46,桃園市,2013/06,中壢,4.9,1.04,-,18.3,59,44,19.75,24.09,2.46,0.446,2.018,28.69,72.85
47,桃園市,2013/06,大園,3.4,0.27,-,27.0,44,15,3.3,12.19,-,-,-,29.02,73.67
48,桃園市,2013/06,龍潭,3.0,0.36,-,26.7,51,16,2.93,12.71,-,-,-,28.01,77.61
49,桃園市,2013/06,平鎮,4.8,0.34,-,24.0,48,19,3.46,15.97,-,-,-,28.81,76.44
50,桃園市,2013/06,觀音,5.1,0.24,-,24.9,44,10,2.33,7.94,-,-,-,28.78,81.68
51,新竹縣,2013/06,竹東,1.9,0.27,-,26.9,34,11,2.57,8.16,-,-,-,28.37,76.43
52,新竹縣,2013/06,湖口,3.5,0.25,-,25.1,33,15,3.87,11.01,-,-,-,28.74,74.76
53,苗栗縣,2013/06,苗栗,2.7,0.32,-,24.5,46,14,2.7,10.91,-,-,-,29.74,73.08
