序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
50,桃園市,2013/04,觀音,6.6,0.42,-,37.1,67,15,1.76,13.54,-,-,-,20.82,82.39
51,新竹縣,2013/04,竹東,2.0,0.5,-,33.5,48,17,2.74,14.18,-,-,-,20.85,83.35
52,新竹縣,2013/04,湖口,3.7,0.42,-,42.1,54,18,2.58,15.32,-,-,-,20.88,78.92
53,苗栗縣,2013/04,苗栗,2.8,0.53,-,33.8,52,20,3.18,16.72,-,-,-,21.59,79.28
54,苗栗縣,2013/04,頭份,3.2,0.51,-,34.7,55,22,2.87,19.18,2.14,0.14,1.999,21.33,78.56
55,苗栗縣,2013/04,三義,1.7,0.39,-,36.1,46,13,2.17,10.99,-,-,-,19.81,85.63
56,彰化縣,2013/04,彰化,3.9,0.58,-,30.5,62,23,3.11,20.0,1.91,0.237,1.67,22.16,77.15
57,彰化縣,2013/04,線西,4.1,0.46,-,38.6,62,19,2.17,16.71,2.17,0.201,1.967,21.59,84.8
58,彰化縣,2013/04,二林,3.0,0.39,-,38.0,70,13,1.14,11.44,-,-,-,22.43,81.81
59,南投縣,2013/04,南投,2.4,0.6,-,26.9,63,21,3.14,18.13,2.2,0.21,1.988,22.46,76.63
60,南投縣,2013/04,埔里,1.8,0.49,-,28.2,41,14,1.61,12.47,-,-,-,21.51,82.65
61,南投縣,2013/04,竹山,2.4,0.46,-,26.7,54,18,2.42,15.38,-,-,-,21.96,78.47
62,雲林縣,2013/04,斗六,3.2,0.52,-,30.4,66,18,2.6,15.8,-,-,-,23.04,77.7
63,雲林縣,2013/04,崙背,3.0,0.43,-,33.4,61,14,1.65,12.26,-,-,-,22.51,84.33
64,雲林縣,2013/04,麥寮,3.1,0.42,-,42.3,60,13,2.09,11.2,2.06,0.069,1.99,23.27,82.62
65,雲林縣,2013/04,臺西,3.1,0.36,-,46.5,55,10,1.48,8.87,2.05,0.074,1.974,22.71,84.28
