序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2016/10,松山,2.6,0.34,417.75,22.8,26,11,20.59,6.63,13.95,1.841,0.11,1.731,1.84,1.36,26.71,-,-,77.88,-
2,臺北市,2016/10,古亭,2.2,0.37,-,23.4,24,12,19.22,5.18,14.04,1.931,0.106,1.826,2.53,2.24,27.01,-,-,76.81,-
3,臺北市,2016/10,中山,2.5,0.54,-,19,28,13,30.85,10.96,19.89,1.999,0.164,1.835,2.33,1.9,27.6,-,-,79.96,-
4,臺北市,2016/10,大同,3.3,1.12,-,-,41,13,56.28,33.43,22.85,2.323,0.351,1.972,-,-,-,-,-,-,-
5,臺北市,2016/10,萬華,2.5,0.45,-,17.8,28,14,25.83,7.24,18.59,-,-,-,2.37,2.04,28.01,-,-,76.84,-
6,臺北市,2016/10,陽明,2.3,0.14,408.9,28.3,10,7,6.39,1.64,4.73,-,-,-,-,-,20.48,1.9,4.62,94.24,42.85
7,臺北市,2016/10,士林,2.5,0.28,-,26.9,26,12,13.04,3.17,9.87,-,-,-,2.63,2.28,27.26,-,-,75.78,-
8,新北市,2016/10,板橋,3.4,0.45,-,20.6,31,12,21.53,5.51,16.02,2.003,0.185,1.818,2.08,1.73,27.72,1.79,5.19,73.57,40.08
9,新北市,2016/10,三重,3.7,1.32,-,-,42,13,85.25,55.86,29.38,2.424,0.441,1.983,-,-,27.8,-,-,71.8,-
10,新北市,2016/10,菜寮,2.6,0.42,-,22.6,22,11,18.15,4.12,14.03,-,-,-,2.71,2.37,27.78,-,-,75.48,-
11,新北市,2016/10,永和,2.2,0.64,-,21.8,23,10,25.52,9.75,15.77,2.049,0.199,1.85,2.3,2.09,27.07,-,-,75.19,-
12,新北市,2016/10,新莊,3,0.42,-,22.3,27,12,19.52,4.58,14.94,-,-,-,3.16,2.81,27.5,-,-,69.45,-
13,新北市,2016/10,新店,2.1,0.32,-,25.4,22,14,14.94,3.24,11.7,-,-,-,2.17,1.85,27.07,-,-,73.5,-
14,新北市,2016/10,淡水,2.2,0.22,-,27.9,29,14,8.49,2.16,6.32,-,-,-,-,-,-,-,-,-,-
15,新北市,2016/10,汐止,2.9,0.29,-,21,20,10,16.85,4.93,11.91,-,-,-,2.07,1.74,26.74,-,-,80.95,-
16,新北市,2016/10,土城,2.4,0.37,-,24.1,28,11,17.69,4.33,13.36,1.988,0.15,1.838,1.55,0.72,27.29,-,-,76.89,-
17,新北市,2016/10,林口,2.4,0.23,-,26.9,40,15,12.98,3.71,9.27,-,-,-,3.32,2.94,25.14,-,-,83.45,-
18,新北市,2016/10,萬里,2.7,0.15,-,31.3,43,10,6.63,2.07,4.54,-,-,-,4.25,3.7,25.59,1.86,4.78,82.47,125.63
19,臺中市,2016/10,西屯,3.1,0.38,-,32,55,33,20.42,3.76,16.66,1.939,0.231,1.707,2.32,1.34,28.26,2.03,5.84,75.34,3.92
20,臺中市,2016/10,忠明,3.1,0.48,-,30.3,49,30,22.31,3.94,18.36,1.986,0.186,1.8,1.8,1.14,28.29,-,-,73.07,-
