序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1995/07,松山,9.2,1.19,17.8,56.0,50,18,31.17,-,-,-,29.28,-,-
2,臺北市,1995/07,古亭,6.3,1.32,17.2,51.0,52,23,28.5,2.54,0.38,2.15,29.42,-,-
3,臺北市,1995/07,中山,11.2,1.53,14.2,58.0,60,28,32.18,2.88,0.65,2.23,29.37,-,-
4,臺北市,1995/07,大同,14.8,3.94,-,78.0,151,107,44.09,4.25,1.74,2.52,30.04,-,-
5,臺北市,1995/07,萬華,9.2,1.09,18.9,59.0,38,11,27.13,-,-,-,29.2,-,-
6,臺北市,1995/07,陽明,4.3,0.28,33.7,22.0,7,1,6.04,-,-,-,23.25,-,-
7,臺北市,1995/07,士林,7.3,1.02,17.2,55.0,41,16,25.11,-,-,-,29.0,-,-
8,新北市,1995/07,板橋,18.1,1.07,19.3,73.0,44,14,29.56,2.7,0.74,1.96,29.1,-,-
9,新北市,1995/07,菜寮,13.2,1.46,13.1,71.0,56,25,30.47,-,-,-,29.58,-,-
10,新北市,1995/07,新莊,19.6,0.95,21.2,58.0,42,16,26.25,2.57,0.53,2.11,28.75,-,-
11,新北市,1995/07,新店,5.3,0.67,24.4,50.0,21,3,17.74,-,-,-,28.9,-,-
12,新北市,1995/07,淡水,6.1,0.94,14.9,52.0,31,11,19.62,-,-,-,29.69,-,-
13,新北市,1995/07,汐止,9.3,0.84,18.6,64.0,46,20,26.33,-,-,-,28.78,-,-
14,新北市,1995/07,土城,10.3,0.83,18.6,57.0,36,12,23.36,-,-,-,28.94,-,-
15,新北市,1995/07,林口,10.5,0.69,20.4,42.0,32,12,20.69,-,-,-,27.13,-,-
16,新北市,1995/07,萬里,4.8,0.41,25.4,44.0,13,3,10.46,2.13,0.12,2.01,28.15,-,-
17,臺中市,1995/07,西屯,4.1,0.52,16.1,55.0,25,10,15.39,2.27,0.3,1.97,28.43,-,-
18,臺中市,1995/07,忠明,4.7,0.94,22.7,51.0,34,12,22.26,-,-,-,28.32,-,-
19,臺中市,1995/07,豐原,5.5,0.76,21.2,46.0,23,4,19.11,-,-,-,27.41,-,-
20,臺中市,1995/07,沙鹿,5.6,0.45,17.5,36.0,18,4,14.48,-,-,-,28.5,-,-
21,臺中市,1995/07,大里,1.2,0.69,16.9,63.0,20,4,15.32,-,-,-,28.38,-,-
22,臺南市,1995/07,新營,3.2,0.41,15.9,29.0,13,2,10.38,-,-,-,28.11,-,-
23,臺南市,1995/07,善化,4.8,0.33,31.8,22.0,11,3,7.84,-,-,-,27.76,-,-
24,臺南市,1995/07,安南,6.3,0.46,15.0,41.0,20,9,11.86,-,-,-,28.04,-,-
25,臺南市,1995/07,臺南,6.9,0.63,11.4,49.0,23,8,14.8,2.42,0.25,2.17,27.86,-,-
26,高雄市,1995/07,左營,7.2,0.64,16.3,31.0,26,11,15.42,2.24,0.24,2.0,27.81,-,-
27,高雄市,1995/07,楠梓,9.1,0.47,11.6,35.0,36,18,18.64,2.57,0.37,2.21,29.05,-,-
28,高雄市,1995/07,前金,9.5,0.77,13.7,42.0,26,10,16.37,-,-,-,28.24,-,-
29,高雄市,1995/07,前鎮,21.8,-,-,45.0,33,13,19.59,2.12,0.51,1.62,28.15,-,-
30,高雄市,1995/07,小港,20.5,1.05,12.1,46.0,37,18,18.95,2.21,0.2,2.01,29.46,-,-
31,高雄市,1995/07,鳳山,9.5,0.83,16.4,38.0,29,10,19.38,-,-,-,28.48,-,-
32,高雄市,1995/07,林園,4.0,0.34,17.1,40.0,-,-,-,1.9,0.13,1.78,28.28,-,-
33,高雄市,1995/07,大寮,6.8,0.48,14.4,34.0,14,3,11.92,-,-,-,27.87,-,-
34,高雄市,1995/07,仁武,5.9,0.51,12.4,40.0,23,9,14.41,2.02,0.19,1.84,28.39,-,-
35,高雄市,1995/07,橋頭,7.8,0.48,10.6,35.0,22,9,12.98,2.17,0.17,2.0,27.8,-,-
36,高雄市,1995/07,美濃,1.6,0.35,23.4,30.0,9,1,7.65,-,-,-,26.99,-,-
37,基隆市,1995/07,基隆,11.0,0.77,20.4,50.0,36,13,23.78,2.5,0.38,2.12,28.81,-,-
38,新竹市,1995/07,新竹,5.7,0.76,9.7,39.0,30,11,18.62,2.96,0.35,2.61,27.99,-,-
39,嘉義市,1995/07,嘉義,3.7,0.58,21.4,24.0,-,-,-,2.01,0.21,1.79,28.35,-,-
40,宜蘭縣,1995/07,宜蘭,2.4,0.57,17.4,44.0,17,4,11.75,-,-,-,28.16,-,-
41,宜蘭縣,1995/07,冬山,5.1,-,-,44.0,22,11,11.58,1.9,0.14,1.76,28.22,-,-
42,桃園市,1995/07,桃園,23.1,0.91,18.8,66.0,39,11,27.35,2.64,0.46,2.18,28.44,-,-
43,桃園市,1995/07,大園,10.2,0.68,19.2,44.0,27,10,17.42,-,-,-,28.64,-,-
44,桃園市,1995/07,龍潭,5.9,0.54,18.2,68.0,26,7,18.57,-,-,-,26.98,-,-
45,桃園市,1995/07,平鎮,8.2,0.77,14.7,50.0,35,11,24.19,2.48,0.5,1.98,28.15,-,-
46,桃園市,1995/07,觀音,9.4,0.31,20.6,40.0,16,4,12.26,2.11,0.13,1.98,28.36,-,-
47,新竹縣,1995/07,竹東,3.4,0.47,20.4,48.0,20,5,15.08,-,-,-,27.55,-,-
48,新竹縣,1995/07,湖口,6.5,0.52,15.8,41.0,30,12,17.79,-,-,-,28.63,-,-
49,苗栗縣,1995/07,苗栗,5.4,0.49,19.9,57.0,23,6,16.51,-,-,-,28.65,-,-
50,苗栗縣,1995/07,頭份,21.2,-,-,47.0,43,20,22.97,2.32,0.21,2.11,28.61,-,-
51,苗栗縣,1995/07,三義,2.5,0.39,23.1,49.0,16,5,11.04,2.06,0.1,1.96,25.31,-,-
52,彰化縣,1995/07,彰化,5.1,0.72,15.7,57.0,24,6,17.99,2.54,0.25,2.29,28.66,-,-
53,彰化縣,1995/07,線西,3.9,-,-,37.0,19,6,12.38,3.8,0.4,3.4,28.15,-,-
54,彰化縣,1995/07,二林,3.7,0.4,17.3,55.0,13,3,10.11,-,-,-,27.99,-,-
55,南投縣,1995/07,南投,1.2,0.52,20.5,36.0,17,4,12.84,-,-,-,27.62,-,-
56,雲林縣,1995/07,斗六,3.4,0.59,19.8,42.0,16,4,12.25,-,-,-,28.12,-,-
57,雲林縣,1995/07,崙背,3.5,0.4,17.1,42.0,18,5,12.77,-,-,-,27.9,-,-
58,雲林縣,1995/07,臺西,1.5,0.27,17.8,31.0,8,2,6.43,-,-,-,27.81,-,-
59,嘉義縣,1995/07,朴子,2.7,0.36,20.5,30.0,13,3,10.61,-,-,-,28.17,-,-
60,嘉義縣,1995/07,新港,2.6,0.4,18.3,48.0,16,4,11.25,-,-,-,27.87,-,-
61,屏東縣,1995/07,屏東,4.8,0.61,16.7,43.0,22,5,17.46,2.43,0.24,2.2,27.64,-,-
62,屏東縣,1995/07,潮州,1.6,0.34,-,37.0,13,3,10.14,-,-,-,28.95,-,-
63,屏東縣,1995/07,恆春,0.5,0.08,15.7,14.0,1,0,0.62,-,-,-,27.27,-,-
64,臺東縣,1995/07,臺東,0.9,0.59,13.6,31.0,11,4,7.18,2.0,0.12,1.88,27.94,-,-
65,花蓮縣,1995/07,花蓮,1.1,0.59,12.0,27.0,15,6,9.25,1.95,0.15,1.79,27.99,-,-
,,,,,,,,,,,,,,,,
