序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
1,臺北市,2015/11,松山,2.8,0.47,427.85,25.6,31,15,23.62,5.62,18.01,1.955,0.14,1.816,1.87,1.46,23.1,-,-,75.69,-
2,臺北市,2015/11,古亭,2.6,0.5,-,24.5,38,10,23.68,5.26,18.42,2.069,0.129,1.94,2.47,2.16,23.36,-,-,80.47,-
3,臺北市,2015/11,中山,3.3,0.65,-,22.7,33,17,32.7,9.24,23.47,2.105,0.195,1.91,2.22,1.82,24.15,-,-,76.07,-
4,臺北市,2015/11,大同,3.9,1.2,-,-,49,15,62.55,34.16,28.39,2.42,0.383,2.037,-,-,-,-,-,-,-
5,臺北市,2015/11,萬華,3.1,0.53,-,25.1,34,19,28.56,6.42,22.14,-,-,-,2.55,2.27,24.47,-,-,74.31,-
6,臺北市,2015/11,陽明,1.9,0.23,407.6,43.6,10,8,3.74,0.75,2.93,-,-,-,-,-,17.43,1.05,4.32,96.51,38.23
7,臺北市,2015/11,士林,2.8,0.37,-,34.1,29,16,14.06,2.8,11.26,-,-,-,2.42,2.1,23.88,-,-,71.55,-
8,新北市,2015/11,板橋,3.5,0.59,-,26.2,39,20,27.27,5.27,22.0,2.157,0.223,1.934,2.19,1.86,23.92,1.28,4.58,71.71,51.2
9,新北市,2015/11,三重,3.7,1.48,-,-,52,15,89.2,54.15,35.04,2.623,0.543,2.079,-,-,25.22,-,-,68.77,-
10,新北市,2015/11,菜寮,3.3,0.53,-,23.9,36,13,21.94,4.39,17.56,-,-,-,2.67,2.34,23.96,-,-,72.28,-
11,新北市,2015/11,永和,2.5,0.76,-,26.4,30,14,29.53,10.18,19.35,2.121,0.242,1.879,2.05,1.89,23.35,-,-,71.91,-
12,新北市,2015/11,新莊,3.8,0.61,-,26.6,35,21,24.52,5.27,19.25,-,-,-,3.18,2.93,23.94,-,-,72.27,-
13,新北市,2015/11,新店,2.3,0.45,-,24.8,29,17,17.29,3.19,14.11,-,-,-,3.82,2.92,23.37,-,-,74.16,-
14,新北市,2015/11,淡水,2.6,0.38,-,32.5,29,15,13.6,2.74,10.86,-,-,-,-,-,-,-,-,-,-
15,新北市,2015/11,汐止,3.3,0.4,-,28.1,30,15,20.54,5.15,15.39,-,-,-,1.93,1.64,23.26,-,-,81.62,-
16,新北市,2015/11,土城,2.8,0.5,-,28.4,32,20,21.78,5.45,16.34,2.087,0.205,1.882,1.55,0.6,24.15,-,-,74.89,-
17,新北市,2015/11,林口,3.2,0.36,-,33.0,43,23,17.73,3.88,13.86,-,-,-,3.15,2.8,21.77,-,-,84.35,-
18,新北市,2015/11,萬里,2.7,0.26,-,38.2,45,14,7.68,1.74,5.94,-,-,-,3.56,3.27,22.74,1.78,4.4,82.21,237.28
19,臺中市,2015/11,西屯,2.9,0.46,-,30.1,60,32,24.12,4.64,19.47,2.039,0.235,1.805,2.5,1.29,24.61,0.5,6.07,75.21,63.29
20,臺中市,2015/11,忠明,3.1,0.56,-,24.1,58,33,28.17,5.37,22.8,1.953,0.213,1.74,1.76,1.02,24.97,-,-,70.13,-
21,臺中市,2015/11,豐原,2.6,0.45,-,30.9,-,26,15.06,2.21,12.86,1.812,0.157,1.654,1.88,1.34,23.05,-,-,71.91,-
22,臺中市,2015/11,沙鹿,3.2,0.47,-,30.8,61,25,21.97,2.89,19.09,-,-,-,3.2,1.32,23.58,-,-,77.22,-
23,臺中市,2015/11,大里,3.1,0.63,438.37,26.6,64,40,27.75,5.3,22.45,2.165,0.289,1.876,1.73,1.11,25.77,-,-,69.64,-
24,臺南市,2015/11,新營,3.6,0.45,-,32.4,84,33,18.53,2.77,15.76,2.184,0.137,2.047,2.02,1.03,24.86,0.5,4.85,74.82,6.87
25,臺南市,2015/11,善化,3.5,0.4,428.05,33.4,70,36,15.52,1.96,13.56,-,-,-,2.38,1.41,25.79,-,-,77.8,-
26,臺南市,2015/11,安南,3.3,0.4,-,34.6,74,33,16.43,1.76,14.78,2.035,0.162,1.873,2.25,1.11,25.64,-,-,78.76,-
27,臺南市,2015/11,臺南,3.8,0.55,-,37.2,65,30,19.66,2.12,17.54,2.225,0.208,2.016,2.14,1.24,25.13,-,-,70.77,-
28,高雄市,2015/11,左營,4.0,0.51,-,38.8,77,36,20.28,2.29,17.99,2.195,0.179,2.016,2.05,1.56,25.18,-,-,77.72,-
29,高雄市,2015/11,楠梓,3.6,0.48,-,35.6,89,27,20.35,3.0,17.35,2.155,0.204,1.951,1.92,1.22,25.49,-,-,75.96,-
30,高雄市,2015/11,前金,4.0,0.54,-,39.9,80,33,19.84,2.02,17.81,2.149,0.191,1.958,2.13,1.49,25.81,-,-,71.99,-
31,高雄市,2015/11,前鎮,4.9,0.65,-,34.1,71,28,29.46,4.1,25.35,2.239,0.246,1.993,1.44,0.89,26.07,-,-,71.18,-
32,高雄市,2015/11,復興,5.0,0.86,-,29.0,71,37,33.63,5.77,27.86,2.471,0.407,2.064,0.85,0.61,26.7,-,-,72.48,-
33,高雄市,2015/11,小港,6.4,0.58,-,28.3,78,36,34.93,5.6,29.33,2.207,0.257,1.95,1.75,1.18,26.21,10.67,4.29,73.47,33.31
34,高雄市,2015/11,鳳山,5.3,0.63,-,35.3,87,31,26.37,3.14,23.24,2.32,0.282,2.038,1.66,1.2,26.24,5.25,4.25,71.75,31.79
35,高雄市,2015/11,林園,5.7,0.44,-,40.7,53,40,18.46,1.89,16.58,2.319,0.119,2.2,2.01,1.69,25.63,-,-,77.39,-
36,高雄市,2015/11,大寮,9.2,0.51,-,34.1,71,36,25.77,4.23,21.53,2.504,0.34,2.164,-,-,25.68,-,-,75.21,-
37,高雄市,2015/11,仁武,4.8,0.52,-,30.6,89,35,26.19,3.75,22.45,2.279,0.251,2.027,1.92,1.5,25.54,-,-,73.06,-
38,高雄市,2015/11,橋頭,3.7,0.49,-,31.9,77,27,19.88,2.89,16.99,-,-,-,2.01,1.35,25.54,0.5,5.61,72.56,8.99
