序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/04,松山,3.9,0.8,25.8,54.0,-,51,20.21,31.22,-,-,-,23.36,-,-,-
2,臺北市,2002/04,古亭,3.5,0.67,26.1,47.0,30,42,12.04,29.53,2.46,0.37,2.1,23.73,-,-,-
3,臺北市,2002/04,中山,3.6,0.97,23.3,62.0,-,47,13.86,32.73,2.46,0.36,2.1,22.63,-,-,-
4,臺北市,2002/04,大同,6.0,2.62,-,65.0,-,123,76.42,46.59,3.61,1.25,2.36,24.86,-,-,-
5,臺北市,2002/04,萬華,3.4,0.92,26.3,60.0,-,35,6.16,29.3,-,-,-,23.64,-,-,-
6,臺北市,2002/04,陽明,1.0,0.33,51.0,19.0,-,4,0.17,3.84,-,-,-,18.33,-,-,-
7,臺北市,2002/04,士林,2.2,0.71,29.1,46.0,-,31,6.73,23.89,-,-,-,23.38,-,-,-
8,新北市,2002/04,板橋,6.5,0.97,26.0,51.0,-,42,11.79,30.45,2.44,0.34,2.11,-,-,-,-
9,新北市,2002/04,三重,6.0,2.27,-,73.0,-,130,82.2,47.74,-,-,-,-,-,-,-
10,新北市,2002/04,菜寮,4.5,0.94,23.0,61.0,-,42,12.16,29.67,-,-,-,24.59,-,-,-
11,新北市,2002/04,永和,5.6,1.6,19.9,-,-,59,25.0,33.68,2.8,0.69,2.11,23.8,-,-,-
12,新北市,2002/04,新莊,5.7,0.81,26.5,59.0,-,37,9.83,27.3,2.54,0.5,2.04,23.61,-,-,-
13,新北市,2002/04,新店,2.5,0.6,30.9,41.0,-,23,4.17,19.21,-,-,-,24.22,-,-,-
14,新北市,2002/04,淡水,2.1,0.75,30.2,51.0,-,25,5.55,19.65,-,-,-,23.3,-,-,-
15,新北市,2002/04,汐止,3.5,0.7,30.7,57.0,-,35,9.6,25.23,-,-,-,23.02,-,-,-
16,新北市,2002/04,土城,4.8,0.9,28.5,50.0,-,42,14.9,27.62,-,-,-,24.68,-,-,-
17,新北市,2002/04,林口,4.7,0.38,31.4,47.0,-,25,4.64,20.5,-,-,-,22.52,-,-,-
18,新北市,2002/04,萬里,1.2,0.43,43.9,49.0,-,9,1.09,8.04,1.96,0.05,1.91,22.55,-,-,-
19,臺中市,2002/04,西屯,3.2,0.62,23.3,59.0,-,28,9.93,18.14,2.28,0.26,2.02,23.98,-,-,-
20,臺中市,2002/04,忠明,3.5,0.86,21.6,63.0,38,37,9.55,27.61,-,-,-,25.27,-,-,-
21,臺中市,2002/04,豐原,3.4,0.74,22.5,53.0,-,30,6.39,23.19,-,-,-,23.77,-,-,-
22,臺中市,2002/04,沙鹿,4.8,0.55,19.4,65.0,-,24,4.35,19.36,-,-,-,24.67,-,-,-
23,臺中市,2002/04,大里,3.1,0.85,20.7,60.0,-,33,7.26,26.23,-,-,-,25.21,-,-,-
24,臺南市,2002/04,新營,3.9,0.52,26.3,51.0,-,20,3.07,16.79,2.04,0.14,1.9,25.53,-,-,-
25,臺南市,2002/04,善化,4.7,0.42,32.5,43.0,-,17,2.67,14.82,-,-,-,25.36,-,-,-
26,臺南市,2002/04,安南,6.2,0.55,33.1,60.0,-,21,4.27,17.03,-,-,-,25.83,-,-,-
27,臺南市,2002/04,臺南,4.9,0.61,30.2,60.0,-,19,2.82,16.15,2.21,0.27,1.94,25.79,-,-,-
28,高雄市,2002/04,左營,7.5,0.76,32.3,51.0,-,23,4.21,18.55,2.13,0.25,1.88,25.92,-,-,-
29,高雄市,2002/04,楠梓,7.6,0.6,22.1,63.0,-,30,7.57,22.11,2.14,0.15,1.99,26.53,-,-,-
30,高雄市,2002/04,前金,6.5,0.62,39.9,55.0,-,22,3.56,18.24,-,-,-,26.22,-,-,-
31,高雄市,2002/04,前鎮,12.5,-,-,69.0,-,30,8.65,21.42,2.25,0.43,1.82,26.63,-,-,-
32,高雄市,2002/04,復興,10.5,0.9,-,67.0,-,34,8.97,24.83,2.47,0.4,2.07,26.94,-,-,-
33,高雄市,2002/04,小港,14.1,0.62,24.5,60.0,-,36,9.29,26.52,2.23,0.3,1.94,26.5,-,-,-
34,高雄市,2002/04,鳳山,10.5,0.75,24.3,68.0,40,37,12.92,23.98,-,-,-,27.46,-,-,-
35,高雄市,2002/04,林園,6.6,0.46,32.7,76.0,43,17,4.47,12.54,2.28,0.28,1.99,26.69,-,-,-
36,高雄市,2002/04,大寮,7.0,0.68,23.8,63.0,-,23,4.16,19.05,2.34,0.21,2.13,25.89,-,-,-
37,高雄市,2002/04,仁武,9.7,0.57,28.3,57.0,-,28,6.42,21.52,2.36,0.22,2.13,26.15,-,-,-
38,高雄市,2002/04,橋頭,7.5,0.83,24.1,37.0,-,28,6.47,21.3,2.25,0.14,2.11,26.47,-,-,-
39,高雄市,2002/04,美濃,2.8,0.48,41.6,75.0,-,15,1.11,13.8,-,-,-,-,-,-,-
40,基隆市,2002/04,基隆,4.7,0.67,32.2,51.0,-,30,8.04,21.64,2.18,0.23,1.96,23.03,-,-,-
41,新竹市,2002/04,新竹,4.2,0.73,22.7,42.0,-,28,7.48,20.21,2.39,0.21,2.18,23.61,-,-,-
42,嘉義市,2002/04,嘉義,4.3,0.48,25.1,74.0,-,26,4.21,21.77,2.37,0.21,2.16,25.27,-,-,-
