序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1999/03,松山,4.2,1.18,17.0,54.0,-,75,34.27,40.68,-,-,-,19.59,-,-,-
2,臺北市,1999/03,古亭,3.5,1.31,17.8,46.0,27,67,29.29,37.66,2.71,0.63,2.08,19.55,-,-,-
3,臺北市,1999/03,中山,4.0,1.38,17.7,50.0,-,74,32.41,41.73,3.03,0.62,2.41,20.03,-,-,-
4,臺北市,1999/03,大同,6.4,3.32,-,67.0,-,172,119.12,51.87,4.34,1.78,2.56,21.54,-,-,-
5,臺北市,1999/03,萬華,4.0,1.35,18.9,46.0,-,62,19.07,42.89,-,-,-,20.19,-,-,-
6,臺北市,1999/03,陽明,1.2,0.24,47.2,15.0,-,4,0.23,3.37,-,-,-,14.73,-,-,-
7,臺北市,1999/03,士林,2.2,0.91,17.2,38.0,-,44,16.72,26.98,-,-,-,19.75,-,-,-
8,新北市,1999/03,板橋,6.3,1.25,18.8,62.0,-,62,23.12,38.62,2.95,0.71,2.25,20.18,-,-,-
9,新北市,1999/03,三重,5.0,3.25,-,77.0,39,186,129.91,57.39,-,-,-,19.51,-,-,-
10,新北市,1999/03,菜寮,7.4,1.41,18.6,63.0,-,66,28.04,37.23,-,-,-,19.94,-,-,-
11,新北市,1999/03,永和,5.8,2.23,-,-,-,112,71.09,41.29,-,-,-,20.4,-,-,-
12,新北市,1999/03,新莊,5.5,0.93,23.8,55.0,-,51,18.4,33.03,-,-,-,20.14,-,-,-
13,新北市,1999/03,新店,2.5,0.86,22.8,37.0,-,40,11.04,28.6,-,-,-,19.79,-,-,-
14,新北市,1999/03,淡水,1.8,0.81,26.6,40.0,-,30,8.53,21.46,-,-,-,18.64,-,-,-
15,新北市,1999/03,汐止,3.9,1.06,18.4,55.0,-,64,28.1,36.33,-,-,-,18.68,-,-,-
16,新北市,1999/03,土城,4.9,1.02,21.4,46.0,-,53,19.41,33.86,-,-,-,19.86,-,-,-
