序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/05,松山,5.2,0.43,437.95,34,41,21,23.85,4.36,19.49,1.947,0.143,1.804,1.69,1.27,27.66,-,-,68.81,-
2,臺北市,2018/05,古亭,3,0.43,-,35.6,43,17,21.9,3.71,18.19,2.016,0.129,1.887,1.94,1.6,28.21,-,-,65.74,-
3,臺北市,2018/05,中山,3.6,0.56,-,27.8,43,22,28.96,6.17,22.79,2.088,0.176,1.912,1.93,1.47,28.31,-,-,70.46,-
4,臺北市,2018/05,大同,4.1,1.08,-,-,57,21,54.08,24.03,30.06,2.339,0.328,2.01,-,-,-,-,-,-,-
5,臺北市,2018/05,萬華,3.1,0.47,-,31.1,41,20,23.84,3.56,20.28,-,-,-,1.81,1.38,28.5,-,-,68.14,-
6,臺北市,2018/05,陽明,1.8,0.19,423.12,44.7,20,16,4.64,0.6,4.02,-,-,-,1.88,-,21.09,1.7,4.47,89.63,49.48
7,臺北市,2018/05,士林,3.1,0.34,-,31.6,37,20,15.2,2.26,12.94,-,-,-,2,1.73,28.41,-,-,73.93,-
8,新北市,2018/05,板橋,4.2,0.5,-,31.5,46,22,23.65,3.24,20.41,2.213,0.228,1.985,2.13,1.69,28.56,5.93,4.72,66.72,63.33
9,新北市,2018/05,三重,4.6,1.09,-,-,59,20,76.09,42.24,33.86,2.265,0.354,1.912,-,-,28.66,-,-,68.26,-
10,新北市,2018/05,菜寮,3.5,0.42,-,25.4,38,22,18.57,2.83,15.74,-,-,-,2.17,1.74,28.32,-,-,66.97,-
11,新北市,2018/05,永和,3.2,0.72,-,31.1,38,20,31.23,8.73,22.49,2.09,0.235,1.855,1.78,1.4,28.24,-,-,67.41,-
12,新北市,2018/05,新莊,4.7,0.46,-,34.4,40,20,22.72,4.7,18.02,-,-,-,2.51,2.1,28.52,-,-,61.51,-
13,新北市,2018/05,新店,2.9,0.37,-,38.8,37,22,15.84,2.28,13.56,-,-,-,1.91,1.45,27.92,-,-,69.69,-
14,新北市,2018/05,淡水,3,0.31,-,25.1,36,16,12.22,1.91,10.3,-,-,-,1.36,-,27.37,-,-,73.81,-
15,新北市,2018/05,汐止,5.4,0.4,-,34.5,37,22,23.27,5.05,18.22,-,-,-,1.7,1.4,27.53,-,-,76.95,-
16,新北市,2018/05,土城,3.5,0.43,-,34.6,41,23,20.59,3.86,16.72,2.072,0.164,1.908,1.58,0.99,28.24,-,-,68.39,-
17,新北市,2018/05,林口,3.8,0.29,-,35.1,46,21,17.5,3.03,14.47,-,-,-,2.43,3.03,25.56,-,-,82.21,-
18,新北市,2018/05,富貴角,1.2,0.18,-,39.5,32,18,4.42,0.47,4.03,1.878,0.026,1.854,3.55,3.43,25.82,-,-,80.44,-
19,新北市,2018/05,萬里,3.7,0.24,-,40.7,43,20,7.96,1.5,6.46,-,-,-,2.92,2.69,26.03,1.93,4.98,74.92,219.33
20,臺中市,2018/05,西屯,2.5,0.28,-,25.2,42,18,13.77,1.47,12.31,1.999,0.162,1.837,2.28,1.99,27.66,5.61,4.84,69.2,11.41
21,臺中市,2018/05,忠明,2.8,0.32,-,29.1,36,18,16.29,2.19,14.1,1.832,0.114,1.718,1.98,1.54,29.47,-,-,65.89,-
22,臺中市,2018/05,豐原,3,0.39,-,31.3,36,19,12.88,2.02,10.86,1.857,0.144,1.713,2.44,2.12,28.31,-,-,65.12,-
23,臺中市,2018/05,沙鹿,3,0.28,-,29.8,30,16,13.4,1.81,11.59,-,-,-,2.78,2.51,27.58,-,-,73.45,-
