序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/02,松山,2.3,0.61,433.4,22.1,32,17,36.94,12.26,24.67,1.67,16.23,75.8
2,臺北市,2014/02,古亭,2.5,0.64,-,20.5,42,18,34.98,10.73,24.26,1.9,16.51,80.23
3,臺北市,2014/02,中山,3.1,0.84,-,19.4,59,19,49.43,20.63,28.8,1.69,17.04,77.43
4,臺北市,2014/02,大同,3.7,1.4,-,-,52,16,80.35,46.31,34.04,-,-,-
5,臺北市,2014/02,萬華,2.7,0.73,-,19.3,36,20,41.25,13.01,28.24,1.86,16.74,75.61
6,臺北市,2014/02,陽明,1.4,0.23,415.69,43.7,10,8,3.29,1.03,2.23,-,10.84,95.39
7,臺北市,2014/02,士林,2.2,0.48,-,28.1,38,18,24.24,7.04,17.2,1.91,16.58,74.2
8,新北市,2014/02,板橋,3.6,0.68,-,21.6,45,25,33.84,10.54,23.29,1.94,16.97,73.27
9,新北市,2014/02,三重,3.7,1.69,-,-,61,22,126.18,85.33,40.86,-,16.81,74.75
10,新北市,2014/02,菜寮,3.0,0.65,-,24.4,38,24,33.84,11.22,22.62,1.83,16.35,74.7
11,新北市,2014/02,永和,2.8,1.03,-,19.6,36,22,50.67,24.5,26.17,1.56,16.92,81.11
12,新北市,2014/02,新莊,3.4,0.67,-,24.0,39,23,33.71,11.24,22.47,2.92,16.26,77.17
13,新北市,2014/02,新店,2.1,0.51,-,27.0,31,17,23.68,5.79,17.88,1.61,17.15,75.47
14,新北市,2014/02,淡水,2.3,0.4,-,31.2,39,20,17.03,4.24,12.79,-,-,-
15,新北市,2014/02,汐止,2.9,0.48,-,21.2,29,18,29.4,9.6,19.79,1.54,16.1,84.05
16,新北市,2014/02,土城,3.4,0.64,-,23.7,41,25,32.73,10.55,22.19,1.32,15.93,76.64
17,新北市,2014/02,林口,2.7,0.36,-,31.2,33,21,16.63,2.9,13.73,1.97,14.75,81.62
18,新北市,2014/02,萬里,2.0,0.26,-,38.0,44,16,7.51,1.88,5.63,4.66,15.61,83.31
19,臺中市,2014/02,西屯,2.2,0.44,-,26.4,54,28,22.46,5.67,16.79,3.09,17.31,75.27
20,臺中市,2014/02,忠明,2.7,0.58,-,23.4,50,29,29.8,8.27,21.53,1.69,17.28,70.64
21,臺中市,2014/02,豐原,2.3,0.39,-,28.4,36,20,14.04,2.7,11.33,2.02,15.84,75.15
22,臺中市,2014/02,沙鹿,2.5,0.38,-,31.9,50,30,16.89,2.53,14.36,3.98,16.53,77.17
23,臺中市,2014/02,大里,2.7,0.57,430.14,23.3,61,28,26.95,6.07,20.88,1.78,-,70.17
24,臺南市,2014/02,新營,3.1,0.43,-,28.2,79,36,18.88,2.78,16.09,2.42,18.08,78.37
25,臺南市,2014/02,善化,3.3,0.4,438.97,27.8,71,34,18.17,2.04,16.12,3.14,17.13,77.11
26,臺南市,2014/02,安南,4.0,0.42,-,29.8,77,35,19.72,3.73,15.99,2.75,18.25,75.21
27,臺南市,2014/02,臺南,3.2,0.54,-,29.4,73,33,21.27,2.64,18.62,2.49,18.71,74.51
28,高雄市,2014/02,左營,3.8,0.55,-,29.9,75,36,24.34,3.92,20.42,2.39,19.35,70.54
29,高雄市,2014/02,楠梓,3.8,0.48,-,27.0,76,36,24.92,4.94,19.98,2.34,19.19,74.63
30,高雄市,2014/02,前金,4.1,0.58,-,28.9,74,39,24.76,4.03,20.73,2.4,19.65,71.17
31,高雄市,2014/02,前鎮,5.7,0.66,-,25.5,73,37,33.41,6.31,27.1,1.73,19.66,71.63
32,高雄市,2014/02,復興,5.5,0.81,-,22.7,74,36,35.95,7.76,28.18,0.9,20.61,67.08
33,高雄市,2014/02,小港,7.1,0.59,-,24.5,81,34,37.87,8.64,29.22,2.04,20.49,67.92
34,高雄市,2014/02,鳳山,7.0,0.64,-,24.1,83,34,31.11,5.73,25.37,1.89,20.11,68.56
35,高雄市,2014/02,林園,7.1,0.46,-,31.0,43,33,25.42,4.92,20.5,2.61,19.94,72.22
36,高雄市,2014/02,大寮,5.3,0.49,-,28.1,66,36,26.1,4.03,22.06,1.73,19.91,70.17
37,高雄市,2014/02,仁武,5.9,0.53,-,25.0,70,39,29.84,6.25,23.6,2.17,19.23,72.02
38,高雄市,2014/02,橋頭,3.9,0.51,-,25.5,71,34,22.67,3.78,18.89,2.58,18.94,74.84
39,高雄市,2014/02,美濃,2.0,0.39,-,29.9,61,32,11.9,2.89,9.0,1.22,19.89,73.05
40,基隆市,2014/02,基隆,2.2,0.43,-,29.2,24,17,18.42,4.46,13.94,1.27,16.42,84.9
41,新竹市,2014/02,新竹,3.4,0.49,-,27.0,45,24,23.31,4.6,18.71,2.27,15.73,83.06
42,嘉義市,2014/02,嘉義,3.4,0.51,-,23.7,72,40,21.39,3.37,18.02,2.26,17.97,75.17
43,宜蘭縣,2014/02,宜蘭,1.6,0.37,419.67,32.0,28,12,10.32,1.8,8.51,1.38,17.05,74.84
44,宜蘭縣,2014/02,冬山,1.8,0.31,-,27.5,27,12,14.56,4.12,10.44,1.89,16.66,85.01
45,桃園市,2014/02,桃園,3.6,0.55,-,26.3,41,23,26.14,6.27,19.87,1.67,15.73,78.77
46,桃園市,2014/02,中壢,4.9,0.97,-,16.6,60,23,51.89,22.44,29.45,1.44,15.43,76.92
47,桃園市,2014/02,大園,4.5,0.35,-,32.7,49,22,21.59,4.87,16.72,5.29,15.43,84.91
48,桃園市,2014/02,龍潭,2.6,0.5,-,26.4,52,23,24.54,6.05,18.5,2.76,15.1,81.72
49,桃園市,2014/02,平鎮,3.7,0.49,-,24.9,52,24,26.62,5.51,21.11,2.59,14.92,82.61
50,桃園市,2014/02,觀音,5.4,0.31,-,34.9,54,22,13.44,1.93,11.49,5.48,15.52,78.86
51,新竹縣,2014/02,竹東,2.1,0.42,-,28.4,39,21,16.97,3.3,13.66,2.04,16.04,79.45
52,新竹縣,2014/02,湖口,3.2,0.37,-,30.9,40,28,16.04,2.78,13.25,3.88,15.43,76.65
53,苗栗縣,2014/02,苗栗,2.8,0.48,-,23.5,43,25,22.83,4.97,17.85,2.39,15.66,79.54
54,苗栗縣,2014/02,頭份,2.8,0.44,-,27.2,46,26,21.1,4.49,16.61,2.4,15.69,80.03
55,苗栗縣,2014/02,三義,1.7,0.32,-,30.9,37,21,11.46,1.69,9.76,3.68,14.09,84.38
56,彰化縣,2014/02,彰化,3.3,0.52,-,25.1,52,30,20.36,3.38,16.98,2.1,16.3,73.66
57,彰化縣,2014/02,線西,4.2,0.39,-,29.4,50,30,16.19,2.67,13.51,4.74,16.35,82.85
58,彰化縣,2014/02,二林,3.6,0.37,-,30.9,67,30,14.29,2.32,11.97,3.58,16.56,78.81
59,南投縣,2014/02,南投,2.5,0.56,-,21.3,60,33,24.13,4.52,19.61,1.57,17.25,78.1
60,南投縣,2014/02,埔里,1.8,0.48,-,24.8,43,31,16.29,1.73,14.54,1.37,17.21,74.52
61,南投縣,2014/02,竹山,2.5,0.43,-,25.3,67,35,18.81,2.69,16.11,1.41,16.86,74.41
62,雲林縣,2014/02,斗六,3.2,0.44,-,26.5,61,36,19.18,2.73,16.45,1.96,18.54,72.36
63,雲林縣,2014/02,崙背,3.1,0.39,-,27.5,63,37,14.83,2.16,12.66,3.24,17.79,81.67
64,雲林縣,2014/02,麥寮,3.6,0.36,-,33.7,69,33,14.79,3.2,11.58,3.94,16.52,81.79
65,雲林縣,2014/02,臺西,3.5,0.32,-,35.7,58,31,12.55,1.85,10.68,6.15,17.72,83.79
66,嘉義縣,2014/02,朴子,3.1,0.37,-,32.6,79,36,13.94,1.95,11.98,2.35,17.76,74.39
67,嘉義縣,2014/02,新港,3.1,0.41,-,30.9,70,33,14.92,2.56,12.36,2.74,17.36,78.26
68,屏東縣,2014/02,屏東,3.1,0.54,-,32.6,65,32,19.77,2.46,17.3,1.44,20.25,69.52
69,屏東縣,2014/02,潮州,3.6,0.42,-,33.9,76,38,14.93,1.76,13.16,1.59,19.67,74.08
70,屏東縣,2014/02,恆春,1.1,0.18,407.91,43.1,28,9,2.02,0.59,1.35,6.55,20.58,77.76
71,臺東縣,2014/02,臺東,1.3,0.39,-,29.7,19,9,8.39,2.25,6.14,1.82,19.81,79.08
72,臺東縣,2014/02,關山,1.2,-,-,27.0,21,7,5.98,1.25,4.72,1.48,16.65,84.34
73,花蓮縣,2014/02,花蓮,1.5,0.44,-,23.8,22,9,14.95,3.4,11.54,2.25,18.49,79.6
74,澎湖縣,2014/02,馬公,1.2,0.29,-,42.1,38,19,5.14,0.95,4.19,4.74,17.18,76.37
75,金門縣,2014/02,金門,3.4,0.41,-,31.4,58,33,12.01,1.77,10.23,2.66,13.49,74.53
76,連江縣,2014/02,馬祖,2.6,0.33,-,38.9,40,24,6.63,1.31,5.32,3.69,10.68,81.9
,,,,,,,,,,,,,,,
