序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2010/03,松山,4.5,0.74,418.49,26.1,98,45,50.1,21.59,28.51,2.067,0.28,1.787,20.39,67.6
2,臺北市,2010/03,古亭,3.6,0.78,-,28.1,96,40,39.25,11.47,27.78,2.204,0.273,1.931,20.21,71.15
3,臺北市,2010/03,中山,4.5,0.94,-,22.9,109,46,51.42,18.13,33.29,2.421,0.359,2.062,20.54,68.86
4,臺北市,2010/03,萬華,3.7,0.84,-,23.5,90,41,45.7,13.25,32.45,-,-,-,20.14,71.59
5,臺北市,2010/03,陽明,2.4,0.31,398.2,49.8,43,24,5.79,1.21,4.56,-,-,-,12.75,88.28
6,臺北市,2010/03,士林,3.2,0.63,-,33.8,103,34,27.79,7.05,20.74,-,-,-,19.87,69.72
7,新北市,2010/03,板橋,5.5,0.83,-,30.3,84,40,38.7,9.57,29.12,2.53,0.458,2.073,20.19,66.29
8,新北市,2010/03,三重,5.2,1.95,-,-,119,47,139.07,93.49,45.58,2.766,0.808,1.958,19.89,67.76
9,新北市,2010/03,菜寮,4.5,0.9,-,27.5,87,31,42.39,14.57,27.83,-,-,-,20.08,67.37
10,新北市,2010/03,永和,4.1,1.22,-,22.4,84,39,53.74,23.68,30.06,2.532,0.468,2.064,20.44,68.46
11,新北市,2010/03,新莊,6.0,0.73,-,31.8,89,42,35.11,9.46,25.65,-,-,-,19.41,70.17
12,新北市,2010/03,新店,3.0,0.57,-,33.6,73,35,24.03,5.03,19.0,-,-,-,20.02,74.36
13,新北市,2010/03,淡水,3.3,0.53,-,34.6,73,31,20.63,4.55,16.07,-,-,-,-,-
14,新北市,2010/03,汐止,5.0,0.61,-,28.2,75,32,37.23,13.63,23.6,-,-,-,19.71,78.87
15,新北市,2010/03,土城,5.1,0.75,-,28.6,86,39,37.67,12.69,24.98,2.346,0.368,1.978,20.36,71.12
16,新北市,2010/03,林口,4.2,0.48,-,35.7,91,32,22.42,4.39,18.03,-,-,-,18.22,76.71
17,新北市,2010/03,萬里,2.5,0.35,-,41.9,84,27,10.29,2.03,8.26,-,-,-,18.66,82.31
18,臺中市,2010/03,西屯,4.0,0.54,-,30.0,106,50,27.42,6.84,20.57,2.193,0.265,1.928,20.86,71.22
19,臺中市,2010/03,忠明,4.0,0.67,-,28.0,94,52,34.23,8.7,25.53,2.17,0.338,1.832,21.69,69.4
20,臺中市,2010/03,豐原,3.7,0.63,-,26.9,96,44,25.89,4.9,20.99,1.962,0.245,1.717,20.45,72.02
21,臺中市,2010/03,沙鹿,3.7,0.53,-,31.7,98,45,21.78,3.71,18.07,-,-,-,19.7,76.73
22,臺中市,2010/03,大里,3.6,0.66,425.87,24.4,107,52,31.05,5.88,25.17,1.955,0.325,1.631,22.01,68.09
23,臺南市,2010/03,新營,4.3,0.48,-,29.7,130,49,22.18,4.74,17.44,2.23,0.146,2.084,22.54,72.52
24,臺南市,2010/03,善化,5.6,0.4,413.33,29.3,120,47,21.01,4.92,16.1,-,-,-,22.02,78.68
25,臺南市,2010/03,安南,4.1,0.46,-,31.9,126,48,22.39,5.36,17.03,2.1,0.204,1.896,22.48,70.2
26,臺南市,2010/03,臺南,4.8,0.57,-,33.4,118,48,24.21,3.91,20.3,1.967,0.257,1.709,22.91,70.64
27,高雄市,2010/03,左營,6.6,0.56,-,30.3,107,48,26.37,5.14,21.22,2.165,0.232,1.933,23.26,70.47
28,高雄市,2010/03,楠梓,5.9,0.51,-,29.8,128,51,26.99,5.74,21.24,1.944,0.208,1.736,22.82,68.65
29,高雄市,2010/03,前金,7.2,0.57,-,32.8,109,55,27.03,5.11,21.91,2.156,0.235,1.92,23.12,71.63
30,高雄市,2010/03,前鎮,9.7,0.62,-,26.8,107,52,31.21,5.38,25.84,2.216,0.331,1.886,24.45,68.99
31,高雄市,2010/03,復興,9.9,0.84,-,27.8,117,45,36.59,7.26,29.33,2.447,0.435,2.012,23.88,73.04
32,高雄市,2010/03,小港,13.0,0.57,-,29.4,109,52,36.37,7.55,28.82,2.11,0.27,1.84,23.84,69.54
33,高雄市,2010/03,鳳山,9.4,0.69,-,27.9,127,48,30.25,5.22,25.03,2.101,0.355,1.747,23.93,70.29
34,高雄市,2010/03,林園,7.5,0.43,-,34.4,101,46,20.54,3.86,16.68,2.184,0.141,2.043,23.95,74.62
35,高雄市,2010/03,大寮,7.0,0.52,-,29.1,115,52,26.0,5.32,20.69,2.205,0.214,1.992,23.66,70.31
36,高雄市,2010/03,仁武,10.5,0.54,-,29.0,113,49,32.17,5.63,26.54,2.175,0.282,1.894,23.86,70.23
37,高雄市,2010/03,橋頭,5.7,0.51,-,31.6,106,52,25.2,4.66,20.54,-,-,-,23.09,70.31
38,高雄市,2010/03,美濃,2.5,0.42,-,35.0,99,45,14.49,2.59,11.9,-,-,-,23.11,73.2
39,基隆市,2010/03,基隆,3.3,0.51,-,29.9,74,31,21.02,5.41,15.61,1.879,0.155,1.724,19.06,76.65
40,新竹市,2010/03,新竹,4.3,0.63,-,25.5,83,44,30.62,7.95,22.67,2.293,0.28,2.013,19.68,73.27
41,嘉義市,2010/03,嘉義,4.3,0.55,-,27.7,119,57,23.3,3.44,19.86,2.156,0.211,1.945,22.79,65.6
42,宜蘭縣,2010/03,宜蘭,1.8,0.42,409.8,35.3,70,27,9.87,1.49,8.37,-,-,-,19.81,74.08
43,宜蘭縣,2010/03,冬山,2.3,0.46,-,30.4,62,27,15.98,3.97,12.01,-,-,-,19.9,76.98
44,桃園市,2010/03,桃園,7.8,0.7,-,28.3,102,41,33.71,8.2,25.51,2.007,0.333,1.674,19.63,74.38
45,桃園市,2010/03,中壢,6.0,1.2,-,23.9,113,43,55.82,23.98,31.84,2.569,0.567,2.001,19.13,74.39
46,桃園市,2010/03,大園,5.9,0.47,-,32.7,93,45,28.27,6.27,22.0,-,-,-,18.79,76.91
47,桃園市,2010/03,龍潭,3.6,0.56,-,31.5,93,37,26.6,5.34,21.27,-,-,-,18.63,76.47
48,桃園市,2010/03,平鎮,5.8,0.58,-,27.5,103,37,31.66,6.52,25.14,-,-,-,19.06,74.59
49,桃園市,2010/03,觀音,7.5,0.39,-,35.7,108,39,18.28,2.91,15.37,-,-,-,18.98,78.44
