序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1999/09,松山,4.2,0.81,17.8,44.0,-,41,15.8,25.51,-,-,-,28.38,-,-,-
2,臺北市,1999/09,古亭,3.8,0.83,19.2,39.0,17,41,17.17,23.69,2.3,0.31,1.99,28.57,-,-,-
3,臺北市,1999/09,中山,3.8,0.99,17.2,42.0,-,42,19.31,23.08,2.51,0.36,2.15,28.68,-,-,-
4,臺北市,1999/09,大同,8.4,3.37,-,51.0,-,146,108.63,37.52,-,-,-,29.58,-,-,-
5,臺北市,1999/09,萬華,3.8,0.89,20.5,35.0,-,33,8.54,24.13,-,-,-,28.89,-,-,-
6,臺北市,1999/09,陽明,1.9,0.19,34.3,15.0,-,6,1.48,4.28,-,-,-,21.74,-,-,-
7,臺北市,1999/09,士林,3.0,0.63,18.4,37.0,-,25,7.97,17.35,-,-,-,28.43,-,-,-
8,新北市,1999/09,板橋,5.9,0.82,18.6,49.0,-,41,14.88,26.4,2.61,0.51,2.1,29.14,-,-,-
9,新北市,1999/09,三重,5.6,2.09,-,-,24,118,77.23,40.57,-,-,-,28.8,-,-,-
10,新北市,1999/09,菜寮,5.2,1.15,15.9,62.0,-,43,18.1,24.8,-,-,-,28.22,-,-,-
11,新北市,1999/09,永和,6.0,1.55,-,52.0,-,60,31.82,28.27,2.71,0.63,2.09,27.99,-,-,-
12,新北市,1999/09,新莊,7.4,0.75,24.1,46.0,-,37,13.61,23.21,2.48,0.42,2.06,28.18,-,-,-
13,新北市,1999/09,新店,2.2,0.48,21.8,30.0,-,20,4.2,15.62,-,-,-,28.38,-,-,-
14,新北市,1999/09,淡水,3.0,0.54,24.7,37.0,-,22,6.25,15.85,-,-,-,28.62,-,-,-
15,新北市,1999/09,汐止,4.0,0.68,17.8,46.0,-,37,15.26,22.14,-,-,-,27.41,-,-,-
16,新北市,1999/09,土城,4.8,0.87,20.8,46.0,-,37,14.69,22.74,-,-,-,28.96,-,-,-
17,新北市,1999/09,林口,6.9,0.49,19.1,31.0,-,-,-,-,-,-,-,26.3,-,-,-
18,新北市,1999/09,萬里,1.9,0.23,28.3,32.0,-,9,2.04,6.89,2.03,0.03,2.0,26.72,-,-,-
19,臺中市,1999/09,西屯,-,0.62,24.4,-,-,29,8.17,21.1,2.81,0.28,2.52,28.7,-,-,-
