序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2005/12,松山,6.1,0.73,413.14,17.1,63,20,52.09,18.95,33.03,-,-,-,16.24,-,-,69.42,-
2,臺北市,2005/12,古亭,5.6,0.8,-,17.1,60,33,47.95,19.49,28.46,2.303,0.285,2.018,16.09,-,-,75.88,-
3,臺北市,2005/12,中山,6.3,0.96,-,12.8,71,36,62.29,28.18,34.12,2.395,0.414,1.982,16.69,-,-,67.55,-
4,臺北市,2005/12,萬華,6.3,0.79,-,19.0,60,34,41.13,14.48,26.66,-,-,-,16.78,-,-,70.25,-
5,臺北市,2005/12,陽明,4.1,0.27,374.52,42.3,24,15,4.55,0.94,3.59,-,-,-,9.98,-,-,-,-
6,臺北市,2005/12,士林,5.2,0.6,-,24.5,58,25,30.33,11.65,18.67,-,-,-,16.89,-,-,68.57,-
7,新北市,2005/12,板橋,6.2,0.78,-,17.6,60,33,42.87,14.92,27.95,2.353,0.37,1.983,16.37,-,-,69.84,-
8,新北市,2005/12,三重,8.0,1.96,-,8.6,86,41,150.42,108.69,41.73,-,-,-,16.64,-,-,-,-
9,新北市,2005/12,菜寮,7.0,0.88,-,16.3,56,29,48.25,19.52,28.73,-,-,-,17.71,-,-,68.19,-
10,新北市,2005/12,永和,6.4,1.19,-,11.8,57,33,65.85,33.58,32.27,-,-,-,16.2,-,-,70.24,-
11,新北市,2005/12,新莊,6.8,0.68,-,20.2,61,35,38.74,13.52,25.22,-,-,-,16.04,-,-,69.93,-
12,新北市,2005/12,新店,4.7,0.54,-,23.5,44,26,25.16,6.71,18.44,-,-,-,16.18,-,-,75.64,-
13,新北市,2005/12,淡水,4.2,0.49,-,27.5,43,26,22.54,7.83,14.71,-,-,-,-,-,-,-,-
14,新北市,2005/12,汐止,5.9,0.59,-,18.9,46,23,37.8,14.53,23.27,-,-,-,16.18,-,-,74.12,-
15,新北市,2005/12,土城,5.7,0.66,-,20.6,56,33,38.02,13.76,24.25,-,-,-,17.18,-,-,70.59,-
16,新北市,2005/12,林口,5.1,0.41,-,24.4,57,26,21.52,5.24,16.27,-,-,-,14.23,-,-,75.27,-
17,新北市,2005/12,萬里,4.2,0.31,-,38.1,43,24,8.95,1.9,7.02,-,-,-,17.08,-,-,72.8,-
18,臺中市,2005/12,西屯,3.9,0.53,-,26.5,74,45,24.79,7.03,17.76,2.152,0.277,1.876,17.17,-,-,66.51,-
19,臺中市,2005/12,忠明,4.5,0.74,-,20.5,72,39,37.36,12.64,24.72,-,-,-,16.84,-,-,64.19,-
20,臺中市,2005/12,豐原,5.5,0.64,-,18.4,59,33,26.06,6.39,19.67,2.068,0.292,1.776,15.63,-,-,69.99,-
21,臺中市,2005/12,沙鹿,4.3,0.47,-,24.9,74,37,20.33,3.8,16.53,-,-,-,16.5,-,-,69.62,-
22,臺中市,2005/12,大里,5.2,0.83,415.11,17.9,95,48,40.24,14.13,26.11,-,-,-,17.99,-,-,65.23,-
23,臺南市,2005/12,新營,5.5,0.52,-,22.9,123,49,28.91,7.45,21.46,2.191,0.223,1.967,17.23,-,-,68.56,-
24,臺南市,2005/12,善化,3.6,0.5,421.7,13.1,123,54,27.73,6.09,21.64,-,-,-,17.89,-,-,70.01,-
25,臺南市,2005/12,安南,6.2,0.51,-,22.1,119,49,29.64,7.91,21.73,-,-,-,17.92,-,-,63.1,-
26,臺南市,2005/12,臺南,5.8,0.67,-,25.8,122,56,33.54,7.82,25.72,2.159,0.336,1.824,17.59,-,-,64.89,-
27,高雄市,2005/12,左營,7.8,0.74,-,21.8,128,75,46.53,12.68,33.85,-,-,-,17.72,-,-,69.25,-
28,高雄市,2005/12,楠梓,7.0,0.59,-,20.4,147,68,36.13,9.2,26.93,1.908,0.235,1.673,18.44,-,-,62.82,-
29,高雄市,2005/12,前金,9.7,0.82,-,24.6,137,82,45.7,12.55,33.16,-,-,-,19.48,-,-,66.94,-
30,高雄市,2005/12,前鎮,10.3,0.96,-,18.1,140,77,59.02,16.9,42.13,-,-,-,19.42,-,-,62.66,-
31,高雄市,2005/12,復興,12.9,1.32,-,16.7,139,76,73.02,26.38,46.78,-,-,-,19.58,-,-,63.13,-
32,高雄市,2005/12,小港,19.4,0.96,-,19.1,135,93,74.79,29.62,45.17,2.403,0.622,1.781,20.44,-,-,62.13,-
33,高雄市,2005/12,鳳山,17.9,0.84,-,18.8,149,74,60.25,23.41,36.85,-,-,-,19.05,-,-,65.64,-
34,高雄市,2005/12,林園,9.2,0.75,-,28.3,157,89,44.03,12.05,31.98,2.117,0.407,1.71,19.85,-,-,65.03,-
35,高雄市,2005/12,大寮,6.2,0.7,-,24.4,132,78,41.45,9.28,32.16,-,-,-,19.59,-,-,64.79,-
36,高雄市,2005/12,仁武,16.5,0.68,-,15.9,122,68,53.97,16.48,37.72,2.445,0.406,2.039,19.79,-,-,66.9,-
37,高雄市,2005/12,橋頭,7.3,0.62,-,19.9,122,70,43.56,12.32,31.24,-,-,-,18.87,-,-,69.54,-
38,高雄市,2005/12,美濃,3.4,0.53,-,30.1,100,64,19.22,2.87,16.34,-,-,-,19.44,-,-,68.2,-
39,基隆市,2005/12,基隆,6.9,0.55,-,24.6,40,25,29.1,8.64,20.46,2.145,0.194,1.951,17.22,-,-,72.33,-
40,新竹市,2005/12,新竹,5.7,0.54,-,23.8,61,36,28.94,7.47,21.47,2.146,0.263,1.884,16.46,-,-,67.04,-
41,嘉義市,2005/12,嘉義,6.0,0.69,-,20.2,130,61,32.13,7.27,24.85,2.315,0.332,1.983,16.26,-,-,65.42,-
42,宜蘭縣,2005/12,宜蘭,3.5,0.53,403.96,23.5,45,23,18.34,4.21,14.13,-,-,-,16.81,-,-,72.43,-
43,宜蘭縣,2005/12,冬山,3.5,0.52,-,21.8,50,23,25.52,9.13,16.39,2.112,0.126,1.986,16.48,-,-,77.23,-
44,桃園市,2005/12,桃園,8.5,0.67,-,21.4,77,34,36.27,12.03,24.24,2.25,0.29,1.959,16.18,-,-,71.72,-
45,桃園市,2005/12,中壢,8.3,0.88,-,16.0,65,34,50.87,21.72,29.15,-,-,-,15.55,-,-,75.19,-
46,桃園市,2005/12,大園,5.9,0.4,-,28.2,59,34,26.99,7.94,19.05,-,-,-,15.72,-,-,69.91,-
47,桃園市,2005/12,龍潭,5.4,0.53,-,22.7,61,26,28.47,7.62,20.84,-,-,-,14.18,-,-,73.15,-
48,桃園市,2005/12,平鎮,6.8,0.53,-,21.5,69,33,30.59,7.02,23.57,-,-,-,15.1,-,-,69.91,-
49,桃園市,2005/12,觀音,10.0,0.34,-,28.7,70,32,21.78,4.04,17.73,2.056,0.178,1.879,16.52,-,-,72.21,-
50,新竹縣,2005/12,竹東,3.9,0.49,-,22.0,50,29,20.75,4.34,16.41,-,-,-,17.44,-,-,69.64,-
51,新竹縣,2005/12,湖口,5.6,0.4,-,30.0,57,31,20.11,4.83,15.27,-,-,-,15.65,-,-,72.45,-
52,苗栗縣,2005/12,苗栗,6.1,0.56,-,23.2,56,34,26.61,8.03,18.57,-,-,-,16.42,-,-,70.56,-
53,苗栗縣,2005/12,頭份,5.4,0.45,-,23.6,57,31,21.56,4.72,16.83,-,-,-,14.82,-,-,71.08,-
54,苗栗縣,2005/12,三義,4.4,0.36,-,26.4,54,33,15.72,2.19,13.53,1.918,0.079,1.839,13.2,-,-,77.94,-
55,彰化縣,2005/12,彰化,6.9,0.56,-,18.2,97,44,34.91,10.29,24.62,2.221,0.207,2.014,17.03,-,-,62.94,-
56,彰化縣,2005/12,線西,6.5,0.42,-,24.7,70,38,22.62,4.48,18.13,-,-,-,17.91,-,-,66.5,-
57,彰化縣,2005/12,二林,5.4,0.41,-,26.8,91,43,19.0,4.23,14.76,-,-,-,17.09,-,-,69.06,-
58,南投縣,2005/12,南投,4.5,0.74,-,19.7,82,52,34.69,10.19,24.5,2.23,0.333,1.898,17.59,-,-,69.14,-
59,南投縣,2005/12,埔里,3.4,0.75,-,21.8,86,56,26.72,5.1,21.62,-,-,-,17.27,-,-,70.2,-
60,南投縣,2005/12,竹山,4.3,0.63,-,22.9,97,62,29.1,6.63,22.47,-,-,-,17.66,-,-,68.32,-
61,雲林縣,2005/12,斗六,5.3,0.61,-,22.2,101,57,27.56,6.54,21.02,-,-,-,17.58,-,-,66.8,-
