序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/03,松山,3.2,0.87,24.9,60.0,-,42,13.58,27.99,-,-,-,20.57,-,-,-
2,臺北市,2002/03,古亭,2.6,0.89,25.1,55.0,31,44,14.17,29.92,2.47,0.4,2.07,20.95,-,-,-
3,臺北市,2002/03,中山,3.2,0.97,23.0,75.0,-,48,14.35,33.58,2.57,0.45,2.12,19.89,-,-,-
4,臺北市,2002/03,大同,5.2,2.59,-,79.0,-,127,79.48,47.86,3.51,1.18,2.33,21.99,-,-,-
5,臺北市,2002/03,萬華,3.3,0.92,26.4,58.0,-,36,7.19,28.91,-,-,-,20.81,-,-,-
6,臺北市,2002/03,陽明,1.1,0.33,49.0,28.0,-,4,0.12,3.58,-,-,-,15.35,-,-,-
7,臺北市,2002/03,士林,2.1,0.7,29.1,58.0,-,32,8.03,24.3,-,-,-,20.45,-,-,-
8,新北市,2002/03,板橋,5.8,1.0,26.2,60.0,-,40,10.47,29.42,2.48,0.36,2.12,21.5,-,-,-
9,新北市,2002/03,三重,5.8,2.44,-,90.0,-,154,102.05,51.72,2.81,0.55,2.26,-,-,-,-
10,新北市,2002/03,菜寮,4.1,0.98,24.2,74.0,-,45,13.56,31.06,-,-,-,21.59,-,-,-
11,新北市,2002/03,永和,5.9,1.64,22.1,-,-,64,29.26,34.54,2.76,0.67,2.09,20.91,-,-,-
12,新北市,2002/03,新莊,6.1,0.81,27.0,74.0,-,37,9.46,27.81,2.48,0.5,1.98,20.72,-,-,-
13,新北市,2002/03,新店,1.8,0.64,30.0,46.0,-,23,4.77,18.63,-,-,-,21.19,-,-,-
14,新北市,2002/03,淡水,2.0,0.67,33.3,57.0,-,26,6.99,18.64,-,-,-,20.48,-,-,-
15,新北市,2002/03,汐止,2.9,0.72,29.5,66.0,-,36,10.8,25.24,-,-,-,20.54,-,-,-
16,新北市,2002/03,土城,4.0,0.79,29.0,57.0,-,38,12.07,26.3,-,-,-,21.79,-,-,-
17,新北市,2002/03,林口,3.6,0.34,34.7,59.0,-,22,3.08,18.61,-,-,-,19.55,-,-,-
18,新北市,2002/03,萬里,1.4,0.39,41.5,51.0,-,10,1.49,8.39,2.02,0.06,1.96,19.93,-,-,-
19,臺中市,2002/03,西屯,3.4,0.67,27.6,85.0,-,31,8.86,21.81,2.42,0.33,2.1,21.11,-,-,-
20,臺中市,2002/03,忠明,3.5,0.94,23.4,88.0,48,45,11.97,33.33,-,-,-,22.33,-,-,-
21,臺中市,2002/03,豐原,3.3,0.86,25.3,70.0,-,34,6.13,27.48,-,-,-,20.63,-,-,-
22,臺中市,2002/03,沙鹿,4.6,0.59,24.1,85.0,-,26,3.77,22.33,-,-,-,21.67,-,-,-
23,臺中市,2002/03,大里,3.4,0.94,22.0,81.0,-,38,8.03,30.06,-,-,-,22.17,-,-,-
24,臺南市,2002/03,新營,3.5,0.53,30.5,79.0,-,22,2.73,19.55,2.19,0.16,2.03,22.61,-,-,-
25,臺南市,2002/03,善化,4.2,0.52,33.1,66.0,-,20,2.21,17.39,-,-,-,22.54,-,-,-
26,臺南市,2002/03,安南,5.5,0.58,34.3,80.0,-,24,3.99,20.02,-,-,-,22.98,-,-,-
27,臺南市,2002/03,臺南,4.7,0.7,38.2,78.0,-,22,2.41,19.7,2.18,0.24,1.94,23.2,-,-,-
28,高雄市,2002/03,左營,5.8,0.78,37.1,67.0,-,26,4.45,21.51,2.26,0.29,1.97,23.21,-,-,-
