序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2003/11,松山,2.0,0.61,391.11,21.4,35,-,39.54,17.39,22.15,-,-,-,21.53,-,-,-,-
2,臺北市,2003/11,古亭,1.6,0.66,-,18.8,26,33,37.36,12.35,25.01,2.75,0.79,1.96,21.4,-,-,65.09,-
3,臺北市,2003/11,中山,3.6,0.86,-,15.8,34,-,48.68,20.19,28.5,2.831,0.62,2.21,24.04,-,-,76.49,-
4,臺北市,2003/11,大同,3.2,1.12,-,-,-,-,73.79,39.16,34.64,3.026,0.57,2.46,22.84,-,-,-,-
5,臺北市,2003/11,萬華,2.1,0.91,-,16.9,40,23,32.04,9.09,22.95,-,-,-,21.81,-,-,-,-
6,臺北市,2003/11,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,臺北市,2003/11,士林,1.6,0.61,-,25.8,26,-,21.88,5.73,16.15,-,-,-,22.08,-,-,-,-
8,新北市,2003/11,板橋,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,新北市,2003/11,三重,4.8,2.22,-,-,-,68,127.49,90.75,36.74,3.375,1.24,2.13,23.82,-,-,-,-
10,新北市,2003/11,菜寮,3.2,0.85,-,20.7,34,-,33.21,10.25,22.96,-,-,-,22.71,-,-,-,-
11,新北市,2003/11,永和,2.9,1.23,-,18.3,50,-,48.34,23.61,24.73,2.787,0.61,2.18,19.61,-,-,-,-
12,新北市,2003/11,新莊,4.9,0.68,-,22.6,-,-,33.65,7.23,26.72,2.718,0.72,2.0,22.17,-,-,-,-
13,新北市,2003/11,新店,1.0,0.53,-,22.8,34,-,18.48,3.25,15.36,-,-,-,21.66,-,-,-,-
14,新北市,2003/11,淡水,1.3,0.52,-,32.6,34,-,14.17,3.07,11.1,-,-,-,21.59,-,-,-,-
15,新北市,2003/11,汐止,2.7,0.48,-,22.5,45,-,23.72,6.12,17.76,-,-,-,21.46,-,-,-,-
16,新北市,2003/11,土城,2.5,0.71,-,18.8,37,-,28.66,8.59,20.07,-,-,-,22.02,-,-,-,-
17,新北市,2003/11,林口,1.4,0.53,-,30.7,32,-,12.31,2.33,10.14,-,-,-,20.83,-,-,-,-
18,新北市,2003/11,萬里,1.1,0.41,-,37.5,42,-,7.5,1.83,-,2.085,0.13,1.96,21.55,-,-,-,-
19,臺中市,2003/11,西屯,2.8,0.68,-,26.0,70,-,56.6,40.05,16.55,2.467,0.43,2.04,23.07,-,-,-,-
20,臺中市,2003/11,忠明,3.3,0.85,-,21.7,68,35,35.64,10.41,25.22,-,-,-,21.84,-,-,-,-
21,臺中市,2003/11,豐原,4.8,0.82,-,24.8,-,-,-,-,-,-,-,-,22.1,-,-,-,-
22,臺中市,2003/11,沙鹿,4.6,0.61,-,24.1,58,-,26.04,5.82,20.24,-,-,-,22.81,-,-,-,-
23,臺中市,2003/11,大里,2.8,0.98,395.09,20.7,83,-,43.23,9.3,33.93,-,-,-,24.18,-,-,-,-
24,臺南市,2003/11,新營,3.6,0.61,-,26.6,85,-,24.42,4.45,20.06,2.757,0.47,2.29,23.3,-,-,-,-
25,臺南市,2003/11,善化,3.0,0.61,-,24.5,67,-,24.61,13.01,11.88,-,-,-,23.44,-,-,-,-
26,臺南市,2003/11,安南,3.6,0.58,-,30.5,87,-,23.19,4.12,19.08,-,-,-,23.9,-,-,-,-
27,臺南市,2003/11,臺南,3.9,0.81,-,33.7,91,-,26.04,3.67,22.44,3.206,0.54,2.66,23.51,-,-,-,-
28,高雄市,2003/11,左營,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,高雄市,2003/11,楠梓,4.0,0.74,-,22.9,103,-,31.7,7.29,24.41,2.923,0.85,2.08,24.48,-,-,63.45,-
30,高雄市,2003/11,前金,6.9,0.93,-,34.0,87,-,33.68,5.03,28.66,-,-,-,24.15,-,-,-,-
31,高雄市,2003/11,前鎮,8.9,-,-,-,127,-,49.11,12.09,37.02,2.926,0.52,2.4,23.97,-,-,-,-
32,高雄市,2003/11,復興,12.5,1.37,-,-,141,-,56.72,17.22,39.5,2.727,0.6,2.13,25.72,-,-,-,-
33,高雄市,2003/11,小港,14.9,0.97,-,33.7,114,-,59.68,16.15,44.32,-,-,-,25.07,-,-,74.72,-
34,高雄市,2003/11,鳳山,16.3,0.96,-,28.3,108,113,47.47,11.48,35.99,-,-,-,24.16,-,-,73.36,-
35,高雄市,2003/11,林園,-,0.75,-,35.1,127,86,-,-,-,3.04,0.6,2.44,24.74,-,-,-,-
36,高雄市,2003/11,大寮,10.1,0.86,-,31.2,138,-,35.21,4.4,30.81,0.12,0.12,0.0,24.9,-,-,78.97,-
37,高雄市,2003/11,仁武,12.2,0.79,-,23.9,127,-,49.05,10.89,38.16,2.721,0.64,2.08,23.49,-,-,77.4,-
38,高雄市,2003/11,橋頭,5.2,0.52,-,28.6,63,75,39.72,6.09,33.64,2.62,0.18,2.44,23.78,-,-,75.92,-
39,高雄市,2003/11,美濃,2.0,0.71,-,40.9,95,-,14.69,1.0,13.7,-,-,-,25.58,-,-,-,-
40,基隆市,2003/11,基隆,2.1,0.55,-,26.9,33,-,21.11,4.52,16.59,2.6,0.38,2.22,21.6,-,-,-,-
41,新竹市,2003/11,新竹,3.9,0.61,-,21.6,43,-,28.02,7.81,20.21,2.706,0.31,2.39,22.42,-,-,-,-
42,嘉義市,2003/11,嘉義,4.1,0.8,-,27.8,95,-,32.84,5.39,27.45,2.899,0.56,2.34,23.45,-,-,76.33,-
43,宜蘭縣,2003/11,宜蘭,0.5,0.58,383.04,25.7,25,-,14.04,2.18,11.86,-,-,-,21.82,-,-,-,-
44,宜蘭縣,2003/11,冬山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,桃園市,2003/11,桃園,4.8,0.7,-,20.6,-,-,25.71,6.85,18.85,2.503,0.43,2.08,22.1,-,-,-,-
46,桃園市,2003/11,中壢,5.5,1.08,-,-,44,-,50.05,20.93,29.12,2.557,0.42,2.14,21.08,-,-,-,-
47,桃園市,2003/11,大園,3.2,0.48,-,26.9,-,-,25.09,7.74,17.35,-,-,-,22.55,-,-,80.23,-
48,桃園市,2003/11,龍潭,2.0,0.61,-,23.7,-,-,-,-,-,-,-,-,15.5,-,-,-,-
49,桃園市,2003/11,平鎮,4.3,0.73,-,18.2,45,-,31.03,6.84,24.19,2.609,0.34,2.27,21.81,-,-,-,-
50,桃園市,2003/11,觀音,4.6,0.41,-,29.2,35,-,19.19,4.82,14.37,-,-,-,21.63,-,-,-,-
51,新竹縣,2003/11,竹東,-,0.48,-,-,40,-,19.36,3.57,15.79,-,-,-,22.48,-,-,76.05,-
52,新竹縣,2003/11,湖口,2.5,0.5,-,30.2,50,-,25.13,-,17.42,-,-,-,20.69,-,-,80.31,-
53,苗栗縣,2003/11,苗栗,3.5,0.61,-,26.5,51,-,28.66,6.62,22.04,-,-,-,22.08,-,-,75.4,-
54,苗栗縣,2003/11,頭份,2.9,-,-,-,44,-,19.68,4.97,14.92,2.41,0.3,2.11,22.56,-,-,-,-
55,苗栗縣,2003/11,三義,1.2,-,-,30.5,48,-,16.01,1.96,14.06,2.338,0.22,2.11,19.76,-,-,-,-
56,彰化縣,2003/11,彰化,4.4,0.8,-,19.6,89,-,36.17,10.41,25.76,3.04,0.51,2.53,23.57,-,-,-,-
57,彰化縣,2003/11,線西,3.0,-,-,-,68,-,23.09,4.47,18.66,2.395,0.3,2.09,23.04,-,-,75.69,-
58,彰化縣,2003/11,二林,5.7,0.45,-,27.1,65,-,17.73,3.56,14.68,-,-,-,23.04,-,-,-,-
59,南投縣,2003/11,南投,2.8,0.83,-,23.7,72,-,35.41,8.29,27.12,2.769,0.55,2.22,23.35,-,-,-,-
60,南投縣,2003/11,埔里,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,南投縣,2003/11,竹山,2.1,0.72,-,23.9,92,-,31.72,6.57,25.15,-,-,-,23.81,-,-,-,-
62,雲林縣,2003/11,斗六,3.0,0.69,-,22.7,-,-,26.11,4.28,21.82,-,-,-,23.74,-,-,-,-
63,雲林縣,2003/11,崙背,2.6,0.48,-,28.0,55,-,18.91,3.59,15.32,2.681,0.28,2.4,22.97,-,-,-,-
64,雲林縣,2003/11,臺西,3.5,0.37,-,34.7,68,-,15.44,2.86,12.58,-,-,-,22.62,-,-,-,-
65,嘉義縣,2003/11,朴子,2.2,0.43,-,33.1,94,-,17.87,2.04,15.94,-,-,-,24.17,-,-,76.26,-
66,嘉義縣,2003/11,新港,2.5,0.56,-,24.7,84,-,20.79,3.88,17.01,-,-,-,22.55,-,-,78.52,-
67,屏東縣,2003/11,屏東,3.2,0.84,-,36.9,121,-,26.6,1.99,24.61,3.258,0.28,2.98,24.62,-,-,-,-
68,屏東縣,2003/11,潮州,2.2,0.54,-,-,126,-,-,-,-,-,-,-,24.69,-,-,-,-
69,屏東縣,2003/11,恆春,0.2,0.2,363.75,34.3,22,-,0.89,0.05,0.84,-,-,-,24.14,-,-,-,-
70,臺東縣,2003/11,臺東,0.3,0.48,-,22.0,28,-,10.14,1.9,8.24,2.435,0.17,2.27,24.73,-,-,-,-
71,花蓮縣,2003/11,花蓮,0.6,0.63,-,17.1,23,-,20.21,5.53,14.68,-,-,-,23.82,-,-,-,-
72,澎湖縣,2003/11,馬公,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,金門縣,2003/11,金門,5.9,0.62,-,35.8,93,-,17.45,4.44,13.01,2.99,0.34,2.65,21.32,-,-,-,-
74,連江縣,2003/11,馬祖,2.5,0.22,-,44.9,54,-,5.19,0.9,4.3,-,-,-,18.47,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
