序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
1,臺北市,2015/08,松山,3.5,0.43,418.35,20.1,27,13,25.61,7.98,17.63,1.931,0.155,1.776,1.93,1.46,28.51,-,-,74.01,-
2,臺北市,2015/08,古亭,2.9,0.45,-,18.4,36,10,23.14,6.67,16.47,2.045,0.169,1.876,2.24,1.83,28.41,-,-,81.05,-
3,臺北市,2015/08,中山,3.0,0.62,-,16.0,30,13,32.55,11.5,21.05,2.103,0.246,1.857,2.09,1.5,29.25,-,-,75.36,-
4,臺北市,2015/08,大同,3.4,1.32,-,-,43,12,60.58,36.39,24.2,2.297,0.415,1.882,-,-,-,-,-,-,-
5,臺北市,2015/08,萬華,2.9,0.51,-,18.1,28,13,28.24,8.19,20.05,-,-,-,2.1,1.71,29.66,-,-,74.41,-
6,臺北市,2015/08,陽明,1.8,0.12,405.18,30.4,11,9,3.75,1.15,2.62,-,-,-,-,-,22.42,3.35,4.79,93.92,17.81
7,臺北市,2015/08,士林,5.7,0.32,-,24.1,26,14,16.13,3.4,12.73,-,-,-,2.43,2.09,28.65,-,-,73.86,-
8,新北市,2015/08,板橋,3.6,0.51,-,19.5,34,14,27.53,7.02,20.52,2.174,0.246,1.928,2.14,1.7,29.08,4.05,5.13,71.63,16.14
9,新北市,2015/08,三重,3.3,1.35,-,-,44,11,82.95,53.96,29.0,2.512,0.507,2.005,-,-,29.38,-,-,71.64,-
10,新北市,2015/08,菜寮,2.6,0.52,-,15.2,25,8,23.1,5.76,17.35,-,-,-,0.91,0.47,28.83,-,-,74.33,-
11,新北市,2015/08,永和,2.8,0.78,-,17.6,26,12,31.99,13.33,18.67,2.071,0.263,1.808,1.92,1.61,28.63,-,-,71.77,-
12,新北市,2015/08,新莊,3.9,0.48,-,19.2,24,10,23.36,5.83,17.52,-,-,-,2.52,2.06,29.14,-,-,77.97,-
13,新北市,2015/08,新店,2.4,0.33,-,22.1,26,11,15.05,3.62,11.43,-,-,-,4.17,3.16,28.17,-,-,74.85,-
14,新北市,2015/08,淡水,2.5,0.27,-,21.4,32,8,12.43,2.54,9.88,-,-,-,-,-,-,-,-,-,-
15,新北市,2015/08,汐止,5.0,0.34,-,19.4,26,14,21.34,6.54,14.8,-,-,-,1.93,1.49,28.64,-,-,79.67,-
16,新北市,2015/08,土城,2.5,0.41,-,20.2,29,14,22.05,6.05,16.0,2.054,0.193,1.861,1.66,0.91,28.0,-,-,76.18,-
17,新北市,2015/08,林口,2.8,0.26,-,24.6,29,12,16.74,3.93,12.8,-,-,-,3.08,2.71,27.05,-,-,83.83,-
18,新北市,2015/08,萬里,2.8,0.18,-,27.6,30,15,8.37,2.23,6.14,-,-,-,3.32,2.98,27.51,3.22,5.07,82.08,115.05
19,臺中市,2015/08,西屯,3.1,0.28,-,23.2,36,17,16.84,4.11,12.72,1.956,0.18,1.776,2.47,1.89,28.75,2.85,5.85,78.54,11.66
20,臺中市,2015/08,忠明,2.7,0.37,-,23.6,25,16,16.55,3.51,13.03,1.899,0.145,1.755,1.88,1.32,27.85,-,-,73.89,-
21,臺中市,2015/08,豐原,2.6,0.32,-,26.7,30,16,10.39,2.16,8.22,1.867,0.109,1.758,2.7,2.28,27.24,-,-,73.92,-
22,臺中市,2015/08,沙鹿,3.3,0.29,-,25.2,38,14,13.96,2.35,11.6,-,-,-,3.19,2.33,28.16,-,-,79.08,-
23,臺中市,2015/08,大里,2.8,0.36,424.58,22.2,31,17,16.38,4.22,12.16,1.974,0.199,1.775,2.0,1.52,27.94,-,-,72.91,-
24,臺南市,2015/08,新營,2.6,0.25,-,23.4,34,12,8.76,1.73,7.02,2.104,0.084,2.02,2.01,1.43,28.83,3.89,4.95,78.2,32.41
25,臺南市,2015/08,善化,2.4,0.19,412.15,23.4,29,13,8.25,1.69,6.55,-,-,-,2.8,2.41,28.61,-,-,81.23,-
26,臺南市,2015/08,安南,2.8,0.27,-,22.3,35,13,13.67,3.25,10.43,1.929,0.212,1.717,2.13,1.85,28.99,-,-,81.38,-
27,臺南市,2015/08,臺南,2.8,0.34,-,23.8,27,12,12.04,2.36,9.68,2.023,0.141,1.881,2.07,1.59,28.42,-,-,75.4,-
28,高雄市,2015/08,左營,3.4,0.33,-,22.0,35,14,15.26,3.53,11.72,1.961,0.138,1.823,2.47,2.07,28.51,-,-,81.01,-
29,高雄市,2015/08,楠梓,3.1,0.31,-,20.5,39,9,16.62,4.22,12.4,1.949,0.18,1.768,1.85,1.44,28.86,-,-,79.65,-
30,高雄市,2015/08,前金,3.6,0.35,-,22.9,34,12,15.31,3.43,11.88,1.947,0.151,1.797,2.34,1.85,28.84,-,-,76.82,-
31,高雄市,2015/08,前鎮,4.8,0.38,-,19.9,38,11,19.44,4.87,14.57,1.936,0.151,1.786,1.72,1.21,28.74,-,-,77.24,-
32,高雄市,2015/08,復興,3.4,0.53,-,3.1,28,13,21.1,5.91,15.19,2.18,0.308,1.872,0.97,0.76,29.19,-,-,77.71,-
33,高雄市,2015/08,小港,8.3,0.32,-,19.1,38,-,21.24,5.81,15.43,1.907,0.161,1.746,2.04,1.92,28.78,3.42,5.02,80.6,42.8
34,高雄市,2015/08,鳳山,3.4,0.44,-,21.7,43,12,15.87,3.43,12.45,2.1,0.197,1.903,1.8,1.42,29.09,4.97,5.01,76.98,26.2
35,高雄市,2015/08,林園,3.2,0.2,-,27.5,28,14,8.61,1.57,7.04,2.053,0.066,1.987,2.33,2.05,28.67,-,-,82.11,-
36,高雄市,2015/08,大寮,-,-,-,-,-,-,-,-,-,-,-,-,-,1.11,-,-,-,-,-
37,高雄市,2015/08,仁武,3.4,0.29,-,23.0,40,12,15.66,3.43,12.23,2.025,0.129,1.897,2.04,1.71,28.49,-,-,77.41,-
38,高雄市,2015/08,橋頭,2.6,0.26,-,21.9,30,8,13.17,3.09,10.07,-,-,-,2.3,2.15,28.62,6.98,4.77,78.61,28.88
39,高雄市,2015/08,美濃,1.4,0.19,-,25.2,21,11,5.37,1.32,4.04,-,-,-,1.45,1.07,28.17,-,-,76.85,-
40,基隆市,2015/08,基隆,2.2,0.27,-,22.1,22,11,12.64,3.07,9.56,1.847,0.124,1.723,1.78,1.41,27.82,-,-,77.8,-
41,新竹市,2015/08,新竹,2.2,0.35,-,20.2,21,15,15.63,3.37,12.26,2.005,0.13,1.875,2.27,1.88,28.84,-,-,70.84,-
42,嘉義市,2015/08,嘉義,2.6,0.27,-,24.2,33,16,10.23,2.8,7.43,1.838,0.108,1.73,2.11,1.63,28.77,-,-,79.63,-
43,宜蘭縣,2015/08,宜蘭,1.9,0.23,407.94,24.2,28,8,6.24,1.23,4.99,-,-,-,1.52,1.04,28.36,-,-,82.28,-
44,宜蘭縣,2015/08,冬山,2.6,0.23,-,20.7,23,13,12.98,5.0,7.97,-,-,-,1.99,1.63,28.31,4.86,5.14,81.09,34.75
45,桃園市,2015/08,桃園,4.9,0.41,-,20.0,28,16,20.17,4.28,15.88,2.085,0.187,1.898,1.64,1.25,27.98,-,-,78.78,-
46,桃園市,2015/08,中壢,3.4,1.01,-,14.9,37,12,43.77,22.31,21.46,2.348,0.394,1.955,1.6,0.93,28.65,-,-,73.31,-
47,桃園市,2015/08,大園,3.3,0.25,-,21.0,34,15,15.52,3.84,11.68,-,-,-,-,-,29.32,-,-,73.16,-
48,桃園市,2015/08,龍潭,2.2,0.28,-,21.4,34,16,12.98,2.9,10.08,-,-,-,2.7,2.4,28.03,-,-,77.14,-
49,桃園市,2015/08,平鎮,3.0,0.31,-,19.5,33,14,17.43,3.32,14.11,-,-,-,2.66,2.23,28.28,-,-,78.24,-
50,桃園市,2015/08,觀音,3.4,0.2,-,22.4,35,13,13.18,2.45,10.73,-,-,-,3.88,3.61,27.81,2.34,5.25,77.64,30.03
51,新竹縣,2015/08,竹東,2.0,0.23,-,22.8,27,9,8.62,1.97,6.65,-,-,-,2.08,1.65,28.23,-,-,79.58,-
52,新竹縣,2015/08,湖口,3.3,0.21,-,22.1,33,7,12.67,2.82,9.85,-,-,-,3.62,3.37,28.54,-,-,79.84,-
53,苗栗縣,2015/08,苗栗,2.2,0.28,-,24.1,32,15,11.98,2.31,9.67,-,-,-,2.55,2.07,28.54,-,-,73.52,-
54,苗栗縣,2015/08,頭份,2.9,0.25,-,23.3,30,11,13.19,2.74,10.44,1.923,0.074,1.85,2.63,2.21,28.84,-,-,75.28,-
55,苗栗縣,2015/08,三義,2.0,0.19,-,27.9,27,14,7.48,1.59,5.88,-,-,-,3.32,2.87,26.23,3.27,5.43,84.43,4.64
56,彰化縣,2015/08,彰化,3.3,0.32,-,24.2,33,17,10.43,1.93,8.5,1.961,0.142,1.819,2.1,1.6,28.32,-,-,75.84,-
57,彰化縣,2015/08,線西,3.0,0.23,-,25.5,31,13,9.67,2.17,7.49,2.009,0.111,1.9,3.12,2.71,28.71,-,-,80.66,-
58,彰化縣,2015/08,二林,2.9,0.16,-,23.2,34,16,7.55,1.81,5.73,-,-,-,2.51,2.14,28.76,-,-,83.55,-
59,南投縣,2015/08,南投,1.8,0.32,-,21.5,36,12,10.72,2.85,7.86,1.843,0.097,1.746,1.8,1.39,27.95,2.65,5.92,75.22,9.52
60,南投縣,2015/08,埔里,1.5,0.27,-,23.2,26,14,10.35,2.17,8.18,-,-,-,1.51,1.03,25.97,-,-,76.37,-
61,南投縣,2015/08,竹山,2.2,0.22,-,24.3,32,13,8.46,1.83,6.62,-,-,-,1.49,1.02,27.34,-,-,80.79,-
62,雲林縣,2015/08,斗六,2.5,0.28,-,23.9,27,-,11.06,2.23,8.84,-,-,-,1.82,1.28,28.8,-,-,76.97,-
63,雲林縣,2015/08,崙背,2.2,0.18,-,22.5,26,16,7.39,1.26,6.1,-,-,-,2.73,2.3,26.77,3.02,6.22,80.08,40.58
64,雲林縣,2015/08,麥寮,2.9,0.21,-,21.2,46,10,10.47,3.11,7.37,1.976,0.102,1.875,2.85,2.1,27.59,-,-,84.15,-
65,雲林縣,2015/08,臺西,3.1,0.14,-,27.4,26,12,7.8,1.96,5.84,1.876,0.084,1.792,3.88,3.29,27.42,-,-,81.31,-
