序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/11,松山,5.1,1.12,17.4,45.0,-,57,23.21,34.07,-,-,-,21.81,-,-
2,臺北市,1997/11,古亭,3.9,1.05,19.9,49.0,37,51,20.91,29.79,2.46,0.39,2.07,21.84,-,-
3,臺北市,1997/11,中山,5.7,1.19,17.7,68.0,-,62,23.89,38.17,2.93,0.51,2.42,22.57,-,-
4,臺北市,1997/11,大同,9.8,3.93,-,51.0,-,144,105.46,38.56,4.32,1.87,2.45,22.91,-,-
5,臺北市,1997/11,萬華,4.6,1.08,20.1,56.0,-,42,10.21,31.66,-,-,-,21.68,-,-
6,臺北市,1997/11,陽明,2.9,0.21,43.8,18.0,-,4,0.68,3.8,-,-,-,16.25,-,-
7,臺北市,1997/11,士林,4.0,0.89,26.9,43.0,-,34,12.21,22.18,-,-,-,22.3,-,-
8,新北市,1997/11,板橋,10.1,1.1,18.8,74.0,-,58,20.67,37.14,3.19,0.84,2.35,22.63,-,-
9,新北市,1997/11,三重,7.4,2.18,-,81.0,54,127,81.59,44.9,-,-,-,22.44,-,-
10,新北市,1997/11,菜寮,6.5,1.26,17.3,65.0,-,51,17.77,33.16,-,-,-,22.08,-,-
11,新北市,1997/11,永和,6.0,1.8,-,72.0,-,78,41.29,36.57,3.31,0.82,2.49,24.96,-,-
12,新北市,1997/11,新莊,8.9,1.07,22.1,67.0,-,54,20.13,33.92,-,-,-,22.26,-,-
13,新北市,1997/11,新店,2.5,0.74,28.6,36.0,-,26,4.41,22.04,-,-,-,21.97,-,-
14,新北市,1997/11,淡水,3.7,0.79,31.6,52.0,-,28,8.04,19.92,-,-,-,22.0,-,-
15,新北市,1997/11,汐止,4.6,1.0,15.9,59.0,-,65,29.58,35.78,-,-,-,20.76,-,-
16,新北市,1997/11,土城,6.8,0.87,20.6,60.0,-,53,23.19,31.02,-,-,-,22.25,-,-
17,新北市,1997/11,林口,5.7,0.62,27.3,43.0,-,31,7.0,24.33,-,-,-,19.9,-,-
18,新北市,1997/11,萬里,2.0,0.31,36.3,52.0,-,10,1.85,8.57,2.2,0.13,2.07,21.04,-,-
19,臺中市,1997/11,西屯,6.9,1.0,24.7,93.0,-,55,24.8,30.96,2.82,0.61,2.2,22.06,-,-
20,臺中市,1997/11,忠明,7.3,1.44,23.4,107.0,55,69,27.05,42.17,-,-,-,22.17,-,-
21,臺中市,1997/11,豐原,6.3,1.09,23.0,82.0,-,42,9.14,32.76,-,-,-,22.01,-,-
22,臺中市,1997/11,沙鹿,8.5,0.83,26.3,86.0,-,39,9.94,29.48,-,-,-,22.2,-,-
23,臺中市,1997/11,大里,6.2,1.02,26.6,109.0,-,45,12.01,32.73,-,-,-,23.07,-,-
24,臺南市,1997/11,新營,7.0,0.71,34.1,97.0,-,34,7.69,26.62,2.65,0.27,2.38,23.76,-,-
25,臺南市,1997/11,善化,6.7,0.54,29.0,78.0,-,25,5.18,19.65,-,-,-,22.66,-,-
26,臺南市,1997/11,安南,8.4,0.67,32.1,90.0,-,35,9.63,24.92,-,-,-,23.13,-,-
27,臺南市,1997/11,臺南,8.6,0.93,28.1,115.0,-,40,10.45,29.44,2.46,0.46,2.0,23.34,-,-
28,高雄市,1997/11,左營,10.9,0.94,35.3,106.0,-,43,10.77,32.39,3.14,0.52,2.62,24.02,-,-
29,高雄市,1997/11,楠梓,7.2,0.69,31.1,81.0,-,48,14.5,33.87,2.82,0.33,2.47,23.74,-,-
30,高雄市,1997/11,前金,12.4,1.02,34.1,104.0,-,40,8.06,31.97,-,-,-,23.98,-,-
31,高雄市,1997/11,前鎮,16.3,-,-,102.0,-,60,15.94,44.34,2.82,0.59,2.22,24.61,-,-
32,高雄市,1997/11,復興,15.2,1.72,-,122.0,-,77,31.18,45.44,3.25,0.89,2.34,24.38,-,-
33,高雄市,1997/11,小港,19.0,-,30.8,118.0,-,63,19.93,42.86,2.86,0.47,2.4,24.36,-,-
34,高雄市,1997/11,鳳山,17.8,1.13,32.0,109.0,57,55,14.58,40.24,-,-,-,24.59,-,-
35,高雄市,1997/11,林園,11.3,0.69,37.1,96.0,53,28,5.48,22.74,2.77,0.45,2.3,24.09,-,-
36,高雄市,1997/11,大寮,16.3,0.85,34.3,127.0,-,38,7.72,30.12,2.93,0.56,2.37,24.88,-,-
37,高雄市,1997/11,仁武,14.8,0.69,28.0,105.0,-,51,13.78,37.18,3.03,1.09,1.96,23.97,-,-
38,高雄市,1997/11,橋頭,9.0,0.73,37.0,100.0,-,39,10.26,28.42,2.6,0.24,2.36,22.82,-,-
39,高雄市,1997/11,美濃,3.8,0.55,38.4,93.0,-,18,1.2,16.66,-,-,-,24.26,-,-
40,基隆市,1997/11,基隆,6.2,0.88,27.4,49.0,-,36,11.63,24.6,2.77,0.46,2.31,21.63,-,-
41,新竹市,1997/11,新竹,7.3,0.73,23.5,69.0,-,44,16.32,27.84,3.06,0.53,2.53,22.21,-,-
42,嘉義市,1997/11,嘉義,8.0,1.11,26.5,112.0,-,44,9.65,34.29,3.0,0.54,2.46,23.77,-,-
43,宜蘭縣,1997/11,宜蘭,2.0,0.57,26.6,39.0,-,16,2.38,13.76,-,-,-,21.59,-,-
44,宜蘭縣,1997/11,冬山,1.9,0.65,20.0,46.0,-,26,8.51,17.35,2.28,0.13,2.15,21.23,-,-
45,桃園市,1997/11,桃園,17.0,0.99,19.8,64.0,-,48,15.59,32.31,2.92,0.59,2.33,21.37,-,-
46,桃園市,1997/11,中壢,10.5,1.46,-,64.0,-,73,32.45,40.81,-,-,-,21.47,-,-
47,桃園市,1997/11,大園,6.2,0.55,29.0,64.0,-,33,10.22,22.85,-,-,-,21.32,-,-
48,桃園市,1997/11,龍潭,5.1,0.66,20.5,57.0,-,33,7.92,25.2,-,-,-,20.46,-,-
49,桃園市,1997/11,平鎮,8.2,0.86,27.4,51.0,-,37,8.69,27.96,2.38,0.37,2.05,22.43,-,-
50,桃園市,1997/11,觀音,11.9,0.48,28.3,68.0,-,28,5.7,22.54,2.58,0.2,2.39,21.23,-,-
51,新竹縣,1997/11,竹東,2.7,0.6,26.3,59.0,-,29,5.04,23.75,-,-,-,21.11,-,-
52,新竹縣,1997/11,湖口,6.3,0.65,30.0,72.0,-,34,10.33,23.52,-,-,-,21.9,-,-
53,苗栗縣,1997/11,苗栗,5.4,0.75,18.8,62.0,-,44,15.44,28.58,-,-,-,21.35,-,-
54,苗栗縣,1997/11,頭份,13.5,-,-,64.0,-,40,14.16,26.22,2.65,0.32,2.33,21.41,-,-
55,苗栗縣,1997/11,三義,3.2,0.37,29.0,52.0,-,23,3.16,19.57,2.35,0.25,2.09,18.96,-,-
56,彰化縣,1997/11,彰化,9.9,1.1,23.2,99.0,-,44,14.75,29.11,-,-,-,22.78,-,-
57,彰化縣,1997/11,線西,6.0,-,-,95.0,-,34,10.42,24.01,2.42,0.28,2.14,22.19,-,-
58,彰化縣,1997/11,二林,5.1,0.58,32.0,98.0,-,26,7.35,18.78,-,-,-,21.88,-,-
59,南投縣,1997/11,南投,4.7,0.75,23.7,85.0,-,35,8.94,26.41,2.32,0.39,1.93,22.23,-,-
60,南投縣,1997/11,竹山,4.6,0.61,30.4,110.0,-,35,6.45,28.64,-,-,-,21.8,-,-
61,雲林縣,1997/11,斗六,8.5,0.9,-,104.0,-,36,8.38,27.67,-,-,-,22.68,-,-
62,雲林縣,1997/11,崙背,5.3,0.54,25.2,111.0,-,25,7.08,17.66,-,-,-,21.75,-,-
63,雲林縣,1997/11,臺西,5.4,0.46,36.5,100.0,-,17,2.74,13.87,-,-,-,22.08,-,-
