序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/12,松山,5.1,1.16,13.4,41.0,-,59,25.31,33.11,-,-,-,18.18,-,-
2,臺北市,1997/12,古亭,4.0,1.22,13.4,48.0,38,58,27.59,30.82,2.5,0.41,2.11,18.04,-,-
3,臺北市,1997/12,中山,5.2,1.31,12.5,68.0,-,67,30.58,36.29,2.85,0.53,2.32,18.91,-,-
4,臺北市,1997/12,大同,9.6,4.11,-,44.0,-,165,128.3,36.54,4.79,2.1,2.68,19.12,-,-
5,臺北市,1997/12,萬華,4.4,1.22,13.3,50.0,-,48,16.03,32.4,-,-,-,17.9,-,-
6,臺北市,1997/12,陽明,1.5,0.22,40.4,15.0,-,-,-,-,-,-,-,13.13,-,-
7,臺北市,1997/12,士林,3.0,0.97,16.8,41.0,-,43,19.4,23.83,-,-,-,18.74,-,-
8,新北市,1997/12,板橋,7.6,1.27,11.8,67.0,-,62,25.31,36.83,3.11,0.98,2.14,18.91,-,-
9,新北市,1997/12,三重,7.3,2.75,-,79.0,50,148,103.84,40.62,-,-,-,18.56,-,-
10,新北市,1997/12,菜寮,6.2,1.45,12.1,66.0,-,65,29.79,35.02,-,-,-,18.89,-,-
11,新北市,1997/12,永和,4.9,1.61,-,-,-,83,48.95,34.25,3.02,0.73,2.29,21.02,-,-
12,新北市,1997/12,新莊,7.0,0.93,15.9,55.0,-,51,19.43,31.75,2.96,0.6,2.36,18.51,-,-
13,新北市,1997/12,新店,2.9,0.87,19.8,38.0,-,33,8.46,25.01,-,-,-,18.46,-,-
14,新北市,1997/12,淡水,2.7,0.82,26.5,46.0,-,27,8.84,17.87,-,-,-,17.98,-,-
15,新北市,1997/12,汐止,4.3,1.0,13.2,55.0,-,60,28.34,32.02,-,-,-,16.92,-,-
16,新北市,1997/12,土城,5.1,0.89,13.8,49.0,-,38,18.07,19.97,-,-,-,18.38,-,-
17,新北市,1997/12,林口,2.7,0.55,24.1,30.0,-,24,5.07,18.97,-,-,-,15.97,-,-
18,新北市,1997/12,萬里,1.4,0.22,36.8,43.0,-,8,1.76,6.05,2.28,0.13,2.14,18.07,-,-
19,臺中市,1997/12,西屯,4.9,0.8,17.2,75.0,-,41,14.55,26.41,2.41,0.36,2.05,19.12,-,-
20,臺中市,1997/12,忠明,5.2,1.17,13.4,84.0,43,60,24.99,35.37,-,-,-,18.54,-,-
21,臺中市,1997/12,豐原,5.1,0.92,14.1,64.0,-,43,14.04,28.62,-,-,-,18.24,-,-
22,臺中市,1997/12,沙鹿,7.9,0.69,17.2,58.0,-,38,11.78,26.1,-,-,-,18.51,-,-
