序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2016/05,松山,3.7,0.51,432.76,26.5,37,18,27.04,6.68,20.36,2.002,0.171,1.831,1.65,1.25,26.52,-,-,75.74,-
2,臺北市,2016/05,古亭,2.9,0.5,-,30,34,18,24.09,5.22,18.86,2.049,0.15,1.899,1.9,1.56,26.65,-,-,77.09,-
3,臺北市,2016/05,中山,3.7,0.67,-,24.4,44,20,33.96,8.97,24.99,2.114,0.209,1.905,1.92,1.4,27.46,-,-,78.16,-
4,臺北市,2016/05,大同,4.4,1.42,-,-,52,20,65.43,34.61,30.82,2.491,0.434,2.057,-,-,-,-,-,-,-
5,臺北市,2016/05,萬華,3.4,0.55,-,26.4,37,20,27.5,5.58,21.92,-,-,-,1.93,1.56,27.61,-,-,75.14,-
6,臺北市,2016/05,陽明,2,0.21,419.73,41,17,13,4.18,0.67,3.45,-,-,-,-,-,20.38,2.5,4.67,93.28,26.98
7,臺北市,2016/05,士林,3,0.39,-,29.6,31,18,16.36,2.39,13.97,-,-,-,2,1.76,26.97,-,-,74.66,-
8,新北市,2016/05,板橋,3.9,0.58,-,27.4,44,21,25.93,4.95,20.98,2.16,0.25,1.91,1.91,1.5,27.34,2.68,4.79,72.25,30.5
9,新北市,2016/05,三重,4.1,1.42,-,-,54,20,82.62,47.93,34.7,2.529,0.523,2.006,-,-,27.64,-,-,72.12,-
10,新北市,2016/05,菜寮,3.7,0.54,-,27.2,36,19,23.59,4.18,19.42,-,-,-,2.26,1.82,27.91,-,-,72.7,-
11,新北市,2016/05,永和,2.8,0.86,-,26.2,33,17,32.11,10.77,21.34,2.219,0.287,1.932,1.73,1.47,26.81,-,-,70.68,-
12,新北市,2016/05,新莊,4,0.63,-,27.9,38,23,24.13,4.51,19.62,-,-,-,2.29,1.98,27.29,-,-,69.88,-
13,新北市,2016/05,新店,2.4,0.4,-,33.8,31,18,16,2.86,13.14,-,-,-,3.48,2.62,26.26,-,-,74.2,-
14,新北市,2016/05,淡水,2.9,0.38,-,25.3,31,19,15.06,2.55,12.51,-,-,-,-,-,-,-,-,-,-
15,新北市,2016/05,汐止,4.1,0.42,-,24.3,35,16,23.27,5.93,17.34,-,-,-,1.55,1.24,26.04,-,-,80.32,-
16,新北市,2016/05,土城,3,0.5,-,29.1,35,17,22.77,5.17,17.6,2.026,0.195,1.831,1.43,0.79,26.77,-,-,76.74,-
17,新北市,2016/05,林口,3.1,0.35,-,30.6,51,22,19.85,3.88,15.96,-,-,-,2.67,2.3,25.21,-,-,87.44,-
18,新北市,2016/05,萬里,2.6,0.23,-,35.5,37,17,7.55,1.67,5.87,-,-,-,2.78,2.52,25.24,3.79,4.44,81.43,62.01
19,臺中市,2016/05,西屯,3.1,-,-,29.7,42,23,18.28,3.2,15.07,1.913,0.185,1.728,2.23,1.73,27.79,2.73,5.42,73.08,17.24
20,臺中市,2016/05,忠明,2.6,0.43,-,28.6,36,19,19.71,3.4,16.32,1.986,0.142,1.844,1.87,1.36,28.79,-,-,70.23,-
21,臺中市,2016/05,豐原,3.1,0.44,-,31.3,30,23,11.92,1.83,10.09,1.918,0.137,1.781,2.43,2.06,26.62,-,-,74.01,-
22,臺中市,2016/05,沙鹿,3,0.35,-,29.1,40,17,16.37,2.49,13.87,-,-,-,2.75,1.91,26.47,-,-,80.17,-
23,臺中市,2016/05,大里,2.7,0.45,434.55,28.7,47,21,19.02,3.42,15.6,1.967,0.186,1.781,1.8,1.43,27.29,-,-,70.95,-
24,臺南市,2016/05,新營,2.9,0.32,-,26.4,48,21,11.59,1.87,9.71,2.098,0.085,2.013,1.86,1.33,28.23,1.46,5.57,73.01,17.46
25,臺南市,2016/05,善化,2.9,0.27,425.3,27.1,38,19,11.22,1.5,9.7,-,-,-,2.39,2.04,27.6,-,-,77.46,-
26,臺南市,2016/05,安南,2.6,0.33,-,26.9,43,21,10.83,2.07,8.75,1.942,0.167,1.776,2.51,2.13,28.74,-,-,73.29,-
