序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/03,松山,2.9,0.63,428.69,30.3,56,34,8.08,25.59,2.22,0.218,2.002,19.35,72.86
2,臺北市,2013/03,古亭,2.8,0.66,-,31.1,62,32,7.63,24.2,2.2,0.219,1.977,19.74,74.6
3,臺北市,2013/03,中山,3.0,0.85,-,24.6,64,46,14.49,31.45,2.35,0.289,2.058,20.46,71.41
4,臺北市,2013/03,大同,3.8,1.57,-,-,65,75,38.03,37.28,2.67,0.549,2.118,-,-
5,臺北市,2013/03,萬華,3.4,0.73,-,24.5,58,37,8.38,28.87,-,-,-,20.15,72.27
6,臺北市,2013/03,陽明,1.6,0.25,407.01,49.6,21,4,1.0,2.97,-,-,-,13.69,92.29
7,臺北市,2013/03,士林,2.6,0.49,-,34.2,50,22,4.68,17.22,-,-,-,19.88,75.63
8,新北市,2013/03,板橋,4.9,0.71,-,30.8,61,34,7.6,26.01,2.4,0.369,2.032,20.28,69.2
9,新北市,2013/03,三重,4.2,1.72,-,-,82,116,70.87,44.65,2.8,0.683,2.112,19.88,69.39
10,新北市,2013/03,菜寮,3.4,0.69,-,30.6,55,31,7.82,23.52,-,-,-,20.14,70.34
11,新北市,2013/03,永和,3.1,1.02,-,25.9,54,43,16.27,26.35,2.41,0.384,2.026,20.39,77.24
12,新北市,2013/03,新莊,5.7,0.7,-,32.0,59,35,9.84,25.13,-,-,-,19.82,72.55
13,新北市,2013/03,新店,2.3,0.54,-,34.6,51,22,4.12,18.15,-,-,-,20.21,71.98
14,新北市,2013/03,淡水,2.7,0.46,-,36.7,49,19,3.97,14.81,-,-,-,-,-
15,新北市,2013/03,汐止,3.8,0.51,-,27.7,53,32,9.44,22.09,-,-,-,19.26,79.7
16,新北市,2013/03,土城,4.2,0.61,-,32.5,55,30,8.54,21.44,2.27,0.271,1.998,20.5,73.99
17,新北市,2013/03,林口,3.2,0.4,-,36.3,54,19,3.1,16.03,-,-,-,18.22,85.04
18,新北市,2013/03,萬里,2.3,0.3,-,47.2,63,9,1.75,7.12,-,-,-,18.46,79.85
19,臺中市,2013/03,西屯,2.7,0.4,-,34.7,73,21,3.83,17.24,2.11,0.267,1.842,21.21,71.97
20,臺中市,2013/03,忠明,2.8,0.56,-,31.0,70,27,5.38,21.83,2.13,0.199,1.928,20.9,67.78
21,臺中市,2013/03,豐原,3.4,0.51,-,31.4,59,16,2.49,13.1,2.01,0.126,1.887,19.43,70.04
22,臺中市,2013/03,沙鹿,3.0,0.41,-,38.1,63,18,2.32,15.64,-,-,-,20.18,73.5
23,臺中市,2013/03,大里,3.2,0.57,428.11,32.4,75,26,4.57,21.71,2.2,0.269,1.935,21.41,68.38
24,臺南市,2013/03,新營,3.7,0.44,-,35.4,105,19,2.46,16.29,2.18,0.114,2.068,21.97,74.8
25,臺南市,2013/03,善化,4.0,0.4,426.4,32.1,80,18,2.04,15.64,-,-,-,21.31,72.03
26,臺南市,2013/03,安南,3.3,0.4,-,39.1,87,17,2.79,14.2,2.14,0.176,1.965,22.44,69.43
27,臺南市,2013/03,臺南,3.4,0.51,-,37.9,88,18,1.95,15.9,2.07,0.202,1.866,22.86,71.32
28,高雄市,2013/03,左營,4.8,0.53,-,37.0,85,22,4.2,17.71,2.21,0.196,2.01,23.25,71.47
29,高雄市,2013/03,楠梓,4.2,0.48,-,33.2,94,24,4.08,20.07,2.06,0.178,1.88,23.21,70.75
30,高雄市,2013/03,前金,5.4,0.56,-,35.3,91,23,3.35,19.33,2.17,0.202,1.965,23.57,69.21
31,高雄市,2013/03,前鎮,6.1,0.55,-,33.1,82,28,4.01,24.34,2.24,0.266,1.975,23.55,68.57
32,高雄市,2013/03,復興,6.4,0.81,-,30.0,88,34,6.5,27.0,2.46,0.371,2.087,23.88,67.72
33,高雄市,2013/03,小港,7.9,0.59,-,30.7,85,34,6.07,28.42,2.18,0.257,1.919,24.4,67.63
34,高雄市,2013/03,鳳山,6.8,0.66,-,30.4,97,29,4.29,24.26,2.4,0.327,2.07,24.66,66.21
35,高雄市,2013/03,林園,7.3,0.42,-,37.1,51,23,3.06,19.43,2.13,0.126,2.005,23.11,71.56
36,高雄市,2013/03,大寮,7.2,0.51,-,32.6,78,27,4.18,22.72,2.34,0.26,2.079,23.87,71.59
37,高雄市,2013/03,仁武,5.7,0.5,-,30.9,92,29,5.17,23.39,2.2,0.235,1.962,23.28,70.75
38,高雄市,2013/03,橋頭,4.0,0.47,-,33.0,84,20,3.28,17.2,-,-,-,23.19,71.27
39,高雄市,2013/03,美濃,2.1,0.38,-,36.6,62,12,1.71,9.98,-,-,-,24.17,69.83
40,基隆市,2013/03,基隆,2.6,0.5,-,31.3,39,21,5.09,15.83,2.15,0.159,1.988,18.91,84.13
41,新竹市,2013/03,新竹,2.4,0.49,-,34.1,61,21,3.41,17.69,2.13,0.179,1.954,19.44,74.96
42,嘉義市,2013/03,嘉義,3.6,0.49,-,33.2,83,18,2.55,15.12,2.05,0.163,1.89,22.2,69.85
43,宜蘭縣,2013/03,宜蘭,1.4,0.35,419.26,36.9,47,9,1.42,7.08,-,-,-,20.24,76.81
44,宜蘭縣,2013/03,冬山,1.8,0.37,-,25.6,38,14,3.36,11.13,-,-,-,19.96,81.22
45,桃園市,2013/03,桃園,6.8,0.64,-,29.0,55,28,5.74,21.94,2.19,0.234,1.961,19.61,75.84
46,桃園市,2013/03,中壢,4.5,0.99,-,27.1,79,47,17.87,29.44,2.58,0.423,2.152,18.78,75.24
47,桃園市,2013/03,大園,4.7,0.37,-,36.6,58,22,3.95,17.91,-,-,-,19.12,78.62
48,桃園市,2013/03,龍潭,2.6,0.46,-,36.9,65,19,3.02,16.1,-,-,-,18.54,73.86
49,桃園市,2013/03,平鎮,4.2,0.46,-,33.1,67,23,3.56,19.69,-,-,-,18.97,78.04
50,桃園市,2013/03,觀音,6.3,0.32,-,36.0,71,12,1.58,10.87,-,-,-,18.99,81.1
51,新竹縣,2013/03,竹東,2.1,0.4,-,33.7,49,15,2.25,12.7,-,-,-,19.56,76.67
52,新竹縣,2013/03,湖口,3.2,0.35,-,39.6,57,16,2.31,13.46,-,-,-,19.07,77.67
53,苗栗縣,2013/03,苗栗,3.0,0.46,-,32.1,62,19,3.4,16.04,-,-,-,19.91,75.42
54,苗栗縣,2013/03,頭份,2.5,0.4,-,35.7,60,19,2.95,15.62,2.12,0.12,1.995,19.58,75.35
55,苗栗縣,2013/03,三義,2.1,0.33,-,38.3,53,12,1.81,10.44,-,-,-,17.97,81.54
56,彰化縣,2013/03,彰化,3.7,0.49,-,34.4,67,20,2.38,17.22,1.8,0.2,1.603,20.83,70.01
57,彰化縣,2013/03,線西,3.9,0.37,-,39.8,74,17,2.2,14.5,1.8,0.138,1.659,20.15,78.6
58,彰化縣,2013/03,二林,3.4,0.36,-,38.1,86,14,1.92,12.42,-,-,-,20.79,75.99
59,南投縣,2013/03,南投,2.6,0.52,-,31.9,80,21,3.32,17.64,2.15,0.197,1.952,21.32,68.35
60,南投縣,2013/03,埔里,1.9,0.44,-,36.0,60,15,1.85,13.49,-,-,-,21.07,72.5
61,南投縣,2013/03,竹山,3.0,0.39,-,32.5,72,18,2.51,15.6,-,-,-,20.78,70.15
62,雲林縣,2013/03,斗六,3.2,0.43,-,35.6,80,17,2.19,15.14,-,-,-,22.15,69.4
63,雲林縣,2013/03,崙背,3.6,0.39,-,35.2,76,15,1.82,13.47,-,-,-,21.39,78.15
64,雲林縣,2013/03,麥寮,3.0,0.36,-,41.5,70,14,2.27,11.24,-,-,-,21.41,77.8
65,雲林縣,2013/03,臺西,2.8,0.32,-,46.7,65,10,1.7,8.45,2.03,0.069,1.964,21.27,80.03
66,嘉義縣,2013/03,朴子,3.3,0.38,-,36.4,92,14,2.08,12.26,-,-,-,21.77,71.61
67,嘉義縣,2013/03,新港,3.6,0.41,-,36.1,83,15,2.44,12.76,-,-,-,21.54,73.59
68,屏東縣,2013/03,屏東,3.8,0.55,-,34.0,79,18,1.95,16.38,2.17,0.169,2.004,24.25,68.19
69,屏東縣,2013/03,潮州,3.3,0.4,-,32.7,88,14,1.71,11.96,-,-,-,23.45,74.35
70,屏東縣,2013/03,恆春,0.8,0.2,402.85,46.1,30,2,0.97,1.42,-,-,-,23.47,74.91
71,臺東縣,2013/03,臺東,1.0,0.39,-,36.4,37,8,1.78,5.87,-,-,-,22.99,71.99
72,臺東縣,2013/03,關山,1.1,-,-,33.6,31,5,1.25,3.73,-,-,-,21.28,77.73
73,花蓮縣,2013/03,花蓮,1.3,0.45,-,32.6,35,12,2.0,10.46,-,-,-,22.2,76.17
74,澎湖縣,2013/03,馬公,2.8,0.27,-,50.0,56,5,1.07,3.91,-,-,-,20.73,73.39
75,金門縣,2013/03,金門,6.1,0.42,-,38.6,93,17,2.67,14.56,-,-,-,16.9,76.4
76,連江縣,2013/03,馬祖,3.4,0.38,-,54.8,71,9,1.73,7.42,-,-,-,13.83,82.26
,,,,,,,,,,,,,,,,
