序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1996/03,松山,7.0,1.23,15.7,54.0,57,20,37.28,-,-,-,18.42,-,-
2,臺北市,1996/03,古亭,5.4,1.33,20.5,67.0,59,24,35.03,2.59,0.49,2.1,18.88,-,-
3,臺北市,1996/03,中山,6.9,1.51,16.8,60.0,66,25,41.08,2.75,0.54,2.22,18.77,-,-
4,臺北市,1996/03,大同,12.3,4.76,-,72.0,225,165,60.22,4.99,2.51,2.49,19.28,-,-
5,臺北市,1996/03,萬華,6.7,1.35,18.8,59.0,51,15,36.35,-,-,-,18.67,-,-
6,臺北市,1996/03,陽明,2.5,0.32,44.6,20.0,5,0,4.39,-,-,-,13.29,-,-
7,臺北市,1996/03,士林,4.5,0.94,20.5,56.0,36,11,25.08,-,-,-,19.02,-,-
8,新北市,1996/03,板橋,10.5,1.26,18.4,74.0,55,17,37.46,2.96,0.67,2.29,18.66,-,-
9,新北市,1996/03,三重,8.9,2.95,-,79.0,160,109,51.57,-,-,-,19.41,-,-
10,新北市,1996/03,菜寮,7.5,1.35,16.8,67.0,58,23,35.32,-,-,-,18.78,-,-
11,新北市,1996/03,新莊,10.4,1.0,23.1,54.0,57,24,32.09,3.15,0.65,2.5,18.61,-,-
12,新北市,1996/03,新店,4.1,0.88,27.5,53.0,28,5,22.26,-,-,-,18.69,-,-
13,新北市,1996/03,淡水,3.0,0.9,27.3,54.0,26,6,19.61,-,-,-,17.84,-,-
14,新北市,1996/03,汐止,9.2,1.09,15.4,66.0,65,28,37.54,-,-,-,17.43,-,-
15,新北市,1996/03,土城,8.9,1.02,19.6,61.0,43,11,31.27,-,-,-,18.59,-,-
16,新北市,1996/03,林口,4.6,0.2,33.6,53.0,25,5,19.95,-,-,-,16.35,-,-
