序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/07,松山,2.7,0.3,422.91,17.9,25,12,18.78,6.48,12.3,1.825,0.107,1.719,2.07,1.56,30.33,-,-,65.98,-
2,臺北市,2018/07,古亭,2.2,0.28,-,19.1,22,9,16.37,5.07,11.3,1.884,0.097,1.787,2.44,2.03,30.48,-,-,62.55,-
3,臺北市,2018/07,中山,2.6,0.46,-,13.6,26,13,24.56,9.22,15.34,1.961,0.155,1.806,2.28,1.75,30.72,-,-,68.93,-
4,臺北市,2018/07,大同,3.1,1.1,-,-,41,13,51.72,32.38,19.35,2.231,0.323,1.908,-,-,-,-,-,-,-
5,臺北市,2018/07,萬華,2.1,0.35,-,15.5,26,12,18.91,5.6,13.31,-,-,-,2.07,1.59,30.96,-,-,66.08,-
6,臺北市,2018/07,陽明,1.8,0.09,412.68,24.4,12,8,2.93,0.57,2.31,-,-,-,3,-,22.98,2.08,4.47,90.58,38.07
7,臺北市,2018/07,士林,2.2,0.21,-,18.7,24,12,11.6,2.68,8.92,-,-,-,2.73,2.42,30.75,-,-,72.68,-
8,新北市,2018/07,板橋,3.1,0.34,-,18.1,32,9,17.75,4.78,12.97,2.024,0.17,1.854,2.42,1.93,31.09,40.67,4.75,65.25,30.67
9,新北市,2018/07,三重,3.3,0.96,-,-,40,10,70.93,49.44,21.49,2.11,0.339,1.771,-,-,31.17,-,-,66.25,-
10,新北市,2018/07,菜寮,2.5,0.31,-,16.6,21,14,14.42,3.75,10.67,-,-,-,2.76,2.33,30.77,-,-,64.78,-
11,新北市,2018/07,永和,2.1,0.46,-,17.1,20,12,22.33,9.05,13.27,1.902,0.185,1.717,2.1,1.67,30.06,-,-,65.52,-
12,新北市,2018/07,新莊,3.6,0.29,-,19.7,22,11,15.04,4.4,10.64,-,-,-,3.04,2.61,30.78,-,-,59.77,-
13,新北市,2018/07,新店,1.8,0.23,-,21,20,12,9.73,2.59,7.14,-,-,-,2.26,1.84,30.24,-,-,70.61,-
14,新北市,2018/07,淡水,2.3,0.17,-,17.1,26,11,8.3,1.87,6.43,-,-,-,1.81,-,28.03,-,-,78.42,-
15,新北市,2018/07,汐止,2.8,0.26,-,20.4,21,8,15.82,4.97,10.85,-,-,-,1.93,1.51,30.38,-,-,71.98,-
16,新北市,2018/07,土城,2.3,0.29,-,19.8,24,12,15.34,4.24,11.09,1.944,0.125,1.819,1.84,1.13,30.66,-,-,64.82,-
17,新北市,2018/07,林口,2.6,0.18,-,21,27,7,12.23,3.2,9.03,-,-,-,3.2,2.79,28.97,-,-,73.61,-
18,新北市,2018/07,富貴角,1.1,0.09,-,23.5,19,11,3.45,0.42,3.1,1.789,0.022,1.768,5.42,5.23,28.94,-,-,80.94,-
19,新北市,2018/07,萬里,3.2,0.13,-,23.9,29,12,6.34,1.72,4.61,-,-,-,3.1,2.66,29.31,3.05,5.97,74.08,98.65
20,臺中市,2018/07,西屯,2.9,0.25,-,25,33,17,14.51,2.1,12.43,1.919,0.143,1.776,2.1,1.86,28.43,4.66,5.02,74.24,22.77
21,臺中市,2018/07,忠明,2.4,0.29,-,25.3,28,16,14.13,2.55,11.58,1.809,0.109,1.701,1.81,1.39,30.16,-,-,71.19,-
22,臺中市,2018/07,豐原,2.6,0.34,-,28.5,32,18,8.88,1.55,7.33,1.75,0.095,1.655,2.39,2.1,27.51,-,-,73.39,-
23,臺中市,2018/07,沙鹿,3,0.23,-,25.8,29,15,11.5,1.88,9.63,-,-,-,2.73,2.42,29.28,-,-,74.2,-
