序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/10,松山,2.4,0.38,424.55,37.9,32,14,21.43,3.42,18.02,1.875,0.104,1.771,1.79,1.38,22.88,-,-,74.56,-
2,臺北市,2018/10,古亭,1.9,0.38,-,41,26,14,19.3,3.2,16.1,2.014,0.099,1.915,2.24,1.95,23.37,-,-,72.89,-
3,臺北市,2018/10,中山,2,0.52,-,33,32,14,27.82,4.98,22.85,2.009,0.147,1.862,1.94,1.55,23.55,-,-,76.23,-
4,臺北市,2018/10,大同,2.8,1.08,-,-,49,14,62.34,29.18,33.17,2.291,0.311,1.981,-,-,-,-,-,-,-
5,臺北市,2018/10,萬華,2.1,0.43,-,35.6,33,14,24.74,3.59,21.15,-,-,-,2.1,1.77,24.02,-,-,71.41,-
6,臺北市,2018/10,陽明,1.5,0.17,415.32,54.6,14,8,1.72,0.3,1.39,-,-,-,2.9,-,16.81,2.22,4.33,94.14,79.84
7,臺北市,2018/10,士林,1.7,0.29,-,45.9,33,14,12.45,2.13,10.33,-,-,-,2.1,1.8,24.16,-,-,72.48,-
8,新北市,2018/10,板橋,2.4,0.44,-,37.6,35,15,21.22,2.39,18.83,2.119,0.166,1.953,2.1,1.71,23.72,1.03,4.68,70.65,107.31
9,新北市,2018/10,三重,3.1,1.18,-,-,47,13,82.02,44.92,37.11,2.302,0.366,1.935,-,-,24.15,-,-,71.91,-
10,新北市,2018/10,菜寮,2.2,0.44,-,35.5,39,12,18.71,2.2,16.51,-,-,-,2.53,2.19,23.69,-,-,70.33,-
11,新北市,2018/10,永和,2,0.54,-,40.6,28,13,21.31,5.47,15.84,2.017,0.16,1.857,1.91,1.63,22.99,-,-,73.78,-
12,新北市,2018/10,新莊,2.4,0.4,-,42.8,32,12,18.01,2.92,15.09,-,-,-,3.04,2.77,23.94,-,-,65.63,-
13,新北市,2018/10,新店,1.7,0.35,-,40.1,34,14,13.93,1.93,12,-,-,-,1.73,1.31,23.53,-,-,70.69,-
14,新北市,2018/10,淡水,1.7,0.3,-,40.4,35,15,9.05,1.26,7.77,-,-,-,1.4,-,22.21,-,-,81.07,-
15,新北市,2018/10,汐止,2.5,0.36,-,39.6,30,14,19.76,3.75,16.01,-,-,-,1.85,1.6,23.13,-,-,79.12,-
16,新北市,2018/10,土城,2,0.37,-,43.5,33,16,14.81,1.93,12.87,1.98,0.121,1.859,1.43,0.73,23.87,-,-,70.33,-
17,新北市,2018/10,林口,2.2,0.27,-,47.9,40,10,14.16,2.48,11.67,-,-,-,2.94,2.61,22.01,-,-,78.91,-
18,新北市,2018/10,富貴角,0.6,0.16,-,57.8,57,18,1.74,0.15,1.7,1.888,0.013,1.875,6.42,6.17,23.87,-,-,75.15,-
19,新北市,2018/10,萬里,2.9,0.2,-,56.6,56,13,5.13,1.08,4.04,-,-,-,5.34,5.12,23.34,1.96,4.46,78.24,207.94
20,臺中市,2018/10,西屯,2.1,0.31,-,43.2,38,20,13.39,1.18,12.28,1.944,0.115,1.829,3.01,2.71,23.9,2.44,5.39,67.36,109.75
21,臺中市,2018/10,忠明,2.2,0.38,-,39.5,35,18,18.86,2.61,16.25,1.913,0.129,1.784,2.11,1.64,24.92,-,-,64.41,-
22,臺中市,2018/10,豐原,1.9,0.31,-,39.8,36,16,11.11,1.35,9.76,1.909,0.12,1.789,1.99,1.67,23.2,-,-,67.97,-
23,臺中市,2018/10,沙鹿,2.2,0.3,-,45.8,39,17,12.72,1.4,11.33,-,-,-,4.36,3.99,24.27,-,-,70.51,-
