序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2016/02,松山,2.1,0.53,430.17,26.6,42,20,29.57,7.54,22.02,2.056,0.147,1.91,1.49,1.14,15.39,-,-,73.71,-
2,臺北市,2016/02,古亭,2,0.51,-,27.3,38,16,25.99,5.67,20.33,2.096,0.139,1.957,2.01,1.7,15.33,-,-,80.01,-
3,臺北市,2016/02,中山,2.4,0.7,-,22,43,23,39.8,12.32,27.48,2.178,0.216,1.962,1.84,1.37,16.25,-,-,77.58,-
4,臺北市,2016/02,大同,3,1.28,-,-,56,20,76.08,43.27,32.81,2.498,0.401,2.098,-,-,-,-,-,-,-
5,臺北市,2016/02,萬華,2.3,0.59,-,23.2,42,22,33.27,7.93,25.33,-,-,-,1.83,1.53,16.39,-,-,73.16,-
6,臺北市,2016/02,陽明,1.4,0.25,402.33,46.1,20,11,3.16,0.37,2.63,-,-,-,-,-,9.04,1.14,4.84,90.87,43.53
7,臺北市,2016/02,士林,2.4,0.42,-,34,37,17,17.73,3.94,13.79,-,-,-,2,1.61,15.77,-,-,70.8,-
8,新北市,2016/02,板橋,2.8,0.61,-,26.4,45,22,27.37,5.65,21.71,2.255,0.227,2.028,1.85,1.4,15.6,0.98,4.82,71.1,64.65
9,新北市,2016/02,三重,2.9,1.52,-,-,61,21,106.72,68.01,38.71,2.626,0.535,2.091,-,-,16.12,-,-,71.21,-
10,新北市,2016/02,菜寮,2.3,0.6,-,27.1,42,19,27.26,6.36,20.9,-,-,-,2.13,1.68,14.33,-,-,72.74,-
11,新北市,2016/02,永和,2,0.76,-,24.8,35,19,36.09,13.66,22.43,2.224,0.274,1.95,1.67,1.46,15.34,-,-,73.66,-
12,新北市,2016/02,新莊,2.6,0.7,-,28.2,39,22,26.08,5.38,20.7,-,-,-,2.77,2.36,15.54,-,-,73.83,-
13,新北市,2016/02,新店,2,0.48,-,26.6,35,21,20.15,3.42,16.73,-,-,-,3.33,2.52,15.31,-,-,76.69,-
14,新北市,2016/02,淡水,1.9,0.41,-,32,42,20,15.5,3.27,12.23,-,-,-,-,-,-,-,-,-,-
15,新北市,2016/02,汐止,2.2,0.49,-,30,38,19,25.38,6.68,18.71,-,-,-,1.56,1.26,15.67,-,-,79.92,-
16,新北市,2016/02,土城,2.2,0.56,-,28.4,39,18,24.3,5.28,19.03,2.096,0.181,1.915,1.47,0.71,15.37,-,-,76.01,-
17,新北市,2016/02,林口,2.4,0.34,-,39.2,40,18,14.04,2.5,11.54,-,-,-,3.3,2.91,13.83,-,-,83.23,-
18,新北市,2016/02,萬里,2,0.28,-,44.5,52,16,6.51,1.51,4.99,-,-,-,5.39,4.68,15.77,1.6,4.48,77.1,206.44
19,臺中市,2016/02,西屯,2.1,0.4,-,31.2,50,27,19.53,3.49,16.03,1.937,0.147,1.79,3.51,1.64,16.21,0.97,5.18,73.27,31.84
20,臺中市,2016/02,忠明,2.2,0.52,-,25.8,45,25,25.7,5.68,20.01,1.982,0.163,1.819,2.15,1.1,16.77,-,-,68.78,-
21,臺中市,2016/02,豐原,2.3,0.43,-,29.7,26,24,13.48,2.45,11.02,1.907,0.121,1.786,2.23,1.48,15.19,-,-,70.32,-
22,臺中市,2016/02,沙鹿,2.3,0.41,-,32.5,48,24,15.6,2.29,13.32,-,-,-,4.72,1.64,14.93,-,-,76.17,-
23,臺中市,2016/02,大里,2.8,0.6,428.14,23.7,53,25,28.07,6.12,21.96,2.126,0.221,1.906,2.04,0.93,17.92,-,-,69.23,-
24,臺南市,2016/02,新營,3,0.47,-,28.6,74,37,19.74,2.84,16.9,2.162,0.111,2.051,2.61,1.28,17.12,1,6.06,74.49,54.5
