序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1999/06,松山,5.7,1.16,21.6,55.0,-,59,23.47,35.34,-,-,-,28.03,-,-,-
2,臺北市,1999/06,古亭,4.4,1.11,20.7,43.0,-,56,23.11,32.98,2.45,0.41,2.04,27.62,-,-,-
3,臺北市,1999/06,中山,6.1,1.23,20.7,-,-,55,21.45,33.83,2.72,0.49,2.23,28.9,-,-,-
4,臺北市,1999/06,大同,7.0,3.46,-,61.0,-,149,103.8,45.5,4.11,1.62,2.49,29.4,-,-,-
5,臺北市,1999/06,萬華,4.8,1.08,23.8,41.0,-,38,8.94,29.08,-,-,-,28.49,-,-,-
6,臺北市,1999/06,陽明,2.4,0.21,35.4,18.0,-,7,0.74,6.04,-,-,-,22.63,-,-,-
7,臺北市,1999/06,士林,4.1,0.87,16.2,38.0,-,36,11.97,23.92,-,-,-,28.09,-,-,-
8,新北市,1999/06,板橋,9.1,1.08,21.2,58.0,-,50,18.34,31.99,2.83,0.62,2.21,28.69,-,-,-
9,新北市,1999/06,三重,7.1,3.18,-,76.0,34,155,104.15,51.05,3.49,1.2,2.29,28.78,-,-,-
10,新北市,1999/06,菜寮,6.6,1.33,17.0,56.0,-,53,21.39,32.01,-,-,-,28.29,-,-,-
11,新北市,1999/06,永和,6.3,1.95,-,61.0,-,79,42.38,33.55,2.96,0.85,2.11,27.63,-,-,-
12,新北市,1999/06,新莊,10.7,0.89,24.5,48.0,-,44,15.44,28.22,2.8,0.63,2.17,28.11,-,-,-
13,新北市,1999/06,新店,2.8,0.65,26.4,40.0,-,32,11.68,20.71,-,-,-,28.15,-,-,-
14,新北市,1999/06,淡水,3.9,0.52,16.3,42.0,-,35,10.8,23.95,-,-,-,28.09,-,-,-
15,新北市,1999/06,汐止,4.9,0.89,22.2,54.0,-,47,17.19,30.01,-,-,-,27.13,-,-,-
16,新北市,1999/06,土城,6.2,0.89,20.9,49.0,-,47,19.67,27.82,-,-,-,28.34,-,-,-
17,新北市,1999/06,林口,7.3,0.58,18.6,35.0,-,33,11.13,22.33,-,-,-,26.43,-,-,-
18,新北市,1999/06,萬里,1.8,0.29,32.9,26.0,-,11,1.76,9.24,2.14,0.05,2.09,27.33,-,-,-
19,臺中市,1999/06,西屯,3.2,0.48,14.2,50.0,-,28,10.89,16.81,2.34,0.21,2.13,28.54,-,-,-
20,臺中市,1999/06,忠明,2.4,0.86,14.9,46.0,18,28,10.99,16.6,-,-,-,28.94,-,-,-
21,臺中市,1999/06,豐原,3.0,0.63,18.1,39.0,-,24,4.32,19.95,-,-,-,27.54,-,-,-
22,臺中市,1999/06,沙鹿,2.4,0.47,14.4,28.0,-,17,4.02,13.09,-,-,-,28.83,-,-,-
23,臺中市,1999/06,大里,3.0,0.56,16.9,52.0,-,23,5.27,17.48,-,-,-,27.54,-,-,-
24,臺南市,1999/06,新營,-,0.42,14.7,31.0,-,13,2.51,10.8,2.41,0.19,2.22,28.8,-,-,-
25,臺南市,1999/06,善化,4.4,0.37,15.5,25.0,-,13,3.43,9.08,-,-,-,28.44,-,-,-
26,臺南市,1999/06,安南,5.2,-,18.3,35.0,-,18,5.68,12.28,-,-,-,28.29,-,-,-
27,臺南市,1999/06,臺南,5.7,0.56,17.7,40.0,-,21,7.57,13.15,2.32,0.23,2.1,27.48,-,-,-
28,高雄市,1999/06,左營,7.0,0.65,18.3,35.0,-,21,7.3,13.74,2.78,0.2,2.58,28.39,-,-,-
29,高雄市,1999/06,楠梓,9.0,0.48,16.3,43.0,-,29,12.14,16.41,2.63,0.42,2.21,28.53,-,-,-
30,高雄市,1999/06,前金,7.2,0.64,15.3,35.0,-,23,8.82,13.95,-,-,-,28.24,-,-,-
