序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/01,松山,4.2,0.95,16.0,53.0,-,59,25.22,34.19,-,-,-,17.06,-,-,-
2,臺北市,2000/01,古亭,3.2,1.03,16.1,53.0,28,54,21.82,31.89,2.63,0.44,2.18,17.4,-,-,-
3,臺北市,2000/01,中山,3.9,1.09,15.2,63.0,-,55,22.88,32.43,2.74,0.46,2.28,17.52,-,-,-
4,臺北市,2000/01,大同,7.3,3.33,-,70.0,-,183,134.14,48.39,3.83,1.55,2.28,18.05,-,-,-
5,臺北市,2000/01,萬華,3.5,1.0,16.0,51.0,-,45,14.41,31.03,-,-,-,16.89,-,-,-
6,臺北市,2000/01,陽明,1.1,0.3,45.1,17.0,-,3,0.21,2.45,-,-,-,11.2,-,-,-
7,臺北市,2000/01,士林,2.0,0.73,22.6,43.0,-,33,11.78,21.29,-,-,-,17.32,-,-,-
8,新北市,2000/01,板橋,5.6,1.05,15.0,64.0,-,50,16.99,32.56,2.67,0.47,2.2,17.48,-,-,-
9,新北市,2000/01,三重,4.8,2.75,-,90.0,25,174,123.92,50.17,3.18,1.08,2.1,17.6,-,-,-
10,新北市,2000/01,菜寮,4.0,1.05,17.0,64.0,-,49,18.25,30.48,-,-,-,17.44,-,-,-
11,新北市,2000/01,永和,6.0,1.47,-,63.0,-,77,43.78,33.01,2.91,0.68,2.23,16.8,-,-,-
12,新北市,2000/01,新莊,6.8,0.89,20.7,52.0,-,44,13.24,30.29,2.52,0.5,2.02,16.93,-,-,-
13,新北市,2000/01,新店,2.1,0.69,20.9,42.0,-,28,5.42,22.0,-,-,-,17.4,-,-,-
14,新北市,2000/01,淡水,2.6,0.63,29.3,43.0,-,21,5.75,15.57,-,-,-,16.56,-,-,-
15,新北市,2000/01,汐止,3.5,0.84,17.9,49.0,-,51,19.51,31.38,-,-,-,16.11,-,-,-
16,新北市,2000/01,土城,3.9,0.92,18.4,50.0,-,44,15.25,28.6,-,-,-,16.84,-,-,-
17,新北市,2000/01,林口,2.9,0.45,27.6,43.0,-,24,6.09,18.3,-,-,-,14.95,-,-,-
18,新北市,2000/01,萬里,1.5,0.32,39.3,51.0,-,8,1.15,6.64,2.1,0.03,2.06,16.36,-,-,-
19,臺中市,2000/01,西屯,3.8,0.84,22.8,89.0,-,55,29.49,25.8,-,-,-,17.06,-,-,-
20,臺中市,2000/01,忠明,4.1,1.2,18.1,86.0,35,62,31.72,29.77,-,-,-,17.54,-,-,-
21,臺中市,2000/01,豐原,3.6,0.76,18.0,67.0,-,43,13.59,29.06,-,-,-,16.33,-,-,-
22,臺中市,2000/01,沙鹿,5.7,0.69,18.5,72.0,-,35,11.31,24.02,-,-,-,16.49,-,-,-
23,臺中市,2000/01,大里,3.8,0.93,14.3,79.0,-,58,22.92,34.69,-,-,-,16.28,-,-,-
24,臺南市,2000/01,新營,3.3,0.61,22.6,77.0,-,33,7.46,25.59,2.55,0.25,2.3,17.83,-,-,-
25,臺南市,2000/01,善化,4.2,0.59,20.6,99.0,-,33,7.5,25.53,-,-,-,17.94,-,-,-
26,臺南市,2000/01,安南,3.9,0.61,22.9,96.0,-,31,7.09,24.14,-,-,-,17.38,-,-,-
27,臺南市,2000/01,臺南,5.4,1.01,14.9,103.0,-,45,13.4,31.49,2.85,0.52,2.33,18.23,-,-,-
28,高雄市,2000/01,左營,7.1,0.87,24.8,122.0,-,42,11.38,30.71,2.89,0.4,2.48,18.48,-,-,-
29,高雄市,2000/01,楠梓,4.8,0.58,20.1,108.0,-,41,11.9,29.15,2.54,0.29,2.25,18.54,-,-,-
30,高雄市,2000/01,前金,7.9,0.93,18.1,110.0,-,45,12.81,32.5,-,-,-,19.94,-,-,-
31,高雄市,2000/01,前鎮,11.0,-,-,120.0,-,71,25.9,44.66,2.84,0.64,2.2,18.95,-,-,-
32,高雄市,2000/01,復興,11.3,1.5,-,150.0,-,88,36.87,51.63,3.18,1.04,2.14,19.21,-,-,-
33,高雄市,2000/01,小港,18.0,1.06,16.1,129.0,-,80,34.4,45.79,2.89,0.69,2.21,19.52,-,-,-
34,高雄市,2000/01,鳳山,19.1,1.13,12.8,147.0,63,68,28.77,39.65,-,-,-,19.36,-,-,-
35,高雄市,2000/01,林園,22.2,0.89,26.8,122.0,82,50,16.99,33.42,-,-,-,19.12,-,-,-
36,高雄市,2000/01,大寮,15.2,0.83,20.3,142.0,-,47,11.79,35.42,2.89,0.42,2.47,19.24,-,-,-
37,高雄市,2000/01,仁武,13.4,0.66,21.2,129.0,-,58,19.57,38.01,2.8,0.46,2.34,18.53,-,-,-
38,高雄市,2000/01,橋頭,5.5,0.65,19.9,88.0,-,44,11.5,32.03,2.56,0.22,2.34,17.99,-,-,-
39,高雄市,2000/01,美濃,1.7,0.56,25.9,95.0,-,23,2.95,19.63,-,-,-,19.01,-,-,-
40,基隆市,2000/01,基隆,6.1,0.8,23.1,62.0,-,41,14.52,26.31,2.61,0.31,2.3,16.68,-,-,-
41,新竹市,2000/01,新竹,4.9,0.74,20.5,59.0,-,36,11.98,24.29,2.75,0.32,2.43,16.6,-,-,-
42,嘉義市,2000/01,嘉義,4.7,0.9,14.9,100.0,-,52,16.74,34.9,2.58,0.46,2.12,17.77,-,-,-
43,宜蘭縣,2000/01,宜蘭,1.4,0.5,26.2,37.0,-,18,2.73,15.16,-,-,-,17.37,-,-,-
44,宜蘭縣,2000/01,冬山,1.6,0.55,19.6,46.0,-,28,10.04,18.22,2.48,0.24,2.24,17.96,-,-,-
45,桃園市,2000/01,桃園,8.0,0.74,20.6,55.0,-,41,12.0,28.74,2.52,0.41,2.11,15.99,-,-,-
46,桃園市,2000/01,中壢,5.4,1.16,-,53.0,-,67,32.0,34.51,-,-,-,15.84,-,-,-
47,桃園市,2000/01,大園,2.9,0.45,33.8,54.0,-,22,7.47,14.36,-,-,-,16.44,-,-,-
48,桃園市,2000/01,龍潭,3.4,0.6,21.2,54.0,-,31,7.56,23.59,-,-,-,15.12,-,-,-
49,桃園市,2000/01,平鎮,4.9,0.75,19.3,46.0,-,39,11.11,28.3,2.4,0.21,2.18,15.17,-,-,-
50,桃園市,2000/01,觀音,4.6,0.33,32.3,-,-,20,5.04,14.98,2.77,0.22,2.55,15.94,-,-,-
51,新竹縣,2000/01,竹東,2.1,0.58,22.4,64.0,-,29,6.95,22.72,-,-,-,16.35,-,-,-
52,新竹縣,2000/01,湖口,2.8,0.52,28.9,62.0,-,24,6.86,17.22,-,-,-,15.96,-,-,-
53,苗栗縣,2000/01,苗栗,4.5,0.65,16.6,61.0,-,45,16.92,27.94,-,-,-,15.92,-,-,-
54,苗栗縣,2000/01,頭份,14.1,-,-,60.0,-,36,14.92,20.64,2.54,0.19,2.35,16.11,-,-,-
55,苗栗縣,2000/01,三義,1.8,0.32,23.8,60.0,-,25,6.5,18.47,-,-,-,14.09,-,-,-
56,彰化縣,2000/01,彰化,5.0,0.99,15.2,96.0,-,55,22.13,32.42,2.67,0.42,2.25,16.96,-,-,-
57,彰化縣,2000/01,線西,6.2,-,-,68.0,-,25,5.62,19.15,2.15,0.1,2.05,16.24,-,-,-
58,彰化縣,2000/01,二林,3.7,0.5,25.0,91.0,-,25,5.64,18.97,-,-,-,17.19,-,-,-
59,南投縣,2000/01,南投,2.0,0.88,15.3,110.0,-,50,17.65,32.12,2.55,0.38,2.17,17.72,-,-,-
60,南投縣,2000/01,竹山,2.8,0.69,13.9,109.0,-,41,10.88,30.11,-,-,-,17.38,-,-,-
61,雲林縣,2000/01,斗六,4.8,0.78,14.4,73.0,-,44,14.67,29.13,-,-,-,17.07,-,-,-
62,雲林縣,2000/01,崙背,2.9,0.52,22.7,109.0,-,27,5.64,21.69,1.88,0.14,1.74,17.46,-,-,-
63,雲林縣,2000/01,臺西,1.9,0.47,32.1,72.0,-,16,2.86,12.98,-,-,-,16.41,-,-,-
64,嘉義縣,2000/01,朴子,2.8,0.43,23.4,90.0,-,24,4.53,19.78,-,-,-,17.25,-,-,-
65,嘉義縣,2000/01,新港,3.8,0.42,27.7,-,-,29,6.56,22.17,-,-,-,16.57,-,-,-
66,屏東縣,2000/01,屏東,3.6,0.79,24.0,106.0,-,30,5.15,24.39,2.58,0.31,2.26,19.33,-,-,-
67,屏東縣,2000/01,潮州,4.8,0.71,26.4,154.0,-,35,6.31,28.76,-,-,-,19.16,-,-,-
68,屏東縣,2000/01,恆春,0.3,0.29,36.7,27.0,-,2,0.01,1.65,-,-,-,21.16,-,-,-
69,臺東縣,2000/01,臺東,0.5,0.52,27.0,40.0,-,13,2.62,9.89,2.14,0.09,2.04,20.05,-,-,-
70,花蓮縣,2000/01,花蓮,0.8,0.71,20.2,38.0,-,24,6.23,17.84,2.27,0.25,2.02,18.93,-,-,-
71,連江縣,2000/01,馬祖,-,-,-,56.0,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,
