序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1994/02,松山,5.9,1.4,12.1,60.0,71,31,38.21,-,-,-,16.22,-,-
2,臺北市,1994/02,古亭,3.6,1.71,11.0,55.0,82,40,37.96,1.95,0.5,1.7,16.55,-,-
3,臺北市,1994/02,中山,5.6,1.75,9.5,58.0,84,42,38.75,2.71,0.55,2.17,16.44,-,-
4,臺北市,1994/02,大同,11.1,4.98,-,120.0,253,192,59.17,4.93,2.55,2.41,16.84,-,-
5,臺北市,1994/02,萬華,5.1,1.53,12.5,58.0,59,23,34.78,-,-,-,16.36,-,-
6,臺北市,1994/02,陽明,1.8,0.34,42.5,-,3,0,2.37,-,-,-,10.68,-,-
7,臺北市,1994/02,士林,2.8,1.08,16.4,55.0,53,25,23.6,-,-,-,16.36,-,-
8,新北市,1994/02,板橋,7.7,1.46,12.6,63.0,64,25,37.58,2.87,0.8,2.08,17.14,-,-
9,新北市,1994/02,菜寮,5.7,1.55,11.9,70.0,70,35,32.88,-,-,-,16.44,-,-
10,新北市,1994/02,新莊,8.2,1.29,15.0,54.0,52,19,29.28,2.93,0.9,2.11,15.9,-,-
11,新北市,1994/02,新店,3.8,0.98,15.2,49.0,39,10,27.64,-,-,-,16.38,-,-
12,新北市,1994/02,淡水,1.8,0.8,25.7,54.0,23,7,14.41,-,-,-,15.78,-,-
13,新北市,1994/02,汐止,6.4,1.05,12.7,68.0,69,34,32.3,-,-,-,15.56,-,-
14,新北市,1994/02,土城,5.6,1.09,16.4,57.0,42,17,26.18,-,-,-,16.38,-,-
15,新北市,1994/02,林口,3.6,0.59,28.6,44.0,18,5,12.69,-,-,-,14.3,-,-
16,新北市,1994/02,萬里,1.2,0.39,38.7,50.0,7,1,4.85,1.62,0.08,1.54,15.87,-,-
17,臺中市,1994/02,西屯,4.3,0.8,20.3,59.0,36,12,24.51,1.99,0.28,1.73,17.32,-,-
18,臺中市,1994/02,忠明,5.2,1.35,14.0,82.0,73,32,36.38,-,-,-,17.23,-,-
19,臺中市,1994/02,豐原,5.7,1.13,16.1,57.0,51,15,35.9,-,-,-,16.3,-,-
20,臺中市,1994/02,沙鹿,7.6,0.74,22.3,61.0,30,7,23.0,-,-,-,16.79,-,-
21,臺中市,1994/02,大里,6.5,1.21,11.3,69.0,57,19,38.61,-,-,-,18.12,-,-
22,臺南市,1994/02,新營,6.3,0.72,18.7,82.0,39,-,29.1,-,-,-,17.99,-,-
23,臺南市,1994/02,善化,5.6,0.61,21.9,86.0,25,4,20.28,-,-,-,18.72,-,-
24,臺南市,1994/02,安南,6.4,0.74,21.7,87.0,33,11,21.17,-,-,-,18.97,-,-
25,臺南市,1994/02,臺南,8.8,1.14,17.2,112.0,38,12,25.37,2.58,0.51,2.06,19.46,-,-
26,高雄市,1994/02,左營,11.1,1.04,21.9,87.0,47,15,31.94,2.54,0.39,2.17,19.49,-,-
27,高雄市,1994/02,楠梓,7.2,0.75,16.7,95.0,48,15,32.29,2.55,0.37,2.21,21.37,-,-
28,高雄市,1994/02,前金,12.3,1.29,16.3,112.0,60,21,38.8,-,-,-,20.34,-,-
29,高雄市,1994/02,前鎮,15.7,-,-,109.0,77,30,45.86,2.54,0.69,1.87,20.64,-,-
30,高雄市,1994/02,小港,24.1,1.37,15.3,125.0,84,40,42.67,2.7,0.64,2.04,22.21,-,-
31,高雄市,1994/02,鳳山,30.5,1.31,16.5,139.0,77,29,45.5,-,-,-,20.49,-,-
32,高雄市,1994/02,林園,32.9,0.97,24.2,147.0,47,14,32.3,1.22,0.54,0.73,21.2,-,-
33,高雄市,1994/02,大寮,32.7,0.93,20.8,134.0,44,11,33.03,-,-,-,21.39,-,-
34,高雄市,1994/02,仁武,27.4,0.92,13.4,110.0,58,23,35.47,1.95,0.55,1.46,20.05,-,-
35,高雄市,1994/02,橋頭,9.1,0.79,18.3,102.0,-,31,27.4,1.78,0.29,1.5,20.26,-,-
36,高雄市,1994/02,美濃,4.2,0.7,26.2,116.0,27,3,23.2,-,-,-,20.6,-,-
37,基隆市,1994/02,基隆,11.1,1.04,21.2,49.0,44,16,26.33,2.37,0.38,2.0,16.22,-,-
38,新竹市,1994/02,新竹,4.2,0.82,32.5,-,34,10,23.04,2.19,-,1.97,16.06,-,-
39,嘉義市,1994/02,嘉義,6.8,1.19,16.1,102.0,61,19,42.09,2.57,0.53,2.06,18.51,-,-
40,宜蘭縣,1994/02,宜蘭,2.6,0.77,21.5,41.0,24,5,16.67,-,-,-,16.96,-,-
41,宜蘭縣,1994/02,冬山,1.7,-,-,46.0,26,9,15.71,2.39,0.2,2.18,16.69,-,-
42,桃園市,1994/02,桃園,9.6,0.96,18.0,54.0,43,14,28.01,2.69,0.38,2.33,15.41,-,-
43,桃園市,1994/02,大園,3.1,0.45,30.9,37.0,14,-,9.17,-,-,-,14.65,-,-
44,桃園市,1994/02,龍潭,7.0,0.82,16.7,55.0,35,10,24.62,-,-,-,14.24,-,-
45,桃園市,1994/02,平鎮,5.1,0.93,14.4,56.0,38,10,27.61,2.0,0.33,1.68,14.63,-,-
46,桃園市,1994/02,觀音,4.5,0.42,34.3,57.0,12,-,6.32,2.54,0.81,1.74,15.38,-,-
47,新竹縣,1994/02,竹東,2.3,0.68,16.4,58.0,33,8,23.29,-,-,-,15.66,-,-
48,新竹縣,1994/02,湖口,3.7,0.57,19.6,44.0,21,7,14.63,-,-,-,15.45,-,-
49,苗栗縣,1994/02,苗栗,6.7,0.72,19.6,43.0,39,11,27.05,-,-,-,15.9,-,-
50,苗栗縣,1994/02,頭份,63.5,-,-,62.0,49,23,23.51,2.35,0.29,2.09,16.11,-,-
51,苗栗縣,1994/02,三義,2.4,0.53,21.3,42.0,26,6,18.81,2.63,0.86,1.77,14.11,-,-
52,彰化縣,1994/02,彰化,7.8,1.09,12.7,108.0,52,20,31.74,1.9,0.54,1.6,17.49,-,-
53,彰化縣,1994/02,線西,5.5,-,-,48.0,31,8,22.07,2.08,0.12,1.95,16.87,-,-
54,彰化縣,1994/02,二林,5.4,0.59,21.7,72.0,19,4,16.67,-,-,-,16.91,-,-
55,南投縣,1994/02,南投,4.0,1.05,15.0,68.0,47,13,31.18,-,-,-,17.65,-,-
56,雲林縣,1994/02,斗六,4.7,1.03,13.1,85.0,42,15,26.57,-,-,-,17.75,-,-
57,雲林縣,1994/02,崙背,5.5,0.7,19.2,73.0,31,7,23.41,-,-,-,17.2,-,-
58,雲林縣,1994/02,臺西,4.0,0.49,29.3,63.0,15,-,13.62,-,-,-,17.47,-,-
59,嘉義縣,1994/02,朴子,4.1,0.53,22.6,76.0,24,22,36.7,-,-,-,17.88,-,-
60,嘉義縣,1994/02,新港,5.3,0.6,21.2,75.0,30,5,24.38,-,-,-,17.59,-,-
61,屏東縣,1994/02,屏東,8.6,1.01,22.6,123.0,37,5,30.38,2.89,1.22,2.48,21.38,-,-
62,屏東縣,1994/02,潮州,9.4,0.78,23.4,116.0,34,6,25.69,-,-,-,20.81,-,-
63,屏東縣,1994/02,恆春,1.1,0.6,39.5,28.0,-,-,-,-,-,-,21.26,-,-
64,臺東縣,1994/02,臺東,1.1,2.47,21.5,41.0,18,3,13.58,2.17,0.17,2.02,19.89,-,-
65,花蓮縣,1994/02,花蓮,1.4,0.97,15.2,39.0,29,10,25.02,1.87,0.28,1.67,18.43,-,-
,,,,,,,,,,,,,,,,
