序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2013/11,松山,3.2,0.5,421.16,26.5,47,28,6.22,21.66,2.08,0.163,1.912,20.71,72.63
2,臺北市,2013/11,古亭,2.9,0.5,-,27.0,57,25,6.25,18.33,2.03,0.132,1.894,21.11,75.52
3,臺北市,2013/11,中山,3.2,0.67,-,21.2,79,37,11.6,24.92,2.16,0.226,1.936,21.87,71.99
4,臺北市,2013/11,大同,4.3,1.4,-,-,78,77,43.57,33.31,2.5,0.503,1.994,-,-
5,臺北市,2013/11,萬華,3.5,0.55,-,23.6,49,31,7.59,23.86,-,-,-,21.67,71.31
6,臺北市,2013/11,陽明,2.6,0.23,403.71,44.2,25,4,1.31,2.92,-,-,-,15.4,93.4
7,臺北市,2013/11,士林,3.0,0.39,-,34.0,54,19,5.46,13.3,-,-,-,21.7,68.82
8,新北市,2013/11,板橋,3.8,0.59,-,26.4,56,26,5.12,21.1,2.19,0.229,1.96,21.88,68.15
9,新北市,2013/11,三重,4.1,1.6,-,-,73,106,67.13,38.52,2.69,0.63,2.056,21.84,69.43
10,新北市,2013/11,菜寮,3.5,0.55,-,29.9,49,23,4.78,18.62,-,-,-,21.47,69.06
11,新北市,2013/11,永和,2.7,0.69,-,28.6,46,28,10.09,17.64,2.07,0.228,1.843,21.5,76.7
12,新北市,2013/11,新莊,4.2,0.54,-,30.1,47,25,5.19,19.39,-,-,-,21.38,72.12
13,新北市,2013/11,新店,2.4,0.44,-,32.9,45,17,3.2,13.36,-,-,-,21.6,70.78
14,新北市,2013/11,淡水,2.9,0.34,-,36.5,47,12,2.44,9.18,-,-,-,-,-
15,新北市,2013/11,汐止,4.1,0.42,-,24.5,48,27,8.18,18.63,-,-,-,20.48,81.65
16,新北市,2013/11,土城,3.3,0.49,-,30.8,51,20,4.75,15.53,2.13,0.198,1.933,22.12,71.19
17,新北市,2013/11,林口,3.2,0.34,-,34.6,51,15,2.48,12.44,-,-,-,19.56,77.71
18,新北市,2013/11,萬里,3.0,0.26,-,41.0,66,8,1.81,6.03,-,-,-,20.26,77.62
19,臺中市,2013/11,西屯,3.5,0.46,-,30.2,75,24,5.91,18.58,2.1,0.249,1.852,22.12,70.84
20,臺中市,2013/11,忠明,4.1,0.62,-,28.9,70,32,7.39,24.14,2.11,0.239,1.874,22.36,66.58
21,臺中市,2013/11,豐原,3.0,0.44,-,32.0,61,15,2.37,12.67,2.01,0.191,1.814,20.87,70.3
22,臺中市,2013/11,沙鹿,3.6,0.4,-,30.7,72,19,2.7,16.03,-,-,-,21.5,72.58
23,臺中市,2013/11,大里,3.9,0.65,431.62,25.0,76,31,6.13,24.87,2.13,0.313,1.813,22.26,68.02
24,臺南市,2013/11,新營,3.6,0.46,-,30.7,121,21,3.2,17.63,2.1,0.14,1.955,22.42,76.74
25,臺南市,2013/11,善化,4.7,0.45,437.55,28.8,103,22,2.8,19.21,-,-,-,22.28,75.06
26,臺南市,2013/11,安南,4.6,0.46,-,34.9,110,21,3.63,17.71,2.14,0.177,1.959,22.68,73.33
27,臺南市,2013/11,臺南,4.5,0.59,-,35.2,101,23,2.7,20.09,2.12,0.254,1.868,23.24,73.05
28,高雄市,2013/11,左營,5.7,0.61,-,35.6,105,26,3.4,22.11,2.31,0.244,2.066,23.21,70.75
29,高雄市,2013/11,楠梓,4.9,0.55,-,32.7,117,26,4.74,21.49,2.15,0.208,1.943,23.33,73.52
30,高雄市,2013/11,前金,5.2,0.62,-,33.4,111,27,3.39,23.29,2.24,0.245,1.99,23.9,71.09
31,高雄市,2013/11,前鎮,7.0,0.74,-,31.2,107,37,6.14,30.38,2.34,0.333,2.006,23.9,71.74
32,高雄市,2013/11,復興,7.1,0.97,-,27.4,105,40,7.58,32.74,2.58,0.474,2.106,24.21,69.5
33,高雄市,2013/11,小港,9.3,0.69,-,29.6,117,41,7.51,33.92,2.29,0.331,1.956,25.03,68.15
34,高雄市,2013/11,鳳山,8.5,0.73,-,29.7,122,33,4.76,28.34,2.46,0.398,2.062,24.57,72.8
35,高雄市,2013/11,林園,7.9,0.5,-,34.4,64,23,2.75,20.16,2.28,0.175,2.107,23.8,73.64
36,高雄市,2013/11,大寮,6.7,0.57,-,32.0,98,26,3.25,23.22,2.27,0.269,2.004,23.9,72.06
37,高雄市,2013/11,仁武,7.2,0.6,-,28.6,106,34,6.16,27.77,2.37,0.319,2.047,23.41,72.65
38,高雄市,2013/11,橋頭,5.4,0.57,-,31.2,115,25,3.99,21.22,-,-,-,23.39,73.13
