序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2001/11,松山,3.7,0.81,-,24.2,57,-,48.54,17.16,31.38,-,-,-,19.93,-,-,-
2,臺北市,2001/11,古亭,2.7,0.79,-,24.9,45,28,41.03,11.71,29.33,2.385,0.37,2.02,20.28,-,-,-
3,臺北市,2001/11,中山,2.3,0.83,-,24.6,64,-,44.96,13.25,31.71,2.353,0.31,2.05,20.93,-,-,-
4,臺北市,2001/11,大同,5.6,2.8,-,-,74,-,157.58,105.41,52.17,3.71,1.37,2.34,21.5,-,-,-
5,臺北市,2001/11,萬華,2.5,0.79,-,25.9,48,-,27.32,4.23,23.09,-,-,-,20.77,-,-,-
6,臺北市,2001/11,陽明,1.4,0.29,-,56.6,21,-,2.8,0.35,2.45,-,-,-,13.9,-,-,-
7,臺北市,2001/11,士林,2.5,0.62,-,32.5,52,-,26.88,8.04,18.7,-,-,-,19.87,-,-,-
8,新北市,2001/11,板橋,4.8,0.86,-,26.3,47,-,38.19,7.44,30.74,2.423,0.38,2.07,23.17,-,-,-
9,新北市,2001/11,三重,5.8,2.39,-,-,75,-,142.54,92.55,50.16,2.867,0.76,2.11,-,-,-,-
10,新北市,2001/11,菜寮,3.7,0.88,-,27.7,55,-,38.43,10.96,27.47,-,-,-,21.07,-,-,-
11,新北市,2001/11,永和,4.2,1.23,-,23.1,54,-,50.43,20.67,29.74,2.525,0.52,2.07,20.67,-,-,-
12,新北市,2001/11,新莊,4.1,0.79,-,27.9,61,-,36.14,8.41,28.06,2.457,0.47,1.99,20.21,-,-,-
13,新北市,2001/11,新店,2.0,0.58,-,30.6,40,-,21.24,2.83,18.41,-,-,-,20.46,-,-,-
14,新北市,2001/11,淡水,1.9,0.49,-,39.7,44,-,15.98,3.95,12.04,-,-,-,20.17,-,-,-
15,新北市,2001/11,汐止,3.6,0.6,-,31.4,63,-,30.51,9.85,20.65,-,-,-,20.01,-,-,-
16,新北市,2001/11,土城,3.3,0.67,-,32.7,46,-,29.62,7.09,22.76,-,-,-,21.39,-,-,-
17,新北市,2001/11,林口,2.6,0.49,-,38.2,55,-,21.54,3.23,18.5,-,-,-,19.06,-,-,-
18,新北市,2001/11,萬里,1.3,0.26,-,51.2,58,-,4.5,0.53,3.98,1.96,0.04,1.92,20.58,-,-,-
19,臺中市,2001/11,西屯,3.0,0.63,-,30.5,66,-,32.83,13.01,19.93,2.224,0.25,1.97,20.03,-,-,-
20,臺中市,2001/11,忠明,3.1,0.87,-,22.6,64,26,42.78,11.6,31.18,-,-,-,20.96,-,-,-
21,臺中市,2001/11,豐原,3.0,0.77,-,27.8,50,-,32.05,6.82,25.24,-,-,-,19.45,-,-,-
22,臺中市,2001/11,沙鹿,5.3,0.56,-,27.9,70,-,26.57,4.79,21.8,-,-,-,20.78,-,-,-
23,臺中市,2001/11,大里,3.1,0.96,-,23.0,56,-,41.21,9.77,31.44,-,-,-,20.98,-,-,-
24,臺南市,2001/11,新營,4.9,0.55,-,26.3,87,-,33.73,8.5,25.24,2.291,0.19,2.1,20.77,-,-,-
25,臺南市,2001/11,善化,5.2,0.52,-,30.1,73,-,27.47,4.76,22.71,-,-,-,20.87,-,-,-
26,臺南市,2001/11,安南,6.8,0.56,-,29.7,78,-,30.47,6.55,23.92,-,-,-,21.28,-,-,-
27,臺南市,2001/11,臺南,5.6,0.8,-,30.6,93,-,33.39,5.72,27.68,2.565,0.36,2.2,21.53,-,-,-
28,高雄市,2001/11,左營,8.7,0.9,-,34.3,116,-,39.1,7.27,31.83,2.688,0.42,2.27,21.71,-,-,-
29,高雄市,2001/11,楠梓,5.5,0.68,-,24.9,89,-,38.17,8.22,29.96,2.395,0.25,2.15,21.74,-,-,-
30,高雄市,2001/11,前金,8.5,0.93,-,40.9,93,-,39.11,5.61,33.5,-,-,-,21.94,-,-,-
31,高雄市,2001/11,前鎮,12.7,-,-,-,107,-,52.7,14.46,38.24,2.666,0.54,2.12,22.36,-,-,-
32,高雄市,2001/11,復興,13.1,1.64,-,-,143,-,77.04,31.02,46.02,3.153,0.87,2.29,22.97,-,-,-
33,高雄市,2001/11,小港,17.2,1.02,-,26.3,103,-,69.89,23.62,46.28,2.669,0.54,2.13,22.72,-,-,-
34,高雄市,2001/11,鳳山,15.6,0.83,-,31.4,108,84,55.28,19.28,36.0,-,-,-,22.77,-,-,-
35,高雄市,2001/11,林園,15.9,0.52,-,39.8,111,69,32.89,6.12,26.77,2.834,0.52,2.32,22.78,-,-,-
36,高雄市,2001/11,大寮,17.1,0.8,-,29.6,112,-,37.33,5.25,32.26,2.712,0.37,2.34,21.77,-,-,-
37,高雄市,2001/11,仁武,14.4,0.74,-,29.9,106,-,52.03,14.82,37.2,3.002,0.49,2.51,21.9,-,-,-
38,高雄市,2001/11,橋頭,6.8,0.91,-,29.3,64,-,35.66,7.16,28.5,2.407,0.21,2.2,21.45,-,-,-
39,高雄市,2001/11,美濃,2.7,0.53,-,38.4,90,-,21.36,2.97,18.39,-,-,-,22.05,-,-,-
40,基隆市,2001/11,基隆,3.6,0.59,-,35.8,63,-,24.45,4.56,19.89,2.26,0.19,2.07,20.72,-,-,-
41,新竹市,2001/11,新竹,4.8,0.56,-,27.8,53,-,27.64,4.68,22.96,2.363,0.13,2.23,19.5,-,-,-
42,嘉義市,2001/11,嘉義,6.2,0.8,-,23.5,103,-,41.24,8.78,32.45,2.374,0.34,2.04,20.86,-,-,-
43,宜蘭縣,2001/11,宜蘭,1.6,0.49,-,32.4,39,-,15.08,1.33,13.76,-,-,-,20.74,-,-,-
44,宜蘭縣,2001/11,冬山,1.6,0.48,-,19.4,48,-,22.32,6.07,16.26,2.258,0.19,2.07,20.41,-,-,-
45,桃園市,2001/11,桃園,6.8,0.75,-,28.1,51,-,32.1,5.67,26.42,2.314,0.29,2.02,19.28,-,-,-
46,桃園市,2001/11,中壢,6.1,1.03,-,-,68,-,53.1,18.62,34.48,2.692,0.69,2.0,20.05,-,-,-
47,桃園市,2001/11,大園,3.7,0.4,-,36.2,54,-,19.27,3.7,15.57,-,-,-,20.43,-,-,-
48,桃園市,2001/11,龍潭,2.7,0.46,-,35.8,48,-,21.62,3.34,18.3,-,-,-,18.78,-,-,-
49,桃園市,2001/11,平鎮,5.7,0.73,-,31.7,58,-,27.84,4.18,23.66,2.406,0.27,2.13,20.01,-,-,-
50,桃園市,2001/11,觀音,6.4,0.35,-,38.0,53,-,20.84,3.11,17.84,2.221,0.19,2.03,20.08,-,-,-
51,新竹縣,2001/11,竹東,2.1,0.44,-,33.1,47,-,17.44,2.64,14.83,-,-,-,19.79,-,-,-
52,新竹縣,2001/11,湖口,3.1,0.47,-,33.7,56,-,21.35,5.51,16.08,-,-,-,22.44,-,-,-
53,苗栗縣,2001/11,苗栗,3.6,0.58,-,29.5,47,-,31.01,8.82,22.19,-,-,-,20.63,-,-,-
54,苗栗縣,2001/11,頭份,3.7,-,-,-,73,-,25.38,5.58,20.34,2.077,0.11,1.97,20.7,-,-,-
55,苗栗縣,2001/11,三義,1.8,0.37,-,35.5,37,-,15.96,1.71,14.28,1.988,0.11,1.87,17.04,-,-,-
56,彰化縣,2001/11,彰化,5.5,0.77,-,23.1,80,-,41.05,10.5,30.55,2.347,0.31,2.04,20.65,-,-,-
57,彰化縣,2001/11,線西,5.7,-,-,-,64,-,31.17,7.52,23.65,2.268,0.12,2.15,20.17,-,-,-
58,彰化縣,2001/11,二林,4.0,0.42,-,32.8,85,-,20.04,2.7,17.33,-,-,-,19.87,-,-,-
59,南投縣,2001/11,南投,1.9,0.78,-,23.2,77,-,37.82,9.44,28.39,2.376,0.31,2.07,20.39,-,-,-
60,南投縣,2001/11,埔里,2.0,0.91,-,30.0,113,-,19.21,3.23,14.89,2.265,0.24,2.02,19.35,-,-,-
61,南投縣,2001/11,竹山,3.3,0.66,-,23.9,86,-,34.27,6.67,27.6,-,-,-,20.3,-,-,-
62,雲林縣,2001/11,斗六,4.7,0.59,-,23.8,91,-,31.1,6.09,25.01,-,-,-,20.64,-,-,-
63,雲林縣,2001/11,崙背,3.4,0.44,-,32.8,89,-,21.44,2.76,18.77,2.361,0.13,2.23,19.91,-,-,-
64,雲林縣,2001/11,臺西,3.5,0.36,-,37.6,85,-,16.02,2.34,13.69,-,-,-,21.12,-,-,-
65,嘉義縣,2001/11,朴子,3.2,0.43,-,33.0,83,-,22.21,4.06,18.28,-,-,-,20.84,-,-,-
66,嘉義縣,2001/11,新港,3.1,0.49,-,29.6,94,-,24.95,4.93,20.02,-,-,-,20.24,-,-,-
67,屏東縣,2001/11,屏東,4.6,0.78,-,35.3,110,-,27.54,2.87,24.67,2.275,0.25,2.02,22.18,-,-,-
68,屏東縣,2001/11,潮州,3.5,0.6,-,35.7,117,-,26.19,2.94,23.24,-,-,-,21.74,-,-,-
69,屏東縣,2001/11,恆春,0.2,0.25,-,41.1,31,-,0.99,0.03,0.96,-,-,-,22.99,-,-,-
70,臺東縣,2001/11,臺東,0.4,0.48,-,33.0,46,-,10.9,1.99,8.92,2.125,0.12,2.01,22.63,-,-,-
71,花蓮縣,2001/11,花蓮,0.7,0.61,-,23.3,35,-,-,-,-,2.183,0.23,1.95,22.29,-,-,-
72,連江縣,2001/11,馬祖,3.1,0.32,-,55.8,95,-,3.9,0.26,3.78,-,-,-,17.88,-,-,-
,,,,,,,,,,,,,,,,,,,
