序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2002/01,松山,4.6,1.01,19.8,71.0,-,60,24.44,36.03,-,-,-,15.5,-,-,-
2,臺北市,2002/01,古亭,3.7,0.98,20.6,53.0,22,52,19.15,33.05,2.59,0.42,2.17,15.95,-,-,-
3,臺北市,2002/01,中山,3.9,1.03,19.6,71.0,-,55,19.56,35.59,2.53,0.42,2.11,16.08,-,-,-
4,臺北市,2002/01,大同,6.2,2.65,-,83.0,-,161,109.8,50.73,3.66,1.32,2.33,16.91,-,-,-
5,臺北市,2002/01,萬華,3.8,0.99,21.3,56.0,-,45,10.62,34.26,-,-,-,15.89,-,-,-
6,臺北市,2002/01,陽明,2.4,0.32,50.1,24.0,-,4,0.2,3.43,-,-,-,10.45,-,-,-
7,臺北市,2002/01,士林,3.1,0.78,26.0,61.0,-,36,11.77,23.73,-,-,-,15.49,-,-,-
8,新北市,2002/01,板橋,7.0,1.08,21.4,61.0,-,50,15.46,34.89,2.81,0.54,2.27,16.01,-,-,-
9,新北市,2002/01,三重,6.3,2.71,-,84.0,-,169,117.81,51.11,3.0,0.78,2.21,-,-,-,-
10,新北市,2002/01,菜寮,4.8,1.16,20.9,74.0,-,55,21.46,33.9,-,-,-,16.59,-,-,-
11,新北市,2002/01,永和,5.8,1.54,18.8,44.0,-,68,33.01,35.27,2.84,0.74,2.1,-,-,-,-
12,新北市,2002/01,新莊,6.0,0.98,22.5,78.0,-,48,16.5,31.1,2.63,0.6,2.02,15.74,-,-,-
13,新北市,2002/01,新店,2.8,0.71,26.1,46.0,-,27,5.8,21.37,-,-,-,16.22,-,-,-
14,新北市,2002/01,淡水,2.7,0.77,28.8,57.0,-,29,8.32,20.5,-,-,-,15.46,-,-,-
15,新北市,2002/01,汐止,4.4,0.8,25.5,68.0,-,43,17.27,25.96,-,-,-,15.59,-,-,-
16,新北市,2002/01,土城,5.0,0.91,25.8,57.0,-,50,19.87,29.8,-,-,-,16.77,-,-,-
17,新北市,2002/01,林口,4.8,0.58,31.7,59.0,-,25,5.39,19.54,-,-,-,14.76,-,-,-
18,新北市,2002/01,萬里,2.1,0.33,45.5,50.0,-,7,0.92,6.16,1.95,0.03,1.92,15.57,-,-,-
19,臺中市,2002/01,西屯,3.6,0.76,24.0,79.0,-,39,14.84,23.93,2.41,0.36,2.05,16.29,-,-,-
20,臺中市,2002/01,忠明,4.1,1.12,18.7,82.0,-,64,26.4,37.82,-,-,-,17.53,-,-,-
21,臺中市,2002/01,豐原,3.7,0.89,21.0,57.0,-,38,9.73,28.5,-,-,-,16.11,-,-,-
22,臺中市,2002/01,沙鹿,5.6,0.65,23.6,83.0,-,33,7.39,25.33,-,-,-,17.14,-,-,-
23,臺中市,2002/01,大里,3.3,1.02,17.9,73.0,-,46,13.7,32.46,-,-,-,17.71,-,-,-
24,臺南市,2002/01,新營,4.6,0.58,23.2,80.0,-,36,9.81,26.22,2.36,0.3,2.06,17.73,-,-,-
25,臺南市,2002/01,善化,5.2,0.56,26.2,71.0,-,31,6.86,23.94,-,-,-,17.62,-,-,-
26,臺南市,2002/01,安南,6.9,0.63,25.5,85.0,-,36,10.2,25.41,-,-,-,18.09,-,-,-
