序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1993/10,松山,7.6,1.02,14.6,59.0,54,20,34.19,-,-,-,23.11,-,-
2,臺北市,1993/10,古亭,3.7,1.24,15.8,57.0,54,23,30.94,2.35,0.3,2.04,23.74,-,-
3,臺北市,1993/10,中山,5.9,1.26,12.3,53.0,62,25,36.62,2.16,0.31,1.86,23.92,-,-
4,臺北市,1993/10,大同,19.1,6.13,-,101.0,276,221,55.63,4.53,2.76,1.77,24.76,-,-
5,臺北市,1993/10,萬華,3.7,1.11,16.3,33.0,36,9,26.27,-,-,-,23.81,-,-
6,臺北市,1993/10,陽明,1.2,0.24,42.9,-,3,1,1.76,-,-,-,16.72,-,-
7,臺北市,1993/10,士林,2.8,0.65,25.3,41.0,24,6,15.61,-,-,-,23.92,-,-
8,新北市,1993/10,板橋,7.8,1.09,17.5,61.0,45,12,32.82,2.56,0.48,2.07,24.32,-,-
9,新北市,1993/10,菜寮,5.4,0.99,17.4,60.0,38,11,26.64,-,-,-,23.96,-,-
10,新北市,1993/10,新莊,7.3,0.87,18.6,53.0,36,8,27.54,2.59,0.77,1.82,23.37,-,-
11,新北市,1993/10,新店,3.1,0.61,22.2,36.0,22,4,17.32,-,-,-,23.22,-,-
12,新北市,1993/10,淡水,-,0.63,31.7,49.0,16,3,12.69,-,-,-,23.4,-,-
13,新北市,1993/10,汐止,9.4,0.9,14.2,61.0,61,29,30.58,-,-,-,22.33,-,-
14,新北市,1993/10,土城,4.1,0.64,24.2,47.0,23,-,19.14,-,-,-,23.48,-,-
15,新北市,1993/10,林口,3.1,0.6,29.2,44.0,16,3,15.81,-,-,-,21.53,-,-
16,新北市,1993/10,萬里,-,0.24,42.1,73.0,6,1,3.65,1.51,-,1.48,22.75,-,-
17,臺中市,1993/10,西屯,4.9,0.59,30.3,58.0,27,7,20.03,2.01,0.23,1.8,23.93,-,-
18,臺中市,1993/10,忠明,5.4,1.0,24.9,74.0,50,19,31.84,-,-,-,24.06,-,-
19,臺中市,1993/10,豐原,6.3,0.88,27.2,63.0,34,6,28.31,-,-,-,23.52,-,-
20,臺中市,1993/10,沙鹿,7.4,0.58,24.9,83.0,28,7,21.69,-,-,-,23.93,-,-
21,臺中市,1993/10,大里,5.2,0.96,25.9,74.0,46,8,37.66,-,-,-,24.87,-,-
22,臺南市,1993/10,新營,7.0,0.55,32.2,91.0,28,5,23.47,-,-,-,24.27,-,-
23,臺南市,1993/10,善化,7.0,0.47,34.2,111.0,20,3,15.86,-,-,-,24.5,-,-
24,臺南市,1993/10,安南,8.7,0.6,28.2,101.0,31,8,23.19,-,-,-,24.85,-,-
25,臺南市,1993/10,臺南,11.5,0.98,28.7,114.0,32,7,25.26,2.63,0.54,2.08,25.79,-,-
26,高雄市,1993/10,左營,16.4,0.95,36.0,102.0,42,9,30.69,1.8,0.31,1.51,24.92,-,-
27,高雄市,1993/10,楠梓,9.7,0.6,29.3,108.0,42,12,29.79,2.2,0.47,1.96,26.43,-,-
28,高雄市,1993/10,前金,20.5,1.06,29.1,129.0,42,9,33.37,-,-,-,25.65,-,-
29,高雄市,1993/10,前鎮,25.3,-,-,121.0,51,14,35.94,2.33,0.5,1.84,25.98,-,-
