序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1999/11,松山,4.3,0.77,16.3,64.0,-,49,17.03,32.45,-,-,-,20.99,-,-,-
2,臺北市,1999/11,古亭,3.0,0.86,19.2,42.0,23,43,14.51,28.63,2.42,0.34,2.08,21.44,-,-,-
3,臺北市,1999/11,中山,3.4,0.92,17.4,46.0,-,47,15.26,31.29,2.5,0.29,2.21,21.66,-,-,-
4,臺北市,1999/11,大同,7.3,3.51,-,56.0,-,170,123.46,46.11,4.0,1.71,2.28,22.38,-,-,-
5,臺北市,1999/11,萬華,2.9,1.05,16.4,39.0,-,39,7.96,31.37,-,-,-,21.56,-,-,-
6,臺北市,1999/11,陽明,1.0,0.15,44.8,15.0,-,2,0.2,2.2,-,-,-,14.71,-,-,-
7,臺北市,1999/11,士林,1.3,0.54,26.5,33.0,-,17,5.28,11.59,-,-,-,21.67,-,-,-
8,新北市,1999/11,板橋,4.3,0.89,18.1,46.0,-,40,10.52,29.67,2.53,0.4,2.13,21.71,-,-,-
9,新北市,1999/11,三重,4.1,2.31,-,76.0,22,129,83.0,45.66,3.09,1.03,2.07,21.84,-,-,-
10,新北市,1999/11,菜寮,3.6,0.8,19.5,44.0,-,37,9.12,27.87,-,-,-,21.55,-,-,-
11,新北市,1999/11,永和,4.1,1.14,-,49.0,-,55,26.43,28.08,2.65,0.5,2.16,20.78,-,-,-
12,新北市,1999/11,新莊,4.6,0.82,24.8,41.0,-,35,7.08,27.81,2.48,0.41,2.07,21.21,-,-,-
13,新北市,1999/11,新店,1.7,0.58,24.2,31.0,-,21,3.14,18.08,-,-,-,20.75,-,-,-
14,新北市,1999/11,淡水,1.4,0.42,31.6,38.0,-,15,4.36,10.37,-,-,-,20.95,-,-,-
15,新北市,1999/11,汐止,3.8,0.76,18.8,52.0,-,46,16.52,29.77,-,-,-,20.24,-,-,-
16,新北市,1999/11,土城,2.8,0.73,21.6,40.0,-,31,7.12,23.56,-,-,-,21.48,-,-,-
17,新北市,1999/11,林口,2.2,0.34,28.3,32.0,-,21,3.77,17.32,-,-,-,19.27,-,-,-
18,新北市,1999/11,萬里,1.0,0.23,40.3,54.0,-,6,0.79,4.73,2.11,0.03,2.08,20.72,-,-,-
19,臺中市,1999/11,西屯,3.2,0.76,27.1,93.0,-,-,-,-,2.55,0.35,2.2,22.45,-,-,-
20,臺中市,1999/11,忠明,3.5,0.73,19.5,79.0,35,43,15.35,27.92,-,-,-,22.38,-,-,-
21,臺中市,1999/11,豐原,3.5,0.72,23.3,65.0,-,33,7.48,25.77,-,-,-,21.26,-,-,-
22,臺中市,1999/11,沙鹿,7.0,0.63,21.4,72.0,-,32,6.49,25.07,-,-,-,22.04,-,-,-
23,臺中市,1999/11,大里,3.3,0.9,19.2,86.0,-,44,11.86,32.07,-,-,-,21.46,-,-,-
24,臺南市,1999/11,新營,4.7,0.61,29.5,76.0,-,35,7.69,26.86,2.59,0.26,2.32,22.88,-,-,-
25,臺南市,1999/11,善化,5.9,0.6,29.7,97.0,-,33,7.04,26.13,-,-,-,23.09,-,-,-
26,臺南市,1999/11,安南,5.7,0.63,30.2,102.0,-,33,7.14,25.78,-,-,-,22.47,-,-,-
27,臺南市,1999/11,臺南,7.7,1.03,23.5,107.0,-,45,11.74,32.91,2.84,0.52,2.32,22.91,-,-,-
28,高雄市,1999/11,左營,9.2,0.92,36.8,109.0,-,44,11.25,32.54,2.93,0.36,2.57,23.58,-,-,-
29,高雄市,1999/11,楠梓,5.7,0.66,30.9,111.0,-,41,9.85,30.86,2.65,0.33,2.31,23.39,-,-,-
30,高雄市,1999/11,前金,9.6,0.85,34.5,104.0,-,39,9.67,29.64,-,-,-,24.99,-,-,-
31,高雄市,1999/11,前鎮,13.5,-,-,126.0,-,65,19.94,45.24,2.85,0.55,2.3,24.38,-,-,-
32,高雄市,1999/11,復興,15.2,1.53,-,141.0,-,77,30.08,47.04,3.29,1.05,2.23,25.59,-,-,-
