序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1994/07,松山,10.4,1.07,15.2,59.0,45,19,25.67,-,-,-,29.65,-,-
2,臺北市,1994/07,古亭,6.9,1.33,14.8,58.0,50,24,26.61,2.48,0.38,2.1,29.52,-,-
3,臺北市,1994/07,中山,12.4,1.59,12.5,61.0,60,29,29.91,2.6,0.44,2.17,29.93,-,-
4,臺北市,1994/07,大同,23.0,5.52,-,107.0,193,147,49.73,4.77,2.31,2.47,30.68,-,-
5,臺北市,1994/07,萬華,9.3,1.14,17.0,48.0,34,10,23.13,-,-,-,29.85,-,-
6,臺北市,1994/07,陽明,3.4,0.25,28.6,19.0,4,0,3.29,-,-,-,23.49,-,-
7,臺北市,1994/07,士林,6.7,0.91,14.1,47.0,31,11,18.04,-,-,-,29.66,-,-
8,新北市,1994/07,板橋,17.8,1.16,15.2,83.0,44,16,26.37,2.67,0.7,1.97,30.59,-,-
9,新北市,1994/07,菜寮,11.2,1.36,12.2,75.0,49,21,27.62,-,-,-,30.21,-,-
10,新北市,1994/07,新莊,15.8,0.95,14.6,76.0,39,16,23.06,3.25,0.98,2.29,29.27,-,-
11,新北市,1994/07,新店,4.4,0.68,19.7,41.0,20,4,15.11,-,-,-,29.55,-,-
12,新北市,1994/07,淡水,7.4,0.88,17.7,43.0,24,7,15.57,-,-,-,29.99,-,-
13,新北市,1994/07,汐止,8.8,0.73,12.5,46.0,48,24,21.74,-,-,-,29.0,-,-
14,新北市,1994/07,土城,10.2,0.78,20.5,80.0,30,10,19.56,-,-,-,29.49,-,-
15,新北市,1994/07,林口,8.9,0.65,19.6,56.0,25,9,13.43,-,-,-,27.51,-,-
16,新北市,1994/07,萬里,2.8,0.36,20.0,36.0,10,2,6.45,1.45,0.31,1.12,28.17,-,-
17,臺中市,1994/07,西屯,5.6,0.65,23.1,48.0,33,10,22.9,2.44,0.28,2.17,28.7,-,-
18,臺中市,1994/07,忠明,6.2,1.12,23.5,69.0,39,9,29.8,-,-,-,28.67,-,-
19,臺中市,1994/07,豐原,8.0,0.86,23.8,55.0,32,5,26.12,-,-,-,27.56,-,-
20,臺中市,1994/07,沙鹿,5.4,0.63,19.9,42.0,19,3,15.36,-,-,-,29.01,-,-
21,臺中市,1994/07,大里,6.6,0.53,21.2,72.0,30,5,22.43,-,-,-,29.0,-,-
22,臺南市,1994/07,新營,2.4,0.48,23.4,37.0,18,2,15.44,-,-,-,28.53,-,-
23,臺南市,1994/07,善化,3.7,0.37,31.4,33.0,11,2,8.9,-,-,-,28.13,-,-
24,臺南市,1994/07,安南,4.9,0.59,20.6,55.0,23,8,13.51,-,-,-,28.84,-,-
25,臺南市,1994/07,臺南,5.8,0.7,18.0,71.0,22,6,15.95,2.29,0.31,1.97,28.98,-,-
26,高雄市,1994/07,左營,9.2,0.72,23.2,51.0,25,7,17.72,2.16,0.27,1.89,30.21,-,-
27,高雄市,1994/07,楠梓,6.2,0.54,15.4,53.0,29,9,19.11,2.56,0.44,2.13,30.25,-,-
28,高雄市,1994/07,前金,9.4,0.85,18.4,45.0,26,7,18.63,-,-,-,29.06,-,-
29,高雄市,1994/07,前鎮,14.3,-,-,56.0,30,8,20.78,1.7,0.45,1.29,28.83,-,-
30,高雄市,1994/07,小港,11.9,0.82,17.7,54.0,31,9,19.93,2.01,0.31,1.7,29.96,-,-
31,高雄市,1994/07,鳳山,9.8,0.86,19.6,54.0,30,6,23.51,-,-,-,28.62,-,-
32,高雄市,1994/07,林園,4.2,0.48,23.0,57.0,-,-,-,1.98,0.19,1.8,28.82,-,-
33,高雄市,1994/07,大寮,8.2,0.52,18.6,64.0,17,2,13.92,-,-,-,31.34,-,-
34,高雄市,1994/07,仁武,5.5,0.67,13.0,61.0,29,9,20.26,1.85,0.28,1.58,30.8,-,-
35,高雄市,1994/07,橋頭,2.5,0.49,18.6,49.0,19,6,13.41,2.11,0.13,1.98,28.98,-,-
36,高雄市,1994/07,美濃,1.6,0.45,25.9,46.0,10,1,8.81,-,-,-,27.79,-,-
37,基隆市,1994/07,基隆,8.0,0.81,17.0,48.0,27,10,16.66,2.15,0.35,1.81,29.11,-,-
38,新竹市,1994/07,新竹,1.2,0.82,13.5,53.0,28,9,19.14,2.87,0.31,2.56,29.47,-,-
39,嘉義市,1994/07,嘉義,3.2,0.77,24.7,43.0,22,4,18.39,2.77,-,-,28.74,-,-
40,宜蘭縣,1994/07,宜蘭,3.4,0.6,16.9,34.0,15,4,9.37,-,-,-,28.58,-,-
41,宜蘭縣,1994/07,冬山,3.7,-,-,48.0,19,9,8.3,2.21,0.13,2.07,28.7,-,-
42,桃園市,1994/07,桃園,20.3,1.01,16.5,66.0,38,12,25.51,2.5,0.41,2.09,28.82,-,-
43,桃園市,1994/07,大園,7.7,0.6,18.2,47.0,24,9,14.29,-,-,-,28.18,-,-
44,桃園市,1994/07,龍潭,5.4,0.69,23.9,70.0,25,6,18.61,-,-,-,27.59,-,-
45,桃園市,1994/07,平鎮,8.8,0.88,18.0,61.0,35,9,25.63,2.32,0.44,1.8,26.52,-,-
46,桃園市,1994/07,觀音,9.6,0.43,23.4,54.0,15,4,11.22,1.89,0.21,1.71,28.72,-,-
47,新竹縣,1994/07,竹東,2.1,0.57,21.9,61.0,20,4,15.94,-,-,-,27.82,-,-
48,新竹縣,1994/07,湖口,3.6,0.57,20.4,53.0,27,10,16.15,-,-,-,28.92,-,-
49,苗栗縣,1994/07,苗栗,4.8,0.62,25.3,38.0,24,6,17.05,-,-,-,28.81,-,-
50,苗栗縣,1994/07,頭份,12.9,-,-,59.0,39,17,21.05,1.48,0.28,1.21,29.02,-,-
51,苗栗縣,1994/07,三義,2.4,0.42,24.5,49.0,19,6,10.02,3.5,1.23,2.27,25.42,-,-
52,彰化縣,1994/07,彰化,6.5,0.83,18.8,70.0,24,6,17.3,2.24,0.26,1.98,29.11,-,-
