序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2010/10,松山,3.0,0.44,398.34,26.2,34,27,29.96,8.4,21.56,2.101,0.157,1.944,24.24,76.79
2,臺北市,2010/10,古亭,1.9,0.55,-,26.6,40,22,30.32,9.43,20.88,2.156,0.175,1.981,24.64,80.85
3,臺北市,2010/10,中山,4.0,0.66,-,23.7,39,29,35.85,11.55,24.3,2.211,0.225,1.986,24.89,76.24
4,臺北市,2010/10,大同,3.6,1.59,-,-,46,28,76.52,43.36,33.16,2.683,0.636,2.047,-,-
5,臺北市,2010/10,萬華,2.9,0.6,-,21.1,34,25,35.47,10.78,24.69,-,-,-,24.63,76.48
6,臺北市,2010/10,陽明,1.6,0.16,386.34,41.8,14,11,2.88,0.81,2.03,-,-,-,16.56,96.41
7,臺北市,2010/10,士林,2.6,0.37,-,34.6,36,21,15.4,3.67,11.73,-,-,-,24.83,74.82
8,新北市,2010/10,板橋,3.2,0.58,-,28.4,35,22,27.04,5.42,21.62,2.215,0.265,1.95,25.01,73.33
9,新北市,2010/10,三重,3.8,1.88,-,-,54,31,121.58,81.52,40.06,2.881,0.799,2.082,24.75,73.02
10,新北市,2010/10,菜寮,3.7,0.61,-,24.9,38,23,27.3,7.79,19.51,-,-,-,25.22,73.31
11,新北市,2010/10,永和,3.0,0.85,-,24.4,35,22,37.1,16.15,20.95,2.159,0.358,1.801,24.41,76.65
12,新北市,2010/10,新莊,3.9,0.45,-,30.4,37,22,21.35,3.7,17.63,-,-,-,25.21,75.32
13,新北市,2010/10,新店,2.6,0.36,-,29.2,32,20,16.52,3.4,13.12,-,-,-,24.55,83.14
14,新北市,2010/10,淡水,2.0,0.3,-,33.4,32,20,12.88,2.85,10.03,-,-,-,-,-
15,新北市,2010/10,汐止,3.7,0.33,-,29.8,33,22,21.32,5.43,15.89,-,-,-,24.2,86.71
16,新北市,2010/10,土城,3.2,0.47,-,29.4,36,21,22.63,5.57,17.06,2.15,0.23,1.921,25.08,78.01
17,新北市,2010/10,林口,2.6,0.26,-,38.5,35,17,10.97,1.73,9.26,-,-,-,22.67,82.5
18,新北市,2010/10,萬里,2.4,0.2,-,45.1,56,16,6.4,1.65,4.74,-,-,-,24.26,87.02
19,臺中市,2010/10,西屯,3.1,0.35,-,34.2,53,33,17.33,3.26,14.07,2.01,0.156,1.854,25.41,74.9
20,臺中市,2010/10,忠明,3.5,0.5,-,33.8,50,33,22.61,4.26,18.34,2.209,0.245,1.964,26.52,70.6
21,臺中市,2010/10,豐原,3.1,0.45,-,31.5,52,29,17.03,2.64,14.39,2.113,0.162,1.951,24.54,74.45
22,臺中市,2010/10,沙鹿,3.0,0.31,-,34.9,51,31,15.35,2.32,13.03,-,-,-,25.0,73.75
23,臺中市,2010/10,大里,3.0,0.55,421.03,30.0,54,38,25.17,4.6,20.57,2.228,0.274,1.954,25.37,68.55
24,臺南市,2010/10,新營,3.6,0.36,-,30.9,79,37,19.2,4.02,15.18,2.113,0.102,2.012,26.04,78.61
25,臺南市,2010/10,善化,4.2,0.33,412.9,32.3,76,40,17.74,4.93,12.82,-,-,-,26.29,81.24
26,臺南市,2010/10,安南,3.8,0.36,-,37.9,75,42,19.0,3.48,15.53,2.132,0.129,2.003,26.64,72.54
27,臺南市,2010/10,臺南,4.1,0.46,-,40.1,71,39,18.72,2.38,16.34,1.997,0.218,1.779,26.6,75.93
28,高雄市,2010/10,左營,6.0,0.53,-,43.0,75,44,25.08,4.6,20.48,2.23,0.235,1.994,27.09,75.23
29,高雄市,2010/10,楠梓,5.6,0.43,-,35.0,78,43,22.47,3.24,19.23,2.019,0.187,1.832,26.27,75.72
30,高雄市,2010/10,前金,6.0,0.56,-,37.8,74,48,25.64,4.26,21.38,2.177,0.226,1.951,27.09,76.06
31,高雄市,2010/10,前鎮,7.9,0.61,-,33.6,78,47,28.82,4.47,24.35,2.283,0.337,1.946,27.66,75.05
32,高雄市,2010/10,復興,7.8,0.87,-,33.3,74,40,34.12,7.06,27.06,2.511,0.456,2.056,27.1,78.26
33,高雄市,2010/10,小港,10.9,0.54,-,34.6,78,44,31.97,6.71,25.27,2.074,0.281,1.793,27.08,73.92
34,高雄市,2010/10,鳳山,9.2,0.61,-,37.4,85,43,28.0,4.8,23.2,2.309,0.331,1.978,27.1,76.12
35,高雄市,2010/10,林園,6.8,0.37,-,48.5,71,48,16.18,2.81,13.37,2.054,0.123,1.931,27.37,80.69
36,高雄市,2010/10,大寮,6.1,0.44,-,33.2,81,48,19.21,2.46,16.75,2.241,0.273,1.969,26.77,79.18
37,高雄市,2010/10,仁武,9.8,0.48,-,36.6,81,43,28.6,6.08,22.52,2.25,0.253,1.997,26.61,76.89
38,高雄市,2010/10,橋頭,5.4,0.44,-,36.2,81,44,22.91,3.9,19.01,-,-,-,26.92,77.41
39,高雄市,2010/10,美濃,2.7,0.32,-,38.2,65,34,11.55,2.49,9.05,-,-,-,26.02,82.21
40,基隆市,2010/10,基隆,1.5,0.27,-,34.0,31,18,10.64,2.63,8.01,1.952,0.075,1.877,24.42,81.56
41,新竹市,2010/10,新竹,3.7,0.36,-,33.6,43,27,18.61,3.37,15.23,2.076,0.16,1.915,24.88,75.36
42,嘉義市,2010/10,嘉義,4.1,0.45,-,31.8,72,44,21.53,3.26,18.27,2.069,0.197,1.915,26.18,71.58
43,宜蘭縣,2010/10,宜蘭,1.6,0.3,397.75,30.5,33,15,8.48,1.62,6.86,-,-,-,23.77,84.03
44,宜蘭縣,2010/10,冬山,2.0,0.36,-,29.2,32,16,13.46,3.79,9.68,-,-,-,23.75,85.32
45,桃園市,2010/10,桃園,6.8,0.45,-,32.4,43,22,20.11,3.59,16.52,2.074,0.177,1.896,23.3,80.51
46,桃園市,2010/10,中壢,5.9,0.72,-,26.8,53,25,36.87,11.81,25.06,2.398,0.352,2.047,23.64,79.51
47,桃園市,2010/10,大園,4.0,0.26,-,38.9,37,19,19.28,4.24,15.04,-,-,-,24.35,75.25
48,桃園市,2010/10,龍潭,3.3,0.37,-,33.3,43,21,18.84,3.51,15.33,-,-,-,23.35,82.43
49,桃園市,2010/10,平鎮,5.2,0.39,-,31.8,48,22,20.99,2.95,18.04,-,-,-,23.93,77.96
50,桃園市,2010/10,觀音,9.0,0.23,-,40.5,55,22,11.41,2.1,9.3,-,-,-,24.69,79.82
51,新竹縣,2010/10,竹東,1.9,0.3,-,34.3,36,21,13.75,2.83,10.93,-,-,-,24.43,76.75
52,新竹縣,2010/10,湖口,3.8,0.28,-,37.7,41,26,12.97,2.36,10.6,-,-,-,24.16,74.72
53,苗栗縣,2010/10,苗栗,4.5,0.35,-,33.0,39,28,16.43,3.25,13.18,-,-,-,24.67,74.99
54,苗栗縣,2010/10,頭份,3.0,0.31,-,35.0,43,26,16.55,2.77,13.78,2.068,0.108,1.96,24.79,74.16
55,苗栗縣,2010/10,三義,2.2,0.28,-,35.2,47,27,11.73,2.06,9.67,-,-,-,21.91,84.17
56,彰化縣,2010/10,彰化,4.3,0.4,-,27.6,60,34,25.42,5.69,19.72,1.942,0.179,1.763,25.34,73.82
57,彰化縣,2010/10,線西,4.4,0.31,-,33.8,55,29,15.18,2.48,12.7,2.002,0.112,1.89,24.43,77.77
58,彰化縣,2010/10,二林,3.4,0.27,-,33.6,68,35,12.66,2.32,10.35,-,-,-,25.23,73.62
59,南投縣,2010/10,南投,3.8,0.52,-,28.5,66,34,22.4,4.06,18.35,-,-,-,25.64,73.57
60,南投縣,2010/10,埔里,2.1,0.4,-,34.8,47,35,13.8,1.9,11.89,-,-,-,24.69,72.15
61,南投縣,2010/10,竹山,2.6,0.38,-,33.1,55,41,16.96,3.25,13.71,-,-,-,24.79,78.13
62,雲林縣,2010/10,斗六,3.3,0.4,-,33.5,65,41,19.12,2.98,16.14,-,-,-,26.28,74.18
63,雲林縣,2010/10,崙背,3.1,0.32,-,35.5,70,34,13.46,3.0,10.46,-,-,-,25.27,79.62
64,雲林縣,2010/10,臺西,3.9,0.27,-,41.8,60,30,12.61,2.09,10.52,2.008,0.06,1.948,25.21,82.71
65,嘉義縣,2010/10,朴子,3.2,0.31,-,36.6,77,34,12.93,1.64,11.28,-,-,-,25.87,76.83
66,嘉義縣,2010/10,新港,2.9,0.3,-,36.1,68,32,13.83,2.76,11.06,-,-,-,25.11,76.22
67,屏東縣,2010/10,屏東,4.1,0.56,-,38.2,76,42,18.0,2.2,15.79,2.257,0.22,2.037,27.04,74.21
68,屏東縣,2010/10,潮州,3.5,0.36,-,43.4,71,41,10.66,2.55,8.12,-,-,-,26.58,78.07
69,屏東縣,2010/10,恆春,1.9,0.13,393.2,37.1,21,13,3.28,1.58,1.7,-,-,-,26.15,78.3
70,臺東縣,2010/10,臺東,1.3,0.31,-,28.8,34,12,9.05,3.04,6.01,-,-,-,26.06,78.58
71,臺東縣,2010/10,關山,2.3,-,-,25.5,24,11,6.53,2.51,4.02,-,-,-,24.3,79.71
72,花蓮縣,2010/10,花蓮,2.4,0.4,-,26.1,28,20,13.27,3.09,10.17,-,-,-,25.63,80.07
73,澎湖縣,2010/10,馬公,1.6,0.21,-,52.2,47,22,3.52,0.63,2.85,-,-,-,25.72,79.65
74,金門縣,2010/10,金門,6.6,0.43,-,46.1,83,41,14.52,2.93,11.59,-,-,-,24.21,70.49
75,連江縣,2010/10,馬祖,3.1,0.27,-,57.2,60,35,6.07,1.17,4.89,-,-,-,22.9,73.32
,,,,,,,,,,,,,,,,,
