序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/07,松山,2.9,0.41,423.58,19.5,28,15,23.09,7.88,15.21,1.84,30.71,67.87
2,臺北市,2014/07,古亭,2.5,0.42,-,18.2,34,13,20.81,6.31,14.5,2.33,30.77,70.99
3,臺北市,2014/07,中山,2.4,0.57,-,-,47,15,28.85,10.47,18.38,2.08,31.23,67.89
4,臺北市,2014/07,大同,3.9,1.47,-,-,46,12,62.02,37.34,24.68,-,-,-
5,臺北市,2014/07,萬華,2.8,0.5,-,18.0,30,16,25.07,7.57,17.5,1.91,31.19,68.64
6,臺北市,2014/07,陽明,2.0,0.11,401.11,26.8,13,10,4.44,1.02,3.4,-,23.99,92.81
7,臺北市,2014/07,士林,2.8,0.3,-,20.1,28,14,15.98,3.91,12.07,2.29,30.64,70.13
8,新北市,2014/07,板橋,4.0,0.45,-,20.0,33,13,23.15,7.28,15.87,2.17,30.2,71.85
9,新北市,2014/07,三重,3.8,1.48,-,-,47,21,88.3,59.5,28.81,-,31.24,67.72
10,新北市,2014/07,菜寮,3.3,0.43,-,20.9,29,17,20.56,5.32,15.24,2.4,30.92,67.25
11,新北市,2014/07,永和,2.6,0.76,-,17.3,24,14,28.66,12.01,16.65,1.96,30.86,73.33
12,新北市,2014/07,新莊,5.3,0.4,-,21.2,29,16,20.16,5.2,14.97,2.69,30.79,71.22
13,新北市,2014/07,新店,2.3,0.29,-,22.8,25,11,12.64,3.18,9.46,2.29,30.61,70.03
14,新北市,2014/07,淡水,2.8,0.23,-,19.8,32,15,11.83,3.05,8.78,-,-,-
15,新北市,2014/07,汐止,4.0,0.3,-,18.7,28,13,20.45,7.29,13.16,1.65,30.48,75.31
16,新北市,2014/07,土城,3.0,0.36,-,21.2,35,15,20.66,6.4,14.26,1.54,29.88,71.53
17,新北市,2014/07,林口,3.4,0.27,-,22.3,31,18,18.58,4.57,14.01,2.1,29.03,76.28
18,新北市,2014/07,萬里,3.0,0.15,-,23.1,32,12,7.89,2.16,5.73,3.36,28.76,77.75
19,臺中市,2014/07,西屯,3.2,0.21,-,25.6,37,17,13.3,2.61,10.7,2.66,29.5,72.01
20,臺中市,2014/07,忠明,3.2,0.3,-,27.8,33,19,14.21,2.3,11.91,1.97,31.17,67.39
21,臺中市,2014/07,豐原,3.0,0.32,-,29.9,40,19,9.31,1.75,7.55,2.64,29.48,74.32
22,臺中市,2014/07,沙鹿,3.7,0.22,-,24.3,35,20,12.16,2.04,10.11,3.03,32.05,74.31
23,臺中市,2014/07,大里,2.9,0.32,430.65,30.7,41,21,12.39,2.2,10.2,2.02,29.56,67.02
24,臺南市,2014/07,新營,2.6,0.22,-,24.7,35,14,7.89,1.65,6.24,2.1,30.55,71.93
25,臺南市,2014/07,善化,3.0,0.17,428.51,24.4,33,15,9.15,1.83,7.32,2.5,29.27,78.12
26,臺南市,2014/07,安南,2.8,0.21,-,24.3,37,14,11.29,2.5,8.78,2.53,30.74,75.98
27,高雄市,2014/07,左營,3.8,0.28,-,23.0,44,15,13.58,3.34,10.24,2.32,30.09,74.5
28,高雄市,2014/07,楠梓,3.8,0.27,-,21.1,42,13,14.84,3.71,11.13,2.06,30.53,77.8
29,高雄市,2014/07,前金,4.3,0.26,-,25.7,35,14,12.59,2.62,9.97,2.36,30.48,75.53
30,高雄市,2014/07,前鎮,5.4,0.26,-,21.1,33,17,16.79,3.75,13.04,1.78,30.05,77.74
31,高雄市,2014/07,復興,4.7,0.44,-,15.8,29,11,18.28,3.98,14.3,0.89,30.54,75.01
32,高雄市,2014/07,小港,7.1,0.24,-,22.2,39,15,17.61,3.85,13.76,2.43,30.84,73.99
33,高雄市,2014/07,鳳山,4.1,0.42,-,22.9,45,14,15.31,2.75,12.56,1.86,30.72,73.37
34,高雄市,2014/07,林園,3.3,0.17,-,28.5,24,15,7.46,1.54,5.92,2.66,29.83,75.0
35,高雄市,2014/07,大寮,3.9,0.25,-,22.2,36,11,12.7,2.38,10.32,1.76,29.95,79.34
36,高雄市,2014/07,仁武,3.7,0.26,-,20.7,43,17,14.94,3.03,11.9,2.08,30.04,75.84
37,高雄市,2014/07,橋頭,3.1,0.25,-,23.5,31,8,12.46,2.73,9.72,2.7,30.36,77.39
38,高雄市,2014/07,美濃,1.7,0.19,-,26.0,27,11,6.46,1.52,4.94,1.43,30.1,73.32
39,基隆市,2014/07,基隆,2.6,0.26,-,20.0,23,13,11.75,2.99,8.77,1.65,30.39,78.41
40,新竹市,2014/07,新竹,2.2,0.31,-,21.0,26,10,13.73,2.71,11.02,2.18,30.56,68.67
41,嘉義市,2014/07,嘉義,2.8,0.24,-,25.5,37,18,11.14,3.31,7.83,2.19,30.26,72.78
42,宜蘭縣,2014/07,宜蘭,2.0,0.21,411.91,19.9,35,8,7.12,1.8,5.31,2.03,30.57,70.35
43,宜蘭縣,2014/07,冬山,2.3,0.2,-,16.3,28,10,12.25,4.81,7.44,2.39,30.06,79.05
44,桃園市,2014/07,桃園,6.5,0.38,-,22.8,34,18,19.19,4.22,14.97,1.67,30.92,71.39
45,桃園市,2014/07,中壢,4.3,1.03,-,14.9,47,20,44.56,22.66,21.9,1.52,30.07,69.95
46,桃園市,2014/07,大園,4.3,0.24,-,22.8,36,17,16.74,3.77,12.97,3.71,29.68,71.36
47,桃園市,2014/07,龍潭,3.0,0.28,-,26.1,42,17,13.45,2.97,10.48,2.53,29.26,72.51
48,桃園市,2014/07,平鎮,3.9,0.3,-,22.0,43,21,17.54,3.52,14.02,2.57,30.28,73.67
49,桃園市,2014/07,觀音,4.3,0.18,-,21.3,37,18,12.37,2.28,10.08,4.97,31.04,73.97
50,新竹縣,2014/07,竹東,2.4,0.22,-,27.0,35,14,8.68,1.87,6.8,1.97,29.68,75.02
51,新竹縣,2014/07,湖口,3.4,0.2,-,21.1,21,17,12.82,3.08,9.73,3.34,31.13,69.64
52,苗栗縣,2014/07,苗栗,2.9,0.26,-,22.9,31,16,12.36,2.29,10.07,2.46,31.22,71.27
53,苗栗縣,2014/07,頭份,3.4,0.22,-,24.0,36,17,12.19,2.58,9.6,2.79,30.71,70.98
54,苗栗縣,2014/07,三義,2.6,0.2,-,27.3,35,19,9.04,1.82,7.22,2.85,28.47,75.67
55,彰化縣,2014/07,彰化,4.2,0.27,-,24.8,41,19,10.9,1.85,9.05,2.26,30.84,70.93
56,彰化縣,2014/07,線西,3.4,0.19,-,25.6,30,14,6.85,1.36,5.48,3.29,30.5,75.71
57,彰化縣,2014/07,二林,3.0,0.15,-,24.3,37,26,8.01,1.78,6.22,2.59,31.24,72.37
58,南投縣,2014/07,南投,2.4,0.29,-,26.4,39,21,10.63,1.84,8.79,1.85,30.24,70.49
59,南投縣,2014/07,埔里,2.1,0.25,-,29.4,33,22,8.31,1.18,7.11,1.71,28.32,72.79
60,南投縣,2014/07,竹山,2.4,0.19,-,27.9,41,14,7.85,1.33,6.51,1.63,28.41,74.89
61,雲林縣,2014/07,斗六,3.0,0.25,-,26.5,38,20,9.24,1.92,7.32,1.92,29.65,71.16
62,雲林縣,2014/07,崙背,2.6,0.16,-,23.1,42,19,8.13,1.69,6.43,2.91,29.75,76.43
63,雲林縣,2014/07,麥寮,2.8,0.18,-,22.9,40,12,9.42,2.72,6.7,2.84,29.08,81.62
64,嘉義縣,2014/07,朴子,3.0,0.21,-,25.3,43,16,9.13,2.15,6.98,2.39,30.47,73.68
65,嘉義縣,2014/07,新港,2.5,0.2,-,24.5,40,17,9.66,2.66,7.01,2.49,30.52,76.39
66,屏東縣,2014/07,屏東,2.7,0.34,-,27.0,37,13,12.35,2.03,10.31,1.85,30.21,72.9
67,屏東縣,2014/07,潮州,2.7,0.18,-,26.1,36,17,7.09,1.38,5.71,1.75,29.36,73.13
68,屏東縣,2014/07,恆春,1.2,0.06,400.91,24.7,25,6,3.11,1.83,1.25,3.68,29.89,70.95
69,臺東縣,2014/07,關山,1.3,-,-,15.4,21,6,5.01,1.81,3.2,1.64,28.72,70.87
70,花蓮縣,2014/07,花蓮,1.7,0.26,-,15.0,26,8,9.14,3.07,6.07,2.69,30.54,78.53
71,澎湖縣,2014/07,馬公,2.3,0.14,-,24.4,19,7,6.42,2.54,3.88,2.25,30.39,75.9
72,金門縣,2014/07,金門,4.3,0.14,-,28.3,39,15,9.7,1.98,7.72,2.74,29.61,75.7
73,連江縣,2014/07,馬祖,2.2,0.11,-,24.9,34,11,5.48,1.74,3.78,3.72,28.67,83.57
,,,,,,,,,,,,,,,
