序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2009/05,松山,3.7,0.53,407.01,40.2,51,33,26.64,4.19,22.45,2.151,0.183,1.968,25.2,63.05
2,臺北市,2009/05,古亭,3.1,0.56,-,40.0,57,32,26.83,5.06,21.77,2.061,0.171,1.89,25.67,67.66
3,臺北市,2009/05,中山,3.9,0.7,-,35.2,61,39,35.94,7.3,28.63,2.214,0.249,1.966,25.13,63.82
4,臺北市,2009/05,萬華,3.0,0.6,-,41.9,52,34,24.16,3.42,20.73,-,-,-,25.42,65.15
5,臺北市,2009/05,陽明,2.5,0.25,390.62,57.5,29,21,4.81,1.04,3.75,-,-,-,18.78,77.78
6,臺北市,2009/05,士林,3.2,0.44,-,48.7,58,27,18.07,2.83,15.24,-,-,-,25.35,63.06
7,新北市,2009/05,板橋,4.4,0.6,-,42.0,53,29,27.2,3.69,23.51,2.295,0.265,2.03,25.75,59.21
8,新北市,2009/05,三重,3.9,1.65,-,-,68,39,115.38,66.45,48.93,2.484,0.743,1.741,26.77,59.88
9,新北市,2009/05,菜寮,3.6,0.65,-,42.5,53,32,27.29,4.94,22.35,-,-,-,25.95,60.68
10,新北市,2009/05,永和,3.5,0.93,-,38.4,50,34,35.77,11.3,24.47,-,-,-,25.7,62.04
11,新北市,2009/05,新莊,5.3,0.52,-,46.1,50,32,22.82,2.77,20.04,-,-,-,25.15,62.12
12,新北市,2009/05,新店,2.9,0.4,-,48.8,42,25,16.63,1.93,14.69,-,-,-,24.91,67.84
13,新北市,2009/05,淡水,2.9,0.44,-,37.6,44,28,16.16,1.96,14.18,-,-,-,-,-
14,新北市,2009/05,汐止,3.9,0.44,-,42.5,49,28,22.59,4.05,18.54,-,-,-,24.65,73.69
15,新北市,2009/05,土城,3.7,0.53,-,44.5,49,28,24.59,4.61,19.97,2.215,0.228,1.987,25.44,63.67
16,新北市,2009/05,林口,3.8,0.37,-,45.9,52,30,17.38,1.86,15.5,-,-,-,24.05,65.7
17,新北市,2009/05,萬里,2.8,0.28,-,50.0,51,25,9.06,1.26,7.77,-,-,-,23.26,77.81
18,臺中市,2009/05,西屯,4.2,0.44,-,42.8,81,46,21.51,3.0,18.51,2.103,0.232,1.871,25.65,63.66
19,臺中市,2009/05,忠明,4.2,0.59,-,44.5,73,47,27.96,3.73,24.23,1.973,0.264,1.71,25.9,67.01
20,臺中市,2009/05,豐原,4.0,0.52,-,44.5,72,38,20.4,2.28,18.11,1.896,0.206,1.69,25.95,68.69
21,臺中市,2009/05,沙鹿,4.2,0.43,-,46.1,65,39,18.75,1.65,17.09,-,-,-,26.15,70.36
22,臺中市,2009/05,大里,2.8,0.55,427.11,43.1,69,48,24.06,2.8,21.26,1.848,0.239,1.609,27.17,67.33
23,臺南市,2009/05,新營,4.1,0.36,-,44.4,79,40,15.78,2.21,13.56,2.163,0.099,2.063,27.06,70.72
24,臺南市,2009/05,善化,3.8,0.31,401.25,44.4,70,37,13.86,4.53,9.33,-,-,-,26.12,68.45
25,臺南市,2009/05,安南,4.1,0.35,-,46.1,74,40,17.15,3.8,13.34,1.888,0.156,1.732,27.34,70.05
26,臺南市,2009/05,臺南,4.4,0.43,-,50.1,60,45,17.6,1.99,15.61,1.936,0.181,1.756,27.28,69.05
27,高雄市,2009/05,左營,6.0,0.42,-,46.1,59,39,17.53,2.71,14.82,1.729,0.165,1.564,27.43,70.59
28,高雄市,2009/05,楠梓,4.9,0.37,-,41.6,70,40,19.08,4.75,14.34,1.919,0.168,1.751,27.61,67.77
29,高雄市,2009/05,前金,5.3,0.39,-,45.7,62,41,17.75,5.14,12.61,1.968,0.142,1.826,27.94,67.1
30,高雄市,2009/05,前鎮,7.2,0.41,-,40.5,67,37,22.61,3.59,19.02,-,-,-,28.09,68.52
31,高雄市,2009/05,復興,7.7,0.61,-,42.3,52,39,25.99,4.59,21.4,-,-,-,28.2,75.15
32,高雄市,2009/05,小港,9.1,0.36,-,37.7,67,43,23.16,3.94,19.27,1.847,0.148,1.7,28.26,67.12
33,高雄市,2009/05,鳳山,5.7,0.53,-,38.3,82,37,20.55,4.95,15.59,1.985,0.228,1.757,27.65,68.85
34,高雄市,2009/05,林園,5.6,0.27,-,44.1,67,34,11.59,1.19,10.38,1.942,0.049,1.893,27.43,75.17
35,高雄市,2009/05,大寮,6.4,0.37,-,39.1,70,40,17.82,2.43,15.39,-,-,-,27.07,72.22
36,高雄市,2009/05,仁武,7.5,0.37,-,36.7,61,44,22.33,3.78,18.54,2.045,0.153,1.895,27.68,69.96
37,高雄市,2009/05,橋頭,4.6,0.36,-,40.8,71,36,18.1,2.74,15.36,-,-,-,27.95,67.55
38,高雄市,2009/05,美濃,3.0,0.3,-,44.3,63,37,10.18,2.07,8.11,-,-,-,27.72,74.49
39,基隆市,2009/05,基隆,2.5,0.42,-,38.8,38,25,15.96,2.82,13.13,1.794,0.125,1.669,24.35,70.37
40,新竹市,2009/05,新竹,2.9,0.44,-,42.7,53,37,20.27,2.57,17.69,1.927,0.18,1.746,26.07,63.57
41,嘉義市,2009/05,嘉義,4.3,0.43,-,42.3,77,48,18.51,1.6,16.87,2.028,0.141,1.888,26.81,66.28
42,宜蘭縣,2009/05,宜蘭,2.8,0.33,402.26,44.1,44,23,8.78,0.95,7.8,-,-,-,25.08,73.98
43,宜蘭縣,2009/05,冬山,2.8,0.35,-,40.1,48,23,13.26,2.51,10.74,-,-,-,24.96,70.75
44,桃園市,2009/05,桃園,8.7,0.54,-,43.5,62,36,22.95,2.78,20.16,2.043,0.217,1.826,25.34,65.84
45,桃園市,2009/05,中壢,6.1,0.94,-,34.6,70,39,42.61,13.58,29.02,2.435,0.441,1.993,24.75,69.98
46,桃園市,2009/05,大園,5.2,0.37,-,41.9,49,35,23.16,3.32,19.84,-,-,-,25.2,68.67
47,桃園市,2009/05,龍潭,3.2,0.44,-,44.3,60,30,19.76,2.72,17.03,-,-,-,23.86,72.53
48,桃園市,2009/05,平鎮,5.6,0.44,-,42.6,67,31,22.04,1.96,20.07,-,-,-,25.11,64.87
49,桃園市,2009/05,觀音,6.0,0.31,-,44.0,63,32,16.32,1.65,14.66,-,-,-,25.21,69.24
50,新竹縣,2009/05,竹東,2.8,0.39,-,41.1,52,32,16.88,2.37,14.51,-,-,-,25.25,65.15
51,新竹縣,2009/05,湖口,4.3,0.35,-,45.0,56,35,16.61,2.21,14.39,-,-,-,25.05,65.16
52,苗栗縣,2009/05,苗栗,4.1,0.46,-,40.3,56,38,20.74,2.64,18.11,-,-,-,25.67,67.96
53,苗栗縣,2009/05,頭份,3.7,0.39,-,40.6,58,35,18.1,1.91,16.19,-,-,-,25.0,70.03
54,苗栗縣,2009/05,三義,2.9,0.34,-,44.9,66,36,15.1,1.48,13.59,-,-,-,23.01,76.65
55,彰化縣,2009/05,彰化,4.9,0.47,-,37.8,67,47,26.96,4.6,22.36,2.057,0.192,1.865,26.48,67.75
56,彰化縣,2009/05,線西,4.3,0.35,-,48.9,60,39,14.59,1.49,13.08,-,-,-,26.55,71.67
57,彰化縣,2009/05,二林,2.7,0.25,-,43.1,59,43,13.2,1.62,11.57,-,-,-,26.08,71.76
58,南投縣,2009/05,南投,3.8,0.51,-,41.4,62,39,21.08,2.71,18.36,2.109,0.145,1.964,26.16,69.12
59,南投縣,2009/05,埔里,2.4,0.39,-,49.4,55,41,14.02,1.55,12.47,-,-,-,24.73,67.83
60,南投縣,2009/05,竹山,3.0,0.38,-,46.2,61,43,15.47,2.13,13.34,-,-,-,25.52,73.02
61,雲林縣,2009/05,斗六,3.5,0.41,-,43.4,72,46,17.76,2.52,15.23,-,-,-,26.71,68.49
62,雲林縣,2009/05,崙背,3.8,0.32,-,44.6,71,46,13.02,3.1,9.91,-,-,-,25.3,73.94
63,雲林縣,2009/05,臺西,5.0,0.27,-,49.8,64,41,14.38,2.49,11.88,-,-,-,26.19,79.01
64,嘉義縣,2009/05,朴子,3.5,0.35,-,48.8,79,40,12.25,1.22,11.0,-,-,-,26.4,70.77
65,嘉義縣,2009/05,新港,3.6,0.34,-,44.5,79,47,14.91,2.56,12.35,-,-,-,25.87,67.95
66,屏東縣,2009/05,屏東,4.5,0.45,-,43.6,72,39,16.4,2.08,14.31,2.126,0.165,1.96,27.55,65.78
67,屏東縣,2009/05,潮州,4.4,0.28,-,41.0,64,33,11.07,2.34,8.73,-,-,-,26.92,68.11
68,屏東縣,2009/05,恆春,1.9,0.14,372.01,48.6,28,15,3.46,1.57,1.88,-,-,-,27.78,75.16
69,臺東縣,2009/05,臺東,1.9,0.32,-,37.1,30,15,7.23,2.47,4.76,-,-,-,26.28,70.87
70,臺東縣,2009/05,關山,1.9,-,-,32.3,28,16,4.9,1.6,3.3,-,-,-,25.0,71.38
71,花蓮縣,2009/05,花蓮,2.3,0.41,-,32.5,35,23,11.93,1.98,9.93,-,-,-,25.21,76.41
72,澎湖縣,2009/05,馬公,2.3,0.28,-,60.0,50,28,5.52,0.82,4.67,-,-,-,25.43,73.22
73,金門縣,2009/05,金門,7.9,0.45,-,48.9,85,43,18.08,3.52,14.54,-,-,-,23.34,73.07
74,連江縣,2009/05,馬祖,3.1,0.36,-,62.3,61,37,7.46,1.41,6.05,-,-,-,21.56,78.0
,,,,,,,,,,,,,,,,,
