序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
1,臺北市,2003/12,松山,4.5,0.73,398.45,22.5,54,-,38.66,13.6,25.06,-,-,-,16.92,-,-,-,-
2,臺北市,2003/12,古亭,3.3,0.72,-,18.9,50,-,45.85,15.71,30.14,-,-,-,17.07,-,-,67.57,-
3,臺北市,2003/12,中山,5.1,0.97,-,15.8,62,-,63.34,27.05,36.29,2.778,0.59,2.19,19.69,-,-,67.51,-
4,臺北市,2003/12,大同,4.6,1.18,-,-,63,-,72.51,38.05,34.51,3.148,0.59,2.56,17.88,-,-,-,-
5,臺北市,2003/12,萬華,3.6,0.92,-,19.9,54,40,39.61,11.93,27.68,-,-,-,17.66,-,-,63.8,-
6,臺北市,2003/12,陽明,2.4,0.32,341.82,42.2,-,-,4.68,0.91,3.76,-,-,-,5.5,-,-,-,-
7,臺北市,2003/12,士林,3.5,0.69,-,26.4,40,-,28.51,10.08,18.44,-,-,-,17.06,-,-,70.02,-
8,新北市,2003/12,板橋,7.9,0.79,-,22.5,60,-,39.23,11.79,27.44,3.196,0.64,2.55,16.74,-,-,68.77,-
9,新北市,2003/12,三重,6.0,2.35,-,-,-,88,193.86,152.14,41.72,3.413,1.22,2.19,18.77,-,-,11.29,-
10,新北市,2003/12,菜寮,4.5,1.0,-,21.8,61,-,47.87,18.56,29.32,-,-,-,17.81,-,-,68.85,-
11,新北市,2003/12,永和,4.2,1.28,-,20.0,78,-,58.79,29.52,29.27,2.879,0.63,2.25,17.03,-,-,70.16,-
12,新北市,2003/12,新莊,5.9,0.85,-,23.3,69,-,45.96,15.96,30.4,2.869,0.74,2.13,16.83,-,-,58.03,-
13,新北市,2003/12,新店,2.4,0.6,-,24.8,60,-,23.52,5.06,18.47,-,-,-,17.73,-,-,-,-
14,新北市,2003/12,淡水,2.6,0.63,-,32.5,48,-,20.62,6.0,14.62,-,-,-,16.82,-,-,-,-
15,新北市,2003/12,汐止,4.7,0.66,-,20.6,57,-,42.46,20.1,22.36,-,-,-,17.01,-,-,-,-
16,新北市,2003/12,土城,4.1,0.79,-,19.9,52,-,38.48,14.29,24.63,-,-,-,17.23,-,-,-,-
17,新北市,2003/12,林口,3.2,0.52,-,33.0,48,-,19.6,3.63,16.26,-,-,-,14.85,-,-,73.67,-
18,新北市,2003/12,萬里,2.3,0.4,-,40.3,55,-,-,-,-,2.248,0.08,2.17,17.44,-,-,64.28,-
19,臺中市,2003/12,西屯,4.0,0.84,-,27.3,73,-,45.4,21.43,24.02,2.527,0.42,2.11,17.83,-,-,58.59,-
20,臺中市,2003/12,忠明,4.2,1.0,-,21.3,82,57,51.91,21.91,29.99,-,-,-,16.04,-,-,-,-
21,臺中市,2003/12,豐原,6.3,0.86,-,26.2,52,-,31.7,8.16,23.54,-,-,-,16.58,-,-,63.97,-
22,臺中市,2003/12,沙鹿,5.8,0.67,-,22.9,68,-,33.24,8.53,24.71,-,-,-,17.48,-,-,-,-
23,臺中市,2003/12,大里,3.5,1.05,393.2,20.2,89,-,54.16,15.75,38.41,-,-,-,19.47,-,-,62.15,-
