序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1997/04,松山,4.4,1.12,24.0,75.0,-,50,14.79,35.64,-,-,-,21.81,-,-
2,臺北市,1997/04,古亭,4.4,1.22,22.4,70.0,-,53,18.58,34.74,2.29,0.36,1.93,22.23,-,-
3,臺北市,1997/04,中山,6.0,1.33,23.9,64.0,-,59,18.74,40.51,2.82,0.47,2.35,22.06,-,-
4,臺北市,1997/04,大同,11.4,3.86,-,60.0,-,166,112.62,53.77,4.17,1.7,2.47,22.8,-,-
5,臺北市,1997/04,萬華,4.9,1.18,27.5,64.0,-,40,8.13,32.04,-,-,-,22.14,-,-
6,臺北市,1997/04,陽明,3.1,0.34,35.8,26.0,-,5,0.6,4.01,-,-,-,16.28,-,-
7,臺北市,1997/04,士林,4.0,0.91,23.3,61.0,-,37,9.9,27.03,-,-,-,22.02,-,-
8,新北市,1997/04,板橋,8.6,1.27,22.2,91.0,-,55,15.32,39.45,3.07,0.69,2.37,22.73,-,-
9,新北市,1997/04,三重,7.5,2.54,-,107.0,-,127,78.3,48.27,-,-,-,22.7,-,-
10,新北市,1997/04,菜寮,5.9,1.36,19.2,89.0,-,52,16.23,35.32,-,-,-,22.42,-,-
11,新北市,1997/04,永和,6.2,2.17,-,73.0,-,86,48.46,37.89,3.19,0.77,2.41,23.52,-,-
12,新北市,1997/04,新莊,7.6,1.04,28.3,60.0,-,53,21.56,31.38,-,-,-,22.37,-,-
13,新北市,1997/04,新店,3.2,0.84,35.0,55.0,-,26,3.25,22.74,-,-,-,21.87,-,-
14,新北市,1997/04,淡水,3.2,0.88,25.7,69.0,-,28,5.94,22.4,-,-,-,21.62,-,-
15,新北市,1997/04,汐止,5.4,1.0,19.4,89.0,-,57,19.95,37.35,-,-,-,20.95,-,-
16,新北市,1997/04,土城,6.0,0.99,26.1,80.0,-,41,12.17,29.97,-,-,-,22.17,-,-
17,新北市,1997/04,林口,5.5,0.69,35.2,75.0,-,31,6.71,24.34,-,-,-,19.88,-,-
18,新北市,1997/04,萬里,2.0,0.48,43.3,47.0,-,10,1.24,9.0,2.16,0.1,2.06,20.92,-,-
19,臺中市,1997/04,西屯,4.6,0.71,26.1,74.0,-,32,8.4,23.91,-,-,-,23.29,-,-
20,臺中市,1997/04,忠明,6.2,1.19,26.7,87.0,-,49,12.51,36.02,-,-,-,23.18,-,-
21,臺中市,1997/04,豐原,6.0,0.82,25.5,60.0,-,33,5.34,27.72,-,-,-,22.61,-,-
22,臺中市,1997/04,沙鹿,7.4,0.65,28.0,74.0,-,30,5.1,24.42,-,-,-,22.84,-,-
23,臺中市,1997/04,大里,5.6,0.87,28.0,93.0,-,37,7.21,29.97,-,-,-,24.2,-,-
24,臺南市,1997/04,新營,6.6,0.69,32.0,79.0,-,26,4.2,22.08,-,-,-,24.73,-,-
25,臺南市,1997/04,善化,5.6,0.56,33.4,95.0,-,21,3.22,17.46,-,-,-,24.34,-,-
26,臺南市,1997/04,安南,7.9,0.57,35.6,83.0,-,26,4.55,21.36,-,-,-,24.4,-,-
27,臺南市,1997/04,臺南,7.6,0.86,28.4,101.0,-,32,6.87,25.54,2.95,0.49,2.46,25.07,-,-
28,高雄市,1997/04,左營,12.0,0.79,-,86.0,-,33,7.06,26.0,-,-,-,25.1,-,-
29,高雄市,1997/04,楠梓,7.7,0.6,28.0,93.0,-,38,9.24,28.42,2.74,0.31,2.43,25.17,-,-
30,高雄市,1997/04,前金,13.4,0.79,31.2,102.0,-,32,6.62,25.48,-,-,-,25.0,-,-
31,高雄市,1997/04,前鎮,18.4,-,-,90.0,-,42,10.97,30.83,2.72,0.47,2.25,24.94,-,-
32,高雄市,1997/04,復興,9.0,1.24,-,101.0,-,46,16.6,29.42,2.84,0.66,2.18,25.44,-,-
33,高雄市,1997/04,小港,16.7,0.77,28.2,91.0,-,49,15.29,34.15,2.72,0.35,2.37,25.71,-,-
34,高雄市,1997/04,鳳山,15.7,0.9,27.8,105.0,-,44,10.73,32.95,-,-,-,25.96,-,-
35,高雄市,1997/04,林園,9.9,0.54,35.2,92.0,-,19,3.27,15.8,2.6,0.3,2.3,25.41,-,-
36,高雄市,1997/04,大寮,14.0,0.76,33.1,108.0,-,30,5.39,24.93,-,-,-,-,-,-
37,高雄市,1997/04,仁武,17.0,0.69,28.2,104.0,-,43,12.08,30.54,2.85,0.5,2.28,25.09,-,-
38,高雄市,1997/04,橋頭,8.5,0.71,30.1,89.0,-,31,7.09,24.34,2.52,0.18,2.34,23.9,-,-
39,高雄市,1997/04,美濃,3.5,0.52,35.0,86.0,-,15,0.82,14.23,-,-,-,25.47,-,-
40,基隆市,1997/04,基隆,6.8,0.9,32.3,-,-,36,9.89,25.86,2.65,0.46,2.19,21.27,-,-
41,新竹市,1997/04,新竹,6.4,0.83,29.8,69.0,-,31,6.2,24.95,2.88,0.24,2.65,22.96,-,-
42,嘉義市,1997/04,嘉義,7.6,0.93,26.9,95.0,-,37,7.05,30.05,-,-,-,24.2,-,-
