序號,縣市,監測月份,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/04,松山,2.7,0.45,437.55,35.5,49,20,23.77,4.75,19.02,1.956,0.134,1.822,1.69,1.28,23.06,-,-,67.59,-
2,臺北市,2018/04,古亭,2.2,0.45,-,39.4,49,17,21.4,4.04,17.36,2.019,0.118,1.902,1.94,1.64,23.52,-,-,65.7,-
3,臺北市,2018/04,中山,2.4,0.59,-,32.7,55,22,29.95,6.44,23.51,2.105,0.165,1.94,1.89,1.46,23.77,-,-,69.84,-
4,臺北市,2018/04,大同,3,1.15,-,-,68,23,63.67,30.51,33.16,2.37,0.333,2.037,-,-,-,-,-,-,-
5,臺北市,2018/04,萬華,2.5,0.51,-,35.6,49,21,25.54,4.4,21.14,-,-,-,1.86,1.51,24.05,-,-,66.19,-
6,臺北市,2018/04,陽明,2.1,0.22,423.19,51.4,28,17,3.68,0.65,3,-,-,-,2.02,-,16.66,1.77,5.03,89.09,55.15
7,臺北市,2018/04,士林,2.3,0.38,-,38.4,48,22,15.24,2.6,12.64,-,-,-,1.91,1.61,24,-,-,71.58,-
8,新北市,2018/04,板橋,3.2,0.56,-,35.4,59,26,25.56,3.98,21.58,2.205,0.221,1.984,1.9,1.53,24.12,2.15,4.99,65.09,65.83
9,新北市,2018/04,三重,3.6,1.19,-,-,71,20,82.32,45.47,36.86,2.369,0.379,1.989,-,-,24.13,-,-,66.77,-
10,新北市,2018/04,菜寮,2.5,0.52,-,28.8,49,23,21.98,4.19,17.79,-,-,-,2.12,1.78,23.73,-,-,65.45,-
11,新北市,2018/04,永和,2.5,0.65,-,36.4,46,21,28.96,7.94,21.02,2.082,0.203,1.879,1.82,1.5,24.05,-,-,67.05,-
12,新北市,2018/04,新莊,3.4,0.56,-,37.4,53,23,26.28,5.74,20.53,-,-,-,2.41,2.03,23.79,-,-,61.99,-
13,新北市,2018/04,新店,2.1,0.39,-,41.3,44,21,15.14,2.56,12.59,-,-,-,1.85,1.47,23.42,-,-,69.29,-
14,新北市,2018/04,淡水,2.3,0.38,-,30.1,51,20,13.43,2.16,11.27,-,-,-,1.67,-,23.29,-,-,70.03,-
15,新北市,2018/04,汐止,3,0.44,-,34.5,46,25,24.96,6.73,18.23,-,-,-,1.56,1.24,23.02,-,-,75.36,-
16,新北市,2018/04,土城,2.8,0.51,-,36.9,54,24,24.01,5.27,18.73,2.134,0.189,1.945,1.38,0.84,23.42,-,-,68.86,-
17,新北市,2018/04,林口,3.3,0.37,-,43.5,62,26,19.8,3.56,16.24,-,-,-,2.5,2.14,21.27,-,-,78.43,-
18,新北市,2018/04,富貴角,1.3,0.21,-,49.9,51,24,4.16,0.28,3.96,1.93,0.037,1.893,4.51,4.4,22.01,-,-,75.2,-
19,新北市,2018/04,萬里,3.1,0.26,-,44.7,55,20,7.53,1.52,6,-,-,-,3.67,3.41,21.23,1.89,4.96,72.59,217.01
20,臺中市,2018/04,西屯,3.2,0.39,-,39.8,61,28,17.58,1.69,15.91,2.029,0.177,1.852,2.14,1.88,23.64,1.25,4.96,66.48,23.23
21,臺中市,2018/04,忠明,3.2,0.44,-,37.2,53,29,19.74,2.06,17.67,1.942,0.15,1.792,1.82,1.38,25.3,-,-,63.96,-
22,臺中市,2018/04,豐原,2.6,0.38,-,39.4,49,26,12.85,1.78,11.07,1.894,0.125,1.769,2.05,1.75,23.05,-,-,69.2,-
23,臺中市,2018/04,沙鹿,3.5,0.4,-,40.7,60,26,17.07,1.92,15.15,-,-,-,2.81,2.5,23.71,-,-,71.58,-
