序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/10,松山,3.6,0.79,18.2,36.0,-,40,13.55,26.79,-,-,-,25.28,-,-,-
2,臺北市,2000/10,古亭,2.8,0.77,19.9,33.0,-,37,13.0,24.04,2.27,0.29,1.97,26.15,-,-,-
3,臺北市,2000/10,中山,3.0,0.82,19.1,42.0,-,38,12.91,25.53,2.35,0.25,2.1,25.79,-,-,-
4,臺北市,2000/10,大同,7.3,3.2,-,-,-,152,108.96,42.61,3.7,1.49,2.21,26.49,-,-,-
5,臺北市,2000/10,萬華,2.8,0.86,22.4,31.0,-,29,6.63,22.56,-,-,-,26.06,-,-,-
6,臺北市,2000/10,陽明,1.4,0.26,44.3,14.0,-,4,0.55,3.04,-,-,-,20.31,-,-,-
7,臺北市,2000/10,士林,2.1,0.67,23.0,32.0,-,23,5.85,17.52,-,-,-,25.96,-,-,-
8,新北市,2000/10,板橋,4.6,0.77,18.6,42.0,-,37,10.54,26.0,2.53,0.38,2.15,26.07,-,-,-
9,新北市,2000/10,三重,5.0,2.34,-,57.0,27,123,86.48,36.45,3.06,0.9,2.15,26.18,-,-,-
10,新北市,2000/10,菜寮,3.4,0.93,18.2,42.0,-,36,10.75,24.9,-,-,-,25.47,-,-,-
11,新北市,2000/10,永和,4.1,1.41,16.0,45.0,-,56,27.06,28.45,2.74,0.57,2.17,25.7,-,-,-
12,新北市,2000/10,新莊,4.5,0.7,27.9,40.0,-,30,6.47,23.35,2.19,0.38,1.82,25.95,-,-,-
13,新北市,2000/10,新店,1.7,0.5,23.1,26.0,-,19,3.13,15.42,-,-,-,25.83,-,-,-
14,新北市,2000/10,淡水,1.4,0.58,28.1,33.0,-,15,3.27,12.03,-,-,-,24.94,-,-,-
15,新北市,2000/10,汐止,2.7,0.66,20.6,35.0,-,34,10.2,23.86,-,-,-,24.64,-,-,-
16,新北市,2000/10,土城,3.3,0.75,20.2,37.0,-,30,8.0,22.53,-,-,-,25.5,-,-,-
17,新北市,2000/10,林口,2.5,0.4,29.3,38.0,-,18,4.15,14.36,-,-,-,23.7,-,-,-
18,新北市,2000/10,萬里,1.1,0.26,38.1,44.0,-,6,1.18,4.76,1.88,0.02,1.85,24.91,-,-,-
19,臺中市,2000/10,西屯,2.6,0.57,25.6,58.0,-,25,5.77,19.12,2.34,0.18,2.16,24.44,-,-,-
20,臺中市,2000/10,忠明,3.1,0.82,24.2,57.0,34,37,8.17,29.05,-,-,-,26.75,-,-,-
21,臺中市,2000/10,豐原,3.3,0.72,24.9,50.0,-,29,5.31,23.24,-,-,-,25.45,-,-,-
22,臺中市,2000/10,沙鹿,4.6,0.45,-,37.0,-,23,4.36,18.63,-,-,-,26.11,-,-,-
23,臺中市,2000/10,大里,1.6,0.75,24.5,72.0,-,33,5.93,27.12,-,-,-,25.45,-,-,-
24,臺南市,2000/10,新營,3.4,0.51,31.3,55.0,-,22,3.49,18.62,2.4,0.14,2.26,26.89,-,-,-
25,臺南市,2000/10,善化,4.0,0.45,33.1,57.0,-,21,3.86,16.95,-,-,-,26.81,-,-,-
26,臺南市,2000/10,安南,6.4,0.51,34.3,73.0,-,21,4.19,16.84,-,-,-,27.14,-,-,-
27,臺南市,2000/10,臺南,6.1,0.84,28.0,82.0,-,28,6.13,21.83,2.44,0.33,2.11,27.67,-,-,-
28,高雄市,2000/10,左營,3.8,0.81,39.8,79.0,-,25,5.26,19.56,2.41,0.27,2.14,27.04,-,-,-
29,高雄市,2000/10,楠梓,3.5,0.59,33.0,77.0,-,29,6.2,23.08,2.62,0.21,2.41,27.07,-,-,-
30,高雄市,2000/10,前金,6.4,0.79,34.6,62.0,-,29,5.92,23.29,-,-,-,27.08,-,-,-
31,高雄市,2000/10,前鎮,9.9,-,-,85.0,-,38,8.67,29.05,2.32,0.35,1.98,27.07,-,-,-
32,高雄市,2000/10,復興,10.0,1.18,-,102.0,-,55,16.3,38.71,2.75,0.68,2.07,27.67,-,-,-
33,高雄市,2000/10,小港,12.4,0.79,34.6,91.0,-,45,11.67,32.84,2.48,0.39,2.09,27.64,-,-,-
34,高雄市,2000/10,鳳山,9.6,1.08,29.3,90.0,42,37,12.13,24.95,-,-,-,27.85,-,-,-
35,高雄市,2000/10,林園,8.9,0.61,38.6,82.0,41,21,4.66,16.72,2.56,0.33,2.24,27.6,-,-,-
36,高雄市,2000/10,大寮,9.4,0.83,35.5,98.0,-,28,4.05,23.83,2.7,0.27,2.42,27.41,-,-,-
37,高雄市,2000/10,仁武,10.7,0.6,37.0,84.0,-,36,9.56,26.44,2.67,0.3,2.36,27.7,-,-,-
38,高雄市,2000/10,橋頭,4.9,0.56,30.2,65.0,-,30,6.53,23.6,2.4,0.14,2.26,27.27,-,-,-
39,高雄市,2000/10,美濃,1.2,0.48,33.7,71.0,-,12,0.79,11.66,-,-,-,27.16,-,-,-
40,基隆市,2000/10,基隆,4.9,0.59,27.0,51.0,-,25,6.27,18.33,2.27,0.15,2.13,25.22,-,-,-
41,新竹市,2000/10,新竹,4.0,0.59,22.2,36.0,-,27,6.34,20.96,2.49,0.23,2.26,26.01,-,-,-
42,嘉義市,2000/10,嘉義,4.1,0.78,24.8,84.0,-,32,6.88,24.9,2.35,0.29,2.06,26.25,-,-,-
43,宜蘭縣,2000/10,宜蘭,1.2,0.43,23.7,25.0,-,13,1.97,10.76,-,-,-,24.99,-,-,-
44,宜蘭縣,2000/10,冬山,2.2,0.52,18.0,24.0,-,19,6.74,12.13,2.31,0.14,2.17,25.83,-,-,-
45,桃園市,2000/10,桃園,8.7,0.63,21.4,33.0,-,27,6.02,21.14,2.32,0.25,2.07,24.99,-,-,-
46,桃園市,2000/10,中壢,5.3,1.16,-,33.0,-,51,21.41,29.57,2.58,0.5,2.08,24.73,-,-,-
47,桃園市,2000/10,大園,2.3,0.31,31.9,47.0,-,13,3.77,9.34,-,-,-,25.47,-,-,-
48,桃園市,2000/10,龍潭,2.5,0.52,30.3,44.0,-,23,4.86,18.59,-,-,-,24.02,-,-,-
49,桃園市,2000/10,平鎮,4.9,0.61,22.7,35.0,-,30,5.88,24.14,2.41,0.23,2.18,24.51,-,-,-
50,桃園市,2000/10,觀音,5.5,0.35,30.0,40.0,-,17,3.45,13.25,2.35,0.14,2.21,24.95,-,-,-
51,新竹縣,2000/10,竹東,1.9,0.51,28.1,39.0,-,18,3.94,14.0,-,-,-,25.36,-,-,-
52,新竹縣,2000/10,湖口,2.3,0.52,28.5,43.0,-,20,4.8,15.31,-,-,-,25.36,-,-,-
