序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1998/01,松山,4.5,1.06,13.7,42.0,-,55,23.86,30.84,-,-,-,15.77,-,-
2,臺北市,1998/01,古亭,3.7,1.15,13.9,51.0,39,57,27.4,29.38,2.58,0.46,2.12,15.62,-,-
3,臺北市,1998/01,中山,4.9,1.31,12.5,58.0,-,62,27.41,33.69,-,-,-,16.39,-,-
4,臺北市,1998/01,大同,8.4,3.45,-,-,-,183,142.29,41.29,4.06,1.57,2.49,16.59,-,-
5,臺北市,1998/01,萬華,4.1,1.14,14.1,51.0,-,47,16.63,29.93,-,-,-,15.36,-,-
6,臺北市,1998/01,陽明,1.5,0.28,41.9,15.0,-,3,0.35,3.1,-,-,-,10.64,-,-
7,臺北市,1998/01,士林,2.8,0.9,16.6,36.0,-,39,15.62,23.22,-,-,-,16.21,-,-
8,新北市,1998/01,板橋,6.7,1.16,12.9,68.0,-,55,22.4,32.09,2.95,0.77,2.18,16.44,-,-
9,新北市,1998/01,三重,6.5,2.91,-,76.0,43,151,112.66,37.73,-,-,-,16.04,-,-
10,新北市,1998/01,菜寮,8.0,1.32,12.5,59.0,-,55,24.55,30.69,-,-,-,16.42,-,-
11,新北市,1998/01,永和,4.7,1.84,-,70.0,-,96,63.24,32.69,2.9,0.77,2.31,18.65,-,-
12,新北市,1998/01,新莊,6.5,0.83,17.6,52.0,-,47,18.57,28.41,2.8,0.48,2.32,16.0,-,-
13,新北市,1998/01,新店,2.6,0.84,19.8,39.0,-,33,9.54,23.84,-,-,-,15.54,-,-
14,新北市,1998/01,淡水,2.4,0.82,26.5,48.0,-,25,7.51,17.04,-,-,-,15.43,-,-
15,新北市,1998/01,汐止,5.3,1.03,13.0,56.0,-,65,31.34,33.3,-,-,-,15.44,-,-
16,新北市,1998/01,土城,4.9,0.88,14.4,42.0,-,36,17.69,18.11,-,-,-,15.88,-,-
17,新北市,1998/01,林口,3.2,0.53,25.7,28.0,-,23,5.44,18.26,-,-,-,13.55,-,-
18,新北市,1998/01,萬里,4.1,0.32,34.1,44.0,-,21,13.7,7.3,2.35,0.13,2.22,15.72,-,-
19,臺中市,1998/01,西屯,4.2,0.79,13.3,69.0,-,40,15.36,25.26,2.37,0.34,2.03,17.3,-,-
20,臺中市,1998/01,忠明,4.6,1.19,13.3,75.0,40,59,24.81,33.73,-,-,-,16.61,-,-
21,臺中市,1998/01,豐原,3.9,0.98,14.1,64.0,-,42,14.11,27.92,-,-,-,16.3,-,-
22,臺中市,1998/01,沙鹿,6.2,0.7,18.4,57.0,-,32,8.85,23.5,-,-,-,16.76,-,-
23,臺中市,1998/01,大里,4.7,1.13,-,80.0,-,54,23.13,31.2,-,-,-,18.35,-,-
24,臺南市,1998/01,新營,6.5,0.79,23.3,69.0,-,36,9.8,26.57,2.53,0.21,2.33,18.64,-,-
25,臺南市,1998/01,善化,6.7,0.65,22.3,79.0,-,29,6.93,21.81,-,-,-,18.25,-,-
26,臺南市,1998/01,安南,7.2,0.7,24.6,67.0,-,35,10.09,24.99,-,-,-,18.34,-,-
27,臺南市,1998/01,臺南,7.0,1.02,18.7,97.0,-,45,14.63,30.56,2.61,0.46,2.15,18.39,-,-
28,高雄市,1998/01,左營,10.2,0.88,24.9,100.0,-,47,12.72,34.31,-,-,-,19.6,-,-
29,高雄市,1998/01,楠梓,6.0,0.62,21.1,83.0,-,47,13.38,33.81,2.61,0.3,2.31,19.37,-,-
30,高雄市,1998/01,前金,15.8,1.05,22.7,95.0,-,45,12.34,32.97,-,-,-,19.69,-,-
31,高雄市,1998/01,前鎮,19.2,-,-,94.0,-,70,24.27,45.72,3.08,0.61,2.46,20.35,-,-
32,高雄市,1998/01,復興,15.5,1.61,-,119.0,-,91,43.5,47.18,3.09,0.93,2.16,20.16,-,-
33,高雄市,1998/01,小港,25.0,-,18.7,91.0,-,82,33.76,47.83,2.99,0.62,2.37,20.54,-,-
34,高雄市,1998/01,鳳山,-,1.44,13.3,115.0,52,65,24.1,41.13,-,-,-,20.41,-,-
35,高雄市,1998/01,林園,25.3,0.75,22.9,106.0,54,44,13.56,30.09,3.12,0.93,2.19,20.8,-,-
36,高雄市,1998/01,大寮,15.2,0.9,23.4,126.0,-,44,9.63,34.06,2.43,0.44,2.0,20.97,-,-
37,高雄市,1998/01,仁武,18.8,0.76,19.4,101.0,-,49,13.77,35.28,2.73,0.5,2.24,19.77,-,-
38,高雄市,1998/01,橋頭,7.4,0.81,21.4,86.0,-,44,12.52,31.57,2.42,0.25,2.17,19.23,-,-
39,高雄市,1998/01,美濃,2.6,0.67,25.4,91.0,-,24,3.24,20.48,-,-,-,20.6,-,-
40,基隆市,1998/01,基隆,8.0,0.94,20.1,43.0,-,40,14.25,25.26,2.64,0.41,2.24,15.69,-,-
41,新竹市,1998/01,新竹,5.8,0.75,18.0,56.0,-,36,12.24,23.52,2.66,0.55,2.1,16.09,-,-
42,嘉義市,1998/01,嘉義,8.2,1.16,16.3,93.0,-,54,18.55,35.38,2.9,0.48,2.43,18.49,-,-
43,宜蘭縣,1998/01,宜蘭,1.7,0.61,20.6,34.0,-,20,4.49,15.69,-,-,-,16.57,-,-
44,宜蘭縣,1998/01,冬山,1.4,0.66,15.4,37.0,-,27,11.01,16.35,2.26,0.16,2.09,16.72,-,-
45,桃園市,1998/01,桃園,9.5,0.84,17.3,52.0,-,39,12.98,25.78,2.44,0.34,2.1,15.03,-,-
46,桃園市,1998/01,中壢,7.8,1.37,-,57.0,-,72,35.72,35.78,-,-,-,14.45,-,-
47,桃園市,1998/01,大園,3.0,0.41,29.1,35.0,-,17,4.36,12.4,-,-,-,15.37,-,-
