序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2011/03,松山,3.9,0.67,413.29,31.3,64,32,40.85,11.31,29.55,2.307,0.235,2.073,16.19,70.47
2,臺北市,2011/03,古亭,2.9,0.69,-,33.7,69,40,37.37,10.61,26.76,2.236,0.222,2.015,16.44,74.05
3,臺北市,2011/03,中山,3.9,0.84,-,26.9,70,45,50.55,16.51,34.05,2.352,0.294,2.059,16.52,70.41
4,臺北市,2011/03,大同,4.8,1.52,-,-,69,45,88.44,44.88,43.55,2.742,0.594,2.148,-,-
5,臺北市,2011/03,萬華,3.7,0.73,-,25.2,64,39,45.13,12.81,32.32,-,-,-,16.31,70.95
6,臺北市,2011/03,陽明,2.4,0.25,395.47,51.9,24,16,4.46,1.05,3.38,-,-,-,10.08,-
7,臺北市,2011/03,士林,3.1,0.52,-,41.9,58,34,23.34,5.8,17.55,-,-,-,16.26,69.15
8,新北市,2011/03,板橋,4.4,0.74,-,33.0,68,39,35.78,7.87,27.91,2.462,0.33,2.132,16.89,67.64
9,新北市,2011/03,三重,3.7,1.79,-,-,75,44,133.63,83.66,49.97,2.806,0.792,2.015,16.2,68.43
10,新北市,2011/03,菜寮,4.1,0.77,-,34.4,64,37,37.33,10.43,26.89,-,-,-,16.89,68.93
11,新北市,2011/03,永和,3.9,0.96,-,31.6,64,41,46.02,19.65,26.37,2.182,0.383,1.799,16.29,70.76
12,新北市,2011/03,新莊,4.4,0.59,-,36.4,62,38,30.48,6.35,24.12,-,-,-,16.82,69.94
13,新北市,2011/03,新店,2.9,0.52,-,38.2,51,30,22.09,4.47,17.63,-,-,-,16.24,76.57
14,新北市,2011/03,淡水,2.9,0.39,-,42.3,49,31,14.56,2.6,11.96,-,-,-,-,-
15,新北市,2011/03,汐止,4.8,0.55,-,34.2,59,34,34.97,9.92,25.05,-,-,-,16.13,81.66
16,新北市,2011/03,土城,4.3,0.65,-,36.9,67,41,29.21,6.75,22.46,2.359,0.33,2.029,16.48,72.06
17,新北市,2011/03,林口,3.6,0.4,-,42.3,57,31,17.61,2.66,14.95,-,-,-,14.45,79.38
18,新北市,2011/03,萬里,3.3,0.33,-,52.9,70,27,9.82,1.97,7.84,-,-,-,16.17,81.6
19,臺中市,2011/03,西屯,3.4,0.5,-,31.7,81,48,26.08,5.55,20.54,2.351,0.33,2.021,17.92,71.01
20,臺中市,2011/03,忠明,4.0,0.68,-,29.4,70,48,35.01,8.56,26.45,2.326,0.316,2.009,17.88,69.73
21,臺中市,2011/03,豐原,3.8,0.62,-,27.7,70,43,27.55,5.34,22.21,2.214,0.236,1.978,16.66,73.4
22,臺中市,2011/03,沙鹿,4.1,0.43,-,33.6,73,43,21.9,3.4,18.5,-,-,-,16.58,71.36
23,臺中市,2011/03,大里,4.0,0.68,425.21,27.4,78,49,34.7,6.87,27.83,2.266,0.321,1.945,18.17,65.74
24,臺南市,2011/03,新營,4.4,0.49,-,34.6,106,60,24.01,3.59,20.41,2.19,0.148,2.042,19.28,73.94
25,臺南市,2011/03,善化,5.0,0.47,423.34,33.7,102,57,21.57,4.3,17.27,-,-,-,21.03,76.89
26,臺南市,2011/03,安南,4.8,0.47,-,39.2,104,58,22.33,4.51,17.82,2.198,0.175,2.023,19.32,69.55
27,臺南市,2011/03,臺南,5.1,0.58,-,37.4,97,59,24.77,2.75,22.02,2.222,0.25,1.973,19.8,70.53
28,高雄市,2011/03,左營,6.6,0.62,-,35.6,110,61,29.82,4.17,25.65,2.299,0.244,2.055,20.62,67.44
29,高雄市,2011/03,楠梓,6.7,0.53,-,35.1,118,65,27.21,4.21,23.0,2.109,0.2,1.909,20.2,68.7
30,高雄市,2011/03,前金,7.1,0.64,-,36.4,105,72,30.05,4.37,25.68,2.249,0.235,2.014,20.84,66.74
31,高雄市,2011/03,前鎮,7.6,0.69,-,33.6,111,71,32.58,5.42,27.16,2.281,0.328,1.953,21.89,66.16
32,高雄市,2011/03,復興,8.6,0.93,-,29.4,125,69,41.17,6.76,34.41,2.566,0.457,2.109,21.22,66.77
33,高雄市,2011/03,小港,11.7,0.66,-,30.8,103,66,39.43,8.34,31.08,2.207,0.335,1.872,21.3,64.97
34,高雄市,2011/03,鳳山,12.2,0.75,-,32.2,130,70,36.34,5.36,30.98,2.426,0.37,2.056,21.16,68.91
35,高雄市,2011/03,林園,10.0,0.53,-,41.8,103,68,24.95,4.57,20.39,2.253,0.202,2.051,21.13,72.9
36,高雄市,2011/03,大寮,8.3,0.57,-,36.5,117,79,27.82,2.67,25.15,2.212,0.281,1.931,20.74,70.72
37,高雄市,2011/03,仁武,9.8,0.59,-,31.6,120,68,35.78,6.22,29.56,2.295,0.28,2.015,20.51,68.9
38,高雄市,2011/03,橋頭,6.2,0.56,-,31.8,114,75,27.71,3.99,23.72,-,-,-,20.52,69.78
39,高雄市,2011/03,美濃,2.2,0.5,-,39.5,111,69,18.3,3.11,15.19,-,-,-,20.31,75.12
40,基隆市,2011/03,基隆,3.4,0.45,-,41.2,47,27,19.08,4.89,14.19,2.066,0.128,1.939,16.04,76.67
41,新竹市,2011/03,新竹,3.8,0.49,-,35.0,69,43,24.75,4.68,20.07,2.121,0.193,1.928,16.24,71.91
