序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2016/01,松山,2.4,0.6,432.26,19.4,33,19,35.79,12.48,23.31,2.081,0.193,1.889,1.48,1.08,16.05,-,-,79.86,-
2,臺北市,2016/01,古亭,2.4,0.66,-,19.3,39,17,35.31,12.01,23.3,2.191,0.206,1.985,1.9,1.61,15.98,-,-,86.09,-
3,臺北市,2016/01,中山,2.8,0.82,-,16.2,39,22,46.6,18.85,27.75,2.22,0.275,1.945,1.8,1.33,16.94,-,-,83.81,-
4,臺北市,2016/01,大同,3.9,1.49,-,-,55,20,86.23,53.88,32.35,2.615,0.496,2.118,-,-,-,-,-,-,-
5,臺北市,2016/01,萬華,3.1,0.73,-,17.2,37,20,41.17,14.35,26.82,-,-,-,1.76,1.49,17.16,-,-,79.16,-
6,臺北市,2016/01,陽明,1.5,0.26,412.34,40.6,11,7,2.96,0.73,2.19,-,-,-,-,-,10.19,1.23,4.61,97.9,75.63
7,臺北市,2016/01,士林,2.2,0.54,-,26.2,32,17,24.41,7.88,16.53,-,-,-,1.85,1.43,16.52,-,-,76.63,-
8,新北市,2016/01,板橋,3.4,0.73,-,19.4,44,25,36.96,10.99,25.97,2.356,0.317,2.039,1.76,1.31,16.57,1.61,4.82,76.38,39.98
9,新北市,2016/01,三重,3.7,1.73,-,-,56,21,119.29,81.8,37.49,2.788,0.647,2.141,-,-,16.9,-,-,76.67,-
10,新北市,2016/01,菜寮,2.9,0.68,-,17.3,38,20,32.35,10.5,21.85,-,-,-,2.04,1.62,15.71,-,-,78.12,-
11,新北市,2016/01,永和,2.5,0.97,-,19.3,34,20,48.42,23.71,24.71,2.343,0.371,1.973,1.55,1.34,16.04,-,-,79.19,-
12,新北市,2016/01,新莊,3.4,0.89,-,21.1,38,22,33.51,10.44,23.07,-,-,-,2.61,2.22,16.49,-,-,78.81,-
13,新北市,2016/01,新店,2.4,0.59,-,20.6,32,21,26.69,7.74,18.96,-,-,-,3.06,2.28,16.08,-,-,81.26,-
14,新北市,2016/01,淡水,1.8,0.45,-,28.6,37,22,15.93,4.12,11.8,-,-,-,-,-,-,-,-,-,-
15,新北市,2016/01,汐止,2.8,0.55,-,23.3,35,19,30.48,10.83,19.65,-,-,-,1.52,1.25,16.44,-,-,85.7,-
16,新北市,2016/01,土城,2.7,0.64,-,21.8,35,22,30.1,9.59,20.51,2.193,0.248,1.945,1.4,0.6,16.37,-,-,80.49,-
17,新北市,2016/01,林口,2.4,0.4,-,30.5,38,21,18.95,5.05,13.9,-,-,-,2.95,2.61,14.56,-,-,90.17,-
18,新北市,2016/01,萬里,2,0.29,-,38.6,47,16,7.12,1.78,5.33,-,-,-,4.66,3.83,16.72,1.65,4.43,82.2,113.38
19,臺中市,2016/01,西屯,2.1,0.45,-,25,40,22,24.43,7.2,17.23,1.986,0.2,1.786,3.34,1.49,17.35,1.29,5.4,80.74,12.7
20,臺中市,2016/01,忠明,2.3,0.56,-,16.6,36,21,31.34,10.39,20.95,1.949,0.22,1.729,1.96,0.96,17.02,-,-,77.37,-
21,臺中市,2016/01,豐原,2,0.43,-,23.4,27,19,14.7,2.82,11.89,1.797,0.149,1.648,1.99,1.26,15.7,-,-,77.68,-
22,臺中市,2016/01,沙鹿,2.3,0.44,-,26.7,44,21,18.54,3.36,15.18,-,-,-,4.42,1.5,16.26,-,-,83.74,-
23,臺中市,2016/01,大里,2.5,0.71,428.6,17.6,44,23,35.4,11.73,23.67,2.254,0.317,1.937,1.86,0.92,18.15,-,-,75.07,-
24,臺南市,2016/01,新營,2.8,0.49,-,21.9,61,32,22.94,4.34,18.6,2.144,0.129,2.015,2.56,1.22,17.47,1.64,4.87,81.67,14.41
25,臺南市,2016/01,善化,3,0.46,430.17,21.5,54,32,19.54,2.74,16.8,-,-,-,3.38,1.63,18.69,-,-,79.65,-
26,臺南市,2016/01,安南,2.6,0.48,-,23,58,33,18.3,2.76,15.55,2.009,0.161,1.848,2.87,1.16,17.89,-,-,80.39,-
27,臺南市,2016/01,臺南,3.1,0.63,-,22.3,55,36,25.04,4.23,20.81,2.178,0.222,1.956,2.69,1.46,17.42,-,-,73.29,-
28,高雄市,2016/01,左營,3.3,0.61,-,21.9,69,41,27.37,5.13,22.24,2.246,0.221,2.025,2.44,1.46,18.39,-,-,79.2,-
29,高雄市,2016/01,楠梓,2.7,0.54,-,20.1,77,32,25.39,5.65,19.74,2.125,0.189,1.937,2.36,1.17,18.2,-,-,79.98,-
