序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","相對濕度 RH (percent)","紫外線指數 UVB (UVI)"
44,宜蘭縣,2004/09,冬山,2.4,0.42,-,18.3,36,-,16.58,5.33,11.26,1.951,0.11,1.842,27.08,-,-,79.61,-
45,桃園市,2004/09,桃園,12.6,0.57,-,12.0,64,-,35.24,8.79,26.44,2.916,0.632,2.285,28.99,-,-,77.87,-
46,桃園市,2004/09,中壢,-,1.02,-,21.6,59,-,57.12,25.8,31.33,2.922,0.744,2.178,26.84,-,-,75.25,-
47,桃園市,2004/09,大園,4.3,0.35,-,30.8,52,-,26.47,6.79,19.68,-,-,-,27.63,-,-,76.51,-
48,桃園市,2004/09,龍潭,2.9,0.41,-,23.3,46,-,24.66,4.57,20.08,-,-,-,25.82,-,-,79.24,-
49,桃園市,2004/09,平鎮,5.7,0.47,-,27.3,52,-,32.87,7.45,25.44,-,-,-,26.16,-,-,78.06,-
50,桃園市,2004/09,觀音,-,0.29,-,36.3,55,-,23.82,4.97,18.89,-,-,-,27.37,-,-,69.79,-
51,新竹縣,2004/09,竹東,3.1,0.37,-,30.3,38,-,17.84,3.52,14.33,-,-,-,27.34,-,-,77.05,-
52,新竹縣,2004/09,湖口,3.8,0.35,-,30.8,48,-,24.34,6.21,18.13,-,-,-,25.99,-,-,77.14,-
53,苗栗縣,2004/09,苗栗,3.3,0.51,-,26.9,45,-,19.85,5.58,14.28,-,-,-,27.92,-,-,74.22,-
54,苗栗縣,2004/09,頭份,4.5,0.43,-,14.4,48,-,20.18,3.98,16.2,2.347,0.276,2.071,26.13,-,-,76.04,-
55,苗栗縣,2004/09,三義,1.4,0.27,-,33.8,42,-,11.32,1.9,9.41,2.321,0.307,2.015,25.44,-,-,84.03,-
56,彰化縣,2004/09,彰化,3.5,0.51,-,20.8,54,-,25.22,5.29,19.94,2.33,0.189,2.141,26.8,-,-,-,-
57,彰化縣,2004/09,線西,3.6,0.38,-,30.2,44,-,15.43,3.42,12.01,2.285,0.194,2.091,28.1,-,-,76.86,-
58,彰化縣,2004/09,二林,2.0,0.29,-,28.0,51,-,10.49,1.68,8.84,-,-,-,28.14,-,-,75.34,-
59,南投縣,2004/09,南投,3.3,0.58,-,27.0,49,27,-,-,-,2.399,0.333,2.066,28.08,-,-,76.37,-
60,南投縣,2004/09,埔里,1.2,0.44,-,28.3,46,-,-,-,-,2.267,0.203,2.064,24.52,-,-,75.61,-
61,南投縣,2004/09,竹山,2.3,0.41,-,28.3,47,-,12.96,2.01,10.96,-,-,-,27.54,-,-,77.43,-
62,雲林縣,2004/09,斗六,3.9,0.45,-,27.2,53,-,14.73,3.02,11.77,-,-,-,28.23,-,-,74.59,-
63,雲林縣,2004/09,崙背,2.0,0.33,-,28.0,60,-,-,-,-,-,-,-,26.58,-,-,76.53,-
64,雲林縣,2004/09,臺西,4.1,0.24,-,31.7,37,23,13.06,4.12,9.01,-,-,-,27.07,-,-,79.75,-
65,嘉義縣,2004/09,朴子,2.9,0.28,-,28.1,44,-,-,-,-,2.327,0.166,2.16,27.01,-,-,72.94,-
66,嘉義縣,2004/09,新港,-,0.28,-,32.8,60,-,-,-,-,-,-,-,27.04,-,-,77.06,-
67,屏東縣,2004/09,屏東,3.4,0.51,-,30.7,51,36,17.28,3.17,14.1,2.874,0.515,2.36,27.89,-,-,76.37,-
68,屏東縣,2004/09,潮州,3.5,0.27,-,31.3,45,-,8.36,1.34,7.03,-,-,-,28.97,-,-,77.93,-
69,屏東縣,2004/09,恆春,1.8,0.09,356.81,27.8,21,-,1.66,0.3,1.51,-,-,-,27.38,-,-,82.64,-
70,臺東縣,2004/09,臺東,1.0,0.32,-,19.7,31,14,9.22,2.75,6.48,2.087,0.139,1.949,27.97,-,-,77.84,-
71,花蓮縣,2004/09,花蓮,-,0.45,-,19.3,36,-,15.01,4.04,10.97,-,-,-,27.91,-,-,-,-
72,澎湖縣,2004/09,馬公,0.7,0.19,-,42.0,30,-,4.07,0.63,3.46,-,-,-,27.81,-,-,78.99,-
73,金門縣,2004/09,金門,5.7,0.4,-,38.4,62,-,13.95,3.7,10.25,-,-,-,27.23,-,-,-,-
74,連江縣,2004/09,馬祖,1.3,0.23,-,49.9,43,-,3.36,0.91,2.42,-,-,-,25.98,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
