序號,縣市,監測月份,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),"懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )",氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm)
1,臺北市,2017/12,松山,2.6,0.41,427.22,26.2,26,16,25.06,5.99,19.07,1.943,0.114,1.83,1.89,1.45,17.35,-,-,74.57,-
2,臺北市,2017/12,古亭,2,0.42,-,29.7,29,15,22.23,4.71,17.52,2.023,0.114,1.909,2.53,2.23,17.85,-,-,78.66,-
3,臺北市,2017/12,中山,2.5,0.57,-,24.1,37,16,32.46,9.22,23.25,2.086,0.166,1.92,2.21,1.77,18.1,-,-,79.4,-
4,臺北市,2017/12,大同,3,0.97,-,-,50,15,66.17,35.58,30.59,2.295,0.293,2.002,-,-,-,-,-,-,-
5,臺北市,2017/12,萬華,2.6,0.47,-,23.5,34,15,29.28,6.59,22.69,-,-,-,2.39,2.02,18.54,-,-,71.98,-
6,臺北市,2017/12,陽明,1.7,0.19,416.2,42.5,15,9,2.61,0.59,2,-,-,-,3.62,-,11.19,1.39,4.38,96.04,94.49
7,臺北市,2017/12,士林,2.2,0.31,-,37.6,30,14,12.15,2.69,9.46,-,-,-,2.62,2.21,18.79,-,-,72.23,-
8,新北市,2017/12,板橋,2.5,0.49,-,28,36,17,23.88,4.47,19.41,2.069,0.165,1.904,2.35,1.97,18.39,0.85,4.29,71.11,99.95
9,新北市,2017/12,三重,3.3,1.26,-,-,51,14,92.51,58.03,34.48,2.393,0.402,1.991,-,-,18.7,-,-,68.19,-
10,新北市,2017/12,菜寮,2.3,0.46,-,29.7,39,15,21.9,4.35,17.54,-,-,-,2.79,2.46,18.12,-,-,71.12,-
11,新北市,2017/12,永和,2,0.57,-,29.5,32,17,25.6,8.59,17.01,2.061,0.172,1.889,2.23,2,18.15,-,-,75.63,-
12,新北市,2017/12,新莊,2.8,0.44,-,31.2,37,11,20.5,3.7,16.8,-,-,-,3.73,3.36,18.23,-,-,67.88,-
13,新北市,2017/12,新店,1.8,0.39,-,32.4,32,18,16.91,2.91,13.99,-,-,-,1.73,1.36,18.08,-,-,77.36,-
14,新北市,2017/12,淡水,1.9,0.31,-,31.6,34,15,9.65,2.04,7.61,-,-,-,2.02,-,17.47,-,-,73.6,-
15,新北市,2017/12,汐止,2.6,0.38,-,31,33,22,21.74,5.23,16.52,-,-,-,2.04,1.78,17.69,-,-,81.41,-
16,新北市,2017/12,土城,2.3,0.43,-,30.9,34,16,18.44,3.16,15.26,2.105,0.142,1.962,1.45,0.74,18.17,-,-,76.21,-
17,新北市,2017/12,林口,2.2,0.31,-,36,44,19,16.32,3.13,13.18,-,-,-,3.48,3.15,15.6,-,-,83.22,-
18,新北市,2017/12,富貴角,1,0.2,-,45.8,56,23,3.53,0.27,3.37,1.928,0.038,1.889,9.02,8.85,17.37,-,-,76.15,-
