序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,2000/02,松山,3.2,0.85,17.2,39.0,-,54,20.55,32.96,-,-,-,15.94,-,-,-
2,臺北市,2000/02,古亭,2.4,0.9,18.4,39.0,18,47,17.99,29.22,2.51,0.36,2.15,16.38,-,-,-
3,臺北市,2000/02,中山,3.0,1.01,16.7,47.0,-,52,19.78,31.57,2.58,0.35,2.23,16.36,-,-,-
4,臺北市,2000/02,大同,6.5,-,-,64.0,-,172,125.05,47.36,3.59,1.39,2.2,17.11,-,-,-
5,臺北市,2000/02,萬華,2.5,0.98,18.0,34.0,-,41,11.53,29.61,-,-,-,15.72,-,-,-
6,臺北市,2000/02,陽明,0.7,0.28,49.7,16.0,-,2,0.19,1.67,-,-,-,10.35,-,-,-
7,臺北市,2000/02,士林,-,0.63,22.4,30.0,-,29,9.42,19.71,-,-,-,16.42,-,-,-
8,新北市,2000/02,板橋,3.3,0.91,17.5,44.0,-,42,12.44,29.11,2.61,0.4,2.21,16.45,-,-,-
9,新北市,2000/02,三重,3.5,2.45,-,67.0,22,150,104.15,46.07,2.94,0.98,1.97,16.45,-,-,-
10,新北市,2000/02,菜寮,2.9,0.92,17.9,57.0,-,46,16.05,30.27,-,-,-,16.2,-,-,-
11,新北市,2000/02,永和,3.9,1.28,-,47.0,-,68,37.69,30.63,2.8,0.57,2.24,15.93,-,-,-
12,新北市,2000/02,新莊,3.5,0.71,23.3,36.0,-,33,7.22,25.54,2.22,0.36,1.85,15.82,-,-,-
13,新北市,2000/02,新店,1.4,0.69,22.3,-,-,-,-,-,-,-,-,16.38,-,-,-
14,新北市,2000/02,淡水,1.4,0.61,31.6,28.0,-,-,-,-,-,-,-,15.56,-,-,-
15,新北市,2000/02,汐止,2.7,0.77,20.8,41.0,-,43,14.78,28.36,-,-,-,15.32,-,-,-
16,新北市,2000/02,土城,2.6,0.78,20.5,39.0,-,35,9.4,25.27,-,-,-,15.78,-,-,-
17,新北市,2000/02,林口,1.7,0.35,29.8,32.0,-,19,3.71,15.03,-,-,-,13.92,-,-,-
18,新北市,2000/02,萬里,0.8,0.27,44.0,41.0,-,6,0.88,4.82,2.1,0.03,2.07,15.71,-,-,-
19,臺中市,2000/02,西屯,2.1,0.58,25.8,66.0,-,40,18.69,20.98,2.5,0.22,2.28,16.14,-,-,-
20,臺中市,2000/02,忠明,2.7,0.91,17.0,58.0,27,42,15.05,26.52,-,-,-,16.9,-,-,-
21,臺中市,2000/02,豐原,3.8,0.65,17.5,52.0,-,37,10.66,25.98,-,-,-,15.29,-,-,-
22,臺中市,2000/02,沙鹿,4.6,0.52,22.3,47.0,-,23,3.64,19.55,-,-,-,15.46,-,-,-
23,臺中市,2000/02,大里,2.8,0.84,12.2,58.0,-,51,18.6,32.71,-,-,-,15.69,-,-,-
24,臺南市,2000/02,新營,2.5,0.52,21.7,59.0,-,25,3.79,21.08,2.35,0.18,2.17,16.87,-,-,-
25,臺南市,2000/02,善化,3.2,0.52,20.5,83.0,-,28,4.89,22.92,-,-,-,17.4,-,-,-
26,臺南市,2000/02,安南,3.1,0.54,22.4,78.0,-,25,3.91,21.54,-,-,-,16.79,-,-,-
27,臺南市,2000/02,臺南,3.8,0.89,11.7,86.0,-,39,10.22,29.15,2.76,0.43,2.33,17.85,-,-,-
28,高雄市,2000/02,左營,6.1,0.69,24.1,108.0,-,36,8.15,27.76,2.53,0.31,2.22,18.45,-,-,-
29,高雄市,2000/02,楠梓,4.1,0.56,21.9,95.0,-,36,8.86,27.05,2.49,0.24,2.25,18.73,-,-,-
30,高雄市,2000/02,前金,6.7,0.81,17.8,100.0,-,41,10.69,29.88,-,-,-,19.87,-,-,-
31,高雄市,2000/02,前鎮,10.6,-,-,106.0,-,60,19.31,40.46,2.72,0.54,2.19,18.78,-,-,-
32,高雄市,2000/02,復興,10.5,1.34,-,141.0,-,72,27.05,44.5,2.93,0.82,2.11,19.21,-,-,-
33,高雄市,2000/02,小港,18.8,0.99,17.7,120.0,-,69,27.6,41.58,2.79,0.62,2.17,19.89,-,-,-
34,高雄市,2000/02,鳳山,22.1,1.0,13.3,130.0,57,65,27.12,37.58,-,-,-,19.43,-,-,-
35,高雄市,2000/02,林園,22.0,0.79,24.0,106.0,74,48,16.68,30.83,2.89,0.61,2.28,20.05,-,-,-
36,高雄市,2000/02,大寮,13.3,0.72,21.2,125.0,-,46,12.97,32.88,2.8,0.37,2.43,19.42,-,-,-
37,高雄市,2000/02,仁武,15.3,0.63,21.2,108.0,-,51,17.67,33.62,2.72,0.41,2.31,18.96,-,-,-
38,高雄市,2000/02,橋頭,4.3,0.59,18.9,96.0,-,38,8.67,28.84,2.53,0.18,2.34,17.97,-,-,-
39,高雄市,2000/02,美濃,1.8,0.57,23.4,93.0,-,22,2.49,19.8,-,-,-,19.31,-,-,-
40,基隆市,2000/02,基隆,2.8,0.71,31.5,50.0,-,31,9.43,21.11,2.56,0.26,2.3,15.78,-,-,-
41,新竹市,2000/02,新竹,3.3,0.58,25.4,38.0,-,27,6.36,20.31,2.6,0.23,2.37,15.59,-,-,-
42,嘉義市,2000/02,嘉義,3.6,0.88,13.5,82.0,-,46,12.98,32.88,2.37,0.35,2.02,16.84,-,-,-
43,宜蘭縣,2000/02,宜蘭,0.6,0.62,25.9,28.0,-,18,3.34,14.71,-,-,-,16.13,-,-,-
44,宜蘭縣,2000/02,冬山,0.9,0.42,23.3,29.0,-,21,6.15,14.98,2.36,0.2,2.16,16.4,-,-,-
