序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN","紫外線指數 UVB (UVI)"
1,臺北市,1999/07,松山,5.3,1.12,13.2,48.0,-,56,25.54,30.31,-,-,-,29.4,-,-,-
2,臺北市,1999/07,古亭,3.4,1.08,13.9,35.0,-,52,25.31,26.36,2.32,0.4,1.92,28.87,-,-,-
3,臺北市,1999/07,中山,4.3,1.07,10.9,45.0,-,48,22.85,25.26,-,-,-,29.96,-,-,-
4,臺北市,1999/07,大同,8.7,3.46,-,42.0,-,146,103.44,41.25,3.87,1.53,2.34,30.86,-,-,-
5,臺北市,1999/07,萬華,4.0,0.9,16.6,33.0,-,32,8.74,23.17,-,-,-,29.88,-,-,-
6,臺北市,1999/07,陽明,2.0,0.19,25.5,15.0,-,6,0.99,5.35,-,-,-,23.2,-,-,-
7,臺北市,1999/07,士林,3.6,0.83,11.6,35.0,-,35,13.04,22.08,-,-,-,29.42,-,-,-
8,新北市,1999/07,板橋,8.7,0.94,15.7,46.0,-,43,16.18,26.77,2.73,0.54,2.18,30.01,-,-,-
9,新北市,1999/07,三重,7.1,3.21,-,68.0,24,150,107.46,42.56,3.41,1.16,2.26,30.18,-,-,-
10,新北市,1999/07,菜寮,6.1,1.21,10.7,53.0,-,53,24.67,28.04,-,-,-,29.44,-,-,-
11,新北市,1999/07,永和,5.6,1.91,-,48.0,-,70,44.34,25.52,2.98,0.85,2.12,29.04,-,-,-
12,新北市,1999/07,新莊,12.5,0.83,19.7,39.0,-,39,14.1,25.29,2.66,0.53,2.13,29.42,-,-,-
13,新北市,1999/07,新店,2.1,0.51,17.0,32.0,-,31,14.68,15.84,-,-,-,29.2,-,-,-
14,新北市,1999/07,淡水,3.2,0.71,16.0,35.0,-,26,7.86,17.72,-,-,-,29.48,-,-,-
15,新北市,1999/07,汐止,3.9,0.86,13.5,50.0,-,41,18.64,22.0,-,-,-,28.57,-,-,-
16,新北市,1999/07,土城,5.3,0.76,15.0,40.0,-,41,17.27,23.63,-,-,-,29.7,-,-,-
17,新北市,1999/07,林口,6.7,0.5,15.2,28.0,-,31,9.78,20.86,-,-,-,27.67,-,-,-
18,新北市,1999/07,萬里,2.1,0.31,22.1,24.0,-,12,2.64,9.81,2.2,0.06,2.14,28.21,-,-,-
19,臺中市,1999/07,西屯,2.4,0.48,12.9,54.0,-,25,8.43,16.85,2.49,0.16,2.34,28.71,-,-,-
20,臺中市,1999/07,忠明,2.1,0.89,13.7,39.0,20,33,11.08,21.84,-,-,-,28.9,-,-,-
21,臺中市,1999/07,豐原,2.0,0.6,18.6,38.0,-,21,3.4,17.83,-,-,-,27.61,-,-,-
22,臺中市,1999/07,沙鹿,1.5,0.44,15.1,28.0,-,17,3.54,13.51,-,-,-,29.07,-,-,-
23,臺中市,1999/07,大里,2.8,0.56,16.1,41.0,-,21,4.83,15.78,-,-,-,27.49,-,-,-
24,臺南市,1999/07,新營,1.9,0.38,15.3,20.0,-,12,2.66,9.55,2.33,0.12,2.21,28.24,-,-,-
25,臺南市,1999/07,善化,3.4,0.31,15.9,17.0,-,10,2.36,7.19,-,-,-,27.82,-,-,-
26,臺南市,1999/07,安南,4.7,0.56,20.5,29.0,-,19,6.3,13.02,-,-,-,27.66,-,-,-
27,臺南市,1999/07,臺南,6.1,0.6,18.2,29.0,-,22,8.25,13.81,2.39,0.26,2.14,26.77,-,-,-
28,高雄市,1999/07,左營,5.4,0.76,17.0,30.0,-,26,12.14,14.06,2.36,0.28,2.07,27.9,-,-,-
29,高雄市,1999/07,楠梓,4.5,0.48,14.8,33.0,-,25,11.08,14.34,2.84,0.38,2.43,27.84,-,-,-
30,高雄市,1999/07,前金,5.5,0.81,10.8,31.0,-,30,13.85,15.91,-,-,-,27.99,-,-,-
31,高雄市,1999/07,前鎮,6.7,-,-,34.0,-,42,19.86,20.95,2.56,0.46,2.11,27.93,-,-,-
32,高雄市,1999/07,復興,5.3,1.01,-,35.0,-,39,20.44,18.28,2.65,0.75,1.9,27.76,-,-,-
33,高雄市,1999/07,小港,9.6,0.74,11.3,38.0,-,33,14.84,18.42,2.18,0.29,1.89,28.4,-,-,-
34,高雄市,1999/07,鳳山,4.8,0.82,12.8,41.0,-,26,9.35,16.84,-,-,-,28.04,-,-,-
35,高雄市,1999/07,林園,3.1,0.4,18.9,23.0,22,9,2.05,6.83,2.14,0.17,1.96,28.42,-,-,-
36,高雄市,1999/07,大寮,1.1,0.48,13.5,31.0,-,15,3.66,11.42,2.42,0.17,2.25,28.28,-,-,-
37,高雄市,1999/07,仁武,3.3,0.52,16.7,33.0,-,23,8.9,14.26,2.58,0.2,2.38,27.95,-,-,-
38,高雄市,1999/07,橋頭,4.1,0.49,12.5,26.0,-,24,10.6,13.04,2.43,0.15,2.27,26.89,-,-,-
39,高雄市,1999/07,美濃,0.6,0.39,17.1,30.0,-,7,1.24,6.16,-,-,-,27.26,-,-,-
40,基隆市,1999/07,基隆,5.7,0.77,20.1,50.0,-,34,11.54,22.86,2.64,0.31,2.33,29.09,-,-,-
41,新竹市,1999/07,新竹,3.1,0.58,19.2,23.0,-,23,7.82,15.1,2.15,0.19,1.96,30.12,-,-,-
42,嘉義市,1999/07,嘉義,1.2,0.58,18.9,-,-,15,3.43,11.45,2.19,0.19,2.0,28.15,-,-,-
43,宜蘭縣,1999/07,宜蘭,1.6,0.47,22.0,32.0,-,11,1.86,9.3,-,-,-,28.39,-,-,-
44,宜蘭縣,1999/07,冬山,3.0,0.43,13.5,32.0,-,21,8.25,12.82,2.26,0.16,2.1,29.55,-,-,-
45,桃園市,1999/07,桃園,13.1,0.49,13.4,40.0,-,33,10.2,23.07,2.41,0.37,2.04,29.18,-,-,-
46,桃園市,1999/07,中壢,5.9,1.22,-,29.0,-,63,35.2,27.54,2.36,0.54,1.82,28.58,-,-,-
47,桃園市,1999/07,大園,4.1,0.38,15.9,27.0,-,23,7.96,14.74,-,-,-,29.62,-,-,-
48,桃園市,1999/07,龍潭,4.4,0.42,17.6,29.0,-,21,5.58,15.72,-,-,-,27.97,-,-,-
49,桃園市,1999/07,平鎮,4.6,0.5,14.7,23.0,-,27,8.02,19.46,2.25,0.16,2.09,28.84,-,-,-
50,桃園市,1999/07,觀音,4.1,0.31,18.5,28.0,-,13,2.98,10.39,2.4,0.17,2.21,28.92,-,-,-
51,新竹縣,1999/07,竹東,1.6,0.44,20.7,31.0,-,15,3.5,11.72,-,-,-,29.15,-,-,-
52,新竹縣,1999/07,湖口,4.1,0.42,18.2,38.0,-,21,7.06,14.33,-,-,-,29.39,-,-,-
53,苗栗縣,1999/07,苗栗,1.8,0.48,14.6,48.0,-,19,5.03,13.98,-,-,-,29.45,-,-,-
