序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","酸雨pH值 pH_RAIN"
1,臺北市,1998/07,松山,4.6,0.99,16.5,36.0,-,49,20.27,28.95,-,-,-,30.65,-,-
2,臺北市,1998/07,古亭,3.9,1.04,15.7,38.0,25,50,23.63,26.72,2.4,0.44,1.96,30.3,-,-
3,臺北市,1998/07,中山,4.9,1.09,13.3,32.0,-,35,20.02,14.55,2.7,0.45,2.25,31.44,-,-
4,臺北市,1998/07,大同,6.4,3.45,-,-,-,132,94.71,37.33,4.29,1.77,2.52,31.84,-,-
5,臺北市,1998/07,萬華,4.5,0.76,18.0,38.0,-,30,7.34,22.37,-,-,-,29.9,-,-
6,臺北市,1998/07,陽明,3.8,0.22,25.2,15.0,-,7,0.94,6.49,-,-,-,24.35,-,-
7,臺北市,1998/07,士林,4.5,0.72,13.7,41.0,-,39,13.66,24.54,-,-,-,30.4,-,-
8,新北市,1998/07,板橋,9.0,0.89,19.0,50.0,-,41,16.01,25.33,2.81,0.66,2.16,31.03,-,-
9,新北市,1998/07,三重,11.8,3.23,-,66.0,53,173,137.69,35.12,-,-,-,31.07,-,-
10,新北市,1998/07,菜寮,6.7,1.12,12.9,50.0,-,43,20.12,22.98,-,-,-,30.59,-,-
11,新北市,1998/07,永和,7.0,2.0,-,56.0,-,76,46.98,29.01,3.19,1.02,2.18,33.24,-,-
12,新北市,1998/07,新莊,14.4,0.72,18.5,46.0,-,38,15.03,22.67,2.74,0.55,2.18,29.62,-,-
13,新北市,1998/07,新店,2.3,0.52,23.9,35.0,-,21,4.21,16.99,-,-,-,30.32,-,-
14,新北市,1998/07,淡水,2.3,0.7,16.6,60.0,-,28,9.57,18.75,-,-,-,30.25,-,-
15,新北市,1998/07,汐止,3.7,0.84,14.5,55.0,-,45,19.39,25.29,-,-,-,29.84,-,-
16,新北市,1998/07,土城,6.3,0.71,17.7,46.0,-,41,17.36,23.47,-,-,-,30.81,-,-
17,新北市,1998/07,林口,7.2,0.51,15.4,31.0,-,30,10.58,19.54,-,-,-,28.1,-,-
18,新北市,1998/07,萬里,3.1,0.22,26.7,25.0,-,18,6.28,12.1,2.21,0.25,1.96,29.85,-,-
19,臺中市,1998/07,西屯,2.7,0.35,8.2,29.0,-,28,12.12,15.4,-,-,-,29.78,-,-
20,臺中市,1998/07,忠明,1.4,0.75,14.3,38.0,38,25,8.15,16.89,-,-,-,31.62,-,-
21,臺中市,1998/07,豐原,2.9,0.6,18.6,34.0,-,21,3.81,16.74,-,-,-,28.77,-,-
22,臺中市,1998/07,沙鹿,2.7,0.38,13.7,26.0,-,16,3.82,12.09,-,-,-,29.73,-,-
23,臺中市,1998/07,大里,2.0,0.51,16.1,37.0,-,19,4.35,14.74,-,-,-,29.89,-,-
24,臺南市,1998/07,新營,2.0,0.38,15.6,19.0,-,11,1.98,9.35,2.31,0.11,2.19,29.9,-,-
25,臺南市,1998/07,善化,3.6,0.31,12.8,21.0,-,11,3.31,7.27,-,-,-,28.76,-,-
26,臺南市,1998/07,安南,3.8,0.41,17.5,25.0,-,15,4.6,10.55,-,-,-,29.16,-,-
27,臺南市,1998/07,臺南,5.2,0.53,12.0,31.0,-,20,8.12,11.41,2.25,0.19,2.06,28.46,-,-
28,高雄市,1998/07,左營,5.7,0.48,15.9,29.0,-,18,6.48,11.95,2.13,0.2,1.93,29.41,-,-
29,高雄市,1998/07,楠梓,4.7,0.35,12.0,31.0,-,25,10.02,15.01,2.88,0.48,2.48,29.44,-,-
30,高雄市,1998/07,前金,3.0,0.61,14.9,23.0,-,20,6.23,12.72,-,-,-,29.08,-,-
31,高雄市,1998/07,前鎮,8.7,-,-,39.0,-,25,9.58,15.89,2.24,0.41,1.83,29.66,-,-
32,高雄市,1998/07,復興,6.4,0.73,-,30.0,-,28,11.19,16.99,2.14,0.37,1.77,29.25,-,-
33,高雄市,1998/07,小港,9.3,0.52,11.5,37.0,-,27,10.91,15.69,2.11,0.16,1.95,29.61,-,-
34,高雄市,1998/07,鳳山,5.9,0.69,12.7,29.0,19,23,7.16,15.57,-,-,-,29.92,-,-
35,高雄市,1998/07,林園,3.6,0.28,15.2,48.0,25,9,2.28,6.35,1.97,0.18,1.79,28.93,-,-
36,高雄市,1998/07,大寮,7.1,0.54,13.0,41.0,-,19,7.4,11.13,2.28,0.24,2.04,30.34,-,-
37,高雄市,1998/07,仁武,5.4,0.41,14.9,30.0,-,21,7.79,13.4,2.34,0.13,2.21,29.29,-,-
38,高雄市,1998/07,橋頭,4.3,0.43,11.3,23.0,-,21,10.06,11.41,2.33,0.11,2.22,28.51,-,-
39,高雄市,1998/07,美濃,1.3,0.34,17.2,26.0,-,9,1.77,7.66,-,-,-,29.25,-,-
40,基隆市,1998/07,基隆,5.0,0.67,25.6,42.0,-,30,8.92,20.65,2.36,0.26,2.1,30.66,-,-
41,新竹市,1998/07,新竹,3.6,0.53,18.2,30.0,-,21,7.19,13.79,2.08,0.16,1.92,30.56,-,-
42,嘉義市,1998/07,嘉義,2.2,0.58,15.1,32.0,-,18,3.71,14.0,2.3,0.21,2.09,29.55,-,-
43,宜蘭縣,1998/07,宜蘭,1.9,0.46,25.8,39.0,-,13,2.46,10.78,-,-,-,29.28,-,-
44,宜蘭縣,1998/07,冬山,3.1,0.8,16.8,35.0,-,23,8.2,14.33,2.22,0.14,2.08,29.73,-,-
45,桃園市,1998/07,桃園,11.2,0.68,15.0,36.0,-,34,11.05,22.82,2.43,0.33,2.1,29.77,-,-
46,桃園市,1998/07,中壢,6.5,1.44,-,35.0,-,73,43.49,29.01,-,-,-,29.52,-,-
47,桃園市,1998/07,大園,6.1,0.35,14.3,32.0,-,23,8.6,14.19,-,-,-,29.6,-,-
48,桃園市,1998/07,龍潭,3.7,0.41,15.3,37.0,-,25,7.57,17.44,-,-,-,27.98,-,-
49,桃園市,1998/07,平鎮,4.3,0.58,16.5,30.0,-,28,9.36,18.73,1.89,0.14,1.76,29.21,-,-
50,桃園市,1998/07,觀音,5.6,0.3,15.6,48.0,-,14,4.68,9.57,2.49,0.11,2.38,29.29,-,-
51,新竹縣,1998/07,竹東,2.1,0.41,18.2,36.0,-,17,4.2,12.7,-,-,-,29.36,-,-
52,新竹縣,1998/07,湖口,4.8,0.4,19.2,55.0,-,19,5.81,12.9,-,-,-,29.64,-,-
53,苗栗縣,1998/07,苗栗,2.7,0.44,14.5,42.0,-,17,4.02,13.28,-,-,-,29.57,-,-
54,苗栗縣,1998/07,頭份,17.2,-,-,40.0,-,30,15.19,15.12,2.35,0.24,2.11,29.88,-,-
55,苗栗縣,1998/07,三義,1.7,0.19,12.2,42.0,-,12,3.09,9.35,-,-,-,26.16,-,-
56,彰化縣,1998/07,彰化,3.3,0.55,11.4,28.0,-,18,5.13,12.73,2.14,0.43,1.71,29.95,-,-
57,彰化縣,1998/07,線西,2.0,-,-,29.0,-,11,3.17,7.83,1.82,0.07,1.75,29.66,-,-
58,彰化縣,1998/07,二林,2.6,0.25,16.6,40.0,-,11,3.15,8.42,-,-,-,29.12,-,-
59,南投縣,1998/07,南投,1.1,0.35,14.1,25.0,-,14,3.59,10.89,1.85,0.09,1.82,29.37,-,-
