序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2010/01,松山,4.0,0.74,414.36,18.8,60,36,51.42,21.72,29.7,2.094,0.287,1.807,17.21,73.55
2,臺北市,2010/01,古亭,3.5,0.77,-,20.9,63,35,39.29,12.86,26.43,2.172,0.251,1.921,17.22,77.74
3,臺北市,2010/01,中山,4.1,0.9,-,17.3,64,39,46.54,17.69,28.84,2.363,0.329,2.035,17.62,73.84
4,臺北市,2010/01,萬華,3.2,0.84,-,20.4,54,33,37.72,11.35,26.36,-,-,-,16.79,76.26
5,臺北市,2010/01,陽明,2.5,0.33,393.5,42.8,20,13,4.71,1.06,3.62,-,-,-,12.21,90.14
6,臺北市,2010/01,士林,3.0,0.61,-,28.1,61,28,25.97,7.23,18.74,-,-,-,17.13,72.81
7,新北市,2010/01,板橋,4.9,0.8,-,23.0,58,33,38.47,10.37,28.1,2.456,0.407,2.049,17.2,70.26
8,新北市,2010/01,三重,6.2,2.08,-,-,79,41,145.82,102.23,43.59,2.83,0.89,1.94,16.95,72.0
9,新北市,2010/01,菜寮,4.2,0.89,-,22.6,56,32,42.54,15.19,27.35,-,-,-,17.32,72.68
10,新北市,2010/01,永和,3.7,1.08,-,20.6,58,36,50.67,24.29,26.38,2.48,0.435,2.046,17.37,73.57
11,新北市,2010/01,新莊,5.7,0.73,-,23.3,57,33,36.04,10.2,25.83,-,-,-,16.52,74.28
12,新北市,2010/01,新店,2.8,0.57,-,25.9,43,29,24.39,5.13,19.26,-,-,-,16.91,77.94
